,Concept_ID,fa,tt
0,Auge::N,چشم,күз
1,Ohr::N,گوش,колак
2,Nase::N,بینی,борын
3,Mund::N,دهان,авыз
4,Mund::N,دهان,тамак
5,Zahn::N,دندان,теш
6,Zunge::N,زبان,тел
7,Lippe::N,لب,ирен
8,Wange::N,لپ,яңак
9,Gesicht::N,رو,йөз
10,Gesicht::N,چهره,йөз
11,Stirn::N,پیشانی,маңгай
12,Haar::N,مو,чәч
13,Schnurrbart::N,سبیل,мыек
14,Bart::N,ریش,сакал
15,Kinn::N,چانه,ияк
16,Kiefer[Anatomie]::N,فک,казналык
17,Kiefer[Anatomie]::N,آرواره,казналык
18,Kehle::N,حلق,тамак
19,Hals::N,گردن,бугаз
20,Genick::N,پشت گردن,җилкә
21,Kopf::N,سر,баш
22,Kopf::N,کله,баш
23,Rücken::N,پشت,сырт
24,Bauch::N,شکم,корсак
25,Nabel::N,ناف,кендек
26,Busen::N,پستان,түш
27,Brust::N,سینه,имчәк
28,Brust::N,سینه,күкрәк
29,Schulter::N,دوش,иңбаш
30,Schulter::N,دوش,кулбаш
31,Schulter::N,شانه,иңбаш
32,Schulter::N,شانه,кулбаш
33,Arm::N,بازو,кул
34,Ellenbogen::N,آرنج,терсәк
35,Hand::N,دست,кул
36,Handfläche::N,کف دست,уч
37,Finger::N,انگشت,бармак
38,Fingernagel::N,ناخن دست,тырнак
39,Nagel[Anatomie]::N,ناخن,тырнак
40,Zeh::N,انگشت پا,бармак
41,Fuß::N,پا,табан
42,Ferse::N,پاشنه,үкчә
43,Knie::N,زانو,тез
44,Oberschenkel::N,ران,бот
45,Bein::N,پا,аяк
46,Bein::N,لنگ,аяк
47,Körper::N,تن,тән
48,Körper::N,تن,җисем
49,Körper::N,بدن,тән
50,Körper::N,بدن,җисем
51,Haut::N,پوست,тире
52,Blut::N,خون,кан
53,Ader::N,رگ,тамыр
54,Sehne::N,زردپی,сеңер
55,Knochen::N,استخوان,сөяк
56,Gehirn::N,مخ,ми
57,Gehirn::N,مغز,ми
58,Herz::N,دل,йөрәк
59,Herz::N,قلب,йөрәк
60,Magen::N,معده,ашказаны
61,Leber::N,کبد,бавыр
62,Atem::N,نفس,сулыш
63,Hunger::N,گرسنگی,ачлык
64,Träne::N,اشک,яшь
65,Geschmack::N,مزه,тәм
66,Geschmack::N,مزه,зәвык
67,Geruch::N,بو,ис
68,Schlaf::N,خواب,йокы
69,Traum::N,رؤیا,төш
70,Himmel::N,فلک,күк
71,Himmel::N,آسمان,күк
72,Sonne::N,آفتاب,кояш
73,Sonne::N,خورشید,кояш
74,Mond::N,ماه,ай
75,Stern::N,ستاره,йолдыз
76,Luft::N,هوا,һава
77,Wind::N,باد,җил
78,Welle::N,موج,дулкын
79,Wasser::N,آب,су
80,Stein::N,سنگ,таш
81,Boden::N,زمین,туфрак
82,Erde::N,خاک,җир
83,Erde::N,زمین,җир
84,Staub::N,گرد,тузан
85,Staub::N,غبار,тузан
86,Rauch::N,دود,төтен
87,Funke::N,جرقه,очкын
88,Feuer::N,آتش,ут
89,Licht::N,نور,якты
90,Licht::N,روشنی,якты
91,Schatten::N,سایه,күләгә
92,Wetter::N,هوا,һава
93,Nebel::N,مه,томан
94,Wolke::N,ابر,болыт
95,Regen::N,باران,яңгыр
96,Schnee::N,برف,кар
97,Eis::N,یخ,боз
98,Frost::N,یخبندان,суык
99,Frost::N,یخبندان,салкын
100,Kälte::N,سرما,суык
101,Kälte::N,سرما,салкын
102,Hitze::N,گرما,эсселек
103,Hitze::N,حرارت,эсселек
104,Raureif::N,برف ریزه,бәс
105,Raureif::N,برف ریزه,сыкы
106,Regenbogen::N,رنگین‌کمان,салават күпере
107,Donner::N,رعد,күкрәү
108,Strömung::N,جریان,агыш'агым
109,Tropfen::N,قطره,тамчы
110,Schaum::N,کف,күбек
111,Schmutz::N,گل,пычрак
112,Schmutz::N,کثافت,пычрак
113,See::N,دریاچه,күл
114,Sumpf::N,مرداب,саз
115,Sumpf::N,باتلاق,саз
116,Moor::N,باتلاق,торфлык
117,Wiese::N,چمن,болын
118,Wald::N,جنگل,урман
119,Hügel::N,تل,калку
120,Hügel::N,تپه,калку
121,Anhöhe::N,بلندی,үр
122,Berg::N,کوه,тау
123,Gipfel::N,قله,оч
124,Höhle::N,غار,мәгарә
125,Abhang::N,سرازیری,кабырга
126,Quelle::N,چشمه,чишмә
127,Bach::N,نهر,елга
128,Fluss::N,رود,дәрья
129,Ufer::N,ساحل,су кырые
130,Ufer::N,کرانه,су кырые
131,Küste::N,ساحل,яр буе
132,Festland::N,خشکی,коры җир
133,Meer::N,دریا,диңгез
134,Bucht::N,خلیج,бухта
135,Bucht::N,خلیج,култык
136,Insel::N,جزیره,атау
137,Insel::N,جزیره,утрау
138,Blume::N,گل,чәчкә
139,Gras::N,علف,үлән
140,Wurzel::N,ریشه,тамыр
141,Baum::N,درخت,агач
142,Stamm::N,تنه,кәүсә
143,Rinde::N,توژ,кабык
144,Rinde::N,پوست,кабык
145,Ast::N,شاخه,ботак
146,Zweig::N,شاخه,ботак
147,Zweig::N,شاخه,тармак
148,Blatt::N,برگ,яфрак
149,Birke::N,غان,каен
150,Kiefer[Baum]::N,کاج,нарат
151,Weide[Baum]::N,بید,тал
152,Tanne::N,صنوبر,чыршы
153,Horn::N,شاخ,мөгез
154,Feder::N,پر,йон
155,Fell::N,خز,тире
156,Flügel::N,پر,канат
157,Flügel::N,بال,канат
158,Klaue::N,چنگ,тырнак
159,Klaue::N,پنجه,тырнак
160,Kralle::N,پنجه,тырнак
161,Schwanz::N,دم,койрык
162,Ei::N,تخم,күкәй
163,Ei::N,تخم,йомырка
164,Nest::N,لانه,оя
165,Bau::N,بنا,өн
166,Bau::N,ساختمان,өн
167,Tier::N,هیوان,хайван
168,Herde::N,رمه,көтү
169,Kuh::N,گاو,сыер
170,Bulle::N,گاو نر,үгез
171,Pferd::N,اسب,ат
172,Schaf::N,گوسفند,сарык
173,Schwein::N,خوک,дуңгыз
174,Hund::N,سگ,эт
175,Katze::N,گربه,песи
176,Bär::N,خرس,аю
177,Eichhörnchen::N,سنجاب,тиен
178,Elch::N,گوزن شمالی,поши
179,Fuchs::N,روباه,төлке
180,Hase::N,خرگوش,куян
181,Maus::N,موش,тычкан
182,Wolf::N,گرگ,бүре
183,Vogel::N,پرنده,кош
184,Schwarm::N,دسته,көтү
185,Huhn::N,مرغ,тавык
186,Hahn::N,خروس,әтәч
187,Gans::N,غاز,каз
188,Adler::N,عقاب,каракош
189,Ente::N,اردک,үрдәк
190,Ente::N,مرغابی,үрдәк
191,Eule::N,جغد,ябалак
192,Kranich::N,درنا,торна
193,Krähe::N,زاغ,карга
194,Krähe::N,کلاغ,карга
195,Kuckuck::N,فاخته,күке
196,Kuckuck::N,فاخته,кәккүк
197,Schwan::N,قو,аккош
198,Fisch::N,ماهی,балык
199,Barsch::N,ماهی خاردار,алабуга
200,Hecht::N,اردک ماهی,чуртан
201,Schlange[Tier]::N,مار,елан
202,Wurm::N,کرم,корт
203,Spinne::N,عنکبوت,үрмәкүч
204,Ameise::N,مورچه,кырмыска
205,Laus::N,شپش,бет
206,Mücke::N,پشه,черки
207,Mücke::N,پشه,озынборын
208,Fliege::N,مگس,чебен
209,Schmetterling::N,پروانه,күбәләк
210,Beere::N,گیله,җиләк
211,Apfel::N,سیب,алма
212,Pilz::N,قارچ,гөмбә
213,Zwiebel::N,پیاز,суган
214,Zwiebel::N,پیاز,суганбаш
215,Saat::N,بذر,орлык
216,Korn::N,تخم,иген
217,Korn::N,تخم,орлык
218,Korn::N,دانه,иген
219,Korn::N,دانه,орлык
220,Heu::N,علف خشک,печән
221,Schale::N,پوست,кабык
222,Grube::N,گودال,баз
223,Grube::N,گودال,чокыр
224,Falle::N,دام,тозак
225,Falle::N,دام,капкын
226,Schlinge::N,حلقه,элмәк
227,Spur::N,رد,эз
228,Asche::N,خاکستر,көл
229,Dreck::N,کثافت,пычрак
230,Eisen::N,آهن,тимер
231,Gold::N,زر,алтын
232,Gold::N,طلا,алтын
233,Silber::N,نقره,көмеш
234,Kohle::N,زغال,күмер
235,Glas::N,شیشه,пыяла
236,Lehm::N,گل,балчык
237,Sand::N,شن,ком
238,Sand::N,ماسه,ком
239,Mensch::N,آدم,адәм
240,Mensch::N,آدم,инсан
241,Mensch::N,انسان,адәм
242,Mensch::N,انسان,инсан
243,Mann::N,مرد,ир
244,Frau::N,زن,хатын
245,Kind::N,بچه,бала
246,Kind::N,کودک,бала
247,Junge::N,پسر,малай
248,Mädchen::N,دختر,кыз
249,Familie::N,فامیل,гаилә
250,Familie::N,خانواده,гаилә
251,Großvater::N,پدربزرگ,бабай
252,Großmutter::N,مادر‌بزرگ,әби
