,Concept_ID,fi,et
0,Auge::N,silmä,silm
1,Ohr::N,korva,kõrv
2,Nase::N,nenä,nina
3,Mund::N,suu,suu
4,Zahn::N,hammas,hammas
5,Zunge::N,kieli,keel
6,Lippe::N,huuli,huul
7,Wange::N,poski,põsk
8,Gesicht::N,naama,nägu
9,Gesicht::N,kasvot,nägu
10,Stirn::N,otsa,otsmik
11,Haar::N,hius,juus
12,Haar::N,tukka,juus
13,Schnurrbart::N,viikset,vurrud
14,Schnurrbart::N,viikset,vuntsid
15,Bart::N,parta,habe
16,Kinn::N,leuka,lõug
17,Kiefer[Anatomie]::N,leukaluu,lõualuu
18,Kehle::N,kurkku,kõri
19,Hals::N,kaula,kael
20,Genick::N,niska,kukal
21,Kopf::N,pää,pea
22,Rücken::N,selkä,selg
23,Bauch::N,maha,kõht
24,Bauch::N,vatsa,kõht
25,Nabel::N,napa,naba
26,Busen::N,rinta,rind
27,Brust::N,rinta,rind
28,Schulter::N,olka,õlg
29,Schulter::N,hartia,õlg
30,Schulter::N,olkapää,õlg
31,Arm::N,käsivarsi,käsivars
32,Ellenbogen::N,kyynärpää,küünarnukk
33,Hand::N,käsi,käsi
34,Handfläche::N,kämmen,pihk
35,Finger::N,sormi,sõrm
36,Fingernagel::N,kynsi,küüs
37,Nagel[Anatomie]::N,kynsi,küüs
38,Zeh::N,varvas,varvas
39,Fuß::N,jalka,jalg
40,Ferse::N,kantapää,kand
41,Knie::N,polvi,põlv
42,Oberschenkel::N,reisi,reis
43,Bein::N,jalka,jalg
44,Körper::N,keho,ihu
45,Körper::N,keho,keha
46,Körper::N,ruumis,ihu
47,Körper::N,ruumis,keha
48,Haut::N,iho,nahk
49,Blut::N,veri,veri
50,Ader::N,suoni,veen
51,Sehne::N,jänne,kõõlus
52,Knochen::N,luu,luu
53,Gehirn::N,aivot,aju
54,Herz::N,sydän,süda
55,Magen::N,maha,magu
56,Magen::N,vatsa,magu
57,Leber::N,maksa,maks
58,Atem::N,henki,hingeõhk
59,Atem::N,henki,hingamine
60,Atem::N,hengitys,hingeõhk
61,Atem::N,hengitys,hingamine
62,Hunger::N,nälkä,nälg
63,Träne::N,kyynel,pisar
64,Geschmack::N,maku,maitse
65,Geruch::N,haju,lõhn
66,Schlaf::N,uni,uni
67,Traum::N,uni,unenägu
68,Himmel::N,taivas,taevas
69,Sonne::N,aurinko,päike
70,Mond::N,kuu,kuu
71,Stern::N,tähti,täht
72,Luft::N,ilma,õhk
73,Wind::N,tuuli,tuul
74,Welle::N,aalto,laine
75,Wasser::N,vesi,vesi
76,Stein::N,kivi,kivi
77,Boden::N,maa,maa
78,Boden::N,maa,pinnas
79,Boden::N,maaperä,maa
80,Boden::N,maaperä,pinnas
81,Erde::N,maa,maa
82,Staub::N,pöly,põrm
83,Rauch::N,savu,suits
84,Funke::N,kipinä,säde
85,Feuer::N,tuli,tuli
86,Licht::N,valo,valgus
87,Schatten::N,varjo,vari
88,Wetter::N,sää,ilm
89,Nebel::N,sumu,udu
90,Wolke::N,pilvi,pilv
91,Regen::N,sade,sadu
92,Schnee::N,lumi,lumi
93,Eis::N,jää,jää
94,Frost::N,halla,pakane
95,Frost::N,pakkanen,pakane
96,Kälte::N,vilu,külm
97,Kälte::N,vilu,külmus
98,Kälte::N,kylmyys,külm
99,Kälte::N,kylmyys,külmus
100,Hitze::N,helle,kuumus
101,Hitze::N,helle,palavus
102,Hitze::N,kuumuus,kuumus
103,Hitze::N,kuumuus,palavus
104,Raureif::N,huurre,härmatis
105,Regenbogen::N,sateenkaari,vikerkaar
106,Donner::N,jyrinä,kõu
107,Donner::N,jyrinä,müristamine
108,Strömung::N,virtaus,voolus
109,Strömung::N,virtaus,jõevool
110,Tropfen::N,tippa,tilk
111,Tropfen::N,pisara,tilk
112,Schaum::N,vaahto,vaht
113,Schmutz::N,loka,pori
114,Schmutz::N,loka,mustus
115,See::N,järvi,järv
116,Sumpf::N,suo,soo
117,Moor::N,räme,raba
118,Wiese::N,niitty,aas
119,Wiese::N,niitty,nurm
120,Wald::N,metsä,mets
121,Hügel::N,mäki,küngas
122,Hügel::N,kumpu,küngas
123,Hügel::N,kukkula,küngas
124,Anhöhe::N,mäki,küngas
125,Anhöhe::N,kumpare,küngas
126,Berg::N,mäki,mägi
127,Berg::N,vuori,mägi
128,Gipfel::N,laki,mäetipp
129,Gipfel::N,huippu,mäetipp
130,Höhle::N,luola,koobas
131,Abhang::N,rinne,nõlvak
132,Quelle::N,lähde,allikas
133,Bach::N,puro,oja
134,Fluss::N,joki,jõgi
135,Ufer::N,ranta,kallas
136,Küste::N,rannikko,rannik
137,Festland::N,manner,mander
138,Festland::N,manner,maismaa
139,Meer::N,meri,meri
140,Bucht::N,lahti,laht
141,Insel::N,saari,saar
142,Blume::N,kukka,lill
143,Gras::N,ruoho,rohi
144,Wurzel::N,juuri,juur
145,Baum::N,puu,puu
146,Stamm::N,runko,tüvi
147,Rinde::N,kuori,koor
148,Rinde::N,parkki,koor
149,Ast::N,oksa,oks
150,Zweig::N,haara,oks
151,Blatt::N,lehti,leht
152,Birke::N,koivu,kask
153,Kiefer[Baum]::N,mänty,mänd
154,Kiefer[Baum]::N,petäjä,mänd
155,Weide[Baum]::N,paju,paju
156,Tanne::N,kuusi,nulg
157,Horn::N,sarvi,sarv
158,Feder::N,sulka,sulg
159,Feder::N,höyhen,sulg
160,Fell::N,talja,karvkate
161,Fell::N,talja,karusnahk
162,Flügel::N,siipi,tiib
163,Flügel::N,siipi,tiivik
164,Klaue::N,kynsi,küüs
165,Kralle::N,kynsi,küünis
166,Schwanz::N,häntä,saba
167,Schwanz::N,pyrstö,saba
168,Ei::N,muna,muna
169,Nest::N,pesä,pesa
170,Bau::N,pesä,urg
171,Tier::N,eläin,loom
172,Herde::N,lauma,kari
173,Kuh::N,lehmä,lehm
174,Bulle::N,sonni,pull
175,Pferd::N,hevonen,hobune
176,Schaf::N,lammas,lammas
177,Schwein::N,sika,siga
178,Hund::N,koira,koer
179,Katze::N,kissa,kass
180,Bär::N,karhu,karu
181,Eichhörnchen::N,orava,orav
182,Elch::N,hirvi,põder
183,Fuchs::N,kettu,rebane
184,Hase::N,jänis,jänes
185,Maus::N,hiiri,hiir
186,Wolf::N,susi,hunt
187,Vogel::N,lintu,lind
188,Schwarm::N,parvi,parv
189,Huhn::N,kana,kana
190,Hahn::N,kukko,kukk
191,Gans::N,hanhi,hani
192,Adler::N,kotka,kotkas
193,Ente::N,ankka,part
194,Eule::N,pöllö,kakk
195,Eule::N,pöllö,öökull
196,Kranich::N,kurki,kurg
197,Krähe::N,varis,vares
198,Kuckuck::N,käki,kägu
199,Schwan::N,joutsen,luik
200,Fisch::N,kala,kala
201,Barsch::N,ahven,ahven
202,Hecht::N,hauki,haug
203,Schlange[Tier]::N,käärme,uss
204,Wurm::N,mato,uss
205,Wurm::N,mato,vagel
206,Spinne::N,hämähäkki,ämblik
207,Ameise::N,muurahainen,sipelgas
208,Laus::N,täi,täi
209,Mücke::N,sääski,sääsk
210,Mücke::N,hyttynen,sääsk
211,Fliege::N,kärpänen,kärbes
212,Schmetterling::N,perhonen,liblikas
213,Beere::N,marja,mari
214,Apfel::N,omena,õun
215,Pilz::N,sieni,seen
216,Zwiebel::N,sipuli,sibul
217,Saat::N,siemenet,seeme
218,Korn::N,jyvä,iva
219,Korn::N,jyvä,tera
220,Korn::N,vilja,iva
221,Korn::N,vilja,tera
222,Heu::N,heinä,hein
223,Schale::N,kuori,koor
224,Grube::N,kuoppa,kaevand
225,Falle::N,loukku,lõks
226,Falle::N,loukku,püünis
227,Schlinge::N,ansa,aas
228,Spur::N,jälki,jälg
229,Asche::N,tuhka,tuhk
230,Dreck::N,lika,saast
231,Dreck::N,lika,mustus
232,Eisen::N,rauta,raud
233,Gold::N,kulta,kuld
234,Silber::N,hopea,hõbe
235,Kohle::N,hiili,süsi
236,Glas::N,lasi,klaas
237,Lehm::N,savi,savi
238,Sand::N,hiekka,liiv
239,Mensch::N,ihminen,inimene
240,Mann::N,mies,mees
241,Frau::N,nainen,naine
242,Kind::N,lapsi,laps
243,Junge::N,poika,poiss
244,Mädchen::N,tyttö,tüdruk
245,Familie::N,perhe,perekond
246,Großvater::N,isoisä,vanaisa
247,Großmutter::N,isoäiti,vanaema
248,Eltern::N,vanhemmat,vanemad
249,Vater::N,isä,isa
250,Mutter::N,äiti,ema
251,Sohn::N,poika,poeg
252,Tochter::N,tytär,tütar
253,Bruder::N,veli,vend
254,Schwester::N,sisko,õde
255,Onkel::N,eno,onu
256,Onkel::N,setä,onu
257,Tante::N,täti,tädi
258,Ehemann::N,mies,mees
259,Ehemann::N,mies,abikaasa
260,Ehemann::N,aviomies,mees
261,Ehemann::N,aviomies,abikaasa
262,Ehefrau::N,vaimo,naine
263,Ehefrau::N,vaimo,abikaasa
264,Ehefrau::N,aviovaimo,naine
265,Ehefrau::N,aviovaimo,abikaasa
266,Freude::N,ilo,rõõm
267,Freude::N,riemu,rõõm
268,Gelächter::N,nauru,naer
269,Glück::N,onni,õnn
270,Kummer::N,suru,mure
271,Kummer::N,suru,kurbus
272,Kummer::N,murhe,mure
273,Kummer::N,murhe,kurbus
274,Wunsch::N,toive,soov
275,Wunsch::N,toivomus,soov
276,Lust::N,himo,himu
277,Geist::N,henki,vaim
278,Gedanke::N,aate,mõte
279,Gedanke::N,ajatus,mõte
280,Gedächtnis::N,muisti,mälu
281,Verstand::N,äly,aru
282,Verstand::N,äly,mõistus
283,Verstand::N,järki,aru
284,Verstand::N,järki,mõistus
285,Verstand::N,ymmärrys,aru
286,Verstand::N,ymmärrys,mõistus
287,Sinn::N,merkitys,tähendus
288,Grund::N,syy,põhjus
289,Grund::N,peruste,põhjus
