,Concept_ID,fi,is
0,Auge::N,silmä,auga
1,Ohr::N,korva,eyra
2,Nase::N,nenä,nef
3,Mund::N,suu,munnur
4,Zahn::N,hammas,tönn
5,Zunge::N,kieli,tunga
6,Lippe::N,huuli,vör
7,Wange::N,poski,kinn
8,Wange::N,poski,vangi
9,Gesicht::N,naama,andlit
10,Gesicht::N,kasvot,andlit
11,Stirn::N,otsa,enni
12,Haar::N,hius,hár
13,Haar::N,tukka,hár
14,Schnurrbart::N,viikset,yfirskegg
15,Bart::N,parta,skegg
16,Kinn::N,leuka,haka
17,Kiefer[Anatomie]::N,leukaluu,kjálki
18,Kiefer[Anatomie]::N,leukaluu,skoltur
19,Kehle::N,kurkku,kverk
20,Hals::N,kaula,háls
21,Genick::N,niska,hnakki
22,Kopf::N,pää,höfuð
23,Rücken::N,selkä,hryggur
24,Bauch::N,maha,kviður
25,Bauch::N,vatsa,kviður
26,Nabel::N,napa,nafli
27,Busen::N,rinta,barmur
28,Brust::N,rinta,brjóst
29,Schulter::N,olka,öxl
30,Schulter::N,hartia,öxl
31,Schulter::N,olkapää,öxl
32,Arm::N,käsivarsi,armur
33,Ellenbogen::N,kyynärpää,olnbogi
34,Hand::N,käsi,hönd
35,Handfläche::N,kämmen,lófi
36,Finger::N,sormi,fingur
37,Fingernagel::N,kynsi,fingurnögl
38,Nagel[Anatomie]::N,kynsi,nögl
39,Zeh::N,varvas,tá
40,Fuß::N,jalka,fótur
41,Ferse::N,kantapää,hæll
42,Knie::N,polvi,kné
43,Oberschenkel::N,reisi,læri
44,Bein::N,jalka,fótleggur
45,Körper::N,keho,búkur
46,Körper::N,keho,líkami
47,Körper::N,ruumis,búkur
48,Körper::N,ruumis,líkami
49,Haut::N,iho,húð
50,Haut::N,iho,skinn
51,Blut::N,veri,blóð
52,Ader::N,suoni,æð
53,Sehne::N,jänne,sin
54,Knochen::N,luu,bein
55,Gehirn::N,aivot,heili
56,Herz::N,sydän,hjarta
57,Magen::N,maha,magi
58,Magen::N,vatsa,magi
59,Leber::N,maksa,lifur
60,Atem::N,henki,andi
61,Atem::N,henki,andardráttur
62,Atem::N,hengitys,andi
63,Atem::N,hengitys,andardráttur
64,Hunger::N,nälkä,hungur
65,Träne::N,kyynel,tár
66,Geschmack::N,maku,smekkur
67,Geruch::N,haju,lykt
68,Schlaf::N,uni,svefn
69,Traum::N,uni,draumur
70,Himmel::N,taivas,himinn
71,Sonne::N,aurinko,sól
72,Mond::N,kuu,tungl
73,Stern::N,tähti,stjarna
74,Luft::N,ilma,loft
75,Wind::N,tuuli,vindur
76,Welle::N,aalto,alda
77,Welle::N,aalto,bylgja
78,Wasser::N,vesi,vatn
79,Stein::N,kivi,steinn
80,Boden::N,maa,botn
81,Boden::N,maaperä,botn
82,Erde::N,maa,jörð
83,Staub::N,pöly,ryk
84,Staub::N,pöly,duft
85,Rauch::N,savu,reykur
86,Funke::N,kipinä,neisti
87,Feuer::N,tuli,eldur
88,Licht::N,valo,ljós
89,Schatten::N,varjo,skuggi
90,Wetter::N,sää,veður
91,Nebel::N,sumu,þoka
92,Wolke::N,pilvi,ský
93,Regen::N,sade,regn
94,Schnee::N,lumi,snjór
95,Eis::N,jää,ís
96,Frost::N,halla,frost
97,Frost::N,pakkanen,frost
98,Kälte::N,vilu,kuldi
99,Kälte::N,kylmyys,kuldi
100,Hitze::N,helle,hiti
101,Hitze::N,kuumuus,hiti
102,Raureif::N,huurre,hrím
103,Regenbogen::N,sateenkaari,regnbogi
104,Donner::N,jyrinä,þruma
105,Strömung::N,virtaus,straumur
106,Tropfen::N,tippa,dropi
107,Tropfen::N,pisara,dropi
108,Schaum::N,vaahto,froða
109,Schmutz::N,loka,óhreinindi
110,See::N,järvi,stöðuvatn
111,Sumpf::N,suo,fen
112,Moor::N,räme,mýri
113,Wiese::N,niitty,engi
114,Wald::N,metsä,skógur
115,Hügel::N,mäki,hæð
116,Hügel::N,mäki,hóll
117,Hügel::N,kumpu,hæð
118,Hügel::N,kumpu,hóll
119,Hügel::N,kukkula,hæð
120,Hügel::N,kukkula,hóll
121,Anhöhe::N,mäki,hæð
122,Anhöhe::N,mäki,hóll
123,Anhöhe::N,kumpare,hæð
124,Anhöhe::N,kumpare,hóll
125,Berg::N,mäki,fell
126,Berg::N,mäki,fjall
127,Berg::N,vuori,fell
128,Berg::N,vuori,fjall
129,Gipfel::N,laki,tindur
130,Gipfel::N,huippu,tindur
131,Höhle::N,luola,hellir
132,Abhang::N,rinne,hlíð
133,Abhang::N,rinne,brekka
134,Quelle::N,lähde,lind
135,Quelle::N,lähde,uppspretta
136,Bach::N,puro,lækur
137,Fluss::N,joki,á
138,Fluss::N,joki,fljót
139,Ufer::N,ranta,árbakki
140,Ufer::N,ranta,sjávarbakki
141,Küste::N,rannikko,strönd
142,Festland::N,manner,meginland
143,Meer::N,meri,haf
144,Meer::N,meri,sjór
145,Bucht::N,lahti,vík
146,Insel::N,saari,eyja
147,Blume::N,kukka,blóm
148,Gras::N,ruoho,gras
149,Wurzel::N,juuri,rót
150,Baum::N,puu,tré
151,Stamm::N,runko,stofn
152,Rinde::N,kuori,börkur
153,Rinde::N,parkki,börkur
154,Ast::N,oksa,grein
155,Zweig::N,haara,angi
156,Zweig::N,haara,kvistur
157,Blatt::N,lehti,blað
158,Birke::N,koivu,birki
159,Kiefer[Baum]::N,mänty,fura
160,Kiefer[Baum]::N,petäjä,fura
161,Weide[Baum]::N,paju,víðir
162,Tanne::N,kuusi,greni
163,Horn::N,sarvi,horn
164,Feder::N,sulka,fjöður
165,Feder::N,höyhen,fjöður
166,Fell::N,talja,skinn
167,Flügel::N,siipi,vængur
168,Klaue::N,kynsi,kló
169,Kralle::N,kynsi,kló
170,Schwanz::N,häntä,rófa
171,Schwanz::N,häntä,skott
172,Schwanz::N,pyrstö,rófa
173,Schwanz::N,pyrstö,skott
174,Ei::N,muna,egg
175,Nest::N,pesä,hreiður
176,Bau::N,pesä,greni
177,Bau::N,pesä,bæli
178,Tier::N,eläin,dýr
179,Herde::N,lauma,hjörð
180,Kuh::N,lehmä,kýr
181,Bulle::N,sonni,boli
182,Pferd::N,hevonen,hestur
183,Schaf::N,lammas,kind
184,Schwein::N,sika,svín
185,Hund::N,koira,hundur
186,Katze::N,kissa,köttur
187,Bär::N,karhu,björn
188,Eichhörnchen::N,orava,íkorni
189,Elch::N,hirvi,elgur
190,Fuchs::N,kettu,refur
191,Hase::N,jänis,héri
192,Maus::N,hiiri,mús
193,Wolf::N,susi,úlfur
194,Vogel::N,lintu,fugl
195,Schwarm::N,parvi,sægur
196,Huhn::N,kana,hæna
197,Hahn::N,kukko,hani
198,Gans::N,hanhi,gæs
199,Adler::N,kotka,örn
200,Ente::N,ankka,önd
201,Eule::N,pöllö,uggla
202,Kranich::N,kurki,trana
203,Krähe::N,varis,kráka
204,Kuckuck::N,käki,gaukur
205,Schwan::N,joutsen,svanur
206,Fisch::N,kala,fiskur
207,Barsch::N,ahven,aborri
208,Hecht::N,hauki,gedda
209,Schlange[Tier]::N,käärme,naðra
210,Wurm::N,mato,ormur
211,Spinne::N,hämähäkki,kónguló
212,Ameise::N,muurahainen,maur
213,Laus::N,täi,lús
214,Mücke::N,sääski,mý
215,Mücke::N,sääski,mýfluga
216,Mücke::N,hyttynen,mý
217,Mücke::N,hyttynen,mýfluga
218,Fliege::N,kärpänen,fluga
219,Schmetterling::N,perhonen,fiðrildi
220,Beere::N,marja,ber
221,Apfel::N,omena,epli
222,Pilz::N,sieni,sveppur
223,Zwiebel::N,sipuli,laukur
224,Saat::N,siemenet,fræ
225,Saat::N,siemenet,útsæði
226,Korn::N,jyvä,korn
227,Korn::N,vilja,korn
228,Heu::N,heinä,hey
229,Schale::N,kuori,hýði
230,Grube::N,kuoppa,gryfja
231,Falle::N,loukku,gildra
232,Schlinge::N,ansa,snara
233,Spur::N,jälki,spor
234,Asche::N,tuhka,aska
235,Dreck::N,lika,óþverri
236,Eisen::N,rauta,járn
237,Gold::N,kulta,gull
238,Silber::N,hopea,silfur
239,Kohle::N,hiili,kol
240,Glas::N,lasi,gler
241,Lehm::N,savi,leir
242,Sand::N,hiekka,sandur
243,Mensch::N,ihminen,maður
244,Mensch::N,ihminen,manneskja
245,Mann::N,mies,maður
246,Mann::N,mies,karlmaður
247,Frau::N,nainen,kona
248,Kind::N,lapsi,barn
249,Kind::N,lapsi,krakki
250,Junge::N,poika,drengur
251,Mädchen::N,tyttö,stelpa
252,Familie::N,perhe,fjölskylda
253,Großvater::N,isoisä,afi
254,Großmutter::N,isoäiti,amma
255,Eltern::N,vanhemmat,foreldrar
256,Vater::N,isä,faðir
257,Mutter::N,äiti,móðir
258,Sohn::N,poika,sonur
259,Tochter::N,tytär,dóttir
260,Bruder::N,veli,bróðir
261,Schwester::N,sisko,systir
262,Onkel::N,eno,föðurbróðir
263,Onkel::N,setä,föðurbróðir
264,Tante::N,täti,frænka
265,Tante::N,täti,móðursystir
266,Ehemann::N,mies,eiginmaður
267,Ehemann::N,aviomies,eiginmaður
268,Ehefrau::N,vaimo,eiginkona
269,Ehefrau::N,aviovaimo,eiginkona
270,Freude::N,ilo,gleði
271,Freude::N,riemu,gleði
272,Gelächter::N,nauru,hlátur
273,Glück::N,onni,gæfa
274,Kummer::N,suru,sorg
275,Kummer::N,murhe,sorg
276,Wunsch::N,toive,ósk
277,Wunsch::N,toivomus,ósk
278,Lust::N,himo,fýsn
279,Lust::N,himo,löngun
280,Geist::N,henki,andi
281,Gedanke::N,aate,hugsun
282,Gedanke::N,ajatus,hugsun
283,Gedächtnis::N,muisti,minni
284,Verstand::N,äly,vit
285,Verstand::N,järki,vit
286,Verstand::N,ymmärrys,vit
287,Sinn::N,merkitys,merking
288,Grund::N,syy,ástæða
289,Grund::N,peruste,ástæða
290,Wahrheit::N,tosi,sannleikur
291,Wahrheit::N,totuus,sannleikur
292,Gespräch::N,puhelu,samtal
293,Gespräch::N,keskustelu,samtal
294,Märchen::N,satu,ævintýri
295,Erzählung::N,tarina,saga
296,Erzählung::N,kertomus,saga
297,Nachricht::N,tieto,frétt
298,Nachricht::N,ilmoitus,frétt
299,Neuigkeit::N,uutinen,frétt
300,Name::N,nimi,nafn
301,Rätsel::N,arvoitus,gáta
302,Rede::N,puhe,ræða
303,Sprache::N,kieli,mál
304,Sprache::N,kieli,tungumál
305,Stimme::N,ääni,rödd
306,Wort::N,sana,orð
307,Zeichen::N,merkki,tákn
308,Zeichen::N,merkki,merki
309,Ruf::N,kutsu,kall
310,Lärm::N,melu,hávaði
311,Lärm::N,hälinä,hávaði
312,Laut::N,ääni,hljóð
313,Ton::N,sävel,tónn
314,Lied::N,laulu,ljóð
315,Lied::N,laulu,söngur
316,Ruhe::N,lepo,ró
317,Ruhe::N,lepo,kyrrð
318,Ruhe::N,rauha,ró
319,Ruhe::N,rauha,kyrrð
320,Leute::N,väki,fólk
321,Leute::N,ihmiset,fólk
322,Volk::N,kansa,þjóð
323,Arbeit::N,työ,vinna
324,Gast::N,vieras,gestur
325,Geschenk::N,lahja,gjöf
326,Spiel::N,peli,leikur
327,Spiel::N,leikki,leikur
328,Gesellschaft::N,seura,selskapur
329,Hilfe::N,apu,hjálp
330,Freund::N,ystävä,vinur
331,Kamerad::N,toveri,félagi
332,Angelegenheit::N,asia,mál
333,Angelegenheit::N,asia,málefni
334,Anzahl::N,lukumäärä,tala
335,Anzahl::N,lukumäärä,fjöldi
336,Art::N,laji,tegund
337,Stück::N,pala,biti
338,Stück::N,pala,stykki
339,Stück::N,kappale,biti
340,Stück::N,kappale,stykki
341,Teil::N,osa,hluti
342,Teil::N,osa,partur
343,Hälfte::N,puoli,helmingur
344,Kreis::N,ympyrä,hringur
345,Kreuz::N,risti,kross
346,Kreuz::N,risti,krossmark
347,Linie::N,viiva,lína
348,Strich::N,piirto,strik
349,Abstand::N,väli,millibil
350,Abstand::N,väljyys,millibil
351,Entfernung::N,etäisyys,fjarlægð
352,Gegend::N,seutu,hérað
353,Platz::N,tila,pláss
354,Ort::N,kohta,staður
355,Ort::N,paikka,staður
356,Seite::N,sivu,hlið
357,Seite::N,kylki,hlið
358,Mitte::N,keskus,miðja
359,Mitte::N,puoliväli,miðja
360,Gegenstand::N,kalu,hlutur
361,Gegenstand::N,esine,hlutur
362,Sache::N,asia,mál
363,Rand::N,ääri,brún
364,Rand::N,syrjä,brún
365,Kante::N,särmä,rönd
366,Ecke::N,nurkka,horn
367,Spitze::N,terä,oddur
368,Spitze::N,kärki,oddur
369,Ende::N,pää,endi
370,Ende::N,perä,endi
371,Loch::N,kolo,gat
372,Loch::N,kolo,hola
373,Loch::N,reikä,gat
374,Loch::N,reikä,hola
375,Winkel::N,kulma,skot
376,Winkel::N,kulma,krókur
377,Muster::N,kuvio,munstur
378,Größe::N,koko,stærð
379,Größe::N,suuruus,stærð
380,Länge::N,pituus,lengd
381,Höhe::N,korkeus,hæð
382,Gewicht::N,paino,vigt
383,Gewicht::N,paino,þyngd
384,Menge::N,määrä,magn
385,Haufen::N,kasa,hrúga
386,Haufen::N,kasa,haugur
387,Reihe::N,rivi,röð
388,Boot::N,vene,bátur
389,Ruder::N,airo,ár
390,Schlitten::N,reki,sleði
391,Schlitten::N,kelkka,sleði
392,Ski::N,suksi,skíði
393,Lagerfeuer::N,nuotio,varðeldur
394,Last::N,kuorma,byrði
395,Last::N,kuorma,farmur
396,Gang::N,kulku,ganga
397,Gang::N,käynti,ganga
398,Schritt::N,askel,skref
399,Norden::N,pohjoinen,norður
400,Süden::N,etelä,suður
401,Westen::N,länsi,vestur
402,Osten::N,itä,austur
403,Holz::N,puu,viður
404,Brett::N,lauta,fjöl
405,Platte::N,levy,flötur
406,Stütze::N,noja,stoð
407,Stange::N,tanko,stöng
408,Stock::N,keppi,prik
409,Stock::N,keppi,stafur
410,Stab::N,sauva,prik
411,Stab::N,sauva,stafur
412,Stab::N,seiväs,prik
413,Stab::N,seiväs,stafur
414,Rohr::N,putki,rör
415,Rohr::N,putki,pípa
416,Haus::N,talo,hús
417,Heim::N,koti,heimili
418,Ofen::N,uuni,ofn
419,Fußboden::N,lattia,gólf
420,Tisch::N,pöytä,borð
421,Stuhl::N,tuoli,stóll
422,Wiege::N,kehto,vagga
423,Bett::N,sänky,rúm
424,Bett::N,sänky,hvíla
425,Regal::N,hylly,hilla
426,Kiste::N,arkku,kassi
427,Kiste::N,kirstu,kassi
428,Kiste::N,laatikko,kassi
429,Fenster::N,ikkuna,gluggi
430,Tür::N,ovi,dyr
431,Tür::N,ovi,hurð
432,Tor::N,portti,hlið
433,Zaun::N,aita,girðing
434,Zaun::N,aita,limgarður
435,Dach::N,katto,þak
436,Leiter::N,tikkaat,stigi
437,Leiter::N,tikapuut,stigi
438,Besen::N,luuta,sópur
439,Spaten::N,lapio,spaði
440,Schaufel::N,lapio,skófla
441,Gabel::N,haarukka,gaffall
442,Löffel::N,lusikka,skeið
443,Messer::N,veitsi,hnífur
444,Nagel::N,naula,nögl
445,Netz::N,verkko,net
446,Haken::N,haka,krókur
447,Haken::N,koukku,krókur
448,Griff::N,ripa,tak
449,Griff::N,kahva,tak
450,Schloss::N,lukko,lás
451,Bild::N,kuva,mynd
452,Figur::N,kuvio,stytta
453,Puppe::N,nukke,brúða
454,Beutel::N,pussi,poki
455,Beutel::N,pussi,baggi
456,Bündel::N,nippu,böggull
457,Bündel::N,kimppu,böggull
458,Tasche::N,laukku,veski
459,Eimer::N,sanko,fata
460,Eimer::N,ämpäri,fata
461,Deckel::N,kansi,lok
462,Geschirr::N,astia,leirtau
463,Sack::N,säkki,sekkur
464,Tasse::N,kuppi,bolli
465,Topf::N,pata,pottur
466,Kessel::N,kattila,ketill
467,Essen::N,syönti,matur
468,Nahrung::N,ruoka,fæða
469,Nahrung::N,ravinto,fæða
470,Speise::N,ruoka,réttur
471,Speise::N,ruoka,matarréttur
472,Fleisch::N,liha,kjöt
473,Getreide::N,vilja,korn
474,Brei::N,puuro,grautur
475,Brot::N,leipä,brauð
476,Scheibe::N,viipale,sneið
477,Fett::N,rasva,fita
478,Butter::N,voi,smjör
479,Öl::N,öljy,olía
480,Salz::N,suola,salt
481,Suppe::N,keitto,súpa
482,Honig::N,hunaja,hunang
483,Milch::N,maito,mjólk
484,Tee::N,tee,te
485,Leder::N,nahka,skinn
486,Wolle::N,villa,ull
487,Stoff::N,kangas,dúkur
488,Nadel::N,neula,nál
489,Faden::N,lanka,þráður
490,Knopf::N,nappi,tala
491,Knopf::N,nappi,hnappur
