,Concept_ID,fi,sv
0,Auge::N,silmä,öga
1,Ohr::N,korva,öra
2,Nase::N,nenä,näsa
3,Mund::N,suu,mun
4,Zahn::N,hammas,tand
5,Zunge::N,kieli,tunga
6,Lippe::N,huuli,läpp
7,Wange::N,poski,kind
8,Gesicht::N,naama,syn
9,Gesicht::N,naama,ansikte
10,Gesicht::N,kasvot,syn
11,Gesicht::N,kasvot,ansikte
12,Stirn::N,otsa,panna
13,Haar::N,hius,hår
14,Haar::N,tukka,hår
15,Schnurrbart::N,viikset,mustasch
16,Bart::N,parta,skägg
17,Kinn::N,leuka,haka
18,Kiefer[Anatomie]::N,leukaluu,käke
19,Kehle::N,kurkku,strupe
20,Hals::N,kaula,hals
21,Genick::N,niska,nacke
22,Kopf::N,pää,huvud
23,Rücken::N,selkä,rygg
24,Bauch::N,maha,buk
25,Bauch::N,maha,mage
26,Bauch::N,vatsa,buk
27,Bauch::N,vatsa,mage
28,Nabel::N,napa,navel
29,Busen::N,rinta,barm
30,Brust::N,rinta,bröst
31,Schulter::N,olka,skuldra
32,Schulter::N,hartia,skuldra
33,Schulter::N,olkapää,skuldra
34,Arm::N,käsivarsi,arm
35,Ellenbogen::N,kyynärpää,armbåge
36,Hand::N,käsi,hand
37,Handfläche::N,kämmen,handflata
38,Finger::N,sormi,finger
39,Fingernagel::N,kynsi,fingernagel
40,Nagel[Anatomie]::N,kynsi,nagel
41,Zeh::N,varvas,tå
42,Fuß::N,jalka,fot
43,Ferse::N,kantapää,häl
44,Knie::N,polvi,knä
45,Oberschenkel::N,reisi,lår
46,Bein::N,jalka,ben
47,Körper::N,keho,kropp
48,Körper::N,ruumis,kropp
49,Haut::N,iho,hud
50,Haut::N,iho,skinn
51,Blut::N,veri,blod
52,Ader::N,suoni,åder
53,Sehne::N,jänne,sena
54,Knochen::N,luu,ben
55,Gehirn::N,aivot,hjärna
56,Herz::N,sydän,hjärta
57,Magen::N,maha,mage
58,Magen::N,vatsa,mage
59,Leber::N,maksa,lever
60,Atem::N,henki,anda
61,Atem::N,henki,andedräkt
62,Atem::N,hengitys,anda
63,Atem::N,hengitys,andedräkt
64,Hunger::N,nälkä,svält
65,Hunger::N,nälkä,hunger
66,Träne::N,kyynel,tår
67,Geschmack::N,maku,smak
68,Geruch::N,haju,lukt
69,Schlaf::N,uni,sömn
70,Traum::N,uni,dröm
71,Himmel::N,taivas,himmel
72,Sonne::N,aurinko,sol
73,Mond::N,kuu,måne
74,Stern::N,tähti,stjärna
75,Luft::N,ilma,luft
76,Wind::N,tuuli,vind
77,Welle::N,aalto,våg
78,Welle::N,aalto,bölja
79,Wasser::N,vesi,vatten
80,Stein::N,kivi,sten
81,Boden::N,maa,mark
82,Boden::N,maaperä,mark
83,Erde::N,maa,jord
84,Staub::N,pöly,damm
85,Rauch::N,savu,rök
86,Funke::N,kipinä,gnista
87,Feuer::N,tuli,eld
88,Licht::N,valo,ljus
89,Schatten::N,varjo,skugga
90,Wetter::N,sää,väder
91,Nebel::N,sumu,dimma
92,Nebel::N,sumu,töcken
93,Wolke::N,pilvi,sky
94,Wolke::N,pilvi,moln
95,Regen::N,sade,regn
96,Schnee::N,lumi,snö
97,Eis::N,jää,is
98,Frost::N,halla,frost
99,Frost::N,pakkanen,frost
100,Kälte::N,vilu,köld
101,Kälte::N,kylmyys,köld
102,Hitze::N,helle,hetta
103,Hitze::N,kuumuus,hetta
104,Raureif::N,huurre,rimfrost
105,Regenbogen::N,sateenkaari,regnbåge
106,Donner::N,jyrinä,åska
107,Donner::N,jyrinä,dunder
108,Strömung::N,virtaus,strömning
109,Tropfen::N,tippa,dropper
110,Tropfen::N,pisara,dropper
111,Schaum::N,vaahto,skum
112,Schmutz::N,loka,lort
113,Schmutz::N,loka,smuts
114,See::N,järvi,sjö
115,Sumpf::N,suo,träsk
116,Moor::N,räme,myr
117,Moor::N,räme,mosse
118,Wiese::N,niitty,äng
119,Wald::N,metsä,skog
120,Hügel::N,mäki,höjd
121,Hügel::N,mäki,kulle
122,Hügel::N,kumpu,höjd
123,Hügel::N,kumpu,kulle
124,Hügel::N,kukkula,höjd
125,Hügel::N,kukkula,kulle
126,Anhöhe::N,mäki,höjd
127,Anhöhe::N,mäki,backe
128,Anhöhe::N,kumpare,höjd
129,Anhöhe::N,kumpare,backe
130,Berg::N,mäki,berg
131,Berg::N,mäki,fjäll
132,Berg::N,vuori,berg
133,Berg::N,vuori,fjäll
134,Gipfel::N,laki,topp
135,Gipfel::N,huippu,topp
136,Höhle::N,luola,håla
137,Höhle::N,luola,grotta
138,Abhang::N,rinne,slänt
139,Abhang::N,rinne,sluttning
140,Quelle::N,lähde,källa
141,Bach::N,puro,bäck
142,Fluss::N,joki,älv
143,Fluss::N,joki,flod
144,Ufer::N,ranta,strand
145,Küste::N,rannikko,kust
146,Festland::N,manner,fastland
147,Meer::N,meri,hav
148,Bucht::N,lahti,vik
149,Bucht::N,lahti,bukt
150,Insel::N,saari,ö
151,Blume::N,kukka,blomma
152,Blume::N,kukka,blomster
153,Gras::N,ruoho,gräs
154,Wurzel::N,juuri,rot
155,Baum::N,puu,träd
156,Stamm::N,runko,stam
157,Rinde::N,kuori,bark
158,Rinde::N,parkki,bark
159,Ast::N,oksa,gren
160,Zweig::N,haara,kvist
161,Blatt::N,lehti,löv
162,Blatt::N,lehti,blad
163,Birke::N,koivu,björk
164,Kiefer[Baum]::N,mänty,tall
165,Kiefer[Baum]::N,petäjä,tall
166,Weide[Baum]::N,paju,pil
167,Weide[Baum]::N,paju,vide
168,Tanne::N,kuusi,gran
169,Horn::N,sarvi,horn
170,Feder::N,sulka,fjäder
171,Feder::N,höyhen,fjäder
172,Fell::N,talja,fäll
173,Fell::N,talja,skinn
174,Flügel::N,siipi,vinge
175,Klaue::N,kynsi,klöv
176,Kralle::N,kynsi,klo
177,Schwanz::N,häntä,svans
178,Schwanz::N,häntä,stjärt
