,Concept_ID,fi,udm
0,Auge::N,silmä,син
1,Ohr::N,korva,пель
2,Nase::N,nenä,ныр
3,Mund::N,suu,ым
4,Zahn::N,hammas,пинь
5,Zunge::N,kieli,кыл
6,Lippe::N,huuli,ымдур
7,Wange::N,poski,бам
8,Gesicht::N,naama,ымныр
9,Gesicht::N,kasvot,ымныр
10,Stirn::N,otsa,кымес
11,Haar::N,hius,йырси
12,Haar::N,tukka,йырси
13,Schnurrbart::N,viikset,мыйык
14,Bart::N,parta,туш
15,Kinn::N,leuka,ангес
16,Kiefer[Anatomie]::N,leukaluu,ан
17,Kiefer[Anatomie]::N,leukaluu,анлы
18,Kehle::N,kurkku,гульым
19,Hals::N,kaula,чырты
20,Genick::N,niska,йырбер
21,Kopf::N,pää,йыр
22,Rücken::N,selkä,мыш
23,Bauch::N,maha,кӧт
24,Bauch::N,vatsa,кӧт
25,Nabel::N,napa,гогы
26,Busen::N,rinta,ноны
27,Brust::N,rinta,мӧля
28,Schulter::N,olka,пельпум
29,Schulter::N,hartia,пельпум
30,Schulter::N,olkapää,пельпум
31,Arm::N,käsivarsi,суй
32,Ellenbogen::N,kyynärpää,гырпум
33,Hand::N,käsi,ки
34,Handfläche::N,kämmen,ки пыдэс
35,Handfläche::N,kämmen,кырым пыдэс
36,Finger::N,sormi,чиньы
37,Fingernagel::N,kynsi,гижы
38,Fingernagel::N,kynsi,гиждӥнь
39,Nagel[Anatomie]::N,kynsi,гижы
40,Zeh::N,varvas,пыдчиньы
41,Fuß::N,jalka,пыд
42,Ferse::N,kantapää,пыдбер
43,Knie::N,polvi,пыдес
44,Oberschenkel::N,reisi,макес
45,Bein::N,jalka,пыд
46,Körper::N,keho,мугор
47,Körper::N,keho,вылтыр
48,Körper::N,ruumis,мугор
49,Körper::N,ruumis,вылтыр
50,Haut::N,iho,ку
51,Blut::N,veri,вир
52,Ader::N,suoni,вирсэр
53,Sehne::N,jänne,вуж
54,Knochen::N,luu,лы
55,Gehirn::N,aivot,вим
56,Herz::N,sydän,сюлэм
57,Magen::N,maha,ӝуш
58,Magen::N,vatsa,ӝуш
59,Leber::N,maksa,мус
60,Atem::N,henki,лул
61,Atem::N,henki,шокан
62,Atem::N,hengitys,лул
63,Atem::N,hengitys,шокан
64,Hunger::N,nälkä,кӧтсюман
65,Träne::N,kyynel,синкыли
66,Geschmack::N,maku,шӧм
67,Geruch::N,haju,зын
68,Schlaf::N,uni,вӧт
69,Traum::N,uni,уйвӧт
