,Concept_ID,fr,xal
0,Auge::N,œil,нүдн
1,Ohr::N,oreille,чикн
2,Nase::N,nez,хамр
3,Mund::N,bouche,амн
4,Zahn::N,dent,шүдн
5,Zunge::N,langue,келн
6,Lippe::N,lèvre,урл
7,Wange::N,joue,халх
8,Gesicht::N,face,нүр
9,Gesicht::N,visage,нүр
10,Stirn::N,front,маңна
11,Haar::N,cheveu,үсн
12,Schnurrbart::N,moustache,сахл
13,Bart::N,barbe,сахл
14,Bart::N,barbe,өргнә сахл
15,Kinn::N,menton,өргн
16,Kiefer[Anatomie]::N,mâchoire,өргн
17,Kehle::N,gorge,хол
18,Hals::N,cou,күзүн
19,Genick::N,nuque,гиҗг
20,Kopf::N,tête,толһа
21,Rücken::N,dos,нурһн
22,Bauch::N,ventre,гесн
23,Nabel::N,nombril,киисн
24,Busen::N,sein,көкн
25,Brust::N,poitrine,чееҗ
26,Schulter::N,épaule,ээм
27,Arm::N,bras,һар
28,Ellenbogen::N,coude,тоха
29,Hand::N,main,баһлцг
30,Handfläche::N,paume,альхн
31,Finger::N,doigt,хурһн
32,Finger::N,doigt,һарин хурһн
33,Fingernagel::N,ongle,хумсн
34,Nagel[Anatomie]::N,ongle,хумсн
35,Zeh::N,orteil,хурһн
36,Zeh::N,orteil,көлин хурһн
37,Zeh::N,doigt de pied,хурһн
38,Zeh::N,doigt de pied,көлин хурһн
39,Fuß::N,pied,тавг
40,Ferse::N,talon,өскә
41,Knie::N,genou,өвдг
42,Oberschenkel::N,cuisse,һуй
43,Bein::N,jambe,көл
44,Körper::N,corps,махмуд
45,Haut::N,peau,арсн
46,Blut::N,sang,цусн
47,Ader::N,veine,судцн
48,Sehne::N,tendon,шүрүсн
49,Knochen::N,os,ясн
50,Gehirn::N,cerveau,экн
51,Herz::N,cœur,зүркн
52,Magen::N,estomac,гесн
53,Leber::N,foie,элкн
54,Atem::N,haleine,әмсхл
55,Hunger::N,faim,харһнлһн
56,Träne::N,larme,нульмсн
57,Geschmack::N,goût,амтн
58,Geschmack::N,saveur,амтн
59,Geruch::N,odeur,үнр
60,Schlaf::N,sommeil,нөр
61,Traum::N,songe,зүүдн
62,Himmel::N,ciel,теңгр
63,Sonne::N,soleil,нарн
64,Mond::N,lune,сар
65,Stern::N,étoile,одн
66,Luft::N,air,аһар
67,Wind::N,vent,салькн
68,Welle::N,vague,дольган
69,Wasser::N,eau,усн
70,Stein::N,pierre,чолун
71,Boden::N,sol,Һазр
72,Boden::N,terrain,Һазр
73,Erde::N,terre,Һазр
74,Staub::N,poussière,тоосн
75,Rauch::N,fumée,утан
76,Funke::N,étincelle,очн
77,Feuer::N,feu,һал
78,Licht::N,lumière,герл
79,Schatten::N,ombre,сүүдр
80,Wetter::N,temps,теңгр
81,Nebel::N,brume,будн
82,Nebel::N,brouillard,будн
83,Wolke::N,nuage,үүлн
84,Regen::N,pluie,хур
85,Schnee::N,neige,цасн
86,Eis::N,glace,мөсн
87,Frost::N,gel,киитн
88,Frost::N,gelée,киитн
89,Kälte::N,froid,киитн
90,Hitze::N,chaleur,халун
91,Raureif::N,givre,цаң
92,Raureif::N,givre,кирү
93,Regenbogen::N,arc-en-ciel,солңһ
94,Donner::N,tonnerre,оһтрһун дун
95,Strömung::N,courant,урсхл
96,Tropfen::N,goutte,дусал
97,Schaum::N,écume,көөсн
98,Schaum::N,mousse,көөсн
99,Schmutz::N,boue,кир
100,Schmutz::N,saleté,кир
101,See::N,lac,нур
102,Sumpf::N,marais,унул
103,Sumpf::N,marécage,унул
104,Moor::N,tourbière,улм
105,Wiese::N,pré,хадлһн
106,Wald::N,bois,ө-модн
107,Wald::N,forêt,ө-модн
108,Hügel::N,coteau,толһа
109,Hügel::N,colline,толһа
110,Anhöhe::N,éminence,хамр
111,Anhöhe::N,élévation,хамр
112,Berg::N,mont,уул
113,Berg::N,montagne,уул
114,Gipfel::N,cime,ора
115,Gipfel::N,sommet,ора
116,Höhle::N,caverne,хадин көндә
117,Abhang::N,pente,ташу
118,Abhang::N,versant,ташу
119,Quelle::N,source,булг
120,Quelle::N,fontaine,булг
121,Bach::N,ruisseau,һооҗур
122,Fluss::N,fleuve,һол
123,Fluss::N,rivière,һол
124,Ufer::N,bord,көвә
125,Ufer::N,rivage,көвә
126,Küste::N,côte,көвә
127,Küste::N,côte,теңгсин көвә
128,Festland::N,terre ferme,хүүрә һазр
129,Meer::N,mer,теңгс
130,Bucht::N,baie,цекә
131,Bucht::N,baie,теңгсин цекә
132,Insel::N,île,арл
133,Blume::N,fleur,цецг
134,Gras::N,herbe,ноһан
135,Wurzel::N,racine,уңг
136,Baum::N,arbre,модн
137,Stamm::N,tronc,шилв
138,Stamm::N,tronc,һол модн
139,Rinde::N,écorce,көрсн
