,Concept_ID,ga,ko
0,Auge::N,súil,눈
1,Ohr::N,cluas,귀
2,Nase::N,soc,코
3,Mund::N,béal,입
4,Zahn::N,fiacail,이
5,Zunge::N,teanga,혀
6,Lippe::N,liopa,입술
7,Wange::N,grua,뺨
8,Wange::N,leiceann,뺨
9,Gesicht::N,éadan,얼굴
10,Gesicht::N,aghaidh,얼굴
11,Stirn::N,baithis,이마
12,Stirn::N,clár éadain,이마
13,Haar::N,gruaig,털
14,Schnurrbart::N,croiméal,윗수몀
15,Schnurrbart::N,croiméal,코밑수염
16,Bart::N,féasóg,수엄
17,Kinn::N,smig,아래턱
18,Kiefer[Anatomie]::N,giall,턱
19,Kehle::N,scornach,인후
20,Hals::N,muinéal,목
21,Genick::N,baic,먹덜이
22,Kopf::N,ceann,머리
23,Rücken::N,droim,든
24,Bauch::N,bolg,배
25,Nabel::N,imleacán,배꼽
26,Busen::N,cíoch,가슴속
27,Brust::N,brollach,가슴
28,Schulter::N,gualainn,어깨
29,Arm::N,lámh,팔
30,Ellenbogen::N,uillinn,팔쿰치
31,Hand::N,lámh,손
32,Handfläche::N,bos,손바닥
33,Finger::N,méar,속가락
34,Fingernagel::N,ionga,손톱
35,Nagel[Anatomie]::N,ionga,손톱
36,Zeh::N,ladhar,발가락
37,Fuß::N,cos,발
38,Fuß::N,troigh,발
39,Ferse::N,sáil,발꿈치
40,Knie::N,glúin,무릎
41,Oberschenkel::N,ceathrú,허벅다리
42,Bein::N,cos,다리
43,Körper::N,corp,구간
44,Körper::N,colainn,구간
45,Haut::N,cneas,살갗
46,Haut::N,craiceann,살갗
47,Blut::N,fuil,피
48,Sehne::N,teannán,현
49,Sehne::N,féitheog,현
50,Knochen::N,cnámh,뼈
51,Gehirn::N,inchinn,뇌
52,Gehirn::N,inchinn,뇌수
53,Herz::N,croí,염통
54,Magen::N,bolg,위
55,Magen::N,goile,위
56,Leber::N,ae,간
57,Atem::N,anáil,기식
58,Hunger::N,ocras,공복
59,Träne::N,deoir,눈물
60,Geschmack::N,blas,기호
61,Geruch::N,boladh,냄새
62,Schlaf::N,suan,수면
63,Schlaf::N,codladh,수면
64,Traum::N,taibhreamh,쿰
65,Himmel::N,spéir,하늘
66,Sonne::N,grian,해
67,Mond::N,ré,달
68,Mond::N,gealach,달
69,Stern::N,rinn,별
70,Stern::N,réalta,별
71,Luft::N,aer,동준
72,Luft::N,aer,가스채
73,Wind::N,gaoth,바람
74,Welle::N,tonn,물결
75,Wasser::N,uisce,물
76,Stein::N,cloch,돌
77,Boden::N,talamh,바닥
78,Erde::N,cré,흙
79,Erde::N,ithir,흙
80,Staub::N,dusta,먼지
81,Staub::N,deannach,먼지
82,Rauch::N,toit,연기
83,Rauch::N,deatach,연기
84,Funke::N,drithle,불티
85,Feuer::N,tine,불
86,Licht::N,solas,불
87,Schatten::N,scáth,어스레함
88,Wetter::N,aimsir,기상
89,Nebel::N,ceo,안개
90,Wolke::N,néal,구름
91,Wolke::N,scamall,구름
92,Regen::N,báisteach,비
93,Regen::N,fearthainn,비
94,Schnee::N,sneachta,눈
95,Eis::N,oighear,얼음
96,Frost::N,sioc,혹한
97,Kälte::N,fuacht,추위
98,Kälte::N,fuacht,차가움
99,Hitze::N,teas,고온
100,Hitze::N,teas,더위
101,Hitze::N,teocht,고온
102,Hitze::N,teocht,더위
103,Raureif::N,sioc bán,
104,Regenbogen::N,stua ceatha,무지개
105,Regenbogen::N,bogha báistí,무지개
106,Donner::N,toirneach,뇌명
107,Strömung::N,sruth,유동
108,Tropfen::N,deoir,물방울
