,Concept_ID,ga,se
0,Auge::N,súil,tjelmie
1,Auge::N,súil,tjalmme
2,Auge::N,súil,čalbmi
3,Auge::N,súil,čalme
4,Auge::N,súil,čâ´lmm
5,Auge::N,súil,ча̄лльм
6,Ohr::N,cluas,bieljie
7,Ohr::N,cluas,biellje
8,Ohr::N,cluas,beallji
9,Ohr::N,cluas,pelji
10,Ohr::N,cluas,pe´llj
11,Ohr::N,cluas,пе̄лльй
12,Nase::N,soc,njuenie
13,Nase::N,soc,njunnje
14,Nase::N,soc,njunni
15,Nase::N,soc,njuṇe
16,Nase::N,soc,njuu´nn
17,Nase::N,soc,нюннҍ
18,Mund::N,béal,njaelmie
19,Mund::N,béal,njálmme
20,Mund::N,béal,njálbmi
21,Mund::N,béal,njälmi
22,Mund::N,béal,njä´lmm
23,Mund::N,béal,ня̄лльм
24,Zahn::N,fiacail,baenie
25,Zahn::N,fiacail,bádne
26,Zahn::N,fiacail,bátni
27,Zahn::N,fiacail,pääṇi
28,Zahn::N,fiacail,pää´nn
29,Zahn::N,fiacail,па̄ннҍ
30,Zunge::N,teanga,njoektjeme
31,Zunge::N,teanga,njuovtjav
32,Zunge::N,teanga,njuovčča
33,Zunge::N,teanga,njuovčâ
34,Zunge::N,teanga,njuhččâm
35,Zunge::N,teanga,нюхчем
36,Lippe::N,liopa,bangseme
37,Lippe::N,liopa,njálmmerabdda
38,Lippe::N,liopa,bavssa
39,Lippe::N,liopa,poovsâ
40,Lippe::N,liopa,põõus
41,Lippe::N,liopa,пэ̄кс
42,Wange::N,grua,skiehrie
43,Wange::N,grua,nierra
44,Wange::N,grua,muohtu
45,Wange::N,grua,nieṛâ
46,Wange::N,grua,njiõrr
47,Wange::N,grua,нӣрр
48,Wange::N,leiceann,skiehrie
49,Wange::N,leiceann,nierra
50,Wange::N,leiceann,muohtu
51,Wange::N,leiceann,nieṛâ
52,Wange::N,leiceann,njiõrr
53,Wange::N,leiceann,нӣрр
54,Gesicht::N,éadan,ååredæjja
55,Gesicht::N,éadan,muohto
56,Gesicht::N,éadan,muođut
57,Gesicht::N,éadan,ámadadju
58,Gesicht::N,éadan,muáđuh
59,Gesicht::N,éadan,muâđ
60,Gesicht::N,éadan,ка̄ссв
61,Gesicht::N,aghaidh,ååredæjja
62,Gesicht::N,aghaidh,muohto
63,Gesicht::N,aghaidh,muođut
64,Gesicht::N,aghaidh,ámadadju
65,Gesicht::N,aghaidh,muáđuh
66,Gesicht::N,aghaidh,muâđ
67,Gesicht::N,aghaidh,ка̄ссв
68,Stirn::N,baithis,gaalloe
69,Stirn::N,baithis,gállo
70,Stirn::N,baithis,gállu
71,Stirn::N,baithis,kállu
72,Stirn::N,baithis,käll
73,Stirn::N,baithis,вуэххьц
74,Stirn::N,clár éadain,gaalloe
75,Stirn::N,clár éadain,gállo
76,Stirn::N,clár éadain,gállu
77,Stirn::N,clár éadain,kállu
78,Stirn::N,clár éadain,käll
79,Stirn::N,clár éadain,вуэххьц
80,Haar::N,gruaig,voepte
81,Haar::N,gruaig,vuoppta
82,Haar::N,gruaig,vuokta
83,Haar::N,gruaig,vuop'tâ
84,Haar::N,gruaig,vuõpt
85,Haar::N,gruaig,вӯппт
86,Schnurrbart::N,croiméal,bijjie-skaavtjoe
87,Schnurrbart::N,croiméal,njunjevuolskávttjá
88,Schnurrbart::N,croiméal,seamu
89,Schnurrbart::N,croiméal,siämu
90,Schnurrbart::N,croiméal,ää´bben
91,Schnurrbart::N,croiméal,о̄а̄бпан
92,Bart::N,féasóg,skaavtja
93,Bart::N,féasóg,skaavtjoe
94,Bart::N,féasóg,skávttjá
95,Bart::N,féasóg,seamu
96,Bart::N,féasóg,siämu
97,Bart::N,féasóg,seäm
98,Bart::N,féasóg,ся̄м
99,Kinn::N,smig,gaejpie
100,Kinn::N,smig,gájbbe
101,Kinn::N,smig,gáibi
102,Kinn::N,smig,käibi
103,Kinn::N,smig,käi´bb
104,Kinn::N,smig,ка̄ййп
105,Kiefer[Anatomie]::N,giall,gaejpie
106,Kiefer[Anatomie]::N,giall,oalol
107,Kiefer[Anatomie]::N,giall,oaloldákte
108,Kiefer[Anatomie]::N,giall,gáibi
109,Kiefer[Anatomie]::N,giall,uá'lultähti
110,Kiefer[Anatomie]::N,giall,vuâl'lõš
111,Kiefer[Anatomie]::N,giall,вуаллнешш
112,Kehle::N,scornach,gealoe
113,Kehle::N,scornach,tjåttå
114,Kehle::N,scornach,njiello
115,Kehle::N,scornach,čotta
116,Kehle::N,scornach,čuudâ
117,Kehle::N,scornach,čoodd
118,Kehle::N,scornach,чонт
119,Kehle::N,scornach,кэ̄ҏс
120,Hals::N,muinéal,tjeapohke
121,Hals::N,muinéal,tjiebet
122,Hals::N,muinéal,čeabet
123,Hals::N,muinéal,čiäppát
124,Hals::N,muinéal,čeäppat
125,Hals::N,muinéal,ча̄пэх
126,Genick::N,baic,tjovrese
127,Genick::N,baic,nisske
128,Genick::N,baic,niehkki
129,Genick::N,baic,niski
130,Genick::N,baic,niek'ki
131,Genick::N,baic,nji´šǩǩmaadd
132,Genick::N,baic,нышшькмоант
133,Kopf::N,ceann,åejjie
134,Kopf::N,ceann,oajvve
135,Kopf::N,ceann,oaivi
136,Kopf::N,ceann,uái'vi
137,Kopf::N,ceann,vuei´vv
138,Kopf::N,ceann,вуэййв
139,Rücken::N,droim,rudtje
140,Rücken::N,droim,hárddo
141,Rücken::N,droim,tjavelk
142,Rücken::N,droim,sealgi
143,Rücken::N,droim,selgi
144,Rücken::N,droim,čielgi
145,Rücken::N,droim,seä´lǧǧ
146,Rücken::N,droim,се̄лльк
147,Bauch::N,bolg,tjåejjie
148,Bauch::N,bolg,tjoajvve
149,Bauch::N,bolg,čoavji
150,Bauch::N,bolg,čuáv'ji
151,Bauch::N,bolg,čåu´jj
152,Bauch::N,bolg,чо̄ввьй
153,Nabel::N,imleacán,naepie
154,Nabel::N,imleacán,náhpe
155,Nabel::N,imleacán,náhpi
156,Nabel::N,imleacán,nääpi
157,Nabel::N,imleacán,nää´pp
158,Nabel::N,imleacán,на̄бпь
159,Busen::N,cíoch,boenge
160,Busen::N,cíoch,bållå
161,Busen::N,cíoch,čižži
162,Busen::N,cíoch,njamma
163,Busen::N,cíoch,njižže
164,Busen::N,cíoch,nje´ǯǯ
165,Busen::N,cíoch,раннҍт
166,Brust::N,brollach,mïelke
167,Brust::N,brollach,radde
168,Brust::N,brollach,mielgga
169,Brust::N,brollach,raddi
170,Brust::N,brollach,radde
171,Brust::N,brollach,râ´dd
172,Brust::N,brollach,раннҍт
173,Schulter::N,gualainn,åelkie
174,Schulter::N,gualainn,oalgge
175,Schulter::N,gualainn,hárdu
176,Schulter::N,gualainn,ärdee
177,Schulter::N,gualainn,uál'gi
178,Schulter::N,gualainn,a´rddi
