,Concept_ID,he,lv
0,Auge::N,עין,син
1,Auge::N,עין,acs
2,Ohr::N,אזן,пель
3,Ohr::N,אזן,auss
4,Nase::N,אף,ныр
5,Nase::N,אף,deguns
6,Nase::N,חטם,ныр
7,Nase::N,חטם,deguns
8,Mund::N,פה,вом
9,Mund::N,פה,mute
10,Zahn::N,שן,пинь
11,Zahn::N,שן,zobs
12,Zunge::N,לשון,кыв
13,Zunge::N,לשון,mēle
14,Lippe::N,שפה,вом дор
15,Lippe::N,שפה,lūpa
16,Wange::N,לחי,бан
17,Wange::N,לחי,vaigs
18,Gesicht::N,פנים,чужӧм
19,Gesicht::N,פנים,seja
20,Gesicht::N,פנים,ģīmis
21,Stirn::N,מצח,плеш
22,Stirn::N,מצח,кымӧс
23,Stirn::N,מצח,piere
24,Haar::N,שערה,си
25,Haar::N,שערה,юрси
26,Haar::N,שערה,mats
27,Schnurrbart::N,שפם,ус
28,Schnurrbart::N,שפם,пыртсим
29,Schnurrbart::N,שפם,ūsas
30,Bart::N,זקן,тош
31,Bart::N,זקן,bārda
32,Kinn::N,סנטר,тшӧка
33,Kinn::N,סנטר,zods
34,Kinn::N,סנטר,smakrs
35,Kiefer[Anatomie]::N,לסת,черлы
36,Kiefer[Anatomie]::N,לסת,алака лы
37,Kiefer[Anatomie]::N,לסת,вомкӧтш лы
38,Kiefer[Anatomie]::N,לסת,žoklis
39,Kehle::N,גרון,голя
40,Kehle::N,גרון,rīkle
41,Hals::N,צואר,сьылі
42,Hals::N,צואר,kakls
43,Genick::N,ערף,юрбӧр
44,Genick::N,ערף,балябӧж
45,Genick::N,ערף,sprands
46,Kopf::N,ראש,юр
47,Kopf::N,ראש,galva
48,Rücken::N,גב,мыш
49,Rücken::N,גב,mugura
50,Bauch::N,בטן,рушку
51,Bauch::N,בטן,vēders
52,Nabel::N,טבור,гӧг
53,Nabel::N,טבור,naba
54,Busen::N,שד,морӧс
55,Busen::N,שד,krūts
56,Brust::N,חזה,морӧс
57,Brust::N,חזה,krūts
58,Schulter::N,כתף,пельпом
59,Schulter::N,כתף,plecs
60,Arm::N,זרוע,ки
61,Arm::N,זרוע,roka
62,Arm::N,זרוע,delms
63,Ellenbogen::N,מרפק,гырддза
64,Ellenbogen::N,מרפק,elkonis
65,Hand::N,יד,ки
66,Hand::N,יד,roka
67,Hand::N,יד,plauksta
68,Handfläche::N,כף יד,ки пыдӧс
69,Handfläche::N,כף יד,delna
