,Concept_ID,hi,lv
0,Auge::N,आँख,син
1,Auge::N,आँख,acs
2,Auge::N,चक्षु,син
3,Auge::N,चक्षु,acs
4,Ohr::N,कान,пель
5,Ohr::N,कान,auss
6,Ohr::N,कर्ण,пель
7,Ohr::N,कर्ण,auss
8,Nase::N,नाक,ныр
9,Nase::N,नाक,deguns
10,Nase::N,नासा,ныр
11,Nase::N,नासा,deguns
12,Mund::N,मुख,вом
13,Mund::N,मुख,mute
14,Mund::N,मुँह,вом
15,Mund::N,मुँह,mute
16,Zahn::N,दंत,пинь
17,Zahn::N,दंत,zobs
18,Zahn::N,दाँत,пинь
19,Zahn::N,दाँत,zobs
20,Zunge::N,जीभ,кыв
21,Zunge::N,जीभ,mēle
22,Zunge::N,ज़बान,кыв
23,Zunge::N,ज़बान,mēle
24,Zunge::N,जिह्वा,кыв
25,Zunge::N,जिह्वा,mēle
26,Lippe::N,ओंठ,вом дор
27,Lippe::N,ओंठ,lūpa
28,Lippe::N,होंठ,вом дор
29,Lippe::N,होंठ,lūpa
30,Wange::N,गाल,бан
31,Wange::N,गाल,vaigs
32,Wange::N,कपोल,бан
33,Wange::N,कपोल,vaigs
34,Gesicht::N,मुँह,чужӧм
35,Gesicht::N,मुँह,seja
36,Gesicht::N,मुँह,ģīmis
37,Gesicht::N,चेहरा,чужӧм
38,Gesicht::N,चेहरा,seja
39,Gesicht::N,चेहरा,ģīmis
40,Stirn::N,माथा,плеш
41,Stirn::N,माथा,кымӧс
42,Stirn::N,माथा,piere
43,Stirn::N,मस्तक,плеш
44,Stirn::N,मस्तक,кымӧс
45,Stirn::N,मस्तक,piere
46,Haar::N,बाल,си
47,Haar::N,बाल,юрси
48,Haar::N,बाल,mats
49,Schnurrbart::N,मूँछें,ус
50,Schnurrbart::N,मूँछें,пыртсим
51,Schnurrbart::N,मूँछें,ūsas
52,Bart::N,दाढ़ी,тош
53,Bart::N,दाढ़ी,bārda
54,Kinn::N,चिबुक,тшӧка
55,Kinn::N,चिबुक,zods
56,Kinn::N,चिबुक,smakrs
57,Kiefer[Anatomie]::N,जबड़ा,черлы
58,Kiefer[Anatomie]::N,जबड़ा,алака лы
59,Kiefer[Anatomie]::N,जबड़ा,вомкӧтш лы
60,Kiefer[Anatomie]::N,जबड़ा,žoklis
61,Kehle::N,गला,голя
62,Kehle::N,गला,rīkle
63,Hals::N,गला,сьылі
64,Hals::N,गला,kakls
65,Hals::N,गरदन,сьылі
66,Hals::N,गरदन,kakls
67,Genick::N,गरदन,юрбӧр
68,Genick::N,गरदन,балябӧж
69,Genick::N,गरदन,sprands
70,Genick::N,ग्रीवा,юрбӧр
71,Genick::N,ग्रीवा,балябӧж
72,Genick::N,ग्रीवा,sprands
73,Kopf::N,सिर,юр
74,Kopf::N,सिर,galva
75,Kopf::N,शीर्ष,юр
76,Kopf::N,शीर्ष,galva
77,Rücken::N,पीठ,мыш
