,Concept_ID,hi,mdf
0,Auge::N,आँख,сельме
1,Auge::N,चक्षु,сельме
2,Ohr::N,कान,пиле
3,Ohr::N,कर्ण,пиле
4,Nase::N,नाक,шалхка
5,Nase::N,नासा,шалхка
6,Mund::N,मुख,курга
7,Mund::N,मुँह,курга
8,Zahn::N,दंत,пей
9,Zahn::N,दाँत,пей
10,Zunge::N,जीभ,кяль
11,Zunge::N,ज़बान,кяль
12,Zunge::N,जिह्वा,кяль
13,Lippe::N,ओंठ,търва́
14,Lippe::N,होंठ,търва́
15,Wange::N,गाल,щёка
16,Wange::N,कपोल,щёка
17,Gesicht::N,मुँह,шама
18,Gesicht::N,चेहरा,шама
19,Stirn::N,माथा,коня
20,Stirn::N,मस्तक,коня
21,Haar::N,बाल,шя́ярь
22,Schnurrbart::N,मूँछें,уса́
23,Bart::N,दाढ़ी,сакал
24,Kinn::N,चिबुक,ула
25,Kiefer[Anatomie]::N,जबड़ा,саласка
26,Kehle::N,गला,кълдома
27,Kehle::N,गला,кърга́парь
28,Hals::N,गला,сялдаз
29,Hals::N,गरदन,сялдаз
30,Genick::N,गरदन,шовонь
31,Genick::N,ग्रीवा,шовонь
32,Kopf::N,सिर,пря
33,Kopf::N,शीर्ष,пря
34,Rücken::N,पीठ,копорь
35,Bauch::N,उदर,пеке
36,Nabel::N,नाभि,по́кон
37,Nabel::N,ढोंढी,по́кон
38,Busen::N,कुच,потя
39,Busen::N,स्तन,потя
40,Brust::N,वक्ष,мяште
41,Schulter::N,कंधा,лафту
42,Schulter::N,स्कंध,лафту
43,Arm::N,बाँह,кядь
44,Arm::N,बाज़ू,кядь
45,Ellenbogen::N,कुहनी,кенерьба́карь
46,Hand::N,हाथ,кядь
47,Hand::N,हस्त,кядь
48,Handfläche::N,हथेली,кядьлапш
49,Finger::N,उँगली,сур
50,Finger::N,अँगुली,сур
51,Fingernagel::N,नख,кенже
52,Fingernagel::N,नाख़ून,кенже
53,Nagel[Anatomie]::N,नख,кенже
54,Nagel[Anatomie]::N,नाख़ून,кенже
55,Zeh::N,उँगली,пильгосу́р
56,Zeh::N,पाँव की उँगली,пильгосу́р
57,Fuß::N,चरण,пильге
58,Fuß::N,चरण,пильгелапа
59,Fuß::N,पाँव,пильге
60,Fuß::N,पाँव,пильгелапа
61,Ferse::N,एड़ी,кочкяря
62,Knie::N,जानु,эль
63,Knie::N,जानु,пълма́нжа
64,Knie::N,घुटना,эль
65,Knie::N,घुटना,пълма́нжа
66,Oberschenkel::N,उरु,пильгепукша
67,Bein::N,टाँग,пильге
68,Körper::N,तन,ро́нга
69,Körper::N,तन,по́нда
70,Körper::N,देह,ро́нга
71,Körper::N,देह,по́нда
72,Körper::N,शरीर,ро́нга
73,Körper::N,शरीर,по́нда
74,Haut::N,चर्म,киське
75,Haut::N,त्वचा,киське
76,Blut::N,लहू,вер
77,Blut::N,ख़ून,вер
78,Ader::N,रग,сан
79,Ader::N,रग,верза́н
80,Ader::N,शिरा,сан
81,Ader::N,शिरा,верза́н
