,Concept_ID,hy,bg
0,Auge::N,աչք,око
1,Ohr::N,ականջ,ухо
2,Nase::N,քիթ,нос
3,Mund::N,բերան,уста
4,Zahn::N,ատամ,зъб
5,Zunge::N,լեզու,език
6,Lippe::N,շրթունք,устна
7,Wange::N,այտ,буза
8,Wange::N,թուշ,буза
9,Gesicht::N,դեմք,лице
10,Gesicht::N,դեմք,образ
11,Stirn::N,ճակատ,чело
12,Haar::N,մազ,коса
13,Haar::N,մազ,косъм
14,Schnurrbart::N,բեղ,мустаци
15,Bart::N,մորուք,брада
16,Kinn::N,կզակ,брада
17,Kinn::N,կզակ,брадичка
18,Kiefer[Anatomie]::N,ծնոտ,челюст
19,Kehle::N,կոկորդ,гърло
20,Hals::N,վիզ,врат
21,Hals::N,պարանոց,врат
22,Genick::N,ծոծրակ,тил
23,Kopf::N,գլուխ,глава
24,Rücken::N,մեջք,гръб
25,Bauch::N,փոր,корем
26,Bauch::N,որովայն,корем
27,Nabel::N,պորտ,пъп
28,Busen::N,ծոց,бозка
29,Brust::N,կուրծք,гръд
30,Schulter::N,ուս,рамо
31,Schulter::N,ուս,плещи
32,Arm::N,թեւ,ръка
33,Arm::N,բազուկ,ръка
34,Ellenbogen::N,արմունկ,лакът
35,Hand::N,ձեռք,ръка
36,Hand::N,ձեռք,китка
37,Handfläche::N,ափ,длан
38,Finger::N,մատ,пръст
39,Fingernagel::N,եղունգ,нокът
40,Nagel[Anatomie]::N,եղունգ,нокът
41,Zeh::N,ոտքի մատ,пръст на крак
42,Fuß::N,ոտք,крак
43,Fuß::N,ոտք,нога
44,Ferse::N,գարշապար,пета
45,Knie::N,ծունկ,коляно
46,Oberschenkel::N,ազդր,бедро
47,Bein::N,ոտք,крак
48,Bein::N,ոտք,нога
49,Körper::N,մարմին,тяло
50,Haut::N,մաշկ,кожа
51,Blut::N,արյուն,кръв
52,Ader::N,երակ,вена
53,Ader::N,երակ,артерия
54,Sehne::N,ջիղ,жила
55,Sehne::N,ջիղ,сухожилие
56,Sehne::N,ձգտան,жила
57,Sehne::N,ձգտան,сухожилие
58,Knochen::N,ոսկոր,кост
59,Gehirn::N,խելք,мозък
60,Herz::N,սիրտ,сърце
61,Magen::N,ստամոքս,стомах
62,Leber::N,լյարդ,черен дроб
63,Atem::N,շունչ,дишане
64,Hunger::N,քաղց,глад
65,Träne::N,արտասուք,сълза
66,Geschmack::N,համ,вкус
67,Geschmack::N,բուրմունք,вкус
68,Geruch::N,հոտ,миризма
69,Geruch::N,բուրում,миризма
70,Schlaf::N,քուն,сън
71,Traum::N,երազ,сън
72,Himmel::N,երկինք,небе
73,Sonne::N,արեւ,слънце
74,Mond::N,լուսին,луна
75,Mond::N,լուսին,месец
76,Stern::N,աստղ,звезда
77,Luft::N,օդ,въздух
78,Wind::N,քամի,вятър
79,Welle::N,ալիք,вълна
80,Wasser::N,ջուր,вода
81,Stein::N,քար,камък
82,Boden::N,գետին,земя
83,Boden::N,գետին,почва
84,Erde::N,հող,земя
85,Erde::N,հող,почва
86,Staub::N,փոշի,прах
87,Rauch::N,ծուխ,дим
88,Rauch::N,ծուխ,пушек
89,Funke::N,կայծ,искра
90,Feuer::N,կրակ,огън
91,Feuer::N,հրդեհ,огън
92,Licht::N,լույս,светлина
93,Schatten::N,ստվեր,сянка
94,Wetter::N,եղանակ,време
95,Nebel::N,մեգ,мъгла
96,Nebel::N,մառախուղ,мъгла
97,Wolke::N,ամպ,облак
98,Regen::N,անձրև,дъжд
99,Schnee::N,ձյուն,сняг
100,Eis::N,սառույց,лед
101,Frost::N,սառնամանիք,мраз
102,Kälte::N,դող,студ
103,Hitze::N,շոգ,жега
104,Hitze::N,շոգ,горещина
105,Raureif::N,ցօղեղեամ,скреж
106,Raureif::N,ցօղեղեամ,слана
107,Regenbogen::N,ծիածան,дъга
108,Donner::N,որոտ,гръм
109,Strömung::N,հոսանք,течение
110,Tropfen::N,կաթիլ,капка
111,Schaum::N,փրփուր,пяна
112,Schmutz::N,կեղտ,кал
113,Schmutz::N,կեղտ,мръсотия
114,See::N,լիճ,езеро
115,Sumpf::N,ճահիճ,блато
116,Moor::N,ճահիճ,мочурище
117,Wiese::N,մարգագետին,ливада
118,Wald::N,անտառ,гора
119,Hügel::N,բլուր,рид
120,Hügel::N,բլուր,хълм
121,Anhöhe::N,բարձունք,могила
122,Anhöhe::N,բարձունք,възвишение
123,Berg::N,լեռ,планина
124,Gipfel::N,գագաթ,връх
125,Gipfel::N,կատար,връх
126,Höhle::N,քարայր,пещера
127,Abhang::N,լանջ,склон
128,Abhang::N,լանջ,стръмнина
129,Abhang::N,զառիվայր,склон
130,Abhang::N,զառիվայր,стръмнина
131,Quelle::N,աղբյուր,извор
132,Bach::N,վտակ,поток
133,Fluss::N,գետ,река
134,Ufer::N,ծովափ,бряг
135,Küste::N,ափ,бряг
136,Küste::N,ափ,крайбрежие
137,Küste::N,ծովափ,бряг
138,Küste::N,ծովափ,крайбрежие
139,Festland::N,ցամաք,суша
140,Meer::N,ծով,море
141,Bucht::N,հաչիւն,залив
142,Insel::N,վղզի,остров
143,Blume::N,ծաղիկ,цвете
144,Gras::N,խոտ,трева
145,Wurzel::N,արմատ,корен
146,Baum::N,ծառ,дърво
147,Stamm::N,իրան,стъбло
148,Rinde::N,կեղեւ,кора
149,Rinde::N,հաչոց,кора
150,Ast::N,ճյուղ,клон
151,Zweig::N,ճյուղ,клон
152,Blatt::N,տերեւ,лист
153,Birke::N,ցարասի,бреза
154,Kiefer[Baum]::N,սոճի,бор
155,Weide[Baum]::N,ուռենի,върба
156,Tanne::N,եղեւին,ела
157,Feder::N,փետուր,перо
158,Fell::N,մորթի,кожа
159,Flügel::N,թեւ,крило
160,Klaue::N,չանչ,нокът
161,Kralle::N,ճանկ,нокът
162,Schwanz::N,պոչ,опашка
163,Ei::N,ձու,яйце
164,Nest::N,բույն,гнездо
165,Bau::N,որջ,дупка
166,Bau::N,բայոց,дупка
167,Tier::N,կենդանի,животно
168,Herde::N,հոտ,стадо
169,Kuh::N,կով,крава
170,Bulle::N,ցուլ,бик
171,Pferd::N,ձի,кон
172,Schaf::N,ոչխար,овца
173,Schwein::N,խոզ,свиня
174,Hund::N,շուն,куче
175,Katze::N,կատու,котка
176,Bär::N,արջ,мечка
177,Eichhörnchen::N,սկյուռ,катерица
178,Elch::N,հիւսիսային եղջերու,лос
179,Fuchs::N,աղվես,лисица
180,Hase::N,նապաստակ,заек
181,Maus::N,մուկ,мишка
182,Wolf::N,գայլ,вълк
183,Vogel::N,թռչուն,птица
184,Schwarm::N,երամ,рой
185,Schwarm::N,երամ,рояк
186,Huhn::N,հավ,кокошка
187,Hahn::N,աքաղաղ,петел
188,Gans::N,սագ,гъска
189,Adler::N,արծիվ,орел
190,Ente::N,բադ,патица
191,Eule::N,բու,сова
192,Kranich::N,կռունկ,жерав
193,Krähe::N,ագռավ,врана
194,Kuckuck::N,կուկու,кукувица
195,Schwan::N,կարապ,лебед
196,Fisch::N,ձուկ,риба
197,Barsch::N,պերկես,костур
198,Hecht::N,գայլաձուկ,щука
199,Schlange[Tier]::N,օձ,змия
200,Wurm::N,որդ,червей
201,Wurm::N,ճիճու,червей
202,Spinne::N,սարդ,паяк
203,Ameise::N,միջյուն,мравка
204,Laus::N,ոջիլ,въшка
205,Mücke::N,մժղուկ,комар
206,Fliege::N,ճանճ,муха
207,Schmetterling::N,թիթեռ,пеперуда
208,Beere::N,հատապտուղ,плод
209,Apfel::N,խնձոր,ябълка
210,Pilz::N,սունկ,гъба
211,Zwiebel::N,սոխ,лук
212,Zwiebel::N,սոխ,кромид
213,Saat::N,սերմ,семе
214,Korn::N,հատիկ,зърно
215,Heu::N,խոտ,сено
216,Schale::N,կեղեւ,кора
217,Grube::N,փոս,яма
218,Grube::N,փոս,дупка
219,Falle::N,ծուղակ,примка
220,Schlinge::N,խեղդան,клуп
221,Spur::N,հետք,диря
222,Spur::N,հետք,следа
223,Asche::N,մոխիր,пепел
224,Dreck::N,աղտ,кал
225,Eisen::N,երկաթ,желязо
226,Gold::N,ոսկի,злато
227,Silber::N,արծաթ,сребро
228,Kohle::N,քարածուխ,въглища
229,Glas::N,ապակի,стъкло
230,Lehm::N,կավ,глина
231,Sand::N,ավազ,пясък
232,Mensch::N,մարդ,човек
233,Mann::N,մարդ,мъж
234,Mann::N,տղամարդ,мъж
235,Frau::N,կին,жена
236,Kind::N,զավակ,дете
237,Junge::N,տղա,момче
238,Mädchen::N,աղջիկ,момиче
239,Familie::N,ընտանիք,фамилия
240,Familie::N,ընտանիք,семейство
241,Großvater::N,պապ,дядо
242,Großmutter::N,տատ,баба
243,Eltern::N,ծնողներ,родители
244,Vater::N,հայր,баща
245,Mutter::N,մայր,майка
246,Sohn::N,որդի,син
247,Tochter::N,աղջիկ,дъщеря
248,Tochter::N,դուստր,дъщеря
249,Bruder::N,եղբայր,брат
250,Schwester::N,քույր,сестра
251,Onkel::N,քեռի,чичо
252,Onkel::N,քեռի,вуйчо
253,Onkel::N,հորեղբայր,чичо
254,Onkel::N,հորեղբայր,вуйчо
255,Tante::N,մորաքույր,леля
256,Ehemann::N,մարդ,съпруг
257,Ehemann::N,ամուսին,съпруг
258,Ehefrau::N,կին ամուսին,съпруга
259,Freude::N,ուրախություն,радост
260,Gelächter::N,ծիծաղ,смях
261,Glück::N,երջանկություն,щастие
262,Kummer::N,վիշտ,тъга
263,Wunsch::N,ցանկություն,желание
264,Lust::N,փափագ,желание
265,Lust::N,իղձ,желание
266,Geist::N,ոգի,дух
267,Gedanke::N,միտք,мисъл
268,Gedächtnis::N,հիշողություն,памет
269,Verstand::N,խելք,ум
270,Verstand::N,խելք,разум
271,Sinn::N,իմաստ,смисъл
272,Grund::N,պատճառ,причина
273,Wahrheit::N,ճշմարտություն,правда
274,Gespräch::N,զրույց,разговор
275,Märchen::N,պայիկի պատմություն,приказка
276,Erzählung::N,պատմվածք,разказ
277,Erzählung::N,պատմություն,разказ
278,Nachricht::N,հաղորդագրություն,вест
279,Nachricht::N,հաղորդագրություն,известие
280,Neuigkeit::N,լուր,новина
281,Neuigkeit::N,նորություն,новина
282,Name::N,անուն,име
283,Rätsel::N,բարդ խնդիր,гатанка
284,Rede::N,ճառ,реч
285,Rede::N,ճառ,слово
286,Rede::N,ելույթ,реч
287,Rede::N,ելույթ,слово
288,Sprache::N,լեզու,език
289,Stimme::N,ձայն,глас
290,Wort::N,բառ,дума
291,Zeichen::N,նշան,знак
292,Ruf::N,կոչ,зов
293,Ruf::N,կանչ,зов
294,Lärm::N,աղմուկ,шум
295,Lärm::N,աղմուկ,глъчка
296,Laut::N,հնչյուն,звук
297,Laut::N,ձայն,звук
298,Ton::N,տոն,тон
299,Lied::N,երգ,песен
300,Ruhe::N,անդորրություն,тишина
301,Ruhe::N,անդորրություն,спокойствие
302,Leute::N,մարդիկ,хора
303,Volk::N,ազգ,народ
304,Arbeit::N,գործ,труд
305,Arbeit::N,գործ,работа
306,Arbeit::N,աշխատանք,труд
307,Arbeit::N,աշխատանք,работа
308,Gast::N,հյուր,гост
309,Geschenk::N,նվեր,дар
310,Geschenk::N,նվեր,подарък
311,Spiel::N,խաղ,игра
312,Gesellschaft::N,ընկերություն,общество
313,Hilfe::N,օգնությթուն,помощ
314,Freund::N,ընկեր,приятел
315,Freund::N,բարեկամ,приятел
316,Kamerad::N,ուղեկից,другар
317,Angelegenheit::N,բան,работа
318,Angelegenheit::N,գործ,работа
319,Anzahl::N,քանակ,брой
320,Anzahl::N,քանակ,количество
321,Anzahl::N,գումար,брой
322,Anzahl::N,գումար,количество
323,Art::N,տեսակ,вид
324,Stück::N,կտոր,къс
325,Stück::N,կտոր,парче
326,Teil::N,մաս,дял
327,Teil::N,մաս,част
328,Hälfte::N,կես,половина
329,Kreis::N,շիջանակ,кръг
330,Kreuz::N,խաչ,кръст
331,Linie::N,գիծ,черта
