,Concept_ID,hy,se
0,Auge::N,աչք,tjelmie
1,Auge::N,աչք,tjalmme
2,Auge::N,աչք,čalbmi
3,Auge::N,աչք,čalme
4,Auge::N,աչք,čâ´lmm
5,Auge::N,աչք,ча̄лльм
6,Ohr::N,ականջ,bieljie
7,Ohr::N,ականջ,biellje
8,Ohr::N,ականջ,beallji
9,Ohr::N,ականջ,pelji
10,Ohr::N,ականջ,pe´llj
11,Ohr::N,ականջ,пе̄лльй
12,Nase::N,քիթ,njuenie
13,Nase::N,քիթ,njunnje
14,Nase::N,քիթ,njunni
15,Nase::N,քիթ,njuṇe
16,Nase::N,քիթ,njuu´nn
17,Nase::N,քիթ,нюннҍ
18,Mund::N,բերան,njaelmie
19,Mund::N,բերան,njálmme
20,Mund::N,բերան,njálbmi
21,Mund::N,բերան,njälmi
22,Mund::N,բերան,njä´lmm
23,Mund::N,բերան,ня̄лльм
24,Zahn::N,ատամ,baenie
25,Zahn::N,ատամ,bádne
26,Zahn::N,ատամ,bátni
27,Zahn::N,ատամ,pääṇi
28,Zahn::N,ատամ,pää´nn
29,Zahn::N,ատամ,па̄ннҍ
30,Zunge::N,լեզու,njoektjeme
31,Zunge::N,լեզու,njuovtjav
32,Zunge::N,լեզու,njuovčča
33,Zunge::N,լեզու,njuovčâ
34,Zunge::N,լեզու,njuhččâm
35,Zunge::N,լեզու,нюхчем
36,Lippe::N,շրթունք,bangseme
37,Lippe::N,շրթունք,njálmmerabdda
38,Lippe::N,շրթունք,bavssa
39,Lippe::N,շրթունք,poovsâ
40,Lippe::N,շրթունք,põõus
41,Lippe::N,շրթունք,пэ̄кс
42,Wange::N,այտ,skiehrie
43,Wange::N,այտ,nierra
44,Wange::N,այտ,muohtu
45,Wange::N,այտ,nieṛâ
46,Wange::N,այտ,njiõrr
47,Wange::N,այտ,нӣрр
48,Wange::N,թուշ,skiehrie
49,Wange::N,թուշ,nierra
50,Wange::N,թուշ,muohtu
51,Wange::N,թուշ,nieṛâ
52,Wange::N,թուշ,njiõrr
53,Wange::N,թուշ,нӣрр
54,Gesicht::N,դեմք,ååredæjja
55,Gesicht::N,դեմք,muohto
56,Gesicht::N,դեմք,muođut
57,Gesicht::N,դեմք,ámadadju
58,Gesicht::N,դեմք,muáđuh
59,Gesicht::N,դեմք,muâđ
60,Gesicht::N,դեմք,ка̄ссв
61,Stirn::N,ճակատ,gaalloe
62,Stirn::N,ճակատ,gállo
63,Stirn::N,ճակատ,gállu
64,Stirn::N,ճակատ,kállu
65,Stirn::N,ճակատ,käll
66,Stirn::N,ճակատ,вуэххьц
67,Haar::N,մազ,voepte
68,Haar::N,մազ,vuoppta
69,Haar::N,մազ,vuokta
70,Haar::N,մազ,vuop'tâ
71,Haar::N,մազ,vuõpt
72,Haar::N,մազ,вӯппт
73,Schnurrbart::N,բեղ,bijjie-skaavtjoe
74,Schnurrbart::N,բեղ,njunjevuolskávttjá
75,Schnurrbart::N,բեղ,seamu
76,Schnurrbart::N,բեղ,siämu
77,Schnurrbart::N,բեղ,ää´bben
78,Schnurrbart::N,բեղ,о̄а̄бпан
79,Bart::N,մորուք,skaavtja
80,Bart::N,մորուք,skaavtjoe
81,Bart::N,մորուք,skávttjá
82,Bart::N,մորուք,seamu
83,Bart::N,մորուք,siämu
84,Bart::N,մորուք,seäm
85,Bart::N,մորուք,ся̄м
