,Concept_ID,is,ro
0,Auge::N,auga,ochi
1,Ohr::N,eyra,ureche
2,Nase::N,nef,nas
3,Mund::N,munnur,gură
4,Zahn::N,tönn,dinte
5,Zunge::N,tunga,limbă
6,Lippe::N,vör,buză
7,Wange::N,kinn,bucă
8,Wange::N,kinn,obraz
9,Wange::N,vangi,bucă
10,Wange::N,vangi,obraz
11,Gesicht::N,andlit,față
12,Gesicht::N,andlit,figură
13,Stirn::N,enni,frunte
14,Haar::N,hár,păr
15,Schnurrbart::N,yfirskegg,mustață
16,Bart::N,skegg,barbă
17,Kinn::N,haka,bărbie
18,Kiefer[Anatomie]::N,kjálki,falcă
19,Kiefer[Anatomie]::N,skoltur,falcă
20,Kehle::N,kverk,beregată
21,Hals::N,háls,gât
22,Genick::N,hnakki,ceafă
23,Kopf::N,höfuð,cap
24,Rücken::N,hryggur,dos
25,Rücken::N,hryggur,spate
26,Rücken::N,hryggur,spinare
27,Bauch::N,kviður,burtă
28,Bauch::N,kviður,pântece
29,Nabel::N,nafli,buric
30,Busen::N,barmur,sân
31,Brust::N,brjóst,piept
32,Schulter::N,öxl,umăr
33,Schulter::N,öxl,spate
34,Arm::N,armur,braț
35,Ellenbogen::N,olnbogi,cot
36,Hand::N,hönd,mână
37,Handfläche::N,lófi,palmă
38,Finger::N,fingur,deget
39,Fingernagel::N,fingurnögl,unghie
40,Nagel[Anatomie]::N,nögl,unghie
41,Zeh::N,tá,deget de la picior
42,Fuß::N,fótur,picior
43,Ferse::N,hæll,călcâi
44,Knie::N,kné,genunchi
45,Oberschenkel::N,læri,coapsă
46,Bein::N,fótleggur,picior
47,Körper::N,búkur,corp
48,Körper::N,líkami,corp
49,Haut::N,húð,piele
50,Haut::N,skinn,piele
51,Blut::N,blóð,sânge
52,Ader::N,æð,vână
53,Ader::N,æð,arteră
54,Sehne::N,sin,tendon
55,Knochen::N,bein,os
56,Gehirn::N,heili,creier
57,Herz::N,hjarta,inimă
58,Magen::N,magi,stomac
59,Leber::N,lifur,ficat
60,Atem::N,andi,răsuflare
61,Atem::N,andi,respirație
62,Atem::N,andardráttur,răsuflare
63,Atem::N,andardráttur,respirație
64,Hunger::N,hungur,foame
65,Träne::N,tár,lacrimă
66,Geschmack::N,smekkur,gust
67,Geruch::N,lykt,miros
68,Schlaf::N,svefn,somn
69,Traum::N,draumur,vis
70,Himmel::N,himinn,cer
71,Sonne::N,sól,soare
72,Mond::N,tungl,lună
73,Stern::N,stjarna,stea
74,Luft::N,loft,aer
75,Wind::N,vindur,vânt
76,Welle::N,alda,val
77,Welle::N,alda,undă
78,Welle::N,bylgja,val
79,Welle::N,bylgja,undă
80,Wasser::N,vatn,apă
81,Stein::N,steinn,piatră
82,Boden::N,botn,sol
83,Boden::N,botn,pământ
84,Erde::N,jörð,pământ
85,Staub::N,ryk,praf
86,Staub::N,duft,praf
87,Rauch::N,reykur,fum
88,Funke::N,neisti,scânteie
89,Feuer::N,eldur,foc
90,Licht::N,ljós,lumină
91,Schatten::N,skuggi,umbră
92,Wetter::N,veður,timp
93,Wetter::N,veður,vreme
94,Nebel::N,þoka,ceață
95,Nebel::N,þoka,negură
96,Wolke::N,ský,nor
97,Regen::N,regn,ploaie
98,Schnee::N,snjór,zăpadă
99,Eis::N,ís,gheață
100,Frost::N,frost,ger
101,Kälte::N,kuldi,frig
102,Hitze::N,hiti,arșiță
103,Hitze::N,hiti,căldură
104,Raureif::N,hrím,chiciură
105,Regenbogen::N,regnbogi,curcubeu
106,Donner::N,þruma,tunet
107,Strömung::N,straumur,curent
108,Tropfen::N,dropi,picătură
109,Schaum::N,froða,spumă
110,Schmutz::N,óhreinindi,murdărie
111,See::N,stöðuvatn,lac
112,Sumpf::N,fen,mlaștină
113,Moor::N,mýri,bărăgan
114,Wiese::N,engi,fânaț
115,Wiese::N,engi,livadă
116,Wald::N,skógur,codru
117,Wald::N,skógur,pădure
118,Hügel::N,hæð,deal
119,Hügel::N,hæð,movilă
120,Hügel::N,hóll,deal
121,Hügel::N,hóll,movilă
122,Anhöhe::N,hæð,deal
123,Anhöhe::N,hæð,ridicătură
124,Anhöhe::N,hóll,deal
125,Anhöhe::N,hóll,ridicătură
126,Berg::N,fell,munte
127,Berg::N,fjall,munte
128,Gipfel::N,tindur,pisc
129,Höhle::N,hellir,peșteră
130,Abhang::N,hlíð,pantă
131,Abhang::N,hlíð,versant
132,Abhang::N,brekka,pantă
133,Abhang::N,brekka,versant
134,Quelle::N,lind,izvor
135,Quelle::N,uppspretta,izvor
136,Bach::N,lækur,gârlă
137,Fluss::N,á,râu
138,Fluss::N,á,fluviu
139,Fluss::N,fljót,râu
140,Fluss::N,fljót,fluviu
141,Ufer::N,árbakki,mal
142,Ufer::N,árbakki,țărm
143,Ufer::N,sjávarbakki,mal
144,Ufer::N,sjávarbakki,țărm
145,Küste::N,strönd,coastă
146,Festland::N,meginland,uscat
147,Meer::N,haf,mare
148,Meer::N,sjór,mare
149,Bucht::N,vík,golf
150,Insel::N,eyja,insulă
151,Blume::N,blóm,floare
152,Gras::N,gras,iarbă
153,Wurzel::N,rót,rădăcină
154,Baum::N,tré,copac
155,Baum::N,tré,arbore
156,Stamm::N,stofn,tulpină
157,Rinde::N,börkur,scoarță
158,Ast::N,grein,cracă
159,Ast::N,grein,creangă
160,Zweig::N,angi,ramură
161,Zweig::N,angi,creangă
162,Zweig::N,kvistur,ramură
163,Zweig::N,kvistur,creangă
164,Blatt::N,blað,frunză
165,Birke::N,birki,mesteacăn
166,Kiefer[Baum]::N,fura,pin
167,Weide[Baum]::N,víðir,salcie
168,Weide[Baum]::N,víðir,răchită
169,Tanne::N,greni,brad
170,Horn::N,horn,corn
171,Feder::N,fjöður,pană
172,Fell::N,skinn,piele
173,Flügel::N,vængur,aripă
174,Klaue::N,kló,gheară
175,Kralle::N,kló,labă
176,Kralle::N,kló,gheară
177,Schwanz::N,rófa,coadă
178,Schwanz::N,skott,coadă
179,Ei::N,egg,ou
180,Nest::N,hreiður,cuib
181,Bau::N,greni,bârlog
182,Bau::N,greni,vizuină
183,Bau::N,bæli,bârlog
184,Bau::N,bæli,vizuină
185,Tier::N,dýr,animal
186,Herde::N,hjörð,turmă
187,Herde::N,hjörð,cireadă
188,Kuh::N,kýr,vacă
189,Bulle::N,boli,taur
190,Pferd::N,hestur,cal
191,Schaf::N,kind,oaie
192,Schwein::N,svín,porc
193,Hund::N,hundur,câine
194,Katze::N,köttur,pisică
195,Bär::N,björn,urs
196,Eichhörnchen::N,íkorni,veveriță
197,Elch::N,elgur,elan
198,Fuchs::N,refur,vulpe
199,Hase::N,héri,iepure
200,Maus::N,mús,șoarece
201,Wolf::N,úlfur,lup
202,Vogel::N,fugl,pasăre
203,Schwarm::N,sægur,cârd
204,Huhn::N,hæna,găină
205,Hahn::N,hani,cocoș
206,Gans::N,gæs,gâscă
207,Adler::N,örn,vultur
208,Ente::N,önd,rață
209,Eule::N,uggla,bufniță
210,Kranich::N,trana,cocor
211,Krähe::N,kráka,cioară
212,Kuckuck::N,gaukur,cuc
213,Schwan::N,svanur,lebădă
214,Fisch::N,fiskur,pește
215,Barsch::N,aborri,biban
216,Hecht::N,gedda,știucă
217,Schlange[Tier]::N,naðra,șarpe
218,Wurm::N,ormur,vierme
219,Spinne::N,kónguló,păianjen
220,Ameise::N,maur,furnică
221,Laus::N,lús,păduche
222,Mücke::N,mý,țânțar
223,Mücke::N,mýfluga,țânțar
224,Fliege::N,fluga,muscă
225,Schmetterling::N,fiðrildi,fluture
226,Beere::N,ber,boabă
227,Apfel::N,epli,măr
228,Pilz::N,sveppur,burete
229,Pilz::N,sveppur,ciupercă
230,Zwiebel::N,laukur,ceapă
231,Saat::N,fræ,semănătură
232,Saat::N,útsæði,semănătură
233,Korn::N,korn,grâu
234,Heu::N,hey,fân
235,Schale::N,hýði,coajă
236,Grube::N,gryfja,groapă
237,Falle::N,gildra,cursă
238,Falle::N,gildra,capcană
239,Schlinge::N,snara,laț
240,Spur::N,spor,dâră
241,Asche::N,aska,cenușă
242,Dreck::N,óþverri,noroi
243,Dreck::N,óþverri,murdărie
244,Eisen::N,járn,fier
245,Gold::N,gull,aur
246,Silber::N,silfur,argint
247,Kohle::N,kol,cărbune
248,Glas::N,gler,sticlă
249,Lehm::N,leir,lut
250,Lehm::N,leir,humă
251,Sand::N,sandur,nisip
252,Mensch::N,maður,om
253,Mensch::N,maður,persoană
254,Mensch::N,manneskja,om
255,Mensch::N,manneskja,persoană
256,Mann::N,maður,om
257,Mann::N,maður,bărbat
258,Mann::N,karlmaður,om
259,Mann::N,karlmaður,bărbat
260,Frau::N,kona,femeie
261,Kind::N,barn,copil
262,Kind::N,krakki,copil
263,Junge::N,drengur,băiat
264,Junge::N,drengur,flăcău
265,Mädchen::N,stelpa,fată
266,Familie::N,fjölskylda,familie
267,Großvater::N,afi,bunic
268,Großvater::N,afi,tată mare
269,Großmutter::N,amma,bunică
270,Großmutter::N,amma,mamă mare
271,Eltern::N,foreldrar,părinți
272,Vater::N,faðir,tată
273,Vater::N,faðir,părinte
274,Mutter::N,móðir,mamă
275,Sohn::N,sonur,fiu
276,Sohn::N,sonur,fecior
277,Tochter::N,dóttir,fiică
278,Bruder::N,bróðir,frate
279,Schwester::N,systir,soră
280,Onkel::N,föðurbróðir,unchi
281,Tante::N,frænka,mătușă
282,Tante::N,móðursystir,mătușă
283,Ehemann::N,eiginmaður,soț
284,Ehemann::N,eiginmaður,bărbat
285,Ehefrau::N,eiginkona,soție
286,Freude::N,gleði,bucurie
287,Gelächter::N,hlátur,râset
288,Glück::N,gæfa,fericire
289,Kummer::N,sorg,mâhnire
290,Wunsch::N,ósk,dorință
291,Wunsch::N,ósk,deziderat
292,Lust::N,fýsn,poftă
293,Lust::N,fýsn,înclinare
294,Lust::N,löngun,poftă
295,Lust::N,löngun,înclinare
296,Geist::N,andi,duh
297,Geist::N,andi,minte
298,Geist::N,andi,suflet
299,Gedanke::N,hugsun,gând
300,Gedanke::N,hugsun,cuget
301,Gedächtnis::N,minni,memorie
302,Verstand::N,vit,minte
303,Verstand::N,vit,intelect
