,Concept_ID,is,se
0,Auge::N,auga,tjelmie
1,Auge::N,auga,tjalmme
2,Auge::N,auga,čalbmi
3,Auge::N,auga,čalme
4,Auge::N,auga,čâ´lmm
5,Auge::N,auga,ча̄лльм
6,Ohr::N,eyra,bieljie
7,Ohr::N,eyra,biellje
8,Ohr::N,eyra,beallji
9,Ohr::N,eyra,pelji
10,Ohr::N,eyra,pe´llj
11,Ohr::N,eyra,пе̄лльй
12,Nase::N,nef,njuenie
13,Nase::N,nef,njunnje
14,Nase::N,nef,njunni
15,Nase::N,nef,njuṇe
16,Nase::N,nef,njuu´nn
17,Nase::N,nef,нюннҍ
18,Mund::N,munnur,njaelmie
19,Mund::N,munnur,njálmme
20,Mund::N,munnur,njálbmi
21,Mund::N,munnur,njälmi
22,Mund::N,munnur,njä´lmm
23,Mund::N,munnur,ня̄лльм
24,Zahn::N,tönn,baenie
25,Zahn::N,tönn,bádne
26,Zahn::N,tönn,bátni
27,Zahn::N,tönn,pääṇi
28,Zahn::N,tönn,pää´nn
29,Zahn::N,tönn,па̄ннҍ
30,Zunge::N,tunga,njoektjeme
31,Zunge::N,tunga,njuovtjav
32,Zunge::N,tunga,njuovčča
33,Zunge::N,tunga,njuovčâ
34,Zunge::N,tunga,njuhččâm
35,Zunge::N,tunga,нюхчем
36,Lippe::N,vör,bangseme
37,Lippe::N,vör,njálmmerabdda
38,Lippe::N,vör,bavssa
39,Lippe::N,vör,poovsâ
40,Lippe::N,vör,põõus
41,Lippe::N,vör,пэ̄кс
42,Wange::N,kinn,skiehrie
43,Wange::N,kinn,nierra
44,Wange::N,kinn,muohtu
45,Wange::N,kinn,nieṛâ
46,Wange::N,kinn,njiõrr
47,Wange::N,kinn,нӣрр
48,Wange::N,vangi,skiehrie
49,Wange::N,vangi,nierra
50,Wange::N,vangi,muohtu
51,Wange::N,vangi,nieṛâ
52,Wange::N,vangi,njiõrr
53,Wange::N,vangi,нӣрр
54,Gesicht::N,andlit,ååredæjja
55,Gesicht::N,andlit,muohto
56,Gesicht::N,andlit,muođut
57,Gesicht::N,andlit,ámadadju
58,Gesicht::N,andlit,muáđuh
59,Gesicht::N,andlit,muâđ
60,Gesicht::N,andlit,ка̄ссв
61,Stirn::N,enni,gaalloe
62,Stirn::N,enni,gállo
63,Stirn::N,enni,gállu
64,Stirn::N,enni,kállu
65,Stirn::N,enni,käll
66,Stirn::N,enni,вуэххьц
67,Haar::N,hár,voepte
68,Haar::N,hár,vuoppta
69,Haar::N,hár,vuokta
70,Haar::N,hár,vuop'tâ
71,Haar::N,hár,vuõpt
72,Haar::N,hár,вӯппт
73,Schnurrbart::N,yfirskegg,bijjie-skaavtjoe
74,Schnurrbart::N,yfirskegg,njunjevuolskávttjá
75,Schnurrbart::N,yfirskegg,seamu
76,Schnurrbart::N,yfirskegg,siämu
77,Schnurrbart::N,yfirskegg,ää´bben
78,Schnurrbart::N,yfirskegg,о̄а̄бпан
79,Bart::N,skegg,skaavtja
80,Bart::N,skegg,skaavtjoe
81,Bart::N,skegg,skávttjá
82,Bart::N,skegg,seamu
83,Bart::N,skegg,siämu
84,Bart::N,skegg,seäm
85,Bart::N,skegg,ся̄м
86,Kinn::N,haka,gaejpie
87,Kinn::N,haka,gájbbe
88,Kinn::N,haka,gáibi
89,Kinn::N,haka,käibi
90,Kinn::N,haka,käi´bb
91,Kinn::N,haka,ка̄ййп
92,Kiefer[Anatomie]::N,kjálki,gaejpie
93,Kiefer[Anatomie]::N,kjálki,oalol
94,Kiefer[Anatomie]::N,kjálki,oaloldákte
95,Kiefer[Anatomie]::N,kjálki,gáibi
96,Kiefer[Anatomie]::N,kjálki,uá'lultähti
97,Kiefer[Anatomie]::N,kjálki,vuâl'lõš
98,Kiefer[Anatomie]::N,kjálki,вуаллнешш
99,Kiefer[Anatomie]::N,skoltur,gaejpie
100,Kiefer[Anatomie]::N,skoltur,oalol
101,Kiefer[Anatomie]::N,skoltur,oaloldákte
102,Kiefer[Anatomie]::N,skoltur,gáibi
103,Kiefer[Anatomie]::N,skoltur,uá'lultähti
104,Kiefer[Anatomie]::N,skoltur,vuâl'lõš
105,Kiefer[Anatomie]::N,skoltur,вуаллнешш
106,Kehle::N,kverk,gealoe
107,Kehle::N,kverk,tjåttå
108,Kehle::N,kverk,njiello
109,Kehle::N,kverk,čotta
110,Kehle::N,kverk,čuudâ
111,Kehle::N,kverk,čoodd
112,Kehle::N,kverk,чонт
113,Kehle::N,kverk,кэ̄ҏс
114,Hals::N,háls,tjeapohke
