,Concept_ID,ka,fa
0,Auge::N,თვალი,چشم
1,Ohr::N,ყური,گوش
2,Nase::N,ცხვირი,بینی
3,Mund::N,პირი,دهان
4,Zahn::N,კბილი,دندان
5,Zunge::N,ენა,زبان
6,Lippe::N,ბაგე,لب
7,Wange::N,ლოყა,لپ
8,Gesicht::N,სახე,رو
9,Gesicht::N,სახე,چهره
10,Stirn::N,შუბლი,پیشانی
11,Haar::N,თმა,مو
12,Schnurrbart::N,ულვაში,سبیل
13,Bart::N,წვერი,ریش
14,Kinn::N,ნიკაპი,چانه
15,Kiefer[Anatomie]::N,ყბა,فک
16,Kiefer[Anatomie]::N,ყბა,آرواره
17,Kehle::N,ყელი,حلق
18,Hals::N,ყელი,گردن
19,Hals::N,კისერი,گردن
20,Genick::N,კეფა,پشت گردن
21,Kopf::N,თავი,سر
22,Kopf::N,თავი,کله
23,Rücken::N,ზურგი,پشت
24,Bauch::N,მუცელი,شکم
25,Nabel::N,ჭიპი,ناف
26,Busen::N,ძუძუ,پستان
27,Brust::N,მკერდი,سینه
28,Schulter::N,მხარი,دوش
29,Schulter::N,მხარი,شانه
30,Schulter::N,მკლავი,دوش
31,Schulter::N,მკლავი,شانه
32,Arm::N,ხელი,بازو
33,Ellenbogen::N,იდაყვი,آرنج
34,Hand::N,ხელი,دست
35,Handfläche::N,ნები,کف دست
36,Handfläche::N,ხელისგული,کف دست
37,Finger::N,თითი,انگشت
38,Fingernagel::N,ფრჩხილი,ناخن دست
39,Nagel[Anatomie]::N,ფრჩხილი,ناخن
40,Zeh::N,ფეხის თითი,انگشت پا
41,Fuß::N,ტერფი,پا
42,Fuß::N,ფეხისგული,پا
43,Ferse::N,ქუსლი,پاشنه
44,Knie::N,მუხლი,زانو
45,Oberschenkel::N,ბარძაყი,ران
46,Bein::N,ფეხი,پا
47,Bein::N,ფეხი,لنگ
48,Körper::N,ტანი,تن
49,Körper::N,ტანი,بدن
50,Körper::N,სხეული,تن
51,Körper::N,სხეული,بدن
52,Haut::N,კანი,پوست
53,Blut::N,სისხლი,خون
54,Ader::N,ძარღვი,رگ
