,Concept_ID,ka,sq
0,Auge::N,თვალი,sy
1,Ohr::N,ყური,vesh
2,Nase::N,ცხვირი,hundë
3,Mund::N,პირი,gojë
4,Zahn::N,კბილი,dhëmb
5,Zunge::N,ენა,gjuhë
6,Lippe::N,ბაგე,buzë
7,Wange::N,ლოყა,faqe
8,Wange::N,ლოყა,mollëz
9,Gesicht::N,სახე,fytyrë
10,Stirn::N,შუბლი,ballë
11,Haar::N,თმა,flokë
12,Schnurrbart::N,ულვაში,mustaqe
13,Bart::N,წვერი,mjekër
14,Kinn::N,ნიკაპი,mjekër
15,Kiefer[Anatomie]::N,ყბა,nofull
16,Kehle::N,ყელი,fyt
17,Kehle::N,ყელი,grykë
18,Hals::N,ყელი,qafë
19,Hals::N,კისერი,qafë
20,Genick::N,კეფა,arrëz
21,Kopf::N,თავი,kokë
22,Rücken::N,ზურგი,kurriz
23,Bauch::N,მუცელი,bark
24,Nabel::N,ჭიპი,kërthizë
25,Busen::N,ძუძუ,gji
26,Brust::N,მკერდი,gjoks
27,Brust::N,მკერდი,kraharor
28,Schulter::N,მხარი,sup
29,Schulter::N,მხარი,krah
30,Schulter::N,მკლავი,sup
31,Schulter::N,მკლავი,krah
32,Arm::N,ხელი,krah
33,Ellenbogen::N,იდაყვი,bërryl
34,Hand::N,ხელი,dorë
35,Handfläche::N,ნები,pëllëmbë
36,Handfläche::N,ხელისგული,pëllëmbë
37,Finger::N,თითი,gisht
38,Fingernagel::N,ფრჩხილი,thua
39,Nagel[Anatomie]::N,ფრჩხილი,thua
40,Zeh::N,ფეხის თითი,gisht i këmbës
41,Fuß::N,ტერფი,këmbë
42,Fuß::N,ფეხისგული,këmbë
43,Ferse::N,ქუსლი,thembër
44,Knie::N,მუხლი,gju
45,Oberschenkel::N,ბარძაყი,kofshë
46,Bein::N,ფეხი,këmbë
47,Körper::N,ტანი,trup
48,Körper::N,სხეული,trup
49,Haut::N,კანი,lëkurë
50,Blut::N,სისხლი,gjak
51,Ader::N,ძარღვი,venë
52,Sehne::N,მყესი,dell
53,Knochen::N,ძვალი,asht
54,Knochen::N,ძვალი,kockë
55,Gehirn::N,ტვინი,tru
56,Herz::N,გული,zemër
57,Magen::N,კუჭი,stomak
58,Leber::N,ღვიძლი,mëlçi
59,Atem::N,სუნთქვა,frymë
60,Hunger::N,შიმშილი,uri
61,Träne::N,ცრემლი,lot
62,Geschmack::N,გემო,shije
63,Geruch::N,სუნი,erë
64,Schlaf::N,ძილი,gjumë
65,Traum::N,სიზმარი,ëndërr
66,Himmel::N,ცა,qiell
67,Sonne::N,მზე,diell
68,Mond::N,მთვარე,hënë
69,Stern::N,ვარსკვლავი,yll
70,Luft::N,ჰაერი,ajër
71,Wind::N,ქარი,erë
72,Welle::N,ტალღა,valë
73,Welle::N,ტალღა,dallgë
74,Wasser::N,წყალი,ujë
75,Stein::N,ქვა,gur
76,Boden::N,მიწა,tokë
77,Boden::N,მიწა,truall
78,Erde::N,ნიადაგი,dhe
79,Erde::N,ნიადაგი,baltë
80,Staub::N,მტვერი,pluhur
81,Rauch::N,ბოლი,tym
82,Rauch::N,კვამლი,tym
83,Funke::N,ნაკვესი,xixë
84,Funke::N,ნაკვესი,shkëndijë
85,Feuer::N,ცეცხლი,zjarr
86,Licht::N,შუქი,dritë
87,Licht::N,სინათლე,dritë
88,Schatten::N,ლანდი,hije
89,Schatten::N,ჩრდილი,hije
90,Wetter::N,ამინდი,mot
91,Nebel::N,ნისლი,mjegull
92,Wolke::N,ღრუბელი,re
93,Regen::N,წვიმა,shi
94,Schnee::N,თოვლი,borë
95,Eis::N,თოში,akull
96,Eis::N,ყინული,akull
97,Frost::N,ყინვა,ngricë
98,Kälte::N,სიცივე,të ftohtë
99,Hitze::N,სიცხე,vapë
100,Hitze::N,სიცხე,nxehtësi
101,Raureif::N,ჭირხლი,cikmë
102,Raureif::N,თრთვილი,cikmë
103,Regenbogen::N,ცისარტყელა,ylber
104,Donner::N,ქუხილი,gjëmim
105,Donner::N,ქუხილი,bubullimë
106,Strömung::N,დინება,rrymë
107,Tropfen::N,წვეთი,pikë
108,Schaum::N,ქაფი,shkumë
109,Schaum::N,დორბლი,shkumë
110,Schmutz::N,ჭუჭყი,baltë
111,Schmutz::N,ტალახი,baltë
112,See::N,ტბა,liqen
113,Sumpf::N,ჭაობი,batak
114,Moor::N,ტორფნარი,kënetë
115,Wiese::N,ველი,livadh
116,Wiese::N,მდელო,livadh
117,Wald::N,ტყე,pyll
118,Hügel::N,ბორცვი,kodër
119,Anhöhe::N,მაღლობი,bregore
120,Berg::N,მთა,mal
121,Gipfel::N,მწვერვალი,kulm
122,Höhle::N,მღვიმე,shpellë
123,Höhle::N,მღვიმე,zgafelle
124,Höhle::N,გამოქვებული,shpellë
125,Höhle::N,გამოქვებული,zgafelle
126,Abhang::N,ფერდობი,shpat
127,Abhang::N,ფერდობი,tatëpjetë
128,Quelle::N,წყარო,krua
129,Quelle::N,წყარო,burim
130,Quelle::N,სათავე,krua
131,Quelle::N,სათავე,burim
132,Bach::N,რუ,virua
133,Bach::N,ნაკადული,virua
134,Fluss::N,მდინარე,lumë
135,Ufer::N,კიდე,breg
136,Ufer::N,ნაპირი,breg
137,Küste::N,ნაპირი,anëdet
138,Küste::N,ნაპირი,bregdet
139,Festland::N,ხმელეთი,kontinent
140,Meer::N,ზღვა,det
141,Bucht::N,ყურე,gji deti
142,Insel::N,კუნძული,ishull
143,Insel::N,კუნძული,ujdhesë
144,Blume::N,ყვავილი,lule
145,Gras::N,ბალახი,bar
146,Wurzel::N,ძირი,rrënjë
147,Wurzel::N,ფესვი,rrënjë
148,Baum::N,ხე,pemë
149,Stamm::N,ტანი,trung
150,Rinde::N,ქერქი,lëvore
151,Ast::N,ტოტი,degë
152,Zweig::N,შტო,bisk
153,Blatt::N,ფოთოლი,fletë
154,Blatt::N,ფოთოლი,gjethe
155,Birke::N,არყი,mështekën
156,Kiefer[Baum]::N,ფიჭვი,pishë
157,Weide[Baum]::N,ტირიფი,shelg
158,Tanne::N,ნაძვი,bredh
159,Horn::N,რქა,bri
160,Feder::N,ფრთა,pupël
161,Fell::N,ტყავი,lëkurë
162,Flügel::N,ფრთა,krah
163,Flügel::N,ფრთა,fletë
164,Klaue::N,კლანჭი,kthetër
165,Kralle::N,ტორი,thua
166,Kralle::N,ტორი,kthetër
167,Schwanz::N,კუდი,bisht
168,Ei::N,კვერცხი,vezë
169,Nest::N,ბუდე,fole
170,Bau::N,სორო,strofkë
171,Tier::N,ნადირი,kafshë
172,Tier::N,ცხოველი,kafshë
173,Herde::N,ფარა,kope
174,Herde::N,ფარა,grigjë
175,Kuh::N,ფური,lopë
176,Kuh::N,ძროხა,lopë
177,Bulle::N,ხარი,dem
178,Pferd::N,რაში,kalë
179,Pferd::N,ცხენი,kalë
180,Schaf::N,ცხვარი,dele
181,Schwein::N,ღორი,derr
182,Hund::N,ძაღლი,qen
183,Katze::N,კატა,mace
184,Bär::N,დათვი,ari
185,Eichhörnchen::N,ციყვი,ketër
186,Elch::N,ცხენ-ირემი,dre brilopatë
187,Fuchs::N,მელა,dhelpër
188,Hase::N,კურდღელი,lepur
189,Maus::N,თაგვი,mi
190,Wolf::N,მგელი,ujk
191,Vogel::N,ჩიტი,zog
192,Vogel::N,ჩიტი,shpend
193,Vogel::N,ფრინველი,zog
194,Vogel::N,ფრინველი,shpend
195,Schwarm::N,გუნდი,luzmë
196,Huhn::N,დედალი,pulë
197,Hahn::N,მამალი,gjel
198,Hahn::N,მამალი,këndes
199,Gans::N,ბატი,patë
200,Adler::N,არწივი,shqiponjë
201,Ente::N,იხვი,rosë
202,Eule::N,ბუ,buf
203,Kranich::N,წერო,lejlek
204,Kranich::N,წერო,kurrillë
205,Krähe::N,ყვავი,sorrë
206,Kuckuck::N,გუგული,qyqe
207,Schwan::N,გედი,mjellmë
208,Fisch::N,თევზი,peshk
209,Barsch::N,ქორჭილა,purtekë
210,Hecht::N,ქარიყლაპია,mlysh
211,Schlange[Tier]::N,გველი,gjarpër
212,Wurm::N,ჭია,krimb
213,Spinne::N,ობობა,marimangë
214,Ameise::N,ჭიანჭველა,thnegël
215,Ameise::N,ჭიანჭველა,milingonë
216,Laus::N,ტილი,morr
217,Laus::N,მკბენარი,morr
218,Mücke::N,კოღო,kunup
219,Mücke::N,კოღო,mushkonjë
220,Fliege::N,ბუზი,mizë
221,Schmetterling::N,პეპელა,flutur
222,Beere::N,კენკრა,frutë
223,Beere::N,კენკრა,manaferrë
224,Apfel::N,ვაშლი,mollë
225,Pilz::N,სოკო,kërpudhë
226,Zwiebel::N,ხახვი,qepë
227,Saat::N,თესლი,farë
228,Korn::N,მარცვალი,grurë
229,Korn::N,მარცვალი,kokërr
230,Heu::N,თივა,sanë
231,Schale::N,ჩენჩო,lëkurë
232,Grube::N,ორმო,gropë
233,Falle::N,ხაფანგი,kurth
