,Concept_ID,kk,is
0,Auge::N,көз,auga
1,Ohr::N,құлақ,eyra
2,Nase::N,мұрын,nef
3,Mund::N,ауыз,munnur
4,Zahn::N,тіс,tönn
5,Zunge::N,тіл,tunga
6,Lippe::N,ерін,vör
7,Wange::N,ұрт,kinn
8,Wange::N,ұрт,vangi
9,Gesicht::N,бет-аузы,andlit
10,Stirn::N,маңдай,enni
11,Haar::N,қыл,hár
12,Schnurrbart::N,мұрт,yfirskegg
13,Bart::N,сақал,skegg
14,Kinn::N,иек,haka
15,Kiefer[Anatomie]::N,жақ,kjálki
16,Kiefer[Anatomie]::N,жақ,skoltur
17,Kehle::N,алқым,kverk
18,Hals::N,мойын,háls
19,Genick::N,желке,hnakki
20,Kopf::N,кәллә,höfuð
21,Rücken::N,арқа,hryggur
22,Bauch::N,қарын,kviður
23,Nabel::N,кіндік,nafli
24,Busen::N,омырау,barmur
25,Brust::N,кеуде,brjóst
26,Schulter::N,иық,öxl
27,Arm::N,қол,armur
28,Ellenbogen::N,шынтақ,olnbogi
29,Hand::N,қол,hönd
30,Handfläche::N,алақан,lófi
31,Finger::N,саусақ,fingur
32,Fingernagel::N,тырнақ,fingurnögl
33,Nagel[Anatomie]::N,тырнақ,nögl
34,Zeh::N,тырнақ,tá
35,Zeh::N,тұяқ,tá
36,Fuß::N,аяқ-басы,fótur
37,Ferse::N,өкше,hæll
38,Ferse::N,өкшелік,hæll
39,Knie::N,тізе,kné
40,Oberschenkel::N,жамбас,læri
41,Bein::N,аяқ,fótleggur
42,Körper::N,дене,búkur
43,Körper::N,дене,líkami
44,Haut::N,тері,húð
45,Haut::N,тері,skinn
46,Blut::N,қан,blóð
47,Ader::N,көктамыр,æð
48,Ader::N,күретамыр,æð
49,Sehne::N,сіңір,sin
50,Knochen::N,жілік,bein
51,Gehirn::N,ми,heili
52,Herz::N,жүрек,hjarta
53,Magen::N,асқазан,magi
54,Leber::N,бауыр,lifur
55,Atem::N,леп,andi
56,Atem::N,леп,andardráttur
57,Hunger::N,ашаршылық,hungur
58,Träne::N,жас,tár
59,Geschmack::N,дәм,smekkur
60,Geschmack::N,татым,smekkur
61,Geschmack::N,талғам,smekkur
62,Geruch::N,иіс,lykt
63,Schlaf::N,ұйқы,svefn
64,Schlaf::N,ұйықтау,svefn
65,Traum::N,түс,draumur
66,Himmel::N,аспан,himinn
67,Himmel::N,көқ,himinn
68,Himmel::N,таңдай,himinn
69,Sonne::N,күн,sól
70,Mond::N,ай,tungl
71,Stern::N,жұлдыз,stjarna
72,Luft::N,әуе,loft
73,Wind::N,жел,vindur
74,Welle::N,толқын,alda
75,Welle::N,толқын,bylgja
76,Wasser::N,су,vatn
77,Stein::N,тас,steinn
78,Boden::N,қыртыс,botn
79,Erde::N,топырақ,jörð
80,Staub::N,шаң,ryk
81,Staub::N,шаң,duft
82,Rauch::N,түтін,reykur
83,Funke::N,ұшқын,neisti
84,Feuer::N,алау,eldur
85,Licht::N,шұғыла,ljós
86,Schatten::N,көлеңке,skuggi
87,Wetter::N,ауа райы,veður
88,Nebel::N,тұман,þoka
89,Wolke::N,бұлт,ský
90,Regen::N,жаңбыр,regn
91,Schnee::N,қар,snjór
92,Eis::N,мұз,ís
93,Frost::N,суық,frost
94,Kälte::N,ызғар,kuldi
95,Kälte::N,суықтық,kuldi
96,Hitze::N,аптап,hiti
97,Raureif::N,қырау,hrím
98,Regenbogen::N,кемпірқосақ,regnbogi
99,Donner::N,күн күркіреу,þruma
100,Strömung::N,ағын,straumur
101,Tropfen::N,тамшы,dropi
102,Schaum::N,көбік,froða
103,Schmutz::N,кір,óhreinindi
104,See::N,көл,stöðuvatn
105,Sumpf::N,саз,fen
106,Moor::N,саз,mýri
107,Wiese::N,шалғын,engi
108,Wald::N,орман,skógur
109,Hügel::N,төбе,hæð
110,Hügel::N,төбе,hóll
111,Hügel::N,белес,hæð
112,Hügel::N,белес,hóll
113,Hügel::N,белес-белес,hæð
114,Hügel::N,белес-белес,hóll
115,Anhöhe::N,дөң,hæð
116,Anhöhe::N,дөң,hóll
117,Anhöhe::N,адыр,hæð
118,Anhöhe::N,адыр,hóll
119,Anhöhe::N,қырат,hæð
120,Anhöhe::N,қырат,hóll
121,Berg::N,тау,fell
122,Berg::N,тау,fjall
123,Gipfel::N,төбе,tindur
124,Höhle::N,үңгір,hellir
125,Abhang::N,бауыр,hlíð
126,Abhang::N,бауыр,brekka
127,Quelle::N,қайнар,lind
128,Quelle::N,қайнар,uppspretta
129,Bach::N,жылға,lækur
130,Fluss::N,өзен,á
131,Fluss::N,өзен,fljót
132,Ufer::N,жиек,árbakki
133,Ufer::N,жиек,sjávarbakki
134,Küste::N,жиегі,strönd
135,Küste::N,жағалау,strönd
136,Festland::N,құрылық,meginland
137,Meer::N,теңіз,haf
138,Meer::N,теңіз,sjór
139,Bucht::N,шығанақ,vík
140,Insel::N,арал,eyja
141,Blume::N,гүл,blóm
142,Gras::N,от,gras
143,Wurzel::N,түбір,rót
144,Baum::N,ағаш,tré
145,Baum::N,дарақ,tré
146,Stamm::N,сояу,stofn
147,Stamm::N,оқпан,stofn
148,Rinde::N,қабық,börkur
149,Ast::N,бұтақ,grein
150,Zweig::N,шыбық,angi
151,Zweig::N,шыбық,kvistur
152,Blatt::N,жапырақ,blað
153,Birke::N,қайың,birki
154,Kiefer[Baum]::N,қарағай,fura
155,Weide[Baum]::N,тал,víðir
156,Tanne::N,шырша,greni
157,Horn::N,мүйіз,horn
158,Feder::N,қаламұш,fjöður
159,Fell::N,тері,skinn
160,Flügel::N,қанат,vængur
161,Klaue::N,тырнақ,kló
162,Kralle::N,аяқ,kló
163,Schwanz::N,құйрық,rófa
164,Schwanz::N,құйрық,skott
165,Ei::N,жұмыртқа,egg
166,Nest::N,ұя,hreiður
167,Bau::N,жатақ,greni
168,Bau::N,жатақ,bæli
169,Tier::N,айуан,dýr
170,Tier::N,жануар,dýr
171,Herde::N,пада,hjörð
172,Kuh::N,сиыр,kýr
173,Bulle::N,өгіз,boli
174,Pferd::N,жылқы,hestur
175,Schaf::N,қой,kind
176,Schwein::N,шошқа,svín
177,Hund::N,ит,hundur
178,Katze::N,мысық,köttur
179,Bär::N,аю,björn
180,Eichhörnchen::N,тиін,íkorni
181,Elch::N,бұғы,elgur
182,Fuchs::N,түлкі,refur
183,Hase::N,қоян,héri
184,Maus::N,қаптесер,mús
185,Wolf::N,бөрі,úlfur
186,Wolf::N,қасқыр,úlfur
187,Vogel::N,құс,fugl
188,Schwarm::N,топ,sægur
189,Schwarm::N,үйір,sægur
190,Huhn::N,тауық,hæna
191,Huhn::N,мекиен,hæna
192,Hahn::N,әтеш,hani
193,Hahn::N,қораз,hani
194,Gans::N,қаз,gæs
195,Adler::N,бүркіт,örn
196,Ente::N,үйрек,önd
197,Eule::N,жапалақ,uggla
198,Kranich::N,тырна,trana
199,Krähe::N,қарға,kráka
200,Kuckuck::N,көкек,gaukur
201,Schwan::N,аққу,svanur
202,Fisch::N,балық,fiskur
203,Barsch::N,алабұға,aborri
204,Hecht::N,шортан,gedda
205,Schlange[Tier]::N,жылан,naðra
206,Wurm::N,шұбалшаң,ormur
207,Spinne::N,өрмекші,kónguló
208,Ameise::N,қүмырска,maur
209,Laus::N,бит,lús
210,Mücke::N,маса,mý
211,Mücke::N,маса,mýfluga
212,Fliege::N,шыбын,fluga
213,Schmetterling::N,көбелек,fiðrildi
214,Beere::N,жидек,ber
215,Apfel::N,алма,epli
216,Pilz::N,қозықұйрық,sveppur
217,Pilz::N,саңыраукулақ,sveppur
218,Zwiebel::N,жуа,laukur
219,Saat::N,тұқым,fræ
220,Saat::N,тұқым,útsæði
221,Korn::N,дән,korn
222,Heu::N,шөп,hey
223,Schale::N,қабық,hýði
224,Schale::N,қабығы,hýði
225,Grube::N,ор,gryfja
226,Falle::N,дұзақ,gildra
227,Falle::N,қақпан,gildra
228,Schlinge::N,ілмек,snara
229,Spur::N,із,spor
230,Asche::N,күл,aska
231,Dreck::N,былғаныш,óþverri
232,Eisen::N,темір,járn
233,Gold::N,алтын,gull
234,Silber::N,күміс,silfur
235,Kohle::N,көмір,kol
236,Glas::N,шыны,gler
237,Lehm::N,балшық,leir
238,Sand::N,құм,sandur
239,Mensch::N,адам,maður
240,Mensch::N,адам,manneskja
241,Mann::N,еркек,maður
242,Mann::N,еркек,karlmaður
243,Mann::N,ер адам,maður
244,Mann::N,ер адам,karlmaður
245,Frau::N,бике,kona
246,Frau::N,қатын,kona
247,Kind::N,бала,barn
248,Kind::N,бала,krakki
249,Kind::N,перзент,barn
250,Kind::N,перзент,krakki
251,Junge::N,бала,drengur
252,Junge::N,ер бала,drengur
253,Mädchen::N,қыз,stelpa
254,Familie::N,жанұя,fjölskylda
255,Großvater::N,ата,afi
256,Großmutter::N,әже,amma
257,Großmutter::N,әжей,amma
258,Eltern::N,ата-аналар,foreldrar
259,Vater::N,әке,faðir
260,Mutter::N,ана,móðir
261,Sohn::N,ұл,sonur
262,Tochter::N,қызым,dóttir
263,Bruder::N,бауырым,bróðir
264,Schwester::N,әпке,systir
265,Onkel::N,көке,föðurbróðir
266,Tante::N,тәте,frænka
267,Tante::N,тәте,móðursystir
268,Ehemann::N,ер,eiginmaður
269,Ehefrau::N,зайып,eiginkona
270,Freude::N,қуаныш,gleði
271,Freude::N,сүйініш,gleði
272,Freude::N,шат-думан,gleði
273,Freude::N,қуаныштылық,gleði
274,Gelächter::N,күлу,hlátur
275,Glück::N,бақыт,gæfa
276,Glück::N,бақыттылық,gæfa
277,Kummer::N,аза,sorg
278,Kummer::N,қайғы,sorg
279,Kummer::N,қасырет,sorg
280,Wunsch::N,мүдде,ósk
281,Lust::N,тәбет,fýsn
282,Lust::N,тәбет,löngun
283,Lust::N,ынтызар,fýsn
284,Lust::N,ынтызар,löngun
285,Lust::N,құштарлық,fýsn
286,Lust::N,құштарлық,löngun
287,Geist::N,рух,andi
288,Gedanke::N,ой,hugsun
289,Gedächtnis::N,ес,minni
290,Gedächtnis::N,жады,minni
291,Gedächtnis::N,ақыл-ес,minni
292,Verstand::N,ақыл,vit
293,Verstand::N,парасат,vit
294,Sinn::N,мән,merking
295,Sinn::N,маныз,merking
296,Sinn::N,мағына,merking
297,Sinn::N,мән-мағына,merking
298,Grund::N,себеп,ástæða
299,Wahrheit::N,рас,sannleikur
300,Gespräch::N,әңгіме,samtal
301,Märchen::N,ертеп,ævintýri
302,Märchen::N,ертек,ævintýri
303,Erzählung::N,әңгіме,saga
304,Nachricht::N,хабар,frétt
305,Neuigkeit::N,жаңалық,frétt
306,Name::N,ат,nafn
307,Name::N,атау,nafn
308,Rätsel::N,жұмбақ,gáta
309,Rede::N,сөз,ræða
310,Sprache::N,тіл,mál
311,Sprache::N,тіл,tungumál
312,Stimme::N,үн,rödd
313,Stimme::N,әуен,rödd
314,Stimme::N,дауыс,rödd
315,Wort::N,сөз,orð
316,Zeichen::N,ишара,tákn
317,Zeichen::N,ишара,merki
318,Ruf::N,айғай,kall
319,Lärm::N,айғай-шу,hávaði
320,Lärm::N,айғай-ұйғай,hávaði
321,Laut::N,дыбыс,hljóð
322,Laut::N,дауыс,hljóð
323,Ton::N,әуен,tónn
324,Lied::N,ән,ljóð
325,Lied::N,ән,söngur
326,Lied::N,жыр,ljóð
327,Lied::N,жыр,söngur
328,Lied::N,ән-жыр,ljóð
329,Lied::N,ән-жыр,söngur
330,Ruhe::N,тыныштық,ró
331,Ruhe::N,тыныштық,kyrrð
332,Leute::N,кісілер,fólk
333,Volk::N,халық,þjóð
334,Arbeit::N,еңбек,vinna
335,Gast::N,қонақ,gestur
336,Gast::N,мейман,gestur
337,Geschenk::N,қадия,gjöf
338,Spiel::N,ойын,leikur
339,Gesellschaft::N,қауым,selskapur
340,Gesellschaft::N,жұртшылық,selskapur
341,Hilfe::N,жэрдем,hjálp
342,Freund::N,дос,vinur
343,Kamerad::N,дос-жар,félagi
344,Angelegenheit::N,жұмыс,mál
345,Angelegenheit::N,жұмыс,málefni
346,Anzahl::N,сан,tala
347,Anzahl::N,сан,fjöldi
348,Anzahl::N,саны,tala
349,Anzahl::N,саны,fjöldi
350,Art::N,түр,tegund
351,Stück::N,тілім,biti
352,Stück::N,тілім,stykki
353,Teil::N,үлес,hluti
354,Teil::N,үлес,partur
355,Teil::N,бөлшек,hluti
356,Teil::N,бөлшек,partur
357,Hälfte::N,жарты,helmingur
358,Kreis::N,шеңбер,hringur
359,Kreuz::N,крест,kross
360,Kreuz::N,крест,krossmark
361,Linie::N,сызық,lína
362,Strich::N,сызық,strik
363,Abstand::N,ара,millibil
364,Abstand::N,аралық,millibil
365,Entfernung::N,аралық,fjarlægð
366,Gegend::N,өңір,hérað
367,Platz::N,орны,pláss
368,Ort::N,орын,staður
369,Seite::N,жақ,hlið
370,Seite::N,бүйір,hlið
371,Mitte::N,ортасы,miðja
372,Gegenstand::N,зат,hlutur
373,Gegenstand::N,нәрсе,hlutur
374,Sache::N,бұйым,mál
375,Rand::N,шет,brún
376,Rand::N,шеті,brún
377,Kante::N,қыр,rönd
378,Kante::N,қыры,rönd
379,Ecke::N,қыры,horn
380,Ecke::N,бұрыш,horn
381,Spitze::N,ұшы,oddur
382,Ende::N,аяқ,endi
383,Ende::N,соңы,endi
384,Loch::N,тесік,gat
385,Loch::N,тесік,hola
386,Winkel::N,мүйіс,skot
387,Winkel::N,мүйіс,krókur
388,Muster::N,мәнер,munstur
389,Größe::N,ауқым,stærð
390,Größe::N,көлемдік,stærð
391,Länge::N,бой,lengd
392,Länge::N,ұзындық,lengd
393,Höhe::N,жоғарылық,hæð
394,Höhe::N,биіктік,hæð
395,Gewicht::N,салмақ,vigt
396,Gewicht::N,салмақ,þyngd
397,Menge::N,мөлшер,magn
398,Haufen::N,үйме,hrúga
399,Haufen::N,үйме,haugur
400,Haufen::N,үйінді,hrúga
401,Haufen::N,үйінді,haugur
402,Reihe::N,сап,röð
403,Boot::N,қайық,bátur
404,Ruder::N,ескек,ár
405,Schlitten::N,шана,sleði
406,Ski::N,шаңғы,skíði
407,Lagerfeuer::N,алау,varðeldur
408,Last::N,ауырлық,byrði
409,Last::N,ауырлық,farmur
410,Last::N,ауыр зат,byrði
411,Last::N,ауыр зат,farmur
412,Gang::N,жүріс,ganga
413,Schritt::N,адым,skref
414,Norden::N,солтүстік,norður
415,Norden::N,терістік,norður
416,Süden::N,оңтүстік,suður
417,Westen::N,батыс,vestur
418,Osten::N,күншығыс,austur
419,Holz::N,ағаш,viður
420,Holz::N,сүрек,viður
421,Brett::N,тақта,fjöl
422,Platte::N,тақта,flötur
423,Stütze::N,тіреу,stoð
424,Stange::N,қада,stöng
425,Stock::N,сойыл,prik
426,Stock::N,сойыл,stafur
427,Stab::N,сырық,prik
428,Stab::N,сырық,stafur
429,Rohr::N,құбыр,rör
430,Rohr::N,құбыр,pípa
431,Haus::N,үй,hús
432,Heim::N,үйлі,heimili
433,Heim::N,шаңырақ,heimili
434,Ofen::N,ошақ,ofn
435,Ofen::N,пеш,ofn
436,Fußboden::N,еден,gólf
437,Tisch::N,үстел,borð
438,Stuhl::N,орындық,stóll
439,Wiege::N,бесік,vagga
440,Bett::N,кереует,rúm
441,Bett::N,кереует,hvíla
442,Regal::N,сөре,hilla
443,Kiste::N,жәшік,kassi
444,Fenster::N,терезе,gluggi
445,Tür::N,есік,dyr
446,Tür::N,есік,hurð
447,Tor::N,дарбаза,hlið
448,Zaun::N,дуал,girðing
449,Zaun::N,дуал,limgarður
450,Dach::N,шатыр,þak
451,Leiter::N,саты,stigi
452,Leiter::N,басқыш,stigi
453,Besen::N,сыпырғыш,sópur
454,Spaten::N,күрек,spaði
455,Schaufel::N,қалақ,skófla
456,Gabel::N,аша,gaffall
457,Gabel::N,шанышқы,gaffall
458,Löffel::N,қасық,skeið
459,Messer::N,пышақ,hnífur
460,Nagel::N,мық,nögl
461,Nagel::N,шеге,nögl
462,Netz::N,керегекөз,net
463,Haken::N,ілмек,krókur
464,Griff::N,сап,tak
465,Griff::N,тұтқа,tak
466,Schloss::N,құлып,lás
467,Schloss::N,бекіткіш,lás
468,Bild::N,сурет,mynd
469,Figur::N,тұлға,stytta
470,Puppe::N,қуыршақ,brúða
471,Beutel::N,қапшық,poki
472,Beutel::N,қапшық,baggi
473,Bündel::N,байлам,böggull
474,Tasche::N,дорба,veski
475,Eimer::N,шелек,fata
476,Deckel::N,жапқыш,lok
477,Geschirr::N,ыдыс,leirtau
478,Sack::N,қап,sekkur
479,Tasse::N,шыныаяқ,bolli
480,Topf::N,кәстрөл,pottur
481,Kessel::N,қазан,ketill
482,Essen::N,ас,matur
483,Nahrung::N,ас,fæða
484,Nahrung::N,тамақ,fæða
485,Speise::N,тағам,réttur
486,Speise::N,тағам,matarréttur
487,Fleisch::N,ет,kjöt
488,Getreide::N,дәнді,korn
489,Brei::N,ботқа,grautur
490,Brot::N,күлше,brauð
491,Scheibe::N,тілім,sneið
492,Fett::N,май,fita
493,Butter::N,май,smjör
494,Öl::N,май,olía
495,Salz::N,тұз,salt
496,Suppe::N,көже,súpa
497,Honig::N,бал,hunang
498,Milch::N,сүт,mjólk
499,Tee::N,шай,te
500,Leder::N,көн,skinn
501,Wolle::N,жүн,ull
502,Stoff::N,мата,dúkur
503,Stoff::N,кездеме,dúkur
504,Nadel::N,ине,nál
505,Faden::N,жіп,þráður
506,Knopf::N,түйме,tala
507,Knopf::N,түйме,hnappur
508,Knoten::N,түйін,hnútur
509,Farbe::N,рең,málning
510,Kleidung::N,киім,búningur
511,Kleidung::N,киім,klæðnaður
512,Hemd::N,жейде,skyrta
513,Kragen::N,жаға,kragi
514,Kragen::N,жаға,flibbi
515,Ärmel::N,жең,ermi
516,Hose::N,шалбар,buxur
517,Gürtel::N,белбеу,belti
518,Mütze::N,қалпақ,húfa
519,Schuh::N,кебіс,skór
520,Stiefel::N,етік,stígvél
521,Ring::N,жүзік,hringur
522,Band::N,таспа,band
523,Kamm::N,тарақ,greiða
524,Spiegel::N,айна,spegill
525,Riemen::N,қайыс,ól
526,Riemen::N,қайыс,reim
527,Schnur::N,жіп,snúra
528,Leine::N,тізгін,band
529,Decke::N,көрпе,teppi
530,Kissen::N,жастық,koddi
531,Tuch::N,орамал,klútur
532,Handtuch::N,сүлгі,þurrka
533,Handtuch::N,сүлгі,handklæði
534,Kraft::N,қуат,afl
535,Kraft::N,қуат,kraftur
536,Kraft::N,қарқын,afl
537,Kraft::N,қарқын,kraftur
538,Kraft::N,әл-шама,afl
539,Kraft::N,әл-шама,kraftur
540,Kraft::N,әл-дәрмен,afl
541,Kraft::N,әл-дәрмен,kraftur
542,Stärke::N,әл,styrkur
543,Stärke::N,күш,styrkur
544,Gesundheit::N,денсаулык,heilsa
545,Gesundheit::N,денсаулык,heilbrigði
546,Krankheit::N,ауру,sjúkdómur
547,Schmerz::N,ауру,sársauki
548,Wunde::N,зақым,sár
549,Wunde::N,жарақат,sár
550,Fieber::N,безгек,hitasótt
551,Fieber::N,қалтырау,hitasótt
552,Fieber::N,қызу көтерілуі,hitasótt
553,Arznei::N,дәрі,lyf
554,Arznei::N,дәрі-дәрмек,lyf
555,Brücke::N,көпір,brú
556,Brunnen::N,құдық,brunnur
557,Weide::N,өріс,hagi
558,Weide::N,жайылым,hagi
559,Pfad::N,жол,stígur
560,Weg::N,жол,vegur
561,Straße::N,жол,gata
562,Straße::N,жол,stræti
563,Dorf::N,ауыл,þorp
564,Stadt::N,қала,borg
565,Stadt::N,шаһар,borg
566,Brief::N,хат,bréf
567,Brief::N,жазу,bréf
568,Buch::N,кітап,bók
569,Buchstabe::N,әріп,bókstafur
570,Buchstabe::N,қаріп,bókstafur
571,Zeitung::N,газет,dagblað
572,Leben::N,өмір,líf
573,Leben::N,тіршілік,líf
574,Tod::N,опат,dauði
575,Grab::N,мола,gröf
576,Grab::N,мазар,gröf
577,Kirche::N,шіркеу,kirkja
578,Sünde::N,күнә,synd
579,Gott::N,алла,guð
580,Gott::N,құдай,guð
581,Gott::N,тәңірі,guð
582,Gott::N,пәруардігер,guð
583,Gott::N,жаратқан тәңірі,guð
584,Arbeiter::N,жүмысшы,verkamaður
585,Chef::N,басшы,yfirmaður
586,Chef::N,жұмыс басқарушысы,yfirmaður
587,Meister::N,шебер,meistari
588,Meister::N,өнерпаз,meistari
589,Arzt::N,дәрігер,læknir
590,Lehrer::N,мұғалім,kennari
591,Geld::N,пұл,peningar
592,Geschäft::N,бизнес,viðskipti
