,Concept_ID,kk,ka
0,Auge::N,көз,თვალი
1,Ohr::N,құлақ,ყური
2,Nase::N,мұрын,ცხვირი
3,Mund::N,ауыз,პირი
4,Zahn::N,тіс,კბილი
5,Zunge::N,тіл,ენა
6,Lippe::N,ерін,ბაგე
7,Wange::N,ұрт,ლოყა
8,Gesicht::N,бет-аузы,სახე
9,Stirn::N,маңдай,შუბლი
10,Haar::N,қыл,თმა
11,Schnurrbart::N,мұрт,ულვაში
12,Bart::N,сақал,წვერი
13,Kinn::N,иек,ნიკაპი
14,Kiefer[Anatomie]::N,жақ,ყბა
15,Kehle::N,алқым,ყელი
16,Hals::N,мойын,ყელი
17,Hals::N,мойын,კისერი
18,Genick::N,желке,კეფა
19,Kopf::N,кәллә,თავი
20,Rücken::N,арқа,ზურგი
21,Bauch::N,қарын,მუცელი
22,Nabel::N,кіндік,ჭიპი
23,Busen::N,омырау,ძუძუ
24,Brust::N,кеуде,მკერდი
25,Schulter::N,иық,მხარი
26,Schulter::N,иық,მკლავი
27,Arm::N,қол,ხელი
28,Ellenbogen::N,шынтақ,იდაყვი
29,Hand::N,қол,ხელი
30,Handfläche::N,алақан,ნები
31,Handfläche::N,алақан,ხელისგული
32,Finger::N,саусақ,თითი
33,Fingernagel::N,тырнақ,ფრჩხილი
34,Nagel[Anatomie]::N,тырнақ,ფრჩხილი
35,Zeh::N,тырнақ,ფეხის თითი
36,Zeh::N,тұяқ,ფეხის თითი
37,Fuß::N,аяқ-басы,ტერფი
38,Fuß::N,аяқ-басы,ფეხისგული
39,Ferse::N,өкше,ქუსლი
40,Ferse::N,өкшелік,ქუსლი
41,Knie::N,тізе,მუხლი
42,Oberschenkel::N,жамбас,ბარძაყი
43,Bein::N,аяқ,ფეხი
44,Körper::N,дене,ტანი
45,Körper::N,дене,სხეული
46,Haut::N,тері,კანი
47,Blut::N,қан,სისხლი
48,Ader::N,көктамыр,ძარღვი
49,Ader::N,күретамыр,ძარღვი
50,Sehne::N,сіңір,მყესი
51,Knochen::N,жілік,ძვალი
52,Gehirn::N,ми,ტვინი
53,Herz::N,жүрек,გული
54,Magen::N,асқазан,კუჭი
55,Leber::N,бауыр,ღვიძლი
56,Atem::N,леп,სუნთქვა
57,Hunger::N,ашаршылық,შიმშილი
58,Träne::N,жас,ცრემლი
59,Geschmack::N,дәм,გემო
60,Geschmack::N,татым,გემო
61,Geschmack::N,талғам,გემო
62,Geruch::N,иіс,სუნი
63,Schlaf::N,ұйқы,ძილი
64,Schlaf::N,ұйықтау,ძილი
65,Traum::N,түс,სიზმარი
66,Himmel::N,аспан,ცა
67,Himmel::N,көқ,ცა
68,Himmel::N,таңдай,ცა
69,Sonne::N,күн,მზე
70,Mond::N,ай,მთვარე
71,Stern::N,жұлдыз,ვარსკვლავი
72,Luft::N,әуе,ჰაერი
73,Wind::N,жел,ქარი
74,Welle::N,толқын,ტალღა
75,Wasser::N,су,წყალი
76,Stein::N,тас,ქვა
77,Boden::N,қыртыс,მიწა
