,Concept_ID,kn,cv
0,Auge::N,ಕಣ್ಣು,куҫ
1,Ohr::N,ಕಿವಿ,хӑлха
2,Nase::N,ಮೂಗು,сӑмса
3,Mund::N,ಬಾಯಿ,ҫӑвар
4,Zahn::N,ಹಲ್ಲು,шӑл
5,Zunge::N,ನಾಲಿಗೆ,чӗлхе
6,Lippe::N,ತುಟಿ,тута
7,Wange::N,ಗಲ್ಲ,пит ҫӑмарти
8,Gesicht::N,ಮುಖ,пит
9,Gesicht::N,ಮುಖ,пит-куҫ
10,Stirn::N,ಹಣೆ,ҫамка
11,Haar::N,ಕೂದಲು,ҫӳҫ
12,Schnurrbart::N,ಮೀಸೆ,усси
13,Bart::N,ಗಡ್ಡ,сухал
14,Kinn::N,ಗದ್ದ,янах
15,Kiefer[Anatomie]::N,ದವಡೆ,янах
16,Kehle::N,ಗಂಟಲು,пыр
17,Kehle::N,ಗಂಟಲು,карланкӑ
18,Hals::N,ಕೊರಳು,пыр
19,Genick::N,ಹಿಂಗತ್ತು,ӗнсе
20,Kopf::N,ತಲೆ,пуҫ
21,Rücken::N,ಬೆನ್ನು,ҫурӑм
22,Bauch::N,ಹೊಟ್ಟೆ,
23,Nabel::N,ಹೊಕ್ಕುಳು,кӑвапа
24,Busen::N,ಸ್ತನ,кӑкӑр
25,Brust::N,ಎದೆ,умӗ
26,Schulter::N,ಭುಜ,хул пуҫҫи
27,Arm::N,ತೋಳು,алӑ
28,Ellenbogen::N,ಮೊಣಕೈ,чавса
29,Hand::N,ಕೈ,алӑ сыппи
30,Handfläche::N,ಅಂಗೈ,ал лаппи
31,Finger::N,ಕೈಬೆರಳು,пӳрне
32,Fingernagel::N,ಉಗುರು,чӗрне
33,Nagel[Anatomie]::N,ಉಗುರು,чӗрне
34,Zeh::N,ಕಾಲ್ಬೆರಳು,пӳрне
35,Fuß::N,ಪಾದ,ура лаппи
36,Ferse::N,ಹಿಮ್ಮಡಿ,кӗле
37,Knie::N,ಮಂಡಿ,чӗркуҫҫи
38,Oberschenkel::N,ತೊಡೆ,пӗҫӗ
39,Bein::N,ಕಾಲು,ура
40,Körper::N,ದೇಹ,ӳт
41,Körper::N,ದೇಹ,ӳт-пӳ
42,Haut::N,ಚರ್ಮ,тир
43,Blut::N,ರಕ್ತ,юн
44,Ader::N,ನರ,вена
45,Sehne::N,ನರ,шӑнӑр
46,Knochen::N,ಮೂಳೆ,шӑмӑ
47,Gehirn::N,ಮಿದುಳು,миме
48,Herz::N,ಹೃದಯ,чӗре
49,Magen::N,ಉದರ,хырӑмлӑх
50,Leber::N,ಯಕೃತ್ತು,пӗвер
51,Atem::N,ಉಸಿರು,сывлав
52,Hunger::N,ಹಸಿವು,выҫлӑх
53,Träne::N,ಕಣ್ಣೀರು,куҫҫуль
54,Geschmack::N,ರುಚಿ,техӗм
55,Geruch::N,ವಾಸನೆ,шӑршӑ
56,Schlaf::N,ನಿದ್ರೆ,ыйхӑ
57,Traum::N,ಕನಸು,тӗлӗк
58,Himmel::N,ಬಾನು,пӗлӗт
59,Sonne::N,ಸೂರ್ಯ,хӗвел
60,Mond::N,ಚಂದ್ರ,уйӑх
61,Stern::N,ಚುಕ್ಕಿ,ҫӑлтӑр
62,Luft::N,ವಾಯು,сывлӑш
63,Wind::N,ಗಾಳಿ,ҫил
64,Welle::N,ಅಲೆ,хум
65,Wasser::N,ನೀರು,шыв
66,Wasser::N,ನೀರು,шыв-шур
67,Stein::N,ಕಲ್ಲು,чул
68,Boden::N,ನೆಲ,тӑпра
69,Erde::N,ಭೂಮಿ,ҫӗр
70,Staub::N,ದೂಳು,тусан
71,Rauch::N,ಹೊಗೆ,тӗтӗм
72,Funke::N,ಕಿಡಿ,хӗм
73,Feuer::N,ಬೆಂಕಿ,вут
74,Feuer::N,ಬೆಂಕಿ,ҫулӑм
75,Licht::N,ಬೆಳಕು,ҫутӑ
76,Schatten::N,ನೆರಳು,сулхӑн
77,Wetter::N,ಹವ,ҫанталӑк
78,Nebel::N,ಮಂಜು,тӗтре
79,Wolke::N,ಮೋಡ,пӗлӗт
