,Concept_ID,kn,el
0,Auge::N,ಕಣ್ಣು,μάτι
1,Auge::N,ಕಣ್ಣು,οφθαλμός
2,Ohr::N,ಕಿವಿ,αυτί
3,Nase::N,ಮೂಗು,μύτη
4,Mund::N,ಬಾಯಿ,στόμα
5,Zahn::N,ಹಲ್ಲು,δόντι
6,Zunge::N,ನಾಲಿಗೆ,γλώσσα
7,Lippe::N,ತುಟಿ,χείλος
8,Wange::N,ಗಲ್ಲ,παρειά
9,Wange::N,ಗಲ್ಲ,μάγουλο
10,Gesicht::N,ಮುಖ,πρόσωπο
11,Stirn::N,ಹಣೆ,μέτωπο
12,Haar::N,ಕೂದಲು,μαλλιά
13,Schnurrbart::N,ಮೀಸೆ,μουστάκι
14,Bart::N,ಗಡ್ಡ,γένια
15,Kinn::N,ಗದ್ದ,πιγούνι
16,Kiefer[Anatomie]::N,ದವಡೆ,σαγόνι
17,Kehle::N,ಗಂಟಲು,λαρύγγι
18,Hals::N,ಕೊರಳು,λαιμός
19,Genick::N,ಹಿಂಗತ್ತು,σβέρκος
20,Kopf::N,ತಲೆ,κεφάλι
21,Rücken::N,ಬೆನ್ನು,ράχη
22,Bauch::N,ಹೊಟ್ಟೆ,κοιλιά
23,Nabel::N,ಹೊಕ್ಕುಳು,αφαλός
24,Busen::N,ಸ್ತನ,στήθος
25,Brust::N,ಎದೆ,στήθος
26,Schulter::N,ಭುಜ,ώμος
27,Arm::N,ತೋಳು,χέρι
28,Arm::N,ತೋಳು,μπράτςο
29,Ellenbogen::N,ಮೊಣಕೈ,αγκώνας
30,Hand::N,ಕೈ,χέρι
31,Handfläche::N,ಅಂಗೈ,παλάμη
32,Finger::N,ಕೈಬೆರಳು,δάχτυλο
33,Fingernagel::N,ಉಗುರು,νύχι
34,Nagel[Anatomie]::N,ಉಗುರು,νύχι
35,Zeh::N,ಕಾಲ್ಬೆರಳು,δάχτυλο του ποδιού
36,Fuß::N,ಪಾದ,πόδι
37,Ferse::N,ಹಿಮ್ಮಡಿ,φτέρνα
38,Knie::N,ಮಂಡಿ,γόνατο
39,Oberschenkel::N,ತೊಡೆ,μηρός
40,Bein::N,ಕಾಲು,πόδι
41,Körper::N,ದೇಹ,σώμα
42,Körper::N,ದೇಹ,κορμί
43,Haut::N,ಚರ್ಮ,πετσί
44,Blut::N,ರಕ್ತ,αίμα
45,Ader::N,ನರ,φλέβα
46,Sehne::N,ನರ,νεύρο
47,Sehne::N,ನರ,τένοντας
48,Knochen::N,ಮೂಳೆ,οστό
49,Knochen::N,ಮೂಳೆ,κόκκαλο
50,Gehirn::N,ಮಿದುಳು,μυαλό
51,Gehirn::N,ಮಿದುಳು,εγκέφαλος
52,Herz::N,ಹೃದಯ,καρδιά
53,Magen::N,ಉದರ,στομάχι
54,Leber::N,ಯಕೃತ್ತು,ήπαρ
55,Leber::N,ಯಕೃತ್ತು,συκωτί
56,Atem::N,ಉಸಿರು,αναπνοή
57,Hunger::N,ಹಸಿವು,πείνα
58,Träne::N,ಕಣ್ಣೀರು,δάκρυ
59,Geschmack::N,ರುಚಿ,γεύση
60,Geruch::N,ವಾಸನೆ,οσμή
61,Geruch::N,ವಾಸನೆ,μυρωδία
62,Schlaf::N,ನಿದ್ರೆ,ύπνος
63,Traum::N,ಕನಸು,όνειρο
64,Himmel::N,ಬಾನು,ουρανός
65,Sonne::N,ಸೂರ್ಯ,ήλιος
66,Mond::N,ಚಂದ್ರ,σελήνη
67,Mond::N,ಚಂದ್ರ,φεγγάρι
68,Stern::N,ಚುಕ್ಕಿ,άστρο
69,Stern::N,ಚುಕ್ಕಿ,αστέρι
70,Luft::N,ವಾಯು,αέρας
71,Wind::N,ಗಾಳಿ,αέρας
72,Wind::N,ಗಾಳಿ,άνεμος
73,Welle::N,ಅಲೆ,κύμα
74,Wasser::N,ನೀರು,νερό
75,Stein::N,ಕಲ್ಲು,πέτρα
76,Boden::N,ನೆಲ,χώμα
77,Erde::N,ಭೂಮಿ,γη
78,Staub::N,ದೂಳು,σκόνη
79,Rauch::N,ಹೊಗೆ,καπνός
80,Funke::N,ಕಿಡಿ,σπίθα
81,Funke::N,ಕಿಡಿ,σπινθήρας
82,Feuer::N,ಬೆಂಕಿ,φωτιά
83,Licht::N,ಬೆಳಕು,φως
84,Schatten::N,ನೆರಳು,σκιά
85,Schatten::N,ನೆರಳು,ίσκιος
86,Wetter::N,ಹವ,καιρός
87,Nebel::N,ಮಂಜು,ομίχλη
88,Wolke::N,ಮೋಡ,σύννεφο
