,Concept_ID,kn,he
0,Auge::N,ಕಣ್ಣು,עין
1,Ohr::N,ಕಿವಿ,אזן
2,Nase::N,ಮೂಗು,אף
3,Nase::N,ಮೂಗು,חטם
4,Mund::N,ಬಾಯಿ,פה
5,Zahn::N,ಹಲ್ಲು,שן
6,Zunge::N,ನಾಲಿಗೆ,לשון
7,Lippe::N,ತುಟಿ,שפה
8,Wange::N,ಗಲ್ಲ,לחי
9,Gesicht::N,ಮುಖ,פנים
10,Stirn::N,ಹಣೆ,מצח
11,Haar::N,ಕೂದಲು,שערה
12,Schnurrbart::N,ಮೀಸೆ,שפם
13,Bart::N,ಗಡ್ಡ,זקן
14,Kinn::N,ಗದ್ದ,סנטר
15,Kiefer[Anatomie]::N,ದವಡೆ,לסת
16,Kehle::N,ಗಂಟಲು,גרון
17,Hals::N,ಕೊರಳು,צואר
18,Genick::N,ಹಿಂಗತ್ತು,ערף
19,Kopf::N,ತಲೆ,ראש
20,Rücken::N,ಬೆನ್ನು,גב
21,Bauch::N,ಹೊಟ್ಟೆ,בטן
22,Nabel::N,ಹೊಕ್ಕುಳು,טבור
23,Busen::N,ಸ್ತನ,שד
24,Brust::N,ಎದೆ,חזה
25,Schulter::N,ಭುಜ,כתף
26,Arm::N,ತೋಳು,זרוע
27,Ellenbogen::N,ಮೊಣಕೈ,מרפק
28,Hand::N,ಕೈ,יד
29,Handfläche::N,ಅಂಗೈ,כף יד
30,Finger::N,ಕೈಬೆರಳು,אצבע
31,Fingernagel::N,ಉಗುರು,צפרן
32,Nagel[Anatomie]::N,ಉಗುರು,צפרן
33,Zeh::N,ಕಾಲ್ಬೆರಳು,אצבע
34,Fuß::N,ಪಾದ,רגל
35,Ferse::N,ಹಿಮ್ಮಡಿ,עקב
36,Knie::N,ಮಂಡಿ,ברך
37,Oberschenkel::N,ತೊಡೆ,ירך
38,Bein::N,ಕಾಲು,רגל
39,Körper::N,ದೇಹ,גוף
40,Haut::N,ಚರ್ಮ,עור
41,Blut::N,ರಕ್ತ,דם
42,Ader::N,ನರ,וריד
43,Sehne::N,ನರ,גיד
44,Knochen::N,ಮೂಳೆ,עצם
45,Gehirn::N,ಮಿದುಳು,מוח
46,Herz::N,ಹೃದಯ,לב
47,Magen::N,ಉದರ,קבה
48,Leber::N,ಯಕೃತ್ತು,כבד
49,Atem::N,ಉಸಿರು,נשימה
50,Hunger::N,ಹಸಿವು,רעב
51,Träne::N,ಕಣ್ಣೀರು,דמעה
