,Concept_ID,kv,is
0,Auge::N,син,auga
1,Ohr::N,пель,eyra
2,Nase::N,ныр,nef
3,Mund::N,ӧм,munnur
4,Zahn::N,пинь,tönn
5,Zunge::N,кыв,tunga
6,Lippe::N,тырп,vör
7,Wange::N,рожабан,kinn
8,Wange::N,рожабан,vangi
9,Gesicht::N,бан,andlit
10,Stirn::N,кымӧс,enni
11,Haar::N,юрси,hár
12,Schnurrbart::N,уссэз,yfirskegg
13,Bart::N,тош,skegg
14,Kinn::N,тшӧка,haka
15,Kiefer[Anatomie]::N,ан,kjálki
16,Kiefer[Anatomie]::N,ан,skoltur
17,Kehle::N,юан,kverk
18,Hals::N,юан,háls
19,Genick::N,юр бӧр,hnakki
20,Kopf::N,юр,höfuð
21,Rücken::N,мышк,hryggur
22,Bauch::N,кынӧм,kviður
23,Nabel::N,гӧг,nafli
24,Busen::N,морос,barmur
25,Brust::N,морос,brjóst
26,Schulter::N,пельпон,öxl
27,Arm::N,ки,armur
28,Ellenbogen::N,гырдзза,olnbogi
29,Hand::N,кикар,hönd
30,Handfläche::N,ки пыдӧс,lófi
31,Finger::N,чунь,fingur
32,Fingernagel::N,гыж,fingurnögl
33,Nagel[Anatomie]::N,гыж,nögl
34,Zeh::N,чунь,tá
35,Fuß::N,кокпыдӧс,fótur
36,Ferse::N,кокдзир,hæll
37,Knie::N,пидзӧс,kné
38,Oberschenkel::N,лядьбей,læri
39,Bein::N,кок,fótleggur
40,Körper::N,вывтыр,búkur
41,Körper::N,вывтыр,líkami
42,Haut::N,кучик,húð
43,Haut::N,кучик,skinn
44,Blut::N,вир,blóð
45,Ader::N,сӧн,æð
46,Sehne::N,жила,sin
47,Knochen::N,коска,bein
48,Gehirn::N,вем,heili
49,Herz::N,сьӧлӧм,hjarta
50,Magen::N,жӧвдӧк,magi
51,Leber::N,мус,lifur
52,Atem::N,лолалӧм,andi
53,Atem::N,лолалӧм,andardráttur
54,Hunger::N,тшыг,hungur
55,Träne::N,синва,tár
56,Geschmack::N,кӧр,smekkur
57,Geruch::N,дук,lykt
58,Schlaf::N,он,svefn
59,Traum::N,вӧт,draumur
60,Himmel::N,небо,himinn
61,Sonne::N,шондi,sól
62,Mond::N,тӧлiсь,tungl
63,Stern::N,кӧдзыв,stjarna
64,Luft::N,ру,loft
65,Wind::N,тӧв,vindur
66,Welle::N,гы,alda
67,Welle::N,гы,bylgja
68,Wasser::N,ва,vatn
69,Stein::N,из,steinn
70,Boden::N,му,botn
71,Erde::N,му,jörð
72,Staub::N,бус,ryk
73,Staub::N,бус,duft
74,Rauch::N,тшын,reykur
75,Funke::N,бичир,neisti
76,Feuer::N,би,eldur
77,Licht::N,би,ljós
78,Schatten::N,вуджӧр,skuggi
79,Wetter::N,погоддя,veður
80,Nebel::N,туман,þoka
81,Wolke::N,кымӧр,ský
82,Regen::N,зэр,regn
83,Schnee::N,лым,snjór
84,Eis::N,йы,ís
85,Frost::N,мороз,frost
86,Kälte::N,кӧдзыт,kuldi
87,Hitze::N,ӧд,hiti
88,Raureif::N,кижа,hrím
89,Regenbogen::N,енӧшка,regnbogi
90,Donner::N,гым,þruma
91,Strömung::N,визывтӧм,straumur
92,Tropfen::N,тёп,dropi
93,Schaum::N,быг,froða
94,Schmutz::N,нять,óhreinindi
95,See::N,ты,stöðuvatn
96,Sumpf::N,арай,fen
97,Moor::N,нюр,mýri
98,Wiese::N,видз,engi
99,Wald::N,вӧр,skógur
100,Hügel::N,мыльк,hæð
101,Hügel::N,мыльк,hóll
102,Anhöhe::N,вывтас,hæð
103,Anhöhe::N,вывтас,hóll
104,Anhöhe::N,вылынін,hæð
105,Anhöhe::N,вылынін,hóll
106,Berg::N,керӧс,fell
107,Berg::N,керӧс,fjall
108,Gipfel::N,йыв,tindur
109,Höhle::N,нора,hellir
110,Abhang::N,покат,hlíð
111,Abhang::N,покат,brekka
112,Quelle::N,больган,lind
113,Quelle::N,больган,uppspretta
114,Bach::N,шор,lækur
115,Fluss::N,ю,á
116,Fluss::N,ю,fljót
117,Ufer::N,берег,árbakki
118,Ufer::N,берег,sjávarbakki
119,Küste::N,берег,strönd
120,Festland::N,му,meginland
121,Meer::N,море,haf
122,Meer::N,море,sjór
123,Bucht::N,курья,vík
124,Blume::N,цветок,blóm
125,Gras::N,турун,gras
126,Wurzel::N,вуж,rót
127,Baum::N,пу,tré
128,Stamm::N,мыр,stofn
129,Stamm::N,кер,stofn
130,Rinde::N,кач,börkur
131,Ast::N,ув,grein
132,Zweig::N,ув,angi
133,Zweig::N,ув,kvistur
134,Blatt::N,лист,blað
135,Birke::N,кыдз,birki
136,Kiefer[Baum]::N,пожум,fura
137,Weide[Baum]::N,бадь,víðir
138,Tanne::N,кӧз,greni
139,Horn::N,сюр,horn
140,Feder::N,гӧн,fjöður
141,Fell::N,кучик,skinn
142,Flügel::N,борд,vængur
143,Klaue::N,гыж,kló
144,Kralle::N,кабыр,kló
145,Schwanz::N,бӧж,rófa
146,Schwanz::N,бӧж,skott
147,Ei::N,кольть,egg
148,Nest::N,поз,hreiður
149,Bau::N,осьта,greni
150,Bau::N,осьта,bæli
151,Bau::N,нора,greni
152,Bau::N,нора,bæli
153,Tier::N,зверь,dýr
154,Herde::N,гурт,hjörð
155,Kuh::N,мӧс,kýr
156,Bulle::N,ӧшка,boli
157,Pferd::N,вӧв,hestur
158,Schaf::N,баля,kind
159,Schwein::N,порсь,svín
160,Hund::N,пон,hundur
161,Katze::N,кань,köttur
162,Bär::N,ош,björn
163,Eichhörnchen::N,ур,íkorni
164,Elch::N,вӧр мӧс,elgur
165,Fuchs::N,руч,refur
166,Hase::N,кӧч,héri
167,Maus::N,шыр,mús
168,Wolf::N,кӧин,úlfur
169,Vogel::N,кай,fugl
170,Schwarm::N,стая,sægur
171,Schwarm::N,чукӧр,sægur
172,Huhn::N,курӧг,hæna
173,Hahn::N,петух,hani
174,Hahn::N,ай курӧг,hani
175,Gans::N,дзодзог,gæs
176,Adler::N,куч,örn
177,Adler::N,кутш,örn
178,Ente::N,утка,önd
179,Eule::N,тупка,uggla
180,Kranich::N,тури,trana
181,Krähe::N,рака,kráka
182,Kuckuck::N,кӧк,gaukur
183,Schwan::N,юсь,svanur
184,Fisch::N,чери,fiskur
185,Barsch::N,ёкыш,aborri
186,Hecht::N,сирпинь,gedda
187,Schlange[Tier]::N,змей,naðra
188,Wurm::N,номыр,ormur
189,Spinne::N,черань,kónguló
190,Ameise::N,кӧдзывкар,maur
191,Laus::N,ляпа той,lús
192,Mücke::N,ном,mý
193,Mücke::N,ном,mýfluga
194,Fliege::N,гут,fluga
195,Schmetterling::N,бабыв,fiðrildi
196,Beere::N,ягӧд,ber
197,Apfel::N,яблоко,epli
198,Pilz::N,тшак,sveppur
199,Zwiebel::N,грез,laukur
200,Saat::N,кӧдзыс,fræ
201,Saat::N,кӧдзыс,útsæði
202,Korn::N,сю,korn
203,Heu::N,турун,hey
204,Schale::N,кыш,hýði
205,Schale::N,киль,hýði
206,Grube::N,яма,gryfja
207,Falle::N,нальк,gildra
208,Falle::N,кляпча,gildra
209,Schlinge::N,лӧч,snara
210,Spur::N,туй,spor
211,Asche::N,пӧим,aska
212,Dreck::N,нять,óþverri
213,Eisen::N,кӧрт,járn
214,Gold::N,зарни,gull
215,Silber::N,язісь,silfur
216,Kohle::N,шом,kol
217,Kohle::N,уголь,kol
218,Glas::N,стекло,gler
219,Lehm::N,сёй,leir
220,Sand::N,лыа,sandur
221,Mensch::N,морт,maður
222,Mensch::N,морт,manneskja
223,Mann::N,мужик,maður
224,Mann::N,мужик,karlmaður
225,Frau::N,инька,kona
226,Kind::N,кага,barn
227,Kind::N,кага,krakki
228,Junge::N,зонка,drengur
229,Mädchen::N,нывкаок,stelpa
230,Familie::N,семья,fjölskylda
231,Großvater::N,дед,afi
232,Großmutter::N,баб,amma
