,Concept_ID,kv,no
0,Auge::N,син,øye
1,Ohr::N,пель,øre
2,Nase::N,ныр,nese
3,Mund::N,ӧм,munn
4,Zahn::N,пинь,tann
5,Zunge::N,кыв,tunge
6,Lippe::N,тырп,leppe
7,Wange::N,рожабан,kinn
8,Gesicht::N,бан,fjes
9,Gesicht::N,бан,ansikt
10,Stirn::N,кымӧс,panne
11,Haar::N,юрси,hår
12,Schnurrbart::N,уссэз,bart
13,Bart::N,тош,skjegg
14,Kinn::N,тшӧка,hake
15,Kiefer[Anatomie]::N,ан,kjeve
16,Kehle::N,юан,strupe
17,Hals::N,юан,hals
18,Genick::N,юр бӧр,nakke
19,Kopf::N,юр,hode
20,Rücken::N,мышк,rygg
21,Bauch::N,кынӧм,buk
22,Bauch::N,кынӧм,mage
23,Nabel::N,гӧг,navle
24,Busen::N,морос,barm
25,Brust::N,морос,bryst
26,Schulter::N,пельпон,skulder
27,Arm::N,ки,arm
28,Ellenbogen::N,гырдзза,albue
29,Hand::N,кикар,hånd
30,Handfläche::N,ки пыдӧс,håndflate
31,Finger::N,чунь,finger
32,Fingernagel::N,гыж,fingernegl
33,Nagel[Anatomie]::N,гыж,negl
34,Zeh::N,чунь,tå
35,Fuß::N,кокпыдӧс,fot
36,Ferse::N,кокдзир,hæl
37,Knie::N,пидзӧс,kne
38,Oberschenkel::N,лядьбей,lår
39,Bein::N,кок,bein
40,Körper::N,вывтыр,kropp
41,Körper::N,вывтыр,legeme
42,Haut::N,кучик,hud
43,Haut::N,кучик,skinn
44,Blut::N,вир,blod
45,Ader::N,сӧн,åre
46,Sehne::N,жила,sene
47,Knochen::N,коска,bein
48,Knochen::N,коска,knokkel
49,Gehirn::N,вем,hjerne
50,Herz::N,сьӧлӧм,hjerte
51,Magen::N,жӧвдӧк,mage
52,Leber::N,мус,lever
53,Atem::N,лолалӧм,pust
54,Hunger::N,тшыг,sult
55,Träne::N,синва,tåre
56,Geschmack::N,кӧр,smak
57,Geruch::N,дук,lukt
58,Schlaf::N,он,søvn
59,Traum::N,вӧт,drøm
60,Himmel::N,небо,himmel
61,Sonne::N,шондi,sol
62,Mond::N,тӧлiсь,måne
63,Stern::N,кӧдзыв,stjerne
64,Luft::N,ру,luft
65,Wind::N,тӧв,vind
66,Welle::N,гы,bølge
67,Wasser::N,ва,vann
68,Stein::N,из,stein
69,Boden::N,му,bakke
70,Erde::N,му,jord
71,Staub::N,бус,støv
72,Rauch::N,тшын,røyk
73,Funke::N,бичир,gnist
74,Feuer::N,би,ild
75,Licht::N,би,lys
76,Schatten::N,вуджӧр,skygge
77,Wetter::N,погоддя,vær
78,Nebel::N,туман,tåke
79,Wolke::N,кымӧр,sky
80,Regen::N,зэр,regn
81,Schnee::N,лым,snø
82,Eis::N,йы,is
83,Frost::N,мороз,frost
84,Kälte::N,кӧдзыт,kulde
85,Hitze::N,ӧд,hete
86,Raureif::N,кижа,rimfrost
87,Regenbogen::N,енӧшка,regnbue
88,Donner::N,гым,torden
89,Strömung::N,визывтӧм,strømning
90,Tropfen::N,тёп,dråpe
91,Schaum::N,быг,skum
92,Schmutz::N,нять,søl
93,Schmutz::N,нять,skitt
94,See::N,ты,sjø
95,Sumpf::N,арай,sump
96,Sumpf::N,арай,myrlende
97,Moor::N,нюр,myr
98,Moor::N,нюр,myrhei
99,Wiese::N,видз,eng
100,Wald::N,вӧр,skog
101,Hügel::N,мыльк,haug
102,Hügel::N,мыльк,bakke
103,Anhöhe::N,вывтас,haug
104,Anhöhe::N,вывтас,bakke
105,Anhöhe::N,вылынін,haug
106,Anhöhe::N,вылынін,bakke
107,Berg::N,керӧс,berg
108,Berg::N,керӧс,fjell
109,Gipfel::N,йыв,topp
110,Höhle::N,нора,hule
111,Abhang::N,покат,li
112,Abhang::N,покат,skråning
113,Quelle::N,больган,kilde
114,Bach::N,шор,bekk
115,Fluss::N,ю,elv
116,Ufer::N,берег,bredd
117,Küste::N,берег,kyst
118,Festland::N,му,fastland
119,Meer::N,море,hav
120,Bucht::N,курья,bukt
121,Blume::N,цветок,blomst
122,Gras::N,турун,gress
123,Wurzel::N,вуж,rot
124,Baum::N,пу,tre
125,Stamm::N,мыр,stamme
126,Stamm::N,кер,stamme
127,Rinde::N,кач,bark
128,Ast::N,ув,gren
129,Zweig::N,ув,kvist
130,Blatt::N,лист,blad
131,Birke::N,кыдз,bjørk
132,Kiefer[Baum]::N,пожум,furu
133,Weide[Baum]::N,бадь,selje
134,Weide[Baum]::N,бадь,piletre
135,Tanne::N,кӧз,gran
136,Horn::N,сюр,horn
137,Feder::N,гӧн,fjær
138,Fell::N,кучик,skinn
139,Flügel::N,борд,vinge
140,Klaue::N,гыж,klauv
141,Kralle::N,кабыр,klo
142,Schwanz::N,бӧж,hale
143,Ei::N,кольть,egg
144,Nest::N,поз,rede
145,Bau::N,осьта,hi
146,Bau::N,нора,hi
147,Tier::N,зверь,dyr
148,Herde::N,гурт,flokk
149,Kuh::N,мӧс,ku
150,Bulle::N,ӧшка,tyr
151,Pferd::N,вӧв,hest
152,Schaf::N,баля,får
153,Schwein::N,порсь,gris
154,Hund::N,пон,hund
155,Katze::N,кань,katt
156,Bär::N,ош,bjørn
157,Eichhörnchen::N,ур,ekorn
158,Elch::N,вӧр мӧс,elg
159,Fuchs::N,руч,rev
160,Hase::N,кӧч,hare
161,Maus::N,шыр,mus
162,Wolf::N,кӧин,ulv
163,Wolf::N,кӧин,varg
164,Vogel::N,кай,fugl
165,Schwarm::N,стая,sverm
166,Schwarm::N,чукӧр,sverm
167,Huhn::N,курӧг,høne
168,Hahn::N,петух,hane
169,Hahn::N,ай курӧг,hane
170,Gans::N,дзодзог,gås
171,Adler::N,куч,ørn
172,Adler::N,кутш,ørn
173,Ente::N,утка,and
174,Eule::N,тупка,ugle
175,Kranich::N,тури,trane
176,Krähe::N,рака,kråke
177,Kuckuck::N,кӧк,gjøk
178,Schwan::N,юсь,svane
179,Fisch::N,чери,fisk
180,Barsch::N,ёкыш,abbor
181,Hecht::N,сирпинь,gjedde
182,Schlange[Tier]::N,змей,orm
183,Schlange[Tier]::N,змей,slange
184,Wurm::N,номыр,orm
185,Wurm::N,номыр,mark
186,Spinne::N,черань,edderkopp
187,Ameise::N,кӧдзывкар,maur
188,Laus::N,ляпа той,lus
189,Mücke::N,ном,mygg
190,Fliege::N,гут,flue
191,Schmetterling::N,бабыв,sommerfugl
192,Beere::N,ягӧд,bær
193,Apfel::N,яблоко,eple
194,Pilz::N,тшак,sopp
195,Zwiebel::N,грез,løk
196,Saat::N,кӧдзыс,sæd
197,Korn::N,сю,korn
198,Heu::N,турун,høy
199,Schale::N,кыш,skall
200,Schale::N,киль,skall
201,Grube::N,яма,grop
202,Falle::N,нальк,felle
203,Falle::N,кляпча,felle
204,Schlinge::N,лӧч,snare
205,Spur::N,туй,spor
206,Asche::N,пӧим,aske
207,Dreck::N,нять,møkk
208,Dreck::N,нять,skitt
209,Eisen::N,кӧрт,jern
210,Gold::N,зарни,gull
211,Silber::N,язісь,sølv
212,Kohle::N,шом,kol
213,Kohle::N,шом,kull
214,Kohle::N,уголь,kol
215,Kohle::N,уголь,kull
216,Glas::N,стекло,glass
217,Lehm::N,сёй,leire
218,Sand::N,лыа,sand
219,Mensch::N,морт,menneske
220,Mann::N,мужик,mann
221,Frau::N,инька,kvinne
222,Kind::N,кага,barn
223,Junge::N,зонка,gutt
224,Mädchen::N,нывкаок,pike
225,Mädchen::N,нывкаок,jente
226,Familie::N,семья,familie
227,Großvater::N,дед,bestefar
228,Großmutter::N,баб,bestemor
229,Eltern::N,ай-мам,foreldre
230,Vater::N,ай,far
231,Mutter::N,мам,mor
232,Sohn::N,зон,sønn
233,Tochter::N,ныв,datter
234,Bruder::N,вон,bror
235,Schwester::N,сой,søster
236,Onkel::N,дядь,onkel
237,Tante::N,айӧлӧн сой,tante
238,Tante::N,ичинь,tante
239,Ehemann::N,жӧник,ektemann
240,Ehefrau::N,инь,hustru
241,Freude::N,гаж,glede
242,Freude::N,радъялӧм,glede
243,Gelächter::N,сералӧм,latter
244,Glück::N,мичлун,lykke
245,Kummer::N,шог,sorg
246,Wunsch::N,мӧдӧм,ønske
247,Wunsch::N,охотитӧм,ønske
248,Lust::N,охота,lyst
249,Geist::N,лов,ånd
250,Gedanke::N,дума,tanke
251,Gedächtnis::N,тӧдвыв,minne
252,Gedächtnis::N,тӧдвыв,hukommelse
253,Verstand::N,вежӧр,forstand
254,Sinn::N,ылӧс,mening
255,Sinn::N,ылӧс,betydning
256,Grund::N,мог,grunn
257,Wahrheit::N,правда,sannhet
258,Gespräch::N,сёрни,samtale
259,Märchen::N,сказка,eventyr
260,Erzählung::N,висьт,fortelling
261,Nachricht::N,юӧр,melding
262,Nachricht::N,висьталӧм,melding
263,Neuigkeit::N,новость,nyhet
264,Name::N,ним,navn
265,Rätsel::N,загадка,gåte
266,Rede::N,сёрни,tale
267,Sprache::N,кыв,språk
268,Stimme::N,голос,stemme
269,Wort::N,кыв,ord
270,Zeichen::N,пас,tegn
271,Ruf::N,чуксӧм,rop
272,Ruf::N,чукӧстӧм,rop
273,Lärm::N,шум,bråk
274,Laut::N,шы,lyd
275,Ton::N,гор,tone
276,Lied::N,сьыланкыв,vise
277,Ruhe::N,спокой,ro
278,Leute::N,йӧз,folk
279,Volk::N,йӧз,folk
280,Volk::N,народ,folk
281,Arbeit::N,удж,arbeid
282,Gast::N,гӧсь,gjest
283,Geschenk::N,гӧснеч,gave
284,Geschenk::N,подарок,gave
285,Spiel::N,орсӧм,lek
286,Spiel::N,орсӧм,spill
287,Gesellschaft::N,компания,selskap
288,Hilfe::N,отсӧт,hjelp
289,Freund::N,модз,venn
290,Freund::N,дружок,venn
291,Kamerad::N,тӧдса,kamerat
292,Angelegenheit::N,дело,sak
293,Angelegenheit::N,дело,anliggende
294,Anzahl::N,лыд,antall
295,Art::N,пӧлӧс,art
296,Art::N,пӧлӧс,slag
297,Stück::N,тор,stykke
298,Teil::N,юкӧм,del
299,Hälfte::N,джын,halvdel
300,Kreis::N,круг,ring
301,Kreis::N,круг,sirkel
302,Kreuz::N,перна,kors
303,Kreuz::N,перна,kryss
304,Linie::N,визь,linje
305,Strich::N,кырӧв,strek
306,Abstand::N,колас,avstand
307,Entfernung::N,ылына,avstand
308,Gegend::N,места,strøk
309,Platz::N,места,plass
310,Ort::N,места,sted
311,Seite::N,ладор,side
312,Mitte::N,шӧр,midte
313,Gegenstand::N,тор,gjenstand
314,Sache::N,тор,sak
315,Rand::N,дор,rand
316,Kante::N,ордлы,kant
317,Ecke::N,пельӧс,hjørne
318,Spitze::N,йыв,spiss
319,Ende::N,йыв,ende
320,Loch::N,осьта,hull
321,Winkel::N,пельӧс,vinkel
322,Muster::N,сер,mønster
323,Größe::N,ыжда,størrelse
324,Länge::N,кузя,lengde
325,Höhe::N,сувда,høyde
326,Höhe::N,вылына,høyde
327,Gewicht::N,сьӧкта,vekt
328,Haufen::N,куча,haug
329,Haufen::N,куча,bunke
330,Reihe::N,лёдз,rekke
331,Boot::N,пыж,båt
332,Ruder::N,пелыс,åre
333,Schlitten::N,додь,slede
334,Schlitten::N,додь,kjelke
335,Ski::N,лямпа,ski
336,Lagerfeuer::N,бипур,leirbål
337,Last::N,тягота,bør
338,Last::N,тягота,last
339,Gang::N,мунӧм,gang
340,Schritt::N,вожмӧв,steg
341,Schritt::N,вожмӧв,skritt
342,Norden::N,ой,nord
343,Süden::N,лун,sør
344,Westen::N,рытвыв,vest
345,Osten::N,асыв,øst
346,Holz::N,пу,tre
347,Brett::N,пӧв,fjøl
348,Brett::N,пӧв,brett
349,Platte::N,плита,plate
350,Stütze::N,пика,støtte
351,Stange::N,зор,stang
352,Stange::N,потш,stang
353,Stock::N,бедь,pinne
354,Stab::N,шест,stav
355,Stab::N,шест,kjepp
356,Rohr::N,труба,rør
357,Haus::N,керку,hus
358,Heim::N,керку,hjem
359,Ofen::N,пӧжавны,ovn
360,Fußboden::N,джодж,gulv
361,Tisch::N,пызан,bord
362,Stuhl::N,стул,stol
363,Wiege::N,зыбка,vogge
364,Bett::N,кровать,seng
365,Regal::N,джадж,reol
366,Regal::N,джадж,hylle
367,Kiste::N,ящик,kasse
368,Fenster::N,ӧшын,vindu
369,Tür::N,ыбӧс,dør
370,Tor::N,ворота,port
371,Zaun::N,забор,gjerde
372,Dach::N,крыша,tak
373,Leiter::N,лиснич,stige
374,Besen::N,рос,kost
375,Spaten::N,зыр,spade
376,Schaufel::N,зыр,skuffe
377,Gabel::N,вила,gaffel
378,Löffel::N,пань,skje
379,Messer::N,пурт,kniv
380,Nagel::N,кӧрттув,spiker
381,Netz::N,кыйӧт,nett
382,Haken::N,ем,krok
383,Griff::N,пу,tak
384,Griff::N,пу,håndtak
385,Schloss::N,замок,lås
386,Bild::N,картина,bilde
387,Figur::N,мыгӧр,figur
388,Puppe::N,акань,dukke
389,Beutel::N,мешӧк,pose
390,Bündel::N,нин,bylt
391,Tasche::N,сумка,veske
392,Eimer::N,ведра,bøtte
393,Deckel::N,вевт,lokk
394,Geschirr::N,доз,kjøkkentøy
395,Geschirr::N,бекӧрпань,kjøkkentøy
396,Sack::N,мешӧк,sekk
397,Tasse::N,бекӧр,kopp
398,Topf::N,кастрюля,gryte
399,Kessel::N,пӧрт,kjele
400,Essen::N,сёйӧм,mål
401,Nahrung::N,вердан,mat
402,Nahrung::N,вердан,næring
403,Speise::N,сёян,matrett
404,Fleisch::N,яй,kjøtt
405,Getreide::N,сю,korn
406,Brei::N,каша,grøt
407,Brot::N,нянь,brød
408,Scheibe::N,шӧрӧм,skive
409,Fett::N,гос,fett
410,Butter::N,ви,smør
411,Öl::N,ви,olje
412,Salz::N,сов,salt
413,Suppe::N,шыд,suppe
414,Honig::N,ма,honning
415,Milch::N,йӧв,melk
416,Tee::N,чай,te
417,Leder::N,кучик,lær
418,Leder::N,кучик,skinn
419,Wolle::N,гӧн,ull
420,Stoff::N,дӧра,tøy
421,Stoff::N,дӧра,stoff
422,Nadel::N,ем,nål
423,Faden::N,сунис,tråd
424,Knopf::N,кизь,knapp
