,Concept_ID,kv,sl
0,Auge::N,син,okó
1,Ohr::N,пель,uhó
2,Nase::N,ныр,nós
3,Mund::N,ӧм,ústa
4,Zahn::N,пинь,zób
5,Zunge::N,кыв,jêzik
6,Lippe::N,тырп,ústnica
7,Wange::N,рожабан,líce
8,Gesicht::N,бан,oblíčje
9,Stirn::N,кымӧс,čêlo
10,Haar::N,юрси,lás
11,Schnurrbart::N,уссэз,bŕki
12,Bart::N,тош,bráda
13,Kinn::N,тшӧка,bráda
14,Kiefer[Anatomie]::N,ан,čeljúst
15,Kehle::N,юан,gŕlo
16,Hals::N,юан,vrát
17,Genick::N,юр бӧр,zatílnik
18,Kopf::N,юр,gláva
19,Rücken::N,мышк,hrbèt
20,Bauch::N,кынӧм,trébuh
21,Nabel::N,гӧг,pópek
22,Busen::N,морос,nédrja
23,Brust::N,морос,pŕsi
24,Schulter::N,пельпон,ráma
25,Schulter::N,пельпон,plêče
26,Arm::N,ки,rôka
27,Ellenbogen::N,гырдзза,komólec
28,Hand::N,кикар,rôka
29,Handfläche::N,ки пыдӧс,dlán
30,Finger::N,чунь,pŕst
31,Fingernagel::N,гыж,nóht na rôki
32,Nagel[Anatomie]::N,гыж,nóht
33,Zeh::N,чунь,pŕst na nôgi
34,Fuß::N,кокпыдӧс,nôga
35,Ferse::N,кокдзир,pêta
36,Knie::N,пидзӧс,koléno
37,Oberschenkel::N,лядьбей,stêgno
38,Bein::N,кок,nôga
39,Körper::N,вывтыр,teló
40,Haut::N,кучик,kóža
41,Blut::N,вир,krí
42,Ader::N,сӧн,žíla
43,Sehne::N,жила,kíta
44,Knochen::N,коска,kóst
45,Gehirn::N,вем,možgáni
46,Herz::N,сьӧлӧм,srcé
47,Magen::N,жӧвдӧк,želódec
48,Leber::N,мус,jétra
49,Atem::N,лолалӧм,díh
50,Hunger::N,тшыг,glád
51,Träne::N,синва,sólza
52,Geschmack::N,кӧр,okús
53,Geruch::N,дук,vónj
54,Schlaf::N,он,sèn
55,Schlaf::N,он,spánec
56,Traum::N,вӧт,sánje
57,Himmel::N,небо,nebó
58,Sonne::N,шондi,sónce
59,Mond::N,тӧлiсь,lúna
60,Mond::N,тӧлiсь,mésec
61,Stern::N,кӧдзыв,zvézda
62,Luft::N,ру,zràk
63,Wind::N,тӧв,véter
