,Concept_ID,la,av
0,Auge::N,oculus,
1,Ohr::N,auris,гӏин
2,Nase::N,nasus,мегӏер
3,Mund::N,os,кӏал
4,Zahn::N,dens,гӏус
5,Zunge::N,lingua,мацӏ
6,Lippe::N,labrum,кӏветӏ
7,Wange::N,gena,гӏоно
8,Gesicht::N,vultus,гьумер
9,Stirn::N,frons,нодо
10,Haar::N,capillus,рас
11,Schnurrbart::N,barba labri superioris,михъ
12,Bart::N,barba,мегеж
13,Kinn::N,mentum,нилъу
14,Kiefer[Anatomie]::N,mala,чанагъ
15,Kehle::N,iugulums,щекъер
16,Hals::N,collum,габур
17,Genick::N,cervices,гъванща
18,Kopf::N,caput,бетӏер
19,Rücken::N,tergum,мугъ
20,Bauch::N,venter,чехь
21,Nabel::N,umbilicus,цӏину
22,Busen::N,sinus,керен
23,Brust::N,pectus,керен
24,Schulter::N,umerus,гъажазубетӏер
25,Arm::N,bracchium,гъеж
26,Ellenbogen::N,cubitum,гӏункӏрукь
27,Hand::N,manus,квер
28,Handfläche::N,palma,огъохъат
29,Handfläche::N,palma,жанисахъат
30,Finger::N,digitus,килищ
31,Fingernagel::N,unguiculus,малъ
32,Nagel[Anatomie]::N,unguis,малъ
33,Zeh::N,digitus,килищ
34,Fuß::N,pes,хӏетӏ
35,Fuß::N,pes,хӏетӏе
36,Ferse::N,calx,эгъе
37,Knie::N,genu,наку
38,Oberschenkel::N,femur,мачӏ
39,Bein::N,crus,бох
40,Körper::N,corpus,къаркъала
41,Haut::N,cutis,тӏом
42,Haut::N,pellis,тӏом
43,Blut::N,sanguis,би
44,Ader::N,vena,бидурихь
45,Sehne::N,nervus,
46,Knochen::N,os,ракьа
47,Gehirn::N,cerebrum,гӏадалнах
48,Herz::N,cor,ракӏ
49,Herz::N,animus,ракӏ
50,Magen::N,stomachus,кванирукъ
51,Leber::N,iecur,тӏул
52,Atem::N,spiritus,хӏухь
53,Hunger::N,fames,ракъи
54,Träne::N,lacrima,магӏу
55,Geschmack::N,sapor,тату
56,Geschmack::N,gustus,тату
57,Geruch::N,odor,махӏ
58,Schlaf::N,somnus,макьу
59,Traum::N,somnium,макьу
60,Himmel::N,caelum,зоб
61,Sonne::N,sol,бакъ
62,Mond::N,luna,моцӏ
63,Stern::N,sidus,цӏва
64,Stern::N,stella,цӏва
65,Luft::N,aer,гьава
66,Wind::N,ventus,гьури
67,Welle::N,unda,карачел
68,Wasser::N,aqua,лъим
69,Stein::N,lapis,гьецӏо
70,Boden::N,solum,ракь
71,Erde::N,terra,ракь
72,Erde::N,terra,дуниял
73,Staub::N,pulvis,хӏур
74,Rauch::N,fumus,кӏкӏуй
75,Funke::N,scintilla,
76,Feuer::N,ignis,цӏа
77,Licht::N,lux,канлъи
78,Licht::N,lumen,канлъи
79,Schatten::N,umbra,рагӏад
80,Wetter::N,caelum,гьава-бакъ
81,Wetter::N,tempestas,гьава-бакъ
82,Nebel::N,nebula,гӏодобнакӏкӏ
83,Wolke::N,nubes,накӏкӏ
84,Regen::N,imber,цӏад
85,Regen::N,pluvia,цӏад
86,Schnee::N,nix,гӏазу
87,Eis::N,glacies,цӏер
88,Frost::N,gelu,замгьари
89,Kälte::N,frigus,квач
90,Hitze::N,calor,багӏари
91,Hitze::N,aestus,багӏари
92,Raureif::N,pruina,мартӏ
93,Regenbogen::N,arcus,нур
94,Regenbogen::N,arcus,чамбара
95,Donner::N,tonitrus,гъугъай
96,Donner::N,tonitrus,гъугъади
97,Strömung::N,fluctus,чвахи
98,Tropfen::N,gutta,резел
99,Tropfen::N,gutta,тӏинкӏ
100,Tropfen::N,gutta,къатӏра
101,Tropfen::N,gutta,тӏенкӏел
102,Schaum::N,spuma,полоп
103,Schmutz::N,sordes,чороклъи
104,Schmutz::N,squalor,чороклъи
105,See::N,lacus,хӏор
106,Sumpf::N,palus,хьуцӏ
107,Moor::N,palus,
108,Wiese::N,pratum,мегъ
109,Wiese::N,pratum,гӏурдаллъи
110,Wald::N,silva,рохь
111,Hügel::N,collis,гохӏ
112,Anhöhe::N,specula,сийитма
113,Berg::N,mons,мегӏер
114,Gipfel::N,vertex,тӏогь
115,Höhle::N,caverna,нохъо
116,Höhle::N,spelunca,нохъо
117,Abhang::N,declivum,лабаллъи
118,Quelle::N,fons,ицц
119,Bach::N,rivus,лъар
120,Fluss::N,flumen,гӏор
121,Ufer::N,ripa,рагӏал
122,Küste::N,litus,рагӏал
123,Festland::N,continens,ракь
124,Festland::N,continens,ракъдаллъи
125,Meer::N,mare,ралъад
126,Bucht::N,sinus,кӏветӏ
127,Insel::N,insula,чӏинкӏиллъи
128,Blume::N,flos,тӏегь
129,Gras::N,herba,хер
130,Gras::N,gramen,хер
131,Wurzel::N,radix,кьибил
132,Baum::N,arbor,гъветӏ
133,Stamm::N,truncus,рохти
134,Rinde::N,cortex,макъар
135,Ast::N,ramus,ноцӏ
136,Zweig::N,ramus,гӏаркьел
137,Blatt::N,folium,тӏамах
138,Birke::N,betulla,мах
139,Birke::N,betulla,махигъветӏ
140,Kiefer[Baum]::N,pinus,накӏкӏигъветӏ
141,Weide[Baum]::N,salix,рицӏцӏ
142,Weide[Baum]::N,salix,рицӏцӏигъветӏ
143,Tanne::N,abies,ёлка
144,Horn::N,cornu,лълъар
145,Feder::N,penna,хӏули
146,Fell::N,pellis,тӏом
147,Fell::N,pellis,цӏоко
148,Flügel::N,ala,кваркьи
149,Klaue::N,unguis,галъ
150,Kralle::N,unguis,квачӏ
151,Kralle::N,unguis,катиквачӏ
152,Schwanz::N,cauda,рачӏ
153,Ei::N,ovum,хоно
154,Nest::N,nidus,бусен
155,Bau::N,cavum,каратӏ
156,Bau::N,latibulum,каратӏ
157,Tier::N,bestia,хӏайван
158,Herde::N,grex,рехъен
159,Herde::N,grex,рехъед
160,Kuh::N,vacca,гӏака
161,Bulle::N,taurus,оц
162,Pferd::N,equus,чу
163,Schaf::N,ovis,чахъу
164,Schwein::N,sus,болъон
165,Schwein::N,porcus,болъон
166,Hund::N,canis,гьой
167,Katze::N,felis,кету
168,Bär::N,ursus,ци
169,Eichhörnchen::N,sciurus,гвангва
170,Elch::N,alces,
171,Fuchs::N,vulpes,цер
172,Hase::N,lepus,гӏанкӏ
173,Maus::N,mus,гӏункӏкӏ
174,Wolf::N,lupus,бацӏ
175,Vogel::N,avis,хӏинчӏ
176,Schwarm::N,examen,тӏел
177,Huhn::N,gallina,гӏанкӏу
178,Hahn::N,gallus,хӏелеко
179,Gans::N,anser,хъаз
180,Adler::N,aquila,цӏум
181,Ente::N,anas,ордек
182,Eule::N,ulula,беццаруз
183,Eule::N,noctua,беццаруз
184,Kranich::N,grus,къункъра
185,Krähe::N,cornix,гъеду
186,Kuckuck::N,cuculus,гагу
187,Schwan::N,olor,хӏанкъва
188,Schwan::N,cycnus,хӏанкъва
189,Fisch::N,piscis,ччугӏа
190,Barsch::N,perca,окунь
191,Hecht::N,esox,щука
192,Schlange[Tier]::N,serpens,борохь
193,Wurm::N,vermis,хӏапара
194,Spinne::N,aranea,хъанхъра
195,Ameise::N,formica,цӏунцӏра
196,Laus::N,pediculus,нацӏ
197,Mücke::N,culex,кӏкӏара
198,Fliege::N,musca,тӏутӏ
199,Schmetterling::N,papilio,кӏалкӏучӏ
200,Beere::N,baca,
201,Apfel::N,malum,гӏеч
202,Pilz::N,fungus,гӏурдахӏан
203,Zwiebel::N,cepa,кӏочӏопер
204,Saat::N,seges,хьон
205,Korn::N,granum,мугь
206,Heu::N,faenum,хер
207,Schale::N,putamen,хъал
208,Grube::N,fovea,гвенд
209,Falle::N,pedica,къор
210,Falle::N,pedica,къотен
211,Schlinge::N,laqueus,кӏичӏ
212,Spur::N,vestigium,лъалкӏ
213,Asche::N,cinis,рахъу
214,Dreck::N,lutum,гъиз
215,Dreck::N,lutum,хӏарщ
216,Eisen::N,ferrum,махх
217,Gold::N,aurum,месед
218,Silber::N,argentum,гӏарац
219,Kohle::N,carbo,тӏурччи
220,Glas::N,vitrum,цӏер
221,Lehm::N,lutum,хӏатӏ
222,Sand::N,arena,сали
223,Mensch::N,homo,чи
224,Mann::N,vir,бихьинчи
225,Frau::N,mulier,гӏадан
226,Kind::N,puer,лъимер
227,Kind::N,infans,лъимер
228,Junge::N,puer,вас
229,Mädchen::N,puella,яс
230,Familie::N,familia,хъизан
231,Großvater::N,avus,кӏудада
232,Großmutter::N,avia,кӏодо
233,Eltern::N,parentes,эбел-эмен
234,Vater::N,pater,эмен
235,Mutter::N,mater,эбел
236,Sohn::N,filius,вас
237,Tochter::N,filia,яс
238,Bruder::N,frater,вац
239,Schwester::N,soror,яц
240,Onkel::N,patruus,даци
241,Onkel::N,avunculus,даци
242,Tante::N,amita,ада
243,Ehemann::N,maritus,рос
244,Ehefrau::N,uxor,чӏужу
