,Concept_ID,la,fa
0,Auge::N,oculus,چشم
1,Ohr::N,auris,گوش
2,Nase::N,nasus,بینی
3,Mund::N,os,دهان
4,Zahn::N,dens,دندان
5,Zunge::N,lingua,زبان
6,Lippe::N,labrum,لب
7,Wange::N,gena,لپ
8,Gesicht::N,vultus,رو
9,Gesicht::N,vultus,چهره
10,Stirn::N,frons,پیشانی
11,Haar::N,capillus,مو
12,Schnurrbart::N,barba labri superioris,سبیل
13,Bart::N,barba,ریش
14,Kinn::N,mentum,چانه
15,Kiefer[Anatomie]::N,mala,فک
16,Kiefer[Anatomie]::N,mala,آرواره
17,Kehle::N,iugulums,حلق
18,Hals::N,collum,گردن
19,Genick::N,cervices,پشت گردن
20,Kopf::N,caput,سر
21,Kopf::N,caput,کله
22,Rücken::N,tergum,پشت
23,Bauch::N,venter,شکم
24,Nabel::N,umbilicus,ناف
25,Busen::N,sinus,پستان
26,Brust::N,pectus,سینه
27,Schulter::N,umerus,دوش
28,Schulter::N,umerus,شانه
29,Arm::N,bracchium,بازو
30,Ellenbogen::N,cubitum,آرنج
31,Hand::N,manus,دست
32,Handfläche::N,palma,کف دست
33,Finger::N,digitus,انگشت
34,Fingernagel::N,unguiculus,ناخن دست
35,Nagel[Anatomie]::N,unguis,ناخن
36,Zeh::N,digitus,انگشت پا
37,Fuß::N,pes,پا
38,Ferse::N,calx,پاشنه
39,Knie::N,genu,زانو
40,Oberschenkel::N,femur,ران
41,Bein::N,crus,پا
42,Bein::N,crus,لنگ
43,Körper::N,corpus,تن
44,Körper::N,corpus,بدن
45,Haut::N,cutis,پوست
46,Haut::N,pellis,پوست
47,Blut::N,sanguis,خون
48,Ader::N,vena,رگ
49,Sehne::N,nervus,زردپی
50,Knochen::N,os,استخوان
51,Gehirn::N,cerebrum,مخ
52,Gehirn::N,cerebrum,مغز
53,Herz::N,cor,دل
54,Herz::N,cor,قلب
55,Herz::N,animus,دل
56,Herz::N,animus,قلب
57,Magen::N,stomachus,معده
58,Leber::N,iecur,کبد
59,Atem::N,spiritus,نفس
60,Hunger::N,fames,گرسنگی
61,Träne::N,lacrima,اشک
62,Geschmack::N,sapor,مزه
63,Geschmack::N,gustus,مزه
64,Geruch::N,odor,بو
65,Schlaf::N,somnus,خواب
66,Traum::N,somnium,رؤیا
67,Himmel::N,caelum,فلک
68,Himmel::N,caelum,آسمان
69,Sonne::N,sol,آفتاب
70,Sonne::N,sol,خورشید
71,Mond::N,luna,ماه
72,Stern::N,sidus,ستاره
73,Stern::N,stella,ستاره
74,Luft::N,aer,هوا
75,Wind::N,ventus,باد
76,Welle::N,unda,موج
77,Wasser::N,aqua,آب
78,Stein::N,lapis,سنگ
79,Boden::N,solum,زمین
80,Erde::N,terra,خاک
81,Erde::N,terra,زمین
82,Staub::N,pulvis,گرد
83,Staub::N,pulvis,غبار
84,Rauch::N,fumus,دود
85,Funke::N,scintilla,جرقه
86,Feuer::N,ignis,آتش
87,Licht::N,lux,نور
88,Licht::N,lux,روشنی
89,Licht::N,lumen,نور
90,Licht::N,lumen,روشنی
91,Schatten::N,umbra,سایه
92,Wetter::N,caelum,هوا
93,Wetter::N,tempestas,هوا
94,Nebel::N,nebula,مه
95,Wolke::N,nubes,ابر
96,Regen::N,imber,باران
97,Regen::N,pluvia,باران
98,Schnee::N,nix,برف
99,Eis::N,glacies,یخ
100,Frost::N,gelu,یخبندان
101,Kälte::N,frigus,سرما
102,Hitze::N,calor,گرما
103,Hitze::N,calor,حرارت
104,Hitze::N,aestus,گرما
105,Hitze::N,aestus,حرارت
106,Raureif::N,pruina,برف ریزه
107,Regenbogen::N,arcus,رنگین‌کمان
