,Concept_ID,la,lv
0,Auge::N,oculus,син
1,Auge::N,oculus,acs
2,Ohr::N,auris,пель
3,Ohr::N,auris,auss
4,Nase::N,nasus,ныр
5,Nase::N,nasus,deguns
6,Mund::N,os,вом
7,Mund::N,os,mute
8,Zahn::N,dens,пинь
9,Zahn::N,dens,zobs
10,Zunge::N,lingua,кыв
11,Zunge::N,lingua,mēle
12,Lippe::N,labrum,вом дор
13,Lippe::N,labrum,lūpa
14,Wange::N,gena,бан
15,Wange::N,gena,vaigs
16,Gesicht::N,vultus,чужӧм
17,Gesicht::N,vultus,seja
18,Gesicht::N,vultus,ģīmis
19,Stirn::N,frons,плеш
20,Stirn::N,frons,кымӧс
21,Stirn::N,frons,piere
22,Haar::N,capillus,си
23,Haar::N,capillus,юрси
24,Haar::N,capillus,mats
25,Schnurrbart::N,barba labri superioris,ус
26,Schnurrbart::N,barba labri superioris,пыртсим
27,Schnurrbart::N,barba labri superioris,ūsas
28,Bart::N,barba,тош
29,Bart::N,barba,bārda
30,Kinn::N,mentum,тшӧка
31,Kinn::N,mentum,zods
32,Kinn::N,mentum,smakrs
33,Kiefer[Anatomie]::N,mala,черлы
34,Kiefer[Anatomie]::N,mala,алака лы
35,Kiefer[Anatomie]::N,mala,вомкӧтш лы
36,Kiefer[Anatomie]::N,mala,žoklis
37,Kehle::N,iugulums,голя
38,Kehle::N,iugulums,rīkle
39,Hals::N,collum,сьылі
40,Hals::N,collum,kakls
41,Genick::N,cervices,юрбӧр
42,Genick::N,cervices,балябӧж
43,Genick::N,cervices,sprands
44,Kopf::N,caput,юр
45,Kopf::N,caput,galva
46,Rücken::N,tergum,мыш
47,Rücken::N,tergum,mugura
48,Bauch::N,venter,рушку
49,Bauch::N,venter,vēders
50,Nabel::N,umbilicus,гӧг
51,Nabel::N,umbilicus,naba
52,Busen::N,sinus,морӧс
53,Busen::N,sinus,krūts
54,Brust::N,pectus,морӧс
55,Brust::N,pectus,krūts
56,Schulter::N,umerus,пельпом
57,Schulter::N,umerus,plecs
58,Arm::N,bracchium,ки
59,Arm::N,bracchium,roka
60,Arm::N,bracchium,delms
61,Ellenbogen::N,cubitum,гырддза
