,Concept_ID,lbe,cv
0,Auge::N,я,куҫ
1,Ohr::N,вичӏи,хӑлха
2,Nase::N,май,сӑмса
3,Mund::N,кьацӏ,ҫӑвар
4,Zahn::N,ккарччи,шӑл
5,Zunge::N,маз,чӗлхе
6,Lippe::N,мурччи,тута
7,Wange::N,чӏав,пит ҫӑмарти
8,Gesicht::N,лажин,пит
9,Gesicht::N,лажин,пит-куҫ
10,Stirn::N,ненттабакӏ,ҫамка
11,Haar::N,чӏара,ҫӳҫ
12,Schnurrbart::N,ссирссилтту,усси
13,Bart::N,чӏири,сухал
14,Kinn::N,лунттубакӏ,янах
15,Kiefer[Anatomie]::N,ххинчулул,янах
16,Kehle::N,кьакьари,пыр
17,Kehle::N,кьакьари,карланкӑ
18,Hals::N,ссурссу,пыр
19,Genick::N,махъабакӏ,ӗнсе
20,Kopf::N,бакӏ,пуҫ
21,Rücken::N,ттиликӏ,ҫурӑм
22,Bauch::N,лякьа,
23,Nabel::N,цӏумуккутӏ,кӑвапа
24,Busen::N,ккукку,кӑкӑр
25,Brust::N,хъазам,умӗ
26,Schulter::N,хъачӏ,хул пуҫҫи
27,Arm::N,ка,алӑ
28,Ellenbogen::N,ссюрхъ,чавса
29,Hand::N,бартка,алӑ сыппи
30,Handfläche::N,хъат,ал лаппи
31,Handfläche::N,битӏянхъ,ал лаппи
32,Finger::N,кӏисса,пӳрне
33,Fingernagel::N,михь,чӗрне
34,Nagel[Anatomie]::N,михь,чӗрне
35,Zeh::N,кӏисса,пӳрне
36,Fuß::N,чӏанччан,ура лаппи
37,Ferse::N,никъа,кӗле
38,Knie::N,ник,чӗркуҫҫи
39,Oberschenkel::N,жира,пӗҫӗ
40,Bein::N,ччан,ура
41,Körper::N,чурх,ӳт
42,Körper::N,чурх,ӳт-пӳ
43,Haut::N,бурчу,тир
44,Blut::N,оь,юн
45,Ader::N,тунну,вена
46,Sehne::N,хьхьа,шӑнӑр
47,Knochen::N,ттаркӏ,шӑмӑ
48,Gehirn::N,ня,миме
49,Herz::N,дакӏ,чӗре
50,Herz::N,къюкӏ,чӗре
51,Magen::N,лякьа,хырӑмлӑх
52,Atem::N,ссихӏ ласаву,сывлав
53,Atem::N,ссихӏ бигьаву,сывлав
54,Hunger::N,ккаши,выҫлӑх
55,Träne::N,макь,куҫҫуль
56,Geschmack::N,тӏин,техӗм
57,Geschmack::N,тӏааьн,техӗм
58,Geruch::N,кьанкь,шӑршӑ
59,Schlaf::N,шану,ыйхӑ
60,Traum::N,макӏру,тӗлӗк
61,Himmel::N,ссав,пӗлӗт
62,Sonne::N,баргъ,хӗвел
63,Mond::N,барз,уйӑх
64,Stern::N,цӏуку,ҫӑлтӑр
65,Luft::N,гьава,сывлӑш
66,Wind::N,марч,ҫил
67,Welle::N,щатӏи,хум
68,Wasser::N,щин,шыв
69,Wasser::N,щин,шыв-шур
70,Stein::N,чару,чул
71,Boden::N,аьрщи,тӑпра
