,Concept_ID,lbe,kv
0,Auge::N,я,син
1,Ohr::N,вичӏи,пель
2,Nase::N,май,ныр
3,Mund::N,кьацӏ,ӧм
4,Zahn::N,ккарччи,пинь
5,Zunge::N,маз,кыв
6,Lippe::N,мурччи,тырп
7,Wange::N,чӏав,рожабан
8,Gesicht::N,лажин,бан
9,Stirn::N,ненттабакӏ,кымӧс
10,Haar::N,чӏара,юрси
11,Schnurrbart::N,ссирссилтту,уссэз
12,Bart::N,чӏири,тош
13,Kinn::N,лунттубакӏ,тшӧка
14,Kiefer[Anatomie]::N,ххинчулул,ан
15,Kehle::N,кьакьари,юан
16,Hals::N,ссурссу,юан
17,Genick::N,махъабакӏ,юр бӧр
18,Kopf::N,бакӏ,юр
19,Rücken::N,ттиликӏ,мышк
20,Bauch::N,лякьа,кынӧм
21,Nabel::N,цӏумуккутӏ,гӧг
22,Busen::N,ккукку,морос
23,Brust::N,хъазам,морос
24,Schulter::N,хъачӏ,пельпон
25,Arm::N,ка,ки
26,Ellenbogen::N,ссюрхъ,гырдзза
27,Hand::N,бартка,кикар
28,Handfläche::N,хъат,ки пыдӧс
29,Handfläche::N,битӏянхъ,ки пыдӧс
30,Finger::N,кӏисса,чунь
31,Fingernagel::N,михь,гыж
32,Nagel[Anatomie]::N,михь,гыж
33,Zeh::N,кӏисса,чунь
34,Fuß::N,чӏанччан,кокпыдӧс
35,Ferse::N,никъа,кокдзир
36,Knie::N,ник,пидзӧс
37,Oberschenkel::N,жира,лядьбей
38,Bein::N,ччан,кок
39,Körper::N,чурх,вывтыр
40,Haut::N,бурчу,кучик
41,Blut::N,оь,вир
42,Ader::N,тунну,сӧн
43,Sehne::N,хьхьа,жила
44,Knochen::N,ттаркӏ,коска
45,Gehirn::N,ня,вем
46,Herz::N,дакӏ,сьӧлӧм
47,Herz::N,къюкӏ,сьӧлӧм
48,Magen::N,лякьа,жӧвдӧк
49,Atem::N,ссихӏ ласаву,лолалӧм
50,Atem::N,ссихӏ бигьаву,лолалӧм
51,Hunger::N,ккаши,тшыг
52,Träne::N,макь,синва
53,Geschmack::N,тӏин,кӧр
54,Geschmack::N,тӏааьн,кӧр
55,Geruch::N,кьанкь,дук
56,Schlaf::N,шану,он
57,Traum::N,макӏру,вӧт
58,Himmel::N,ссав,небо
59,Sonne::N,баргъ,шондi
60,Mond::N,барз,тӧлiсь
61,Stern::N,цӏуку,кӧдзыв
62,Luft::N,гьава,ру
63,Wind::N,марч,тӧв
64,Welle::N,щатӏи,гы
65,Wasser::N,щин,ва
66,Stein::N,чару,из
67,Boden::N,аьрщи,му
68,Erde::N,аьрщи,му
69,Staub::N,ххит,бус
70,Rauch::N,пуркӏу,тшын
71,Funke::N,пиягь,бичир
72,Feuer::N,цӏу,би
73,Licht::N,чани,би
74,Schatten::N,ххют,вуджӧр
75,Wetter::N,гьава,погоддя
76,Nebel::N,шархь ттурлу,туман
77,Wolke::N,ттурлу,кымӧр
78,Regen::N,гъарал,зэр
79,Schnee::N,марххала,лым
80,Eis::N,микӏ,йы
81,Frost::N,дяркъу,мороз
82,Frost::N,замгьар,мороз
83,Kälte::N,дяркъу,кӧдзыт
84,Hitze::N,кӏиришиву,ӧд
85,Raureif::N,сил,кижа
86,Raureif::N,бурса,кижа
87,Regenbogen::N,ссурул ккуртта,енӧшка
88,Donner::N,къув,гым
89,Strömung::N,экьинанаву,визывтӧм
90,Tropfen::N,кӏунтӏ,тёп
91,Schaum::N,хьама,быг
92,Schmutz::N,кьяркьи,нять
93,See::N,бяр,ты
94,Sumpf::N,кунцӏа,арай
95,Wiese::N,кьан,видз
96,Wald::N,вацӏа,вӧр
97,Hügel::N,бакӏу,мыльк
98,Berg::N,зунтту,керӧс
99,Gipfel::N,мицӏ,йыв
100,Höhle::N,нух,нора
101,Abhang::N,сун,покат
102,Quelle::N,дайдихьу,больган
103,Quelle::N,бакӏ,больган
104,Bach::N,чӏрир нех,шор
105,Fluss::N,нех,ю
106,Ufer::N,зума,берег
107,Küste::N,зумаинхалу,берег
108,Küste::N,зуманицӏалу,берег
109,Festland::N,кьири,му
110,Meer::N,хьхьири,море
111,Insel::N,жазира,
112,Blume::N,тӏутӏи,цветок
113,Gras::N,уртту,турун
114,Wurzel::N,мархха,вуж
115,Baum::N,мурхь,пу
116,Stamm::N,ттарцӏ,мыр
117,Stamm::N,ттарцӏ,кер
118,Rinde::N,ккамара,кач
119,Ast::N,матӏи,ув
120,Zweig::N,къяртта,ув
121,Blatt::N,чӏапӏи,лист
122,Birke::N,кӏялахӏи,кыдз
123,Birke::N,кӏялахӏилул мурхь,кыдз
124,Kiefer[Baum]::N,ттар,пожум
125,Kiefer[Baum]::N,ттарлил мурхь,пожум
126,Weide[Baum]::N,щавщи,бадь
127,Tanne::N,ттарлил мурхь,кӧз
128,Horn::N,хъи,сюр
129,Feder::N,лелуххул тӏиму,гӧн
130,Fell::N,бурчу,кучик
131,Flügel::N,хъа,борд
132,Flügel::N,ххурупӏайрал тӏиму,борд
133,Klaue::N,михь,гыж
134,Kralle::N,ххяппа,кабыр
135,Schwanz::N,магъ,бӧж
136,Ei::N,ккунук,кольть
137,Nest::N,кюру,поз
138,Bau::N,цукъуккутӏ,осьта
139,Bau::N,цукъуккутӏ,нора
140,Tier::N,хӏайван,зверь
141,Herde::N,газу,гурт
142,Kuh::N,оьл,мӧс
143,Bulle::N,ниц,ӧшка
144,Pferd::N,чу,вӧв
145,Schaf::N,тта,баля
146,Schwein::N,дунгъуз,порсь
147,Hund::N,ккаччи,пон
148,Katze::N,ччиту,кань
149,Bär::N,цуша,ош
