,Concept_ID,lez,en
0,Auge::N,вил,eye
1,Ohr::N,яб,ear
2,Nase::N,нер,nose
3,Mund::N,сив,mouth
4,Zahn::N,сас,tooth
5,Zahn::N,свах,tooth
6,Zunge::N,мез,tongue
7,Lippe::N,пӏуз,lip
8,Wange::N,хъвехъ,cheek
9,Gesicht::N,ччин,face
10,Stirn::N,пел,forehead
11,Haar::N,чӏар,hair
12,Schnurrbart::N,спел,moustache
13,Schnurrbart::N,спелар,moustache
14,Bart::N,ччуру,beard
15,Kinn::N,чене,chin
16,Kiefer[Anatomie]::N,чене,jaw
17,Kehle::N,туьд,throat
18,Hals::N,гардан,neck
19,Genick::N,кьам,nape
20,Kopf::N,кьил,head
21,Rücken::N,далу,back
22,Rücken::N,далу,spine
23,Bauch::N,руфун,belly
24,Nabel::N,пицӏ,navel
25,Busen::N,мам,bosom
26,Brust::N,хур,chest
27,Brust::N,хур,breast
28,Schulter::N,къуьн,shoulder
29,Arm::N,гъил,arm
30,Ellenbogen::N,кьуьнт,elbow
31,Hand::N,капаш,hand
32,Handfläche::N,капан юкь,palm
33,Finger::N,тӏуб,finger
34,Fingernagel::N,кек,fingernail
35,Nagel[Anatomie]::N,кек,nail
36,Zeh::N,кул,toe
37,Fuß::N,кӏвач,foot
38,Ferse::N,дабан,heel
39,Knie::N,мет,knee
40,Bein::N,кӏвач,leg
41,Körper::N,беден,body
42,Haut::N,хам,skin
43,Blut::N,иви,blood
44,Ader::N,дамар,vein
45,Sehne::N,кьуру дамар,sinew
46,Knochen::N,кӏараб,bone
47,Gehirn::N,мефт,brain
48,Herz::N,рикӏ,heart
49,Magen::N,хук,stomach
50,Leber::N,лекь,liver
51,Atem::N,ял,breath
52,Atem::N,нефес,breath
53,Hunger::N,каш,hunger
54,Träne::N,вилин нагъв,tear
55,Geschmack::N,дад,flavour
56,Geschmack::N,дад,flavor
57,Geschmack::N,тӏям,flavour
58,Geschmack::N,тӏям,flavor
59,Geruch::N,ни,odour
60,Geruch::N,ни,odor
61,Schlaf::N,ахвар,sleep
62,Traum::N,ахвар,dream
63,Himmel::N,цав,sky
64,Sonne::N,рагъ,sun
65,Mond::N,варз,moon
66,Stern::N,гъед,star
67,Luft::N,гьава,air
68,Wind::N,гар,wind
69,Welle::N,лепе,wave
70,Wasser::N,яд,water
71,Stein::N,къван,stone
72,Boden::N,накьв,soil
73,Boden::N,накьв,ground
74,Erde::N,ччил,earth
75,Staub::N,руг,dust
76,Rauch::N,гум,smoke
77,Funke::N,цӏелхем,spark
78,Feuer::N,цӏай,fire
79,Licht::N,экв,light
80,Schatten::N,серин,shadow
81,Wetter::N,гьава,weather
82,Nebel::N,ччилин циф,fog
83,Wolke::N,циф,cloud
84,Regen::N,марф,rain
85,Schnee::N,жив,snow
86,Eis::N,мурк,ice
87,Frost::N,аяз,frost
88,Kälte::N,мекь,chill
89,Kälte::N,мекьивал,chill
90,Hitze::N,зегьем,heat
91,Raureif::N,къирав,hoarfrost
92,Regenbogen::N,яргъируш,rainbow
93,Donner::N,цавун ван,thunder
94,Tropfen::N,стӏал,drop
95,Schaum::N,каф,foam
96,Schmutz::N,чирк,dirt
97,Schmutz::N,кьуруш,dirt
98,See::N,вир,lake
99,Sumpf::N,уьлен,swamp
100,Wiese::N,векь,meadow
101,Wald::N,там,forest
102,Hügel::N,кӏунтӏ,hill
103,Anhöhe::N,тепе,elevation
104,Anhöhe::N,гьуьндуьрвал,elevation
105,Berg::N,дагъ,mountain
106,Gipfel::N,кӏукӏ,summit
107,Höhle::N,кьветӏ,cave
108,Abhang::N,гуьне,slope
109,Quelle::N,чешме,source
110,Bach::N,булах,brook
111,Fluss::N,вацӏ,river
