,Concept_ID,lez,ja
0,Auge::N,вил,目
1,Ohr::N,яб,耳
2,Nase::N,нер,鼻
3,Mund::N,сив,口
4,Zahn::N,сас,歯
5,Zahn::N,свах,歯
6,Zunge::N,мез,舌
7,Lippe::N,пӏуз,唇
8,Wange::N,хъвехъ,頬
9,Gesicht::N,ччин,顔
10,Stirn::N,пел,額
11,Haar::N,чӏар,髪
12,Schnurrbart::N,спел,口髭
13,Schnurrbart::N,спелар,口髭
14,Bart::N,ччуру,髭
15,Kinn::N,чене,顎
16,Kiefer[Anatomie]::N,чене,顎
17,Kehle::N,туьд,喉
18,Hals::N,гардан,首
19,Genick::N,кьам,首
20,Kopf::N,кьил,頭
21,Rücken::N,далу,背中
22,Bauch::N,руфун,腹
23,Bauch::N,руфун,お腹
24,Nabel::N,пицӏ,へそ
25,Busen::N,мам,乳房
26,Brust::N,хур,胸
27,Schulter::N,къуьн,肩
28,Arm::N,гъил,腕
29,Ellenbogen::N,кьуьнт,肘
30,Hand::N,капаш,手
31,Handfläche::N,капан юкь,手のひら
32,Finger::N,тӏуб,指
33,Fingernagel::N,кек,爪
34,Nagel[Anatomie]::N,кек,爪
35,Zeh::N,кул,足の指
36,Fuß::N,кӏвач,足
37,Ferse::N,дабан,かかと
38,Knie::N,мет,膝
39,Bein::N,кӏвач,足
40,Körper::N,беден,体
41,Haut::N,хам,皮膚
42,Blut::N,иви,血
43,Ader::N,дамар,血管
44,Sehne::N,кьуру дамар,腱
45,Knochen::N,кӏараб,骨
46,Gehirn::N,мефт,脳
47,Herz::N,рикӏ,心
48,Herz::N,рикӏ,心臓
49,Magen::N,хук,胃
50,Leber::N,лекь,肝臓
51,Atem::N,ял,息
52,Atem::N,ял,呼吸
53,Atem::N,нефес,息
54,Atem::N,нефес,呼吸
55,Hunger::N,каш,空腹
56,Träne::N,вилин нагъв,涙
57,Geschmack::N,дад,味
58,Geschmack::N,тӏям,味
59,Geruch::N,ни,匂い
60,Schlaf::N,ахвар,睡眠
61,Traum::N,ахвар,夢
62,Himmel::N,цав,空
63,Sonne::N,рагъ,太陽
64,Mond::N,варз,月
65,Stern::N,гъед,星
66,Luft::N,гьава,空気
67,Wind::N,гар,風
68,Welle::N,лепе,波
69,Wasser::N,яд,水
70,Stein::N,къван,石
71,Boden::N,накьв,土地
72,Erde::N,ччил,土
73,Staub::N,руг,埃
74,Rauch::N,гум,煙
75,Funke::N,цӏелхем,火花
76,Feuer::N,цӏай,火
77,Licht::N,экв,光
78,Schatten::N,серин,陰
79,Wetter::N,гьава,天気
80,Nebel::N,ччилин циф,霧
81,Wolke::N,циф,雲
82,Regen::N,марф,雨
83,Schnee::N,жив,雪
84,Eis::N,мурк,氷
85,Frost::N,аяз,霜
86,Kälte::N,мекь,寒さ
87,Kälte::N,мекьивал,寒さ
88,Hitze::N,зегьем,暑さ
89,Raureif::N,къирав,霧氷
90,Regenbogen::N,яргъируш,虹
91,Donner::N,цавун ван,雷
92,Tropfen::N,стӏал,滴
93,Schaum::N,каф,泡
94,Schmutz::N,чирк,汚れ
95,Schmutz::N,кьуруш,汚れ
96,See::N,вир,湖
97,Sumpf::N,уьлен,沼
98,Wiese::N,векь,草原
99,Wald::N,там,森
100,Hügel::N,кӏунтӏ,丘
101,Anhöhe::N,тепе,高み
102,Anhöhe::N,гьуьндуьрвал,高み
103,Berg::N,дагъ,山
104,Gipfel::N,кӏукӏ,頂上
105,Höhle::N,кьветӏ,洞窟
106,Abhang::N,гуьне,斜面
107,Quelle::N,чешме,泉
108,Bach::N,булах,小川
109,Fluss::N,вацӏ,川
110,Ufer::N,къерех,岸
111,Küste::N,къерех,海岸
112,Festland::N,кьурамат,陸
113,Meer::N,гьуьл,海
114,Bucht::N,бухта,湾
115,Insel::N,остров,島
116,Blume::N,цуьк,花
117,Gras::N,хъач,草
118,Wurzel::N,дувул,根
119,Baum::N,ттар,木
120,Stamm::N,тан,幹
121,Rinde::N,чкал,皮層
122,Ast::N,тӏур,枝
123,Zweig::N,хел,小枝
124,Blatt::N,пеш,葉
125,Birke::N,верх,樺
126,Kiefer[Baum]::N,шамагъаж,松
127,Weide[Baum]::N,цӏвелин ттар,柳
128,Tanne::N,ель,樅
129,Horn::N,карч,角
130,Feder::N,цӏакул,羽根
131,Fell::N,хам,毛皮
132,Flügel::N,лув,羽
133,Klaue::N,къармах,鉤爪
134,Kralle::N,пац,爪
135,Kralle::N,тапас,爪
136,Schwanz::N,ттум,尻尾
137,Ei::N,кака,卵
138,Nest::N,муг,巣
139,Bau::N,тӏеквен,穴
140,Tier::N,гьайван,動物
141,Herde::N,суьруь,群れ
142,Kuh::N,ккал,牛
143,Bulle::N,яц,雄牛
144,Bulle::N,бугъа,雄牛
145,Pferd::N,балкӏан,馬
146,Schaf::N,хеб,羊
147,Schwein::N,вак,豚
148,Hund::N,кицӏ,犬
149,Katze::N,кац,猫
150,Bär::N,сев,熊
151,Eichhörnchen::N,белка,栗鼠
152,Elch::N,лось,ヘラジカ
153,Fuchs::N,сикӏ,狐
154,Hase::N,къуьр,兎
155,Maus::N,кьиф,鼠
156,Wolf::N,жанавур,狼
157,Vogel::N,луван ничхир,鳥
158,Schwarm::N,луж,群れ
159,Huhn::N,верч,鶏
160,Hahn::N,кӏек,雄鶏
161,Gans::N,къаз,ガチョウ
162,Adler::N,лекь,鷲
163,Ente::N,пӏатӏ,鴨
164,Eule::N,тӏиб,フクロウ
165,Kranich::N,дурна,鶴
166,Krähe::N,къаргъа,烏
167,Kuckuck::N,кукупӏ,郭公
168,Schwan::N,къугь,白鳥
169,Fisch::N,гъед,魚
170,Barsch::N,окунь,鱸
171,Hecht::N,щука,川魳
172,Schlange[Tier]::N,илан,蛇
173,Schlange[Tier]::N,гъуьлягъ,蛇
174,Wurm::N,квак,虫
