,Concept_ID,lez,tr
0,Auge::N,вил,göz
1,Ohr::N,яб,kulak
2,Nase::N,нер,burun
3,Mund::N,сив,ağız
4,Zahn::N,сас,diş
5,Zahn::N,свах,diş
6,Zunge::N,мез,dil
7,Lippe::N,пӏуз,dudak
8,Wange::N,хъвехъ,yanak
9,Gesicht::N,ччин,yüz
10,Stirn::N,пел,alın
11,Haar::N,чӏар,saç
12,Schnurrbart::N,спел,bıyık
13,Schnurrbart::N,спелар,bıyık
14,Bart::N,ччуру,sakal
15,Kinn::N,чене,çene
16,Kiefer[Anatomie]::N,чене,çene
17,Kehle::N,туьд,boğaz
18,Hals::N,гардан,boyun
19,Hals::N,гардан,gerdan
20,Genick::N,кьам,ense
21,Kopf::N,кьил,baş
22,Kopf::N,кьил,kafa
23,Rücken::N,далу,arka
24,Bauch::N,руфун,karın
25,Nabel::N,пицӏ,göbek
26,Busen::N,мам,koyun
27,Brust::N,хур,göğüs
28,Schulter::N,къуьн,omuz
29,Arm::N,гъил,kol
30,Ellenbogen::N,кьуьнт,dirsek
31,Hand::N,капаш,el
32,Handfläche::N,капан юкь,avuç
33,Handfläche::N,капан юкь,el ayası
34,Finger::N,тӏуб,parmak
35,Fingernagel::N,кек,el tırnağı
36,Nagel[Anatomie]::N,кек,tırnak
37,Zeh::N,кул,ayak parmağı
38,Fuß::N,кӏвач,ayak
39,Ferse::N,дабан,topuk
40,Knie::N,мет,diz
41,Bein::N,кӏвач,bacak
42,Körper::N,беден,vücut
43,Haut::N,хам,cilt
44,Blut::N,иви,kan
45,Ader::N,дамар,damar
46,Sehne::N,кьуру дамар,kiriş
47,Knochen::N,кӏараб,kemik
48,Gehirn::N,мефт,beyin
49,Herz::N,рикӏ,kalp
50,Herz::N,рикӏ,yürek
51,Magen::N,хук,mide
52,Leber::N,лекь,karaciğer
53,Atem::N,ял,nefes
54,Atem::N,нефес,nefes
55,Hunger::N,каш,açlık
56,Träne::N,вилин нагъв,gözyaşı
57,Geschmack::N,дад,tat
58,Geschmack::N,дад,lezzet
59,Geschmack::N,тӏям,tat
60,Geschmack::N,тӏям,lezzet
61,Geruch::N,ни,koku
62,Schlaf::N,ахвар,uyku
63,Traum::N,ахвар,düş
64,Traum::N,ахвар,rüya
65,Himmel::N,цав,gök
66,Sonne::N,рагъ,güneş
67,Mond::N,варз,ay
68,Stern::N,гъед,yıldız
69,Luft::N,гьава,hava
70,Wind::N,гар,yel
71,Wind::N,гар,rüzgâr
72,Welle::N,лепе,dalga
73,Wasser::N,яд,su
74,Stein::N,къван,taş
75,Boden::N,накьв,yer
76,Boden::N,накьв,zemin
77,Erde::N,ччил,toprak
78,Staub::N,руг,toz
79,Rauch::N,гум,duman
80,Funke::N,цӏелхем,kıvılcım
81,Feuer::N,цӏай,ateş
82,Licht::N,экв,ışık
83,Schatten::N,серин,gölge
84,Wetter::N,гьава,hava
85,Nebel::N,ччилин циф,pus
86,Wolke::N,циф,bulut
87,Regen::N,марф,yağmur
88,Schnee::N,жив,kar
89,Eis::N,мурк,buz
90,Frost::N,аяз,don
91,Kälte::N,мекь,soğukluk
92,Kälte::N,мекьивал,soğukluk
93,Hitze::N,зегьем,sıcaklık
94,Raureif::N,къирав,kırç
95,Regenbogen::N,яргъируш,gökkuşağı
96,Donner::N,цавун ван,gök gürlemesi
97,Tropfen::N,стӏал,damla
98,Schaum::N,каф,köpük
99,Schmutz::N,чирк,çamur
100,Schmutz::N,чирк,pislik
101,Schmutz::N,кьуруш,çamur
102,Schmutz::N,кьуруш,pislik
103,See::N,вир,göl
104,Sumpf::N,уьлен,batak
105,Wiese::N,векь,çimen
106,Wald::N,там,koru
107,Wald::N,там,orman
108,Hügel::N,кӏунтӏ,tepe
109,Anhöhe::N,тепе,tümsek
110,Anhöhe::N,тепе,yükseklik
111,Anhöhe::N,гьуьндуьрвал,tümsek
112,Anhöhe::N,гьуьндуьрвал,yükseklik
113,Berg::N,дагъ,dağ
114,Gipfel::N,кӏукӏ,zirve
115,Höhle::N,кьветӏ,in
116,Höhle::N,кьветӏ,mağara
117,Abhang::N,гуьне,bayır
118,Quelle::N,чешме,pınar
119,Quelle::N,чешме,kaynak
120,Bach::N,булах,çay
121,Bach::N,булах,dere
122,Fluss::N,вацӏ,nehir
123,Ufer::N,къерех,kıyı
124,Ufer::N,къерех,sahil
125,Küste::N,къерех,kıyı
126,Küste::N,къерех,sahil
127,Festland::N,кьурамат,kara
128,Meer::N,гьуьл,deniz
129,Bucht::N,бухта,koy
130,Bucht::N,бухта,körfez
131,Insel::N,остров,ada
132,Blume::N,цуьк,çiçek
133,Gras::N,хъач,ot
134,Gras::N,хъач,çim
135,Wurzel::N,дувул,kök
136,Baum::N,ттар,ağaç
137,Stamm::N,тан,gövde
138,Rinde::N,чкал,kabuk
139,Ast::N,тӏур,dal
140,Ast::N,тӏур,budak
141,Zweig::N,хел,dal
142,Blatt::N,пеш,yaprak
143,Birke::N,верх,huş
144,Kiefer[Baum]::N,шамагъаж,çam
145,Weide[Baum]::N,цӏвелин ттар,söğüt
146,Tanne::N,ель,çam
147,Tanne::N,ель,köknar
148,Horn::N,карч,boynuz
149,Feder::N,цӏакул,tüy
150,Fell::N,хам,post
151,Flügel::N,лув,kanat
152,Klaue::N,къармах,pençe
153,Kralle::N,пац,tırnak
154,Kralle::N,тапас,tırnak
155,Schwanz::N,ттум,kuyruk
156,Ei::N,кака,yumurta
157,Nest::N,муг,yuva
158,Bau::N,тӏеквен,in
159,Tier::N,гьайван,hayvan
160,Herde::N,суьруь,sürü
161,Kuh::N,ккал,inek
162,Bulle::N,яц,boğa
163,Bulle::N,бугъа,boğa
164,Pferd::N,балкӏан,at
165,Pferd::N,балкӏан,beygir
166,Schaf::N,хеб,koyun
167,Schwein::N,вак,domuz
168,Hund::N,кицӏ,it
169,Hund::N,кицӏ,köpek
170,Katze::N,кац,kedi
171,Bär::N,сев,ayı
172,Eichhörnchen::N,белка,sincap
173,Elch::N,лось,büyük kuzey geyiği
174,Fuchs::N,сикӏ,tilki
175,Hase::N,къуьр,tavşan
176,Maus::N,кьиф,fare
177,Maus::N,кьиф,sıçan
178,Wolf::N,жанавур,kurt
179,Vogel::N,луван ничхир,kuş
180,Schwarm::N,луж,sürü
181,Huhn::N,верч,tavuk
182,Hahn::N,кӏек,horoz
183,Gans::N,къаз,kaz
184,Adler::N,лекь,kartal
185,Adler::N,лекь,karakuş
186,Ente::N,пӏатӏ,ördek
187,Eule::N,тӏиб,baykuş
188,Kranich::N,дурна,turna
189,Krähe::N,къаргъа,karga
190,Kuckuck::N,кукупӏ,guguk
191,Schwan::N,къугь,kuğu
192,Fisch::N,гъед,balık
193,Barsch::N,окунь,hani
194,Barsch::N,окунь,levrek
195,Hecht::N,щука,turnabalığı
196,Schlange[Tier]::N,илан,yılan
197,Schlange[Tier]::N,гъуьлягъ,yılan
198,Wurm::N,квак,kurt
199,Wurm::N,квак,solucan
200,Spinne::N,хуьшрекан,örümcek
201,Ameise::N,цегв,karınca
202,Laus::N,нет,bit
203,Mücke::N,ветӏ,sivrisinek
204,Fliege::N,тӏветӏ,sinek
205,Schmetterling::N,чепелукь,kelebek
206,Beere::N,куьлуь емиш,tane
207,Apfel::N,ич,elma
208,Pilz::N,къарникъуз,mantar
209,Zwiebel::N,чичӏек,soğan
210,Saat::N,тумар,ekin
211,Korn::N,твар,tane
212,Heu::N,векь,kuru ot
213,Heu::N,векьер,kuru ot
214,Schale::N,пириш,kabuk
215,Schale::N,хъуьруьш,kabuk
216,Grube::N,фур,çukur
217,Falle::N,ракьар,tuzak
218,Schlinge::N,гьалкъа,ilmik
219,Spur::N,гел,iz
220,Asche::N,руьхъ,kül
221,Dreck::N,чирк,pislik
222,Dreck::N,кьуруш,pislik
223,Eisen::N,ракь,demir
224,Gold::N,алтун,altın
225,Silber::N,гимиш,gümüş
226,Kohle::N,цӏивин,kömür
227,Glas::N,шуьше,cam
228,Lehm::N,ччеб,balçık
229,Sand::N,къум,kum
230,Mensch::N,инсан,insan
231,Mann::N,итим,adam
232,Mann::N,итим,erkek
233,Frau::N,паб,bayan
234,Frau::N,дишегьли,bayan
235,Kind::N,аял,çocuk
236,Junge::N,гада,erkek çocuk
237,Mädchen::N,руш,kız
238,Familie::N,хзан,aile
239,Familie::N,килфет,aile
240,Großvater::N,чӏехи буба,dede
241,Großvater::N,чӏехи буба,büyükbaba
242,Großmutter::N,чӏехи диде,nine
243,Großmutter::N,чӏехи диде,büyükanne
244,Eltern::N,диде-буба,ebeveyn
245,Eltern::N,диде-буба,ana baba
246,Vater::N,буба,ata
247,Vater::N,буба,baba
248,Mutter::N,диде,ana
249,Mutter::N,диде,anne
250,Sohn::N,хва,oğul
251,Tochter::N,руш,kız
252,Tochter::N,руш,kız evlât
253,Bruder::N,стха,abi
254,Bruder::N,стха,erkek kardeş
255,Schwester::N,вах,abla
256,Schwester::N,вах,kız kardeş
257,Onkel::N,ими,dayı
258,Onkel::N,халу,dayı
259,Tante::N,эме,hala
260,Tante::N,эме,teyze
261,Tante::N,хала,hala
262,Tante::N,хала,teyze
263,Ehemann::N,гъуьл,koca
264,Ehefrau::N,паб,karı
265,Freude::N,шадвал,neşe
266,Freude::N,шадвал,sevinç
267,Gelächter::N,хъвер,gülme
268,Gelächter::N,хъвер,kahkaha
269,Glück::N,бахт,mutluluk
270,Kummer::N,дерт,dert
271,Kummer::N,дерт,keder
272,Kummer::N,хажалат,dert
273,Kummer::N,хажалат,keder
274,Wunsch::N,мурад,arzu
275,Wunsch::N,мурад,istek
276,Lust::N,гьевес,arzu
277,Lust::N,гьевес,heves
278,Geist::N,руьгь,tin
279,Gedanke::N,фикир,fikir
280,Gedanke::N,фикир,düşünce
281,Verstand::N,акьул,zekâ
282,Sinn::N,мана,anlam
