,Concept_ID,lt,he
0,Auge::N,akis,עין
1,Ohr::N,ausis,אזן
2,Nase::N,nosis,אף
3,Nase::N,nosis,חטם
4,Mund::N,burna,פה
5,Zahn::N,dantis,שן
6,Zunge::N,liežuvis,לשון
7,Lippe::N,lūpa,שפה
8,Wange::N,žandas,לחי
9,Wange::N,skruostas,לחי
10,Gesicht::N,veidas,פנים
11,Stirn::N,kakta,מצח
12,Haar::N,plaukai,שערה
13,Schnurrbart::N,ūsai,שפם
14,Bart::N,barzda,זקן
15,Kinn::N,smakras,סנטר
16,Kiefer[Anatomie]::N,žandikaulis,לסת
17,Kehle::N,gerklė,גרון
18,Hals::N,kaklas,צואר
19,Genick::N,sprandas,ערף
20,Kopf::N,galva,ראש
21,Rücken::N,nugara,גב
22,Bauch::N,pilvas,בטן
23,Nabel::N,bamba,טבור
24,Busen::N,krūtinė,שד
25,Brust::N,krūtis,חזה
26,Schulter::N,petys,כתף
27,Arm::N,ranka,זרוע
28,Ellenbogen::N,alkūnė,מרפק
29,Hand::N,ranka,יד
30,Hand::N,plaštaka,יד
31,Handfläche::N,delnas,כף יד
32,Handfläche::N,plaštaka,כף יד
33,Finger::N,pirštas,אצבע
34,Fingernagel::N,nagas,צפרן
35,Nagel[Anatomie]::N,nagas,צפרן
36,Zeh::N,pirštas,אצבע
37,Fuß::N,pėda,רגל
38,Ferse::N,kulnas,עקב
39,Knie::N,kelis,ברך
40,Oberschenkel::N,kulšis,ירך
41,Oberschenkel::N,šlaunis,ירך
42,Bein::N,koja,רגל
43,Körper::N,kūnas,גוף
44,Haut::N,oda,עור
45,Blut::N,kraujas,דם
46,Ader::N,kraujagyslė,וריד
47,Sehne::N,sausgyslė,גיד
48,Knochen::N,kaulas,עצם
49,Gehirn::N,smegenys,מוח
50,Herz::N,širdis,לב
51,Magen::N,skrandis,קבה
52,Leber::N,kepenys,כבד
53,Atem::N,kvapas,נשימה
54,Hunger::N,badas,רעב
55,Hunger::N,alkis,רעב
56,Träne::N,ašara,דמעה
57,Geschmack::N,skonis,טעם
58,Geruch::N,kvapas,ריח
59,Schlaf::N,miegas,שנה
60,Traum::N,sapnas,חלום
61,Himmel::N,dangus,שמים
62,Sonne::N,saulė,שמש
63,Mond::N,mėnulis,ירח
64,Stern::N,žvaigždė,כוכב
65,Luft::N,oras,אויר
66,Wind::N,vėjas,רוח
67,Welle::N,banga,גל
68,Welle::N,vilnis,גל
69,Wasser::N,vanduo,מים
70,Stein::N,akmuo,אבן
71,Boden::N,žemė,קרקע
72,Boden::N,dugnas,קרקע
73,Erde::N,žemė,אדמה
74,Staub::N,dulkės,אבק
75,Rauch::N,dūmai,עשן
76,Funke::N,kibirkštis,ניצוץ
77,Feuer::N,ugnis,אש
78,Licht::N,šviesa,אור
79,Schatten::N,paūksmė,צל
80,Wetter::N,oras,מזג אויר
81,Nebel::N,migla,ערפל
82,Nebel::N,rūkas,ערפל
