,Concept_ID,lt,sk
0,Auge::N,akis,oko
1,Ohr::N,ausis,ucho
2,Nase::N,nosis,nos
3,Mund::N,burna,ústa
4,Zahn::N,dantis,zub
5,Zunge::N,liežuvis,jazyk
6,Lippe::N,lūpa,pera
7,Wange::N,žandas,líce
8,Wange::N,skruostas,líce
9,Gesicht::N,veidas,tvár
10,Gesicht::N,veidas,obličaj
11,Stirn::N,kakta,čelo
12,Haar::N,plaukai,vlas
13,Schnurrbart::N,ūsai,fúzy
14,Bart::N,barzda,brada
15,Kinn::N,smakras,brada
16,Kiefer[Anatomie]::N,žandikaulis,čeľusť
17,Kehle::N,gerklė,hrdlo
18,Hals::N,kaklas,krk
19,Genick::N,sprandas,väzy
20,Kopf::N,galva,hlava
21,Rücken::N,nugara,chrbát
22,Bauch::N,pilvas,brucho
23,Nabel::N,bamba,pupok
24,Busen::N,krūtinė,prsia
25,Brust::N,krūtis,hruď
26,Schulter::N,petys,plece
27,Arm::N,ranka,rameno
28,Ellenbogen::N,alkūnė,lakeť
29,Hand::N,ranka,ruka
30,Hand::N,plaštaka,ruka
31,Handfläche::N,delnas,dlaň
32,Handfläche::N,plaštaka,dlaň
33,Finger::N,pirštas,prst
34,Fingernagel::N,nagas,necht
35,Nagel[Anatomie]::N,nagas,necht
36,Zeh::N,pirštas,prst na nohe
37,Fuß::N,pėda,noha
38,Ferse::N,kulnas,päta
39,Knie::N,kelis,koleno
40,Oberschenkel::N,kulšis,stehno
41,Oberschenkel::N,šlaunis,stehno
42,Bein::N,koja,noha
43,Körper::N,kūnas,telo
44,Haut::N,oda,koža
45,Blut::N,kraujas,krv
46,Ader::N,kraujagyslė,žila
47,Sehne::N,sausgyslė,šľacha
48,Knochen::N,kaulas,kosť
49,Gehirn::N,smegenys,mozog
50,Herz::N,širdis,srdce
51,Magen::N,skrandis,žalúdok
52,Leber::N,kepenys,pečeň
53,Atem::N,kvapas,dych
54,Hunger::N,badas,hlad
55,Hunger::N,alkis,hlad
56,Träne::N,ašara,slza
57,Geschmack::N,skonis,chuť
58,Geruch::N,kvapas,pach
59,Schlaf::N,miegas,spánok
60,Traum::N,sapnas,sen
61,Himmel::N,dangus,nebo
62,Sonne::N,saulė,slnko
63,Mond::N,mėnulis,mesiac
64,Stern::N,žvaigždė,hviezda
65,Luft::N,oras,vzduch
66,Wind::N,vėjas,vietor
67,Welle::N,banga,vlna
68,Welle::N,vilnis,vlna
69,Wasser::N,vanduo,voda
70,Stein::N,akmuo,kameň
71,Boden::N,žemė,zem
72,Boden::N,žemė,pôda
73,Boden::N,dugnas,zem
74,Boden::N,dugnas,pôda
75,Erde::N,žemė,zem
76,Staub::N,dulkės,prach
77,Rauch::N,dūmai,dym
78,Funke::N,kibirkštis,iskra
79,Feuer::N,ugnis,oheň
80,Licht::N,šviesa,svetlo
81,Schatten::N,paūksmė,tieň
82,Wetter::N,oras,počasie
83,Nebel::N,migla,hmla
84,Nebel::N,rūkas,hmla
85,Wolke::N,debesis,oblak
86,Wolke::N,debesis,mračno
87,Regen::N,lietus,dážď
