,Concept_ID,lv,ca
0,Auge::N,син,ull
1,Auge::N,acs,ull
2,Ohr::N,пель,orella
3,Ohr::N,auss,orella
4,Nase::N,ныр,nas
5,Nase::N,deguns,nas
6,Mund::N,вом,boca
7,Mund::N,mute,boca
8,Zahn::N,пинь,dent
9,Zahn::N,zobs,dent
10,Zunge::N,кыв,llēngua
11,Zunge::N,mēle,llēngua
12,Lippe::N,вом дор,llavi
13,Lippe::N,lūpa,llavi
14,Wange::N,бан,galta
15,Wange::N,vaigs,galta
16,Gesicht::N,чужӧм,cara
17,Gesicht::N,seja,cara
18,Gesicht::N,ģīmis,cara
19,Stirn::N,плеш,front
20,Stirn::N,кымӧс,front
21,Stirn::N,piere,front
22,Haar::N,си,cabēll
23,Haar::N,юрси,cabēll
24,Haar::N,mats,cabēll
25,Schnurrbart::N,ус,bigoti
26,Schnurrbart::N,пыртсим,bigoti
27,Schnurrbart::N,ūsas,bigoti
28,Bart::N,тош,barba
29,Bart::N,bārda,barba
30,Kinn::N,тшӧка,mentó
31,Kinn::N,тшӧка,barbeta
32,Kinn::N,zods,mentó
33,Kinn::N,zods,barbeta
34,Kinn::N,smakrs,mentó
35,Kinn::N,smakrs,barbeta
36,Kiefer[Anatomie]::N,черлы,queix
37,Kiefer[Anatomie]::N,черлы,mandíbula
38,Kiefer[Anatomie]::N,алака лы,queix
39,Kiefer[Anatomie]::N,алака лы,mandíbula
40,Kiefer[Anatomie]::N,вомкӧтш лы,queix
41,Kiefer[Anatomie]::N,вомкӧтш лы,mandíbula
42,Kiefer[Anatomie]::N,žoklis,queix
43,Kiefer[Anatomie]::N,žoklis,mandíbula
44,Kehle::N,голя,gola
45,Kehle::N,голя,gorja
46,Kehle::N,rīkle,gola
47,Kehle::N,rīkle,gorja
48,Hals::N,сьылі,coll
49,Hals::N,kakls,coll
50,Genick::N,юрбӧр,nuca
51,Genick::N,балябӧж,nuca
52,Genick::N,sprands,nuca
53,Kopf::N,юр,cap
54,Kopf::N,galva,cap
55,Rücken::N,мыш,esquena
56,Rücken::N,mugura,esquena
57,Bauch::N,рушку,panxa
58,Bauch::N,vēders,panxa
59,Nabel::N,гӧг,llombrígol
60,Nabel::N,naba,llombrígol
61,Busen::N,морӧс,pit
62,Busen::N,морӧс,mama
63,Busen::N,krūts,pit
64,Busen::N,krūts,mama
65,Brust::N,морӧс,pit
66,Brust::N,krūts,pit
67,Schulter::N,пельпом,espatlla
68,Schulter::N,plecs,espatlla
69,Arm::N,ки,braç
70,Arm::N,roka,braç
71,Arm::N,delms,braç
72,Ellenbogen::N,гырддза,colze
73,Ellenbogen::N,elkonis,colze
74,Hand::N,ки,mà
75,Hand::N,roka,mà
76,Hand::N,plauksta,mà
77,Handfläche::N,ки пыдӧс,palma
78,Handfläche::N,delna,palma
79,Handfläche::N,plauksta,palma
80,Finger::N,чунь,dit
81,Finger::N,pirksts,dit
82,Fingernagel::N,гыж,ungla
83,Fingernagel::N,nags,ungla
84,Nagel[Anatomie]::N,гыж,ungla
85,Nagel[Anatomie]::N,nags,ungla
86,Zeh::N,кок чунь,dit del peu
87,Zeh::N,pirksts,dit del peu
88,Fuß::N,кок,peu
89,Fuß::N,kāja,peu
90,Ferse::N,кокбӧр,taló
91,Ferse::N,papēdis,taló
92,Knie::N,пидзӧс,genoll
93,Knie::N,celis,genoll
94,Oberschenkel::N,лядьвей,cuixa
95,Oberschenkel::N,бек,cuixa
96,Oberschenkel::N,ciska,cuixa
97,Oberschenkel::N,augšstilbs,cuixa
98,Bein::N,кок,cama
99,Bein::N,kāja,cama
100,Körper::N,туша,cos
101,Körper::N,вывтыр,cos
102,Körper::N,miesa,cos
103,Körper::N,ķermenis,cos
104,Haut::N,ку,pell
105,Haut::N,āda,pell
106,Blut::N,вир,sang
107,Blut::N,asins,sang
108,Ader::N,сӧн,vena
109,Ader::N,asinsvads,vena
110,Sehne::N,вез,tendó
111,Sehne::N,dzīsla,tendó
112,Knochen::N,лы,os
113,Knochen::N,kauls,os
114,Gehirn::N,вем,cervell
115,Gehirn::N,smadzenes,cervell
