,Concept_ID,lv,zh
0,Auge::N,син,眼睛
1,Auge::N,acs,眼睛
2,Ohr::N,пель,耳朵
3,Ohr::N,auss,耳朵
4,Nase::N,ныр,鼻子
5,Nase::N,deguns,鼻子
6,Mund::N,вом,嘴
7,Mund::N,mute,嘴
8,Zahn::N,пинь,牙齿
9,Zahn::N,zobs,牙齿
10,Zunge::N,кыв,舌头
11,Zunge::N,mēle,舌头
12,Lippe::N,вом дор,嘴唇
13,Lippe::N,lūpa,嘴唇
14,Wange::N,бан,面颊
15,Wange::N,vaigs,面颊
16,Gesicht::N,чужӧм,脸
17,Gesicht::N,seja,脸
18,Gesicht::N,ģīmis,脸
19,Stirn::N,плеш,额
20,Stirn::N,кымӧс,额
21,Stirn::N,piere,额
22,Haar::N,си,头发
23,Haar::N,юрси,头发
24,Haar::N,mats,头发
25,Schnurrbart::N,ус,髭须
26,Schnurrbart::N,пыртсим,髭须
27,Schnurrbart::N,ūsas,髭须
28,Bart::N,тош,胡子
29,Bart::N,bārda,胡子
30,Kinn::N,тшӧка,下巴
31,Kinn::N,zods,下巴
32,Kinn::N,smakrs,下巴
33,Kiefer[Anatomie]::N,черлы,颌
34,Kiefer[Anatomie]::N,алака лы,颌
35,Kiefer[Anatomie]::N,вомкӧтш лы,颌
36,Kiefer[Anatomie]::N,žoklis,颌
37,Kehle::N,голя,嗓子
38,Kehle::N,rīkle,嗓子
39,Hals::N,сьылі,颈
40,Hals::N,kakls,颈
41,Genick::N,юрбӧр,后颈
42,Genick::N,балябӧж,后颈
43,Genick::N,sprands,后颈
44,Kopf::N,юр,头
45,Kopf::N,galva,头
46,Rücken::N,мыш,背
47,Rücken::N,mugura,背
48,Bauch::N,рушку,肚子
49,Bauch::N,vēders,肚子
50,Nabel::N,гӧг,肚脐
51,Nabel::N,naba,肚脐
52,Busen::N,морӧс,胸脯
53,Busen::N,krūts,胸脯
54,Brust::N,морӧс,胸
55,Brust::N,krūts,胸
56,Schulter::N,пельпом,肩膀
57,Schulter::N,plecs,肩膀
58,Arm::N,ки,臂膀
59,Arm::N,roka,臂膀
60,Arm::N,delms,臂膀
61,Ellenbogen::N,гырддза,肘
62,Ellenbogen::N,elkonis,肘
63,Hand::N,ки,手
64,Hand::N,roka,手
65,Hand::N,plauksta,手
66,Handfläche::N,ки пыдӧс,手掌
67,Handfläche::N,delna,手掌
68,Handfläche::N,plauksta,手掌
69,Finger::N,чунь,手指
70,Finger::N,pirksts,手指
71,Fingernagel::N,гыж,指甲
72,Fingernagel::N,nags,指甲
73,Nagel[Anatomie]::N,гыж,指甲
74,Nagel[Anatomie]::N,nags,指甲
75,Zeh::N,кок чунь,脚趾
76,Zeh::N,pirksts,脚趾
77,Fuß::N,кок,脚
78,Fuß::N,kāja,脚
79,Ferse::N,кокбӧр,后跟
80,Ferse::N,papēdis,后跟
81,Knie::N,пидзӧс,膝
82,Knie::N,celis,膝
83,Oberschenkel::N,лядьвей,大腿
84,Oberschenkel::N,бек,大腿
85,Oberschenkel::N,ciska,大腿
86,Oberschenkel::N,augšstilbs,大腿
87,Bein::N,кок,腿
88,Bein::N,kāja,腿
89,Körper::N,туша,身体
90,Körper::N,вывтыр,身体
91,Körper::N,miesa,身体
92,Körper::N,ķermenis,身体
93,Haut::N,ку,皮肤
94,Haut::N,āda,皮肤
95,Blut::N,вир,血
96,Blut::N,asins,血
97,Ader::N,сӧн,血管
98,Ader::N,asinsvads,血管
99,Sehne::N,вез,腱
100,Sehne::N,dzīsla,腱
101,Knochen::N,лы,骨
102,Knochen::N,kauls,骨
103,Gehirn::N,вем,脑
104,Gehirn::N,smadzenes,脑
105,Herz::N,сьӧлӧм,心
106,Herz::N,sirds,心
107,Magen::N,кынӧм,胃
108,Magen::N,kuņģis,胃
109,Leber::N,мус,肝
110,Leber::N,aknas,肝
111,Atem::N,лов,呼吸
112,Atem::N,elpa,呼吸
113,Hunger::N,тшыг,饿
114,Hunger::N,bads,饿
115,Hunger::N,izsalkums,饿
116,Träne::N,синва,眼泪
117,Träne::N,asara,眼泪
118,Geschmack::N,кӧр,味道
119,Geschmack::N,чӧсмӧс,味道
120,Geschmack::N,garša,味道
121,Geruch::N,зын,气味
122,Geruch::N,дук,气味
123,Geruch::N,smaka,气味
124,Schlaf::N,узьӧм,睡眠
125,Schlaf::N,miegs,睡眠
126,Traum::N,вӧт,梦
127,Traum::N,вӧтасьӧм,梦
128,Traum::N,sapnis,梦
129,Himmel::N,енэж,天空
130,Himmel::N,debess,天空
131,Sonne::N,шонді,太阳
132,Sonne::N,saule,太阳
133,Mond::N,тӧлысь,月亮
134,Mond::N,mēness,月亮
135,Stern::N,кодзув,星
136,Stern::N,zvaigzne,星
137,Luft::N,сынӧд,空气
138,Luft::N,gaiss,空气
139,Wind::N,тӧв,风
140,Wind::N,vējš,风
141,Welle::N,гы,波
142,Welle::N,vilnis,波
143,Wasser::N,ва,水
144,Wasser::N,ūdens,水
145,Stein::N,из,石头
146,Stein::N,akmens,石头
147,Boden::N,му,地面
148,Boden::N,augsne,地面
149,Erde::N,му,地
150,Erde::N,му-ва,地
151,Erde::N,zeme,地
152,Staub::N,бус,灰尘
153,Staub::N,putekļi,灰尘
154,Rauch::N,тшын,烟
155,Rauch::N,dūmi,烟
156,Funke::N,кинь,火花
157,Funke::N,би кинь,火花
158,Funke::N,dzirkstele,火花
159,Feuer::N,би,火
160,Feuer::N,uguns,火
161,Licht::N,югӧр,光
162,Licht::N,gaisma,光
163,Schatten::N,вуджӧр,影子
164,Schatten::N,ēna,影子
165,Wetter::N,поводдя,天气
166,Wetter::N,laiks,天气
167,Nebel::N,ру,雾
168,Nebel::N,онь,雾
169,Nebel::N,migla,雾
170,Wolke::N,кымӧр,云
171,Wolke::N,mākonis,云
172,Regen::N,зэр,雨
173,Regen::N,lietus,雨
174,Schnee::N,лым,雪
175,Schnee::N,sniegs,雪
176,Eis::N,йи,冰
177,Eis::N,ledus,冰
178,Frost::N,кӧдзыд,霜冻
179,Frost::N,sals,霜冻
180,Kälte::N,кӧдзыд,寒冷
181,Kälte::N,saltums,寒冷
182,Kälte::N,aukstums,寒冷
183,Hitze::N,пӧсь,炎热
184,Hitze::N,гожӧд,炎热
185,Hitze::N,karstums,炎热
186,Raureif::N,пуж,霜
187,Raureif::N,гыӧр,霜
188,Raureif::N,sarma,霜
189,Regenbogen::N,ӧшкамӧшка,虹
190,Regenbogen::N,varavīksne,虹
191,Donner::N,гым,雷
192,Donner::N,pērkons,雷
193,Strömung::N,ва ныр,水流
194,Strömung::N,визувтӧм,水流
195,Strömung::N,straume,水流
196,Strömung::N,strāvojums,水流
197,Tropfen::N,войт,滴
198,Tropfen::N,lāse,滴
199,Schaum::N,быг,泡沫
200,Schaum::N,быгзьӧм,泡沫
201,Schaum::N,putas,泡沫
202,Schmutz::N,няйт,赃物
203,Schmutz::N,dubļi,赃物
204,See::N,ты,湖
205,See::N,ezers,湖
206,Sumpf::N,гыбад,沼泽
207,Sumpf::N,кад,沼泽
208,Sumpf::N,dumbrājs,沼泽
209,Sumpf::N,staignājs,沼泽
210,Moor::N,нюр,沼泽
211,Moor::N,purvs,沼泽
212,Moor::N,muklājs,沼泽
213,Wiese::N,видз,草地
214,Wiese::N,pļava,草地
215,Wald::N,вӧр,森林
216,Wald::N,mežs,森林
217,Hügel::N,дзиб,丘陵
218,Hügel::N,мыльк,丘陵
219,Hügel::N,нӧрыс,丘陵
220,Hügel::N,paugurs,丘陵
221,Anhöhe::N,мыльк,山丘
222,Anhöhe::N,нӧрыс,山丘
223,Anhöhe::N,paugurs,山丘
224,Berg::N,чой,山
225,Berg::N,керӧс,山
226,Berg::N,kalns,山
227,Gipfel::N,чук,峰
228,Gipfel::N,virsotne,峰
229,Höhle::N,рудӧг,洞穴
230,Höhle::N,ala,洞穴
231,Abhang::N,ньывк,斜坡
232,Abhang::N,бокша,斜坡
233,Abhang::N,nogāze,斜坡
234,Quelle::N,ӧшмӧс,泉
235,Quelle::N,avots,泉
236,Bach::N,шор,溪
237,Bach::N,urga,溪
238,Bach::N,strauts,溪
239,Fluss::N,ю,河流
240,Fluss::N,upe,河流
241,Ufer::N,вадор,岸
242,Ufer::N,krasts,岸
243,Küste::N,вадор,海岸
244,Küste::N,piekraste,海岸
245,Festland::N,му,大陆
246,Festland::N,sauszeme,大陆
247,Meer::N,саридз,海
248,Meer::N,jūra,海
249,Bucht::N,куръя,海湾
250,Bucht::N,līcis,海湾
251,Insel::N,ді,岛
252,Insel::N,sala,岛
253,Blume::N,дзоридз,花
254,Blume::N,puķe,花
255,Blume::N,zieds,花
256,Gras::N,турун,草
257,Gras::N,zāle,草
258,Wurzel::N,вуж,根
259,Wurzel::N,sakne,根
260,Baum::N,пу,树
261,Baum::N,koks,树
262,Stamm::N,пучер,树干
263,Stamm::N,stumbrs,树干
264,Rinde::N,кырсь,树皮
265,Rinde::N,miza,树皮
266,Ast::N,ув,树枝
267,Ast::N,zars,树枝
268,Zweig::N,вож,树枝
269,Zweig::N,nozare,树枝
270,Blatt::N,кор,叶子
271,Blatt::N,lapa,叶子
272,Birke::N,кыдз,桦木
273,Birke::N,bērzs,桦木
274,Kiefer[Baum]::N,пожӧм,松树
275,Kiefer[Baum]::N,priede,松树
276,Weide[Baum]::N,бадь,柳树
277,Weide[Baum]::N,kārkls,柳树
278,Tanne::N,коз,冷杉
279,Tanne::N,egle,冷杉
280,Horn::N,сюр,角
281,Horn::N,rags,角
282,Feder::N,гӧн,羽毛
283,Feder::N,тывборд,羽毛
284,Feder::N,spalva,羽毛
285,Fell::N,ку,皮毛
286,Fell::N,āda,皮毛
287,Flügel::N,борд,翅膀
288,Flügel::N,spārns,翅膀
289,Klaue::N,гыж,爪子
290,Klaue::N,nags,爪子
291,Kralle::N,гыж,爪子
292,Kralle::N,nags,爪子
293,Schwanz::N,бӧж,尾巴
294,Schwanz::N,ļipa,尾巴
295,Ei::N,кольк,蛋
296,Ei::N,ola,蛋
297,Nest::N,поз,巢
298,Nest::N,ligzda,巢
299,Bau::N,горс,穴
300,Bau::N,пырмӧс,穴
301,Bau::N,гу,穴
302,Bau::N,ala,穴
303,Tier::N,пемӧс,动物
304,Tier::N,dzīvnieks,动物
305,Herde::N,стада,群
306,Herde::N,кельӧб,群
307,Herde::N,ganāmpulks,群
308,Kuh::N,мӧс,母牛
309,Kuh::N,govs,母牛
310,Bulle::N,ӧш,公牛
311,Bulle::N,bullis,公牛
312,Pferd::N,вӧв,马
313,Pferd::N,zirgs,马
314,Schaf::N,ыж,羊
315,Schaf::N,aita,羊
316,Schwein::N,порсь,猪
317,Schwein::N,cūka,猪
318,Hund::N,пон,狗
319,Hund::N,suns,狗
320,Katze::N,кань,猫
321,Katze::N,kaķis,猫
322,Bär::N,ош,熊
323,Bär::N,lācis,熊
324,Eichhörnchen::N,ур,松鼠
325,Eichhörnchen::N,vāvere,松鼠
326,Elch::N,йӧра,麋鹿
327,Elch::N,alnis,麋鹿
328,Fuchs::N,руч,狐狸
329,Fuchs::N,lapsa,狐狸
330,Hase::N,кӧч,兔子
331,Hase::N,zaķis,兔子
332,Maus::N,шыр,老鼠
333,Maus::N,pele,老鼠
334,Wolf::N,кӧин,狼
335,Wolf::N,vilks,狼
336,Vogel::N,кай,鸟
337,Vogel::N,лэбач,鸟
338,Vogel::N,putns,鸟
339,Schwarm::N,чукӧр,群
340,Schwarm::N,spiets,群
341,Huhn::N,курӧг,鸡
342,Huhn::N,vista,鸡
343,Hahn::N,петук,公鸡
344,Hahn::N,gailis,公鸡
345,Gans::N,дзодзӧг,鹅
346,Gans::N,zoss,鹅
347,Adler::N,кутш,鹰
348,Adler::N,ērglis,鹰
349,Ente::N,утка,鸭
350,Ente::N,pīle,鸭
351,Eule::N,сюзь,猫头鹰
352,Eule::N,pūce,猫头鹰
353,Kranich::N,тури,鹤
354,Kranich::N,dzērve,鹤
355,Krähe::N,рака,乌鸦
356,Krähe::N,vārna,乌鸦
357,Kuckuck::N,кӧк,布谷鸟
358,Kuckuck::N,dzeguze,布谷鸟
359,Schwan::N,юсь,天鹅
360,Schwan::N,gulbis,天鹅
361,Fisch::N,чери,鱼
362,Fisch::N,zivs,鱼
363,Barsch::N,ёкыш,鲈鱼
364,Barsch::N,asaris,鲈鱼
365,Hecht::N,сир,狗鱼
366,Hecht::N,līdaka,狗鱼
367,Schlange[Tier]::N,кый,蛇
368,Schlange[Tier]::N,čūska,蛇
369,Wurm::N,номыр,蠕虫
370,Wurm::N,tārps,蠕虫
371,Spinne::N,черань,蜘蛛
372,Spinne::N,zirneklis,蜘蛛
373,Ameise::N,кодзувкот,蚂蚁
374,Ameise::N,skudra,蚂蚁
375,Laus::N,той,虱子
376,Laus::N,uts,虱子
377,Mücke::N,ном,蚊子
378,Mücke::N,ods,蚊子
379,Fliege::N,гут,苍蝇
380,Fliege::N,muša,苍蝇
381,Schmetterling::N,бобув,蝴蝶
382,Schmetterling::N,tauriņš,蝴蝶
383,Beere::N,тусь,将果
384,Beere::N,вотӧс,将果
385,Beere::N,oga,将果
386,Apfel::N,яблӧг,苹果
387,Apfel::N,ābols,苹果
388,Pilz::N,тшак,蘑菇
389,Pilz::N,sēne,蘑菇
390,Zwiebel::N,луккок,洋葱
391,Zwiebel::N,йӧнгыль,洋葱
392,Zwiebel::N,sīpols,洋葱
393,Saat::N,тусь,种子
394,Saat::N,кӧйдыс,种子
395,Saat::N,sēkla,种子
396,Korn::N,тусь,谷粒
397,Korn::N,grauds,谷粒
398,Heu::N,турун,干草
399,Heu::N,siens,干草
400,Schale::N,кор,壳
401,Schale::N,čaula,壳
402,Schale::N,čaumala,壳
403,Grube::N,гу,坑
404,Grube::N,bedre,坑
405,Falle::N,лэч,圈套
406,Falle::N,slazds,圈套
407,Falle::N,lamatas,圈套
408,Schlinge::N,лэч,活扣
409,Schlinge::N,cilpa,活扣
410,Spur::N,туй,踪迹
411,Spur::N,pēda,踪迹
412,Asche::N,пӧм,灰烬
413,Asche::N,pelni,灰烬
414,Dreck::N,няйт,污垢
415,Dreck::N,dubļi,污垢
416,Eisen::N,кӧрт,铁
417,Eisen::N,dzelzs,铁
418,Gold::N,зарни,金子
419,Gold::N,zelts,金子
420,Silber::N,эзысь,银
421,Silber::N,sudrabs,银
422,Kohle::N,шом,煤
423,Kohle::N,ogle,煤
424,Glas::N,стеклӧ,玻璃
425,Glas::N,stikls,玻璃
426,Lehm::N,сёй,粘土
427,Lehm::N,māls,粘土
428,Sand::N,лыа,沙
429,Sand::N,smiltis,沙
430,Mensch::N,морт,人
431,Mensch::N,cilvēks,人
432,Mann::N,аймӧрт,男子
433,Mann::N,мужичӧй,男子
434,Mann::N,vīrietis,男子
435,Frau::N,ань,妇女
436,Frau::N,нывбаба,妇女
437,Frau::N,sieviete,妇女
438,Kind::N,кага,小孩
439,Kind::N,bērns,小孩
440,Junge::N,пи,男孩
441,Junge::N,zēns,男孩
442,Junge::N,puika,男孩
443,Junge::N,puisis,男孩
444,Mädchen::N,ныв,女孩
445,Mädchen::N,meiča,女孩
446,Mädchen::N,skuķis,女孩
447,Mädchen::N,meitene,女孩
448,Familie::N,семья,家庭
449,Familie::N,ģimene,家庭
450,Großvater::N,пӧль,祖父
451,Großvater::N,vecaistēvs,祖父
452,Großmutter::N,баб,祖母
453,Großmutter::N,vecāmāte,祖母
454,Eltern::N,ай-мам,父母
455,Eltern::N,бать-мам,父母
456,Eltern::N,vecāki,父母
457,Vater::N,бать,父亲
458,Vater::N,ай,父亲
459,Vater::N,tēvs,父亲
460,Mutter::N,мам,母亲
461,Mutter::N,māte,母亲
462,Sohn::N,пи,儿子
463,Sohn::N,dēls,儿子
464,Tochter::N,ныв,女儿
465,Tochter::N,meita,女儿
466,Bruder::N,вок,兄弟
467,Bruder::N,brālis,兄弟
468,Schwester::N,чой,姐妹
469,Schwester::N,māsa,姐妹
470,Onkel::N,дядь,伯父
471,Onkel::N,tēvocis,伯父
472,Tante::N,тьӧт,阿姨
473,Tante::N,tante,阿姨
474,Ehemann::N,верӧс,丈夫
475,Ehemann::N,vīrs,丈夫
476,Ehefrau::N,гӧтыр,妻子
477,Ehefrau::N,sieva,妻子
478,Freude::N,радлун,愉快
479,Freude::N,prieks,愉快
480,Gelächter::N,серам,大笑
481,Gelächter::N,smiekli,大笑
482,Glück::N,шуд,运气
483,Glück::N,laime,运气
484,Kummer::N,шог,苦恼
485,Kummer::N,bēdas,苦恼
486,Kummer::N,raizes,苦恼
487,Wunsch::N,кӧсйӧм,愿望
488,Wunsch::N,vēlme,愿望
489,Wunsch::N,vēlējums,愿望
490,Lust::N,кыскӧм,乐趣
491,Lust::N,радейтӧм,乐趣
492,Lust::N,kāre,乐趣
493,Geist::N,лов,精神
494,Geist::N,gars,精神
495,Gedanke::N,мӧвп,思想
496,Gedanke::N,doma,思想
497,Gedächtnis::N,паметь,记性
498,Gedächtnis::N,atmiņa,记性
