,Concept_ID,mdf,hu
0,Auge::N,сельме,szem
1,Ohr::N,пиле,fül
2,Nase::N,шалхка,orr
3,Mund::N,курга,száj
4,Zahn::N,пей,fog
5,Zunge::N,кяль,nyelv
6,Lippe::N,търва́,ajak
7,Wange::N,щёка,orca
8,Gesicht::N,шама,arc
9,Stirn::N,коня,homlok
10,Haar::N,шя́ярь,haj
11,Schnurrbart::N,уса́,bajusz
12,Bart::N,сакал,szakáll
13,Kinn::N,ула,áll
14,Kiefer[Anatomie]::N,саласка,állkapocs
15,Kehle::N,кълдома,gége
16,Kehle::N,кълдома,torok
17,Kehle::N,кърга́парь,gége
18,Kehle::N,кърга́парь,torok
19,Hals::N,сялдаз,nyak
20,Genick::N,шовонь,tarkó
21,Kopf::N,пря,fő
22,Kopf::N,пря,fej
23,Rücken::N,копорь,hát
24,Bauch::N,пеке,has
25,Nabel::N,по́кон,köldök
26,Busen::N,потя,mell
27,Busen::N,потя,kebel
28,Brust::N,мяште,mell
29,Schulter::N,лафту,váll
30,Arm::N,кядь,kar
31,Ellenbogen::N,кенерьба́карь,könyök
32,Hand::N,кядь,kéz
33,Handfläche::N,кядьлапш,tenyér
34,Finger::N,сур,ujj
35,Fingernagel::N,кенже,köröm
36,Nagel[Anatomie]::N,кенже,köröm
37,Zeh::N,пильгосу́р,lábujj
38,Fuß::N,пильге,láb
39,Fuß::N,пильгелапа,láb
40,Ferse::N,кочкяря,sarok
41,Knie::N,эль,térd
42,Knie::N,пълма́нжа,térd
43,Oberschenkel::N,пильгепукша,comb
44,Bein::N,пильге,láb
45,Bein::N,пильге,lábszár
46,Körper::N,ро́нга,test
47,Körper::N,по́нда,test
48,Haut::N,киське,bőr
49,Blut::N,вер,vér
50,Ader::N,сан,ér
51,Ader::N,верза́н,ér
52,Sehne::N,коське сан,ín
53,Knochen::N,пакарь,csont
54,Gehirn::N,уй,agy
55,Gehirn::N,уй,agyvelő
56,Herz::N,седи,szív
57,Magen::N,коткърдазь,gyomor
58,Leber::N,макса,máj
59,Atem::N,лекома,lehelet
60,Atem::N,лекома,lélegzet
61,Atem::N,ваймонь тарксема,lehelet
62,Atem::N,ваймонь тарксема,lélegzet
63,Hunger::N,вачеши,éhség
64,Träne::N,сельмове́дь,könny
65,Geschmack::N,таньф,íz
66,Geruch::N,шине,szag
67,Schlaf::N,удома́,álom
68,Schlaf::N,удома́,alvás
69,Traum::N,он,álom
70,Himmel::N,менель,ég
71,Himmel::N,менель,menny
72,Sonne::N,ши,nap
73,Mond::N,ков,hold
74,Stern::N,тяште,csillag
75,Luft::N,кожф,levegő
76,Wind::N,варма,szél
77,Welle::N,тавла,hullám
78,Wasser::N,ведь,víz
79,Stein::N,кев,kő
80,Boden::N,мода,föld
81,Boden::N,мода,talaj
82,Boden::N,потмакс,föld
83,Boden::N,потмакс,talaj
84,Erde::N,мода,föld
85,Erde::N,мастор,föld
86,Staub::N,пуль,por
87,Rauch::N,качам,füst
88,Funke::N,ця́тка,szikra
89,Feuer::N,тол,tűz
90,Licht::N,ва́лда,fény
91,Schatten::N,цильф,árnyék
92,Wetter::N,уша,idő
93,Wetter::N,уша,időjárás
94,Nebel::N,тума́н,köd
95,Wolke::N,ковол,felhő
96,Regen::N,пизем,eső
97,Schnee::N,лов,hó
98,Eis::N,эй,jég
99,Frost::N,ке́льме,fagy
100,Kälte::N,якшама,hideg
101,Hitze::N,пси,hő
102,Hitze::N,пси,hőség
103,Raureif::N,леш,zúzmara
104,Regenbogen::N,а́тямъёнга,szivárvány
105,Donner::N,атям,dörgés
106,Donner::N,атям,mennydörgés
107,Strömung::N,шудема́,áramlat
108,Tropfen::N,путькс,csepp
109,Tropfen::N,пътняфкс,csepp
110,Schaum::N,шов,hab
111,Schaum::N,шов,tajték
112,Schmutz::N,ърда́з,piszok
113,See::N,эрьхке,tó
114,Sumpf::N,шяй,mocsár
115,Moor::N,шяй,láp
116,Wiese::N,луга,rét
117,Wiese::N,луга,mező
118,Wald::N,вирь,erdő
119,Hügel::N,губо́р,domb
120,Hügel::N,пандоня,domb
121,Anhöhe::N,губо́р,magaslat
122,Berg::N,панда,hegy
123,Gipfel::N,пря,csúcs
124,Höhle::N,у́нда,barlang
125,Abhang::N,па́нда ша́ма,lejtő
126,Quelle::N,эшиня,forrás
127,Bach::N,шудерькс,patak
128,Fluss::N,ляй,folyó
129,Ufer::N,търва́,part
130,Küste::N,ляйтърва́,tengerpart
