,Concept_ID,mhr,ga
0,Auge::N,шинча́,súil
1,Ohr::N,пы́лыш,cluas
2,Nase::N,нер,soc
3,Mund::N,умша́,béal
4,Zahn::N,пӱй,fiacail
5,Zunge::N,йы́лме,teanga
6,Lippe::N,тӱ́рвӧ,liopa
7,Wange::N,шӱ́ргӧ,grua
8,Wange::N,шӱ́ргӧ,leiceann
9,Gesicht::N,чури́й,éadan
10,Gesicht::N,чури́й,aghaidh
11,Stirn::N,саҥга́,baithis
12,Stirn::N,саҥга́,clár éadain
13,Haar::N,ӱп,gruaig
14,Schnurrbart::N,ӧ́рыш,croiméal
15,Bart::N,понда́ш,féasóg
16,Kinn::N,оҥыла́ш,smig
17,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,giall
18,Kiefer[Anatomie]::N,пӱйората́,giall
19,Kehle::N,лога́р,scornach
20,Hals::N,шӱй,muinéal
21,Genick::N,шӱйло́дыш,baic
22,Kopf::N,вуй,ceann
23,Rücken::N,туп,droim
24,Bauch::N,мӱ́шкыр,bolg
25,Nabel::N,кы́лымде,imleacán
26,Busen::N,чы́зе,cíoch
27,Brust::N,оҥ,brollach
28,Schulter::N,ва́че,gualainn
29,Arm::N,кид,lámh
30,Ellenbogen::N,кынерву́й,uillinn
31,Hand::N,кид,lámh
32,Hand::N,копа́,lámh
33,Handfläche::N,со́во,bos
34,Finger::N,парня́,méar
35,Fingernagel::N,кидкӱ́ч,ionga
36,Fingernagel::N,парнягӱ́ч,ionga
37,Nagel[Anatomie]::N,кӱч,ionga
38,Zeh::N,йолварня́,ladhar
39,Fuß::N,йол,cos
40,Fuß::N,йол,troigh
41,Fuß::N,йолкопа́,cos
42,Fuß::N,йолкопа́,troigh
43,Ferse::N,тага́н,sáil
44,Knie::N,пулву́й,glúin
45,Oberschenkel::N,э́рде,ceathrú
46,Bein::N,йол,cos
47,Körper::N,кап,corp
48,Körper::N,кап,colainn
49,Haut::N,кова́ште,cneas
50,Haut::N,кова́ште,craiceann
51,Blut::N,вӱр,fuil
52,Ader::N,шӧн,
53,Sehne::N,шӧн,teannán
54,Sehne::N,шӧн,féitheog
55,Sehne::N,кӱсе́н,teannán
56,Sehne::N,кӱсе́н,féitheog
57,Knochen::N,лу,cnámh
