,Concept_ID,ml,vep
0,Auge::N,കണ്ണ്,sil'm
1,Ohr::N,ചെവി,korv
2,Nase::N,മൂക്ക്,nena
3,Mund::N,വായ,su
4,Zahn::N,പല്ല്,pi
5,Zahn::N,പല്ല്,hambaz
6,Zunge::N,നാക്ക്,kel'
7,Lippe::N,ചുണ്ട്,hul'
8,Wange::N,കവിൾത്തടം,modpolišk
9,Gesicht::N,മുഖം,mod
10,Stirn::N,നെറ്റി,oc
11,Haar::N,തലമുടി,tuk
12,Haar::N,തലമുടി,hibuz
13,Schnurrbart::N,മീശ,habinod
14,Bart::N,താടിരോമം,bard
15,Kinn::N,താടി,löug
16,Kiefer[Anatomie]::N,താടിയെല്ല്,hambazlu
17,Kehle::N,കണ്ഠനാളം,kurk
18,Hals::N,കഴുത്ത്,kagl
19,Genick::N,പിടലി,tagarai
20,Kopf::N,തല,pä
21,Rücken::N,മുതുക്,sel'g
22,Bauch::N,നയറ്,vac
23,Bauch::N,നയറ്,koht
24,Nabel::N,നാഭി,naba
25,Busen::N,സ്തനം,niža
26,Brust::N,സ്തനം,rind
27,Schulter::N,തോൾ,oug
28,Arm::N,കൈ,käzi
29,Ellenbogen::N,കൈമുട്ട്,künambruz
30,Hand::N,കൈ,käzi
31,Hand::N,കൈ,käzitera
32,Handfläche::N,ഉള്ളം കൈ,kämen
33,Finger::N,വിരൽ,sor'm
34,Fingernagel::N,നഖം,künz'
35,Nagel[Anatomie]::N,നഖം,künz'
36,Zeh::N,കാൽവിരൽ,barbaz
37,Fuß::N,കാൽപ്പാദം,jaug
38,Ferse::N,ഉപ്പൂറ്റി,kand
39,Knie::N,കാൽമുട്ട്,komb
40,Knie::N,കാൽമുട്ട്,pol'v
41,Oberschenkel::N,തുട,riiže
42,Bein::N,കാൽ,jaug
43,Körper::N,ശരീരം,hibj
44,Haut::N,ചർമ്മം,nahk
45,Blut::N,രക്തം,čak
46,Blut::N,രക്തം,veri
47,Ader::N,ഞരമ്പ്,son'
48,Sehne::N,സ്നായു,jände
