,Concept_ID,mrj,ja
0,Auge::N,сӹнзӓ,目
1,Ohr::N,пӹлӹш,耳
2,Nase::N,нер,鼻
3,Mund::N,ышма,口
4,Zahn::N,пӱ,歯
5,Zunge::N,йӹлмӹ,舌
6,Lippe::N,тӹрвӹ,唇
7,Wange::N,шӹргӹ,頬
8,Gesicht::N,лицӓ,顔
9,Stirn::N,лепкӓ,額
10,Haar::N,ӱп,髪
11,Schnurrbart::N,öрш,口髭
12,Bart::N,пандаш,髭
13,Kinn::N,онгылаш,顎
14,Kiefer[Anatomie]::N,пӱ арата,顎
15,Kehle::N,логер,喉
16,Hals::N,шӱ,首
17,Genick::N,ланга,首
18,Kopf::N,вуй,頭
19,Rücken::N,туп,背中
20,Bauch::N,мӹшкӹр,腹
21,Bauch::N,мӹшкӹр,お腹
22,Nabel::N,кӹлӹмдӹ,へそ
23,Busen::N,цӹзӹ,乳房
24,Brust::N,мел,胸
25,Schulter::N,ӹнгӹжӓ,肩
26,Arm::N,кид,腕
27,Ellenbogen::N,кӹнервуй,肘
28,Hand::N,лапа,手
29,Handfläche::N,кид лапа,手のひら
30,Finger::N,парня,指
31,Fingernagel::N,кӹч,爪
32,Nagel[Anatomie]::N,кӹч,爪
33,Zeh::N,парня,足の指
34,Fuß::N,ял лапа,足
35,Ferse::N,ялгавал,かかと
36,Ferse::N,ял кавал,かかと
37,Knie::N,пылвуй,膝
38,Oberschenkel::N,ӓрдӹ,上腿
39,Bein::N,ял,足
40,Körper::N,монгыр,体
41,Haut::N,кавашты,皮膚
42,Blut::N,вӹр,血
43,Ader::N,вӹршӓр,血管
44,Sehne::N,кукшышӱн,腱
45,Knochen::N,лу,骨
46,Gehirn::N,вим,脳
47,Herz::N,шӱм,心
48,Herz::N,шӱм,心臓
49,Magen::N,шӱм,胃
50,Leber::N,мокш,肝臓
51,Atem::N,шӱлӹш,息
52,Atem::N,шӱлӹш,呼吸
53,Hunger::N,шужымаш,空腹
54,Träne::N,сӹнзӓвӹд,涙
55,Geschmack::N,тот,味
56,Geruch::N,пыш,匂い
57,Schlaf::N,ом,睡眠
58,Traum::N,ом,夢
59,Himmel::N,пӹлгом,空
60,Sonne::N,кечӹ,太陽
61,Mond::N,тӹлзӹ,月
62,Stern::N,шӹдӹр,星
63,Luft::N,юж,空気
64,Luft::N,воздух,空気
65,Wind::N,мардеж,風
66,Welle::N,ко,波
67,Welle::N,коэ,波
68,Wasser::N,вӹд,水
69,Stein::N,кӱ,石
70,Boden::N,рок,土地
71,Erde::N,свет,土
72,Staub::N,пырак,埃
73,Rauch::N,шӹкш,煙
74,Funke::N,ип,火花
75,Funke::N,тылип,火花
76,Feuer::N,тыл,火
77,Licht::N,соты,光
78,Licht::N,валгыды,光
79,Schatten::N,ӹмӹл,陰
80,Wetter::N,игечӹ,天気
81,Nebel::N,тӹтӹрӓ,霧
82,Wolke::N,пӹл,雲
83,Regen::N,юр,雨
84,Schnee::N,лым,雪
85,Eis::N,и,氷
86,Frost::N,ӱштӹ,霜
87,Kälte::N,ӱштӹ,寒さ
88,Hitze::N,шокшы,暑さ
89,Raureif::N,пöрш,霧氷
90,Regenbogen::N,шанавӹл,虹
91,Donner::N,хӹдӹртӹш,雷
92,Strömung::N,йогы,流れ
93,Tropfen::N,капльы,滴
94,Tropfen::N,капльык,滴
95,Schaum::N,шонг,泡
96,Schmutz::N,лявӹрӓ,汚れ
97,See::N,йӓр,湖
98,Sumpf::N,лӱкӹ,沼
99,Moor::N,куп,湿原
100,Wiese::N,алык,草原
101,Wald::N,шӹргӹ,森
