,Concept_ID,myv,ba
0,Auge::N,сельме,күҙ
1,Ohr::N,пиле,ҡолаҡ
2,Nase::N,судо,танау
3,Mund::N,курго,ауыҙ
4,Zahn::N,пей,теш
5,Zunge::N,кель,тел
6,Lippe::N,турва,ирен
7,Wange::N,чамабока,яцаҡтар
8,Wange::N,чамаумарь,яцаҡтар
9,Gesicht::N,чама,бит
10,Stirn::N,коня,маңлай
11,Haar::N,черь,сәс
12,Schnurrbart::N,ус,мылтыҡ
13,Schnurrbart::N,муюк,мылтыҡ
14,Bart::N,сакал,һаҡал
15,Kinn::N,уло,эйэк
16,Kiefer[Anatomie]::N,пейпакар,яңаҡ һөйәге
17,Kiefer[Anatomie]::N,пейловажа,яңаҡ һөйәге
18,Kehle::N,кирьгапарь,тамаҡ
19,Hals::N,кирьга,муйын
20,Genick::N,човонь,соңҡа
21,Kopf::N,пря,баш
22,Rücken::N,копорь,арҡа
23,Bauch::N,пеке,ҡорһаҡ
24,Nabel::N,почо,кендек
25,Busen::N,поте,күкрәк
26,Brust::N,меште,түш
27,Schulter::N,лавтов,яурын
28,Arm::N,кедь,ҡул
29,Ellenbogen::N,кенерепакарь,терһәк
30,Hand::N,кедь,ҡул
31,Hand::N,кедь,ҡул суғы
32,Handfläche::N,кедькуншка,ус төбө
33,Handfläche::N,кедьлапушка,ус төбө
34,Finger::N,сур,бармаҡ
35,Fingernagel::N,кенже,тырнаҡ
36,Nagel[Anatomie]::N,кенже,тырнаҡ
37,Zeh::N,пильге сур,бармаҡ
38,Fuß::N,пильге,табан
39,Ferse::N,кочкаря,үксә
40,Knie::N,эле,тубыҡ
41,Knie::N,эзне,тубыҡ
42,Knie::N,кумажа,тубыҡ
43,Oberschenkel::N,качо,сандыр
44,Bein::N,пильге,аяҡ
45,Körper::N,рунго,тән
46,Haut::N,киське,тире
47,Blut::N,верь,ҡан
48,Ader::N,сан,тамыр
49,Sehne::N,коське сан,һеңер
50,Sehne::N,коське сан,тарамыш
51,Knochen::N,пакарь,һойәк
52,Gehirn::N,удем,мейе
53,Herz::N,седей,йорәк
54,Magen::N,пеке,ашҡаҙан
