,Concept_ID,myv,la
0,Auge::N,сельме,oculus
1,Ohr::N,пиле,auris
2,Nase::N,судо,nasus
3,Mund::N,курго,os
4,Zahn::N,пей,dens
5,Zunge::N,кель,lingua
6,Lippe::N,турва,labrum
7,Wange::N,чамабока,gena
8,Wange::N,чамаумарь,gena
9,Gesicht::N,чама,vultus
10,Stirn::N,коня,frons
11,Haar::N,черь,capillus
12,Schnurrbart::N,ус,barba labri superioris
13,Schnurrbart::N,муюк,barba labri superioris
14,Bart::N,сакал,barba
15,Kinn::N,уло,mentum
16,Kiefer[Anatomie]::N,пейпакар,mala
17,Kiefer[Anatomie]::N,пейловажа,mala
18,Kehle::N,кирьгапарь,iugulums
19,Hals::N,кирьга,collum
20,Genick::N,човонь,cervices
21,Kopf::N,пря,caput
22,Rücken::N,копорь,tergum
23,Bauch::N,пеке,venter
24,Nabel::N,почо,umbilicus
25,Busen::N,поте,sinus
26,Brust::N,меште,pectus
27,Schulter::N,лавтов,umerus
28,Arm::N,кедь,bracchium
29,Ellenbogen::N,кенерепакарь,cubitum
30,Hand::N,кедь,manus
31,Handfläche::N,кедькуншка,palma
32,Handfläche::N,кедьлапушка,palma
33,Finger::N,сур,digitus
34,Fingernagel::N,кенже,unguiculus
35,Nagel[Anatomie]::N,кенже,unguis
36,Zeh::N,пильге сур,digitus
37,Fuß::N,пильге,pes
38,Ferse::N,кочкаря,calx
39,Knie::N,эле,genu
40,Knie::N,эзне,genu
41,Knie::N,кумажа,genu
42,Oberschenkel::N,качо,femur
43,Bein::N,пильге,crus
44,Körper::N,рунго,corpus
45,Haut::N,киське,cutis
46,Haut::N,киське,pellis
47,Blut::N,верь,sanguis
48,Ader::N,сан,vena
49,Sehne::N,коське сан,nervus
50,Knochen::N,пакарь,os
51,Gehirn::N,удем,cerebrum
52,Herz::N,седей,cor
53,Herz::N,седей,animus
54,Magen::N,пеке,stomachus
55,Leber::N,максо,iecur
56,Atem::N,лексема,spiritus
57,Atem::N,оймень таргсема,spiritus
58,Hunger::N,вачочи,fames
59,Träne::N,селведь,lacrima
60,Geschmack::N,тансть,sapor
61,Geschmack::N,тансть,gustus
62,Geruch::N,чине,odor
63,Schlaf::N,удома,somnus
64,Traum::N,он,somnium
65,Himmel::N,менель,caelum
66,Sonne::N,чи,sol
67,Mond::N,ков,luna
68,Stern::N,теште,sidus
69,Stern::N,теште,stella
70,Luft::N,кошт,aer
71,Wind::N,варма,ventus
72,Welle::N,толкун,unda
73,Wasser::N,ведь,aqua
74,Stein::N,кев,lapis
75,Boden::N,мода,solum
76,Erde::N,мастор,terra
77,Staub::N,пуль,pulvis
78,Rauch::N,качамо,fumus
79,Funke::N,сятко,scintilla
80,Feuer::N,тол,ignis
81,Licht::N,валдо,lux
82,Licht::N,валдо,lumen
83,Schatten::N,сулей,umbra
84,Schatten::N,сулейкс,umbra
85,Wetter::N,ушо,caelum
86,Wetter::N,ушо,tempestas
87,Nebel::N,сув,nebula
88,Wolke::N,пель,nubes
89,Regen::N,пиземс,imber
90,Regen::N,пиземс,pluvia
91,Schnee::N,лов,nix
92,Eis::N,эй,glacies
93,Frost::N,кельме,gelu
94,Kälte::N,якшамо,frigus
95,Hitze::N,пси,calor
96,Hitze::N,пси,aestus
97,Raureif::N,лекш,pruina
98,Regenbogen::N,пурьгинечирьке,arcus
99,Regenbogen::N,пурьгинеёнкс,arcus
100,Donner::N,пурьгине,tonitrus
101,Strömung::N,чудема,fluctus
102,Strömung::N,чудевкс,fluctus
103,Tropfen::N,петнявкс,gutta
104,Schaum::N,чов,spuma
105,Schmutz::N,рудаз,sordes
106,Schmutz::N,рудаз,squalor
107,See::N,эрьке,lacus
108,Sumpf::N,чей,palus
109,Moor::N,чей,palus
110,Wiese::N,луга,pratum
111,Wald::N,вирь,silva
112,Hügel::N,губорь,collis
113,Hügel::N,пандыне,collis
114,Anhöhe::N,губорь,specula
115,Anhöhe::N,пандыне,specula
116,Berg::N,пандо,mons
117,Gipfel::N,пря,vertex
118,Höhle::N,пещера,caverna
119,Höhle::N,пещера,spelunca
120,Abhang::N,пандочама,declivum
121,Quelle::N,ушодкс,fons
122,Bach::N,чудикерькс,rivus
123,Fluss::N,лей,flumen
124,Ufer::N,чире,ripa
125,Küste::N,лейчире,litus
126,Festland::N,мода,continens
127,Meer::N,моря,mare
128,Bucht::N,усия,sinus
129,Insel::N,усия,insula
130,Blume::N,цеця,flos
131,Gras::N,тикше,herba
132,Gras::N,тикше,gramen
133,Wurzel::N,юр,radix
134,Wurzel::N,ундокс,radix
135,Baum::N,чувто,arbor
136,Stamm::N,рунго,truncus
137,Rinde::N,суд,cortex
138,Rinde::N,керь,cortex
139,Ast::N,морго,ramus
140,Zweig::N,тарад,ramus
141,Blatt::N,лопа,folium
142,Birke::N,килей,betulla
143,Kiefer[Baum]::N,пиче,pinus
144,Weide[Baum]::N,каль,salix
145,Tanne::N,куз,abies
146,Horn::N,сюро,cornu
147,Feder::N,толга,penna
148,Fell::N,пона,pellis
149,Flügel::N,сёлмо,ala
150,Klaue::N,кенже,unguis
151,Kralle::N,кенже,unguis
152,Schwanz::N,пуло,cauda
153,Ei::N,ал,ovum
154,Nest::N,пизэ,nidus
155,Bau::N,варя,cavum
156,Bau::N,варя,latibulum
157,Bau::N,пизе,cavum
158,Bau::N,пизе,latibulum
159,Tier::N,ракша,bestia
160,Herde::N,стада,grex
161,Kuh::N,скал,vacca
162,Bulle::N,бука,taurus
163,Pferd::N,лишме,equus
164,Schaf::N,реве,ovis
165,Schwein::N,туво,sus
166,Schwein::N,туво,porcus
167,Hund::N,пине,canis
168,Hund::N,киска,canis
169,Katze::N,псака,felis
