,Concept_ID,myv,lbe
0,Auge::N,сельме,я
1,Ohr::N,пиле,вичӏи
2,Nase::N,судо,май
3,Mund::N,курго,кьацӏ
4,Zahn::N,пей,ккарччи
5,Zunge::N,кель,маз
6,Lippe::N,турва,мурччи
7,Wange::N,чамабока,чӏав
8,Wange::N,чамаумарь,чӏав
9,Gesicht::N,чама,лажин
10,Stirn::N,коня,ненттабакӏ
11,Haar::N,черь,чӏара
12,Schnurrbart::N,ус,ссирссилтту
13,Schnurrbart::N,муюк,ссирссилтту
14,Bart::N,сакал,чӏири
15,Kinn::N,уло,лунттубакӏ
16,Kiefer[Anatomie]::N,пейпакар,ххинчулул
17,Kiefer[Anatomie]::N,пейловажа,ххинчулул
18,Kehle::N,кирьгапарь,кьакьари
19,Hals::N,кирьга,ссурссу
20,Genick::N,човонь,махъабакӏ
21,Kopf::N,пря,бакӏ
22,Rücken::N,копорь,ттиликӏ
23,Bauch::N,пеке,лякьа
24,Nabel::N,почо,цӏумуккутӏ
25,Busen::N,поте,ккукку
26,Brust::N,меште,хъазам
27,Schulter::N,лавтов,хъачӏ
28,Arm::N,кедь,ка
29,Ellenbogen::N,кенерепакарь,ссюрхъ
30,Hand::N,кедь,бартка
31,Handfläche::N,кедькуншка,хъат
32,Handfläche::N,кедькуншка,битӏянхъ
33,Handfläche::N,кедьлапушка,хъат
34,Handfläche::N,кедьлапушка,битӏянхъ
35,Finger::N,сур,кӏисса
36,Fingernagel::N,кенже,михь
37,Nagel[Anatomie]::N,кенже,михь
38,Zeh::N,пильге сур,кӏисса
39,Fuß::N,пильге,чӏанччан
40,Ferse::N,кочкаря,никъа
41,Knie::N,эле,ник
42,Knie::N,эзне,ник
43,Knie::N,кумажа,ник
44,Oberschenkel::N,качо,жира
45,Bein::N,пильге,ччан
46,Körper::N,рунго,чурх
47,Haut::N,киське,бурчу
48,Blut::N,верь,оь
49,Ader::N,сан,тунну
50,Sehne::N,коське сан,хьхьа
51,Knochen::N,пакарь,ттаркӏ
52,Gehirn::N,удем,ня
53,Herz::N,седей,дакӏ
54,Herz::N,седей,къюкӏ
55,Magen::N,пеке,лякьа
56,Leber::N,максо,
57,Atem::N,лексема,ссихӏ ласаву
58,Atem::N,лексема,ссихӏ бигьаву
59,Atem::N,оймень таргсема,ссихӏ ласаву
60,Atem::N,оймень таргсема,ссихӏ бигьаву
61,Hunger::N,вачочи,ккаши
62,Träne::N,селведь,макь
63,Geschmack::N,тансть,тӏин
64,Geschmack::N,тансть,тӏааьн
65,Geruch::N,чине,кьанкь
66,Schlaf::N,удома,шану
67,Traum::N,он,макӏру
68,Himmel::N,менель,ссав
69,Sonne::N,чи,баргъ
70,Mond::N,ков,барз
71,Stern::N,теште,цӏуку
72,Luft::N,кошт,гьава
73,Wind::N,варма,марч
74,Welle::N,толкун,щатӏи
75,Wasser::N,ведь,щин
76,Stein::N,кев,чару
77,Boden::N,мода,аьрщи
78,Erde::N,мастор,аьрщи
79,Staub::N,пуль,ххит
80,Rauch::N,качамо,пуркӏу
81,Funke::N,сятко,пиягь
82,Feuer::N,тол,цӏу
83,Licht::N,валдо,чани
84,Schatten::N,сулей,ххют
85,Schatten::N,сулейкс,ххют
86,Wetter::N,ушо,гьава
87,Nebel::N,сув,шархь ттурлу
88,Wolke::N,пель,ттурлу
89,Regen::N,пиземс,гъарал
90,Schnee::N,лов,марххала
91,Eis::N,эй,микӏ
92,Frost::N,кельме,дяркъу
93,Frost::N,кельме,замгьар
94,Kälte::N,якшамо,дяркъу
95,Hitze::N,пси,кӏиришиву
96,Raureif::N,лекш,сил
97,Raureif::N,лекш,бурса
98,Regenbogen::N,пурьгинечирьке,ссурул ккуртта
99,Regenbogen::N,пурьгинеёнкс,ссурул ккуртта
100,Donner::N,пурьгине,къув
101,Strömung::N,чудема,экьинанаву
102,Strömung::N,чудевкс,экьинанаву
103,Tropfen::N,петнявкс,кӏунтӏ
104,Schaum::N,чов,хьама
105,Schmutz::N,рудаз,кьяркьи
106,See::N,эрьке,бяр
107,Sumpf::N,чей,кунцӏа
108,Moor::N,чей,
109,Wiese::N,луга,кьан
110,Wald::N,вирь,вацӏа
111,Hügel::N,губорь,бакӏу
112,Hügel::N,пандыне,бакӏу
113,Anhöhe::N,губорь,
114,Anhöhe::N,пандыне,
115,Berg::N,пандо,зунтту
116,Gipfel::N,пря,мицӏ
117,Höhle::N,пещера,нух
118,Abhang::N,пандочама,сун
119,Quelle::N,ушодкс,дайдихьу
120,Quelle::N,ушодкс,бакӏ
121,Bach::N,чудикерькс,чӏрир нех
122,Fluss::N,лей,нех
123,Ufer::N,чире,зума
124,Küste::N,лейчире,зумаинхалу
125,Küste::N,лейчире,зуманицӏалу
126,Festland::N,мода,кьири
127,Meer::N,моря,хьхьири
128,Bucht::N,усия,
129,Insel::N,усия,жазира
130,Blume::N,цеця,тӏутӏи
131,Gras::N,тикше,уртту
132,Wurzel::N,юр,мархха
133,Wurzel::N,ундокс,мархха
134,Baum::N,чувто,мурхь
135,Stamm::N,рунго,ттарцӏ
136,Rinde::N,суд,ккамара
137,Rinde::N,керь,ккамара
138,Ast::N,морго,матӏи
139,Zweig::N,тарад,къяртта
140,Blatt::N,лопа,чӏапӏи
141,Birke::N,килей,кӏялахӏи
142,Birke::N,килей,кӏялахӏилул мурхь
143,Kiefer[Baum]::N,пиче,ттар
144,Kiefer[Baum]::N,пиче,ттарлил мурхь
145,Weide[Baum]::N,каль,щавщи
146,Tanne::N,куз,ттарлил мурхь
147,Horn::N,сюро,хъи
148,Feder::N,толга,лелуххул тӏиму
149,Fell::N,пона,бурчу
150,Flügel::N,сёлмо,хъа
151,Flügel::N,сёлмо,ххурупӏайрал тӏиму
152,Klaue::N,кенже,михь
153,Kralle::N,кенже,ххяппа
154,Schwanz::N,пуло,магъ
155,Ei::N,ал,ккунук
156,Nest::N,пизэ,кюру
157,Bau::N,варя,цукъуккутӏ
158,Bau::N,пизе,цукъуккутӏ
159,Tier::N,ракша,хӏайван
160,Herde::N,стада,газу
161,Kuh::N,скал,оьл
162,Bulle::N,бука,ниц
163,Pferd::N,лишме,чу
164,Schaf::N,реве,тта
165,Schwein::N,туво,дунгъуз
166,Hund::N,пине,ккаччи
167,Hund::N,киска,ккаччи
168,Katze::N,псака,ччиту
169,Bär::N,овто,цуша
170,Eichhörnchen::N,ур,бюрхттукку
171,Elch::N,сярдо,ниц-бюрин
172,Fuchs::N,ривезь,цулчӏа
173,Fuchs::N,ривезь,куча цулчӏа
174,Hase::N,нумоло,бюрх
175,Maus::N,чеерь,кӏулу
176,Wolf::N,верьгиз,барцӏ
177,Vogel::N,нармунь,лелуххи
178,Schwarm::N,полк,гьухъала
179,Schwarm::N,стада,гьухъала
180,Huhn::N,сараз,аьнакӏи
181,Hahn::N,атякш,ажари
182,Gans::N,гала,къаз
183,Gans::N,мацей,къаз
184,Adler::N,куцькан,барзу
185,Adler::N,тумоатякш,барзу
186,Ente::N,яксярго,урдак
187,Eule::N,корж,ису
188,Eule::N,корж,ччиккумяв
189,Kranich::N,карго,кьурукь
190,Krähe::N,варака,хъатӏу
191,Kuckuck::N,куко,ччикку
192,Schwan::N,локсей,урттил къаз
193,Fisch::N,кал,чавахъ
194,Barsch::N,окунь,
195,Hecht::N,щука,
196,Schlange[Tier]::N,гуй,шатта
197,Wurm::N,сукс,кьюнукьай шатта
198,Spinne::N,шанжав,ххялцу
199,Ameise::N,коткудав,митӏикьукьу
200,Laus::N,сий,
201,Mücke::N,сеське,мичӏак
202,Fliege::N,карво,зимиз
203,Schmetterling::N,нимиляв,чӏимучӏали
204,Beere::N,умарь,хӏаллил ахъулсса
205,Apfel::N,умарь,гьивч
206,Pilz::N,панго,ттуккул иис
207,Zwiebel::N,чурька,лаччул чсмусул бакӏ
208,Saat::N,видьметь,гьанна
209,Korn::N,сюро,къама
210,Heu::N,тикше,ххулув
211,Schale::N,кедь,ккиртту
212,Schale::N,ваткавкс,ккиртту
213,Grube::N,латко,кӏаланг
214,Falle::N,тувор,къатӏа
215,Falle::N,кундамка,къатӏа
216,Schlinge::N,килькш,хӏатӏ
217,Spur::N,челькс,ша
218,Spur::N,пильгеки,ша
219,Asche::N,кулов,лах
220,Dreck::N,рудаз,кьяркьи
221,Dreck::N,рудаз,венп
222,Eisen::N,кшни,мах
223,Gold::N,сырне,муси
224,Silber::N,сия,арцу
225,Kohle::N,сэдь,кӏалаш
226,Kohle::N,сэдь,хъуручӏ
227,Kohle::N,уголия,кӏалаш
228,Kohle::N,уголия,хъуручӏ
229,Glas::N,сулика,пюрун
230,Lehm::N,сёвонь,сина аьрщи
231,Sand::N,човар,къун
232,Mensch::N,ломань,инсан
233,Mann::N,аля,чув
234,Mann::N,аля,адимина
235,Mann::N,цёраломань,чув
236,Mann::N,цёраломань,адимина
237,Frau::N,ава,щарсса
238,Frau::N,ава,хъамитайпа
239,Kind::N,эйкакш,чӏиви оьрчӏ
240,Junge::N,цёрыне,оьрчӏ
241,Junge::N,цёрыне,бурхьин оьрчӏ
242,Mädchen::N,тейтерне,душ
243,Familie::N,семия,кулпат
244,Großvater::N,покштя,ттатта
245,Großvater::N,покштя,ниттил ппу
246,Großmutter::N,баба,буттал нину
247,Eltern::N,тетят-ават,нину-ппу
248,Vater::N,тетя,ппу
249,Mutter::N,ава,нину
250,Sohn::N,цёра,арс
251,Tochter::N,тейтерь,душ
252,Bruder::N,леля,уссу
253,Bruder::N,ялакс,уссу
254,Schwester::N,сазор,ссу
255,Onkel::N,леля,буттауссу
256,Tante::N,патя,буттал ссу
257,Ehemann::N,мирде,лас
258,Ehefrau::N,ни,щар
259,Ehefrau::N,ни,щарсса
260,Freude::N,кеняркс,шадшиву
261,Freude::N,кеняркс,ххаришиву
262,Gelächter::N,ракамо,хъяхъаву
263,Gelächter::N,пейдема,хъяхъаву
264,Glück::N,уцяска,талихӏ
265,Kummer::N,рискс,дард
266,Kummer::N,мелявкс,дард
267,Wunsch::N,мель,мурад
268,Wunsch::N,бажамо,мурад
269,Lust::N,бажамо,гьавас
270,Lust::N,бажамо,ччаву
271,Geist::N,ойме,рухӏ
272,Gedanke::N,мель,пикри
