,Concept_ID,nl,lez
0,Auge::N,oog,вил
1,Ohr::N,oor,яб
2,Nase::N,neus,нер
3,Mund::N,mond,сив
4,Zahn::N,tand,сас
5,Zahn::N,tand,свах
6,Zunge::N,tong,мез
7,Lippe::N,lip,пӏуз
8,Wange::N,wang,хъвехъ
9,Gesicht::N,gelaat,ччин
10,Gesicht::N,gezicht,ччин
11,Stirn::N,voorhoofd,пел
12,Haar::N,haar,чӏар
13,Schnurrbart::N,snor,спел
14,Schnurrbart::N,snor,спелар
15,Bart::N,baard,ччуру
16,Kinn::N,kin,чене
17,Kiefer[Anatomie]::N,kaak,чене
18,Kehle::N,keel,туьд
19,Kehle::N,strot,туьд
20,Hals::N,hals,гардан
21,Genick::N,nek,кьам
22,Kopf::N,hoofd,кьил
23,Rücken::N,rug,далу
24,Bauch::N,buik,руфун
25,Nabel::N,navel,пицӏ
26,Busen::N,boezem,мам
27,Brust::N,borst,хур
28,Schulter::N,schouder,къуьн
29,Arm::N,arm,гъил
30,Ellenbogen::N,elleboog,кьуьнт
31,Hand::N,hand,капаш
32,Handfläche::N,handpalm,капан юкь
33,Finger::N,vinger,тӏуб
34,Fingernagel::N,nagel,кек
35,Nagel[Anatomie]::N,nagel,кек
36,Zeh::N,teen,кул
37,Fuß::N,voet,кӏвач
38,Ferse::N,hak,дабан
39,Ferse::N,hiel,дабан
40,Knie::N,knie,мет
41,Oberschenkel::N,dij,
42,Bein::N,been,кӏвач
43,Körper::N,lichaam,беден
44,Haut::N,huid,хам
45,Blut::N,bloed,иви
46,Ader::N,ader,дамар
47,Sehne::N,pees,кьуру дамар
48,Knochen::N,bot,кӏараб
49,Knochen::N,been,кӏараб
50,Knochen::N,knook,кӏараб
51,Gehirn::N,hersenen,мефт
52,Herz::N,hart,рикӏ
53,Magen::N,maag,хук
54,Leber::N,lever,лекь
55,Atem::N,adem,ял
56,Atem::N,adem,нефес
57,Hunger::N,honger,каш
58,Träne::N,traan,вилин нагъв
59,Geschmack::N,smaak,дад
60,Geschmack::N,smaak,тӏям
61,Geruch::N,geur,ни
62,Schlaf::N,slaap,ахвар
63,Traum::N,droom,ахвар
64,Himmel::N,hemel,цав
65,Sonne::N,zon,рагъ
66,Mond::N,maan,варз
67,Stern::N,ster,гъед
