,Concept_ID,nl,pt
0,Auge::N,oog,olho
1,Ohr::N,oor,orelha
2,Nase::N,neus,nariz
3,Mund::N,mond,boca
4,Zahn::N,tand,dente
5,Zunge::N,tong,língua
6,Lippe::N,lip,lábio
7,Wange::N,wang,face
8,Gesicht::N,gelaat,cara
9,Gesicht::N,gelaat,rosto
10,Gesicht::N,gezicht,cara
11,Gesicht::N,gezicht,rosto
12,Stirn::N,voorhoofd,testa
13,Haar::N,haar,cabelo
14,Schnurrbart::N,snor,bigode
15,Bart::N,baard,barba
16,Kinn::N,kin,queixo
17,Kiefer[Anatomie]::N,kaak,maxila
18,Kiefer[Anatomie]::N,kaak,mandíbula
19,Kehle::N,keel,garganta
20,Kehle::N,strot,garganta
21,Hals::N,hals,colo
22,Hals::N,hals,pescoço
23,Genick::N,nek,nuca
24,Kopf::N,hoofd,cabeça
25,Rücken::N,rug,dorso
26,Rücken::N,rug,costas
27,Bauch::N,buik,ventre
28,Bauch::N,buik,barriga
29,Nabel::N,navel,umbigo
30,Busen::N,boezem,seio
31,Brust::N,borst,peito
32,Schulter::N,schouder,ombro
33,Arm::N,arm,braço
34,Ellenbogen::N,elleboog,cotovelo
35,Hand::N,hand,mão
36,Handfläche::N,handpalm,palma
37,Handfläche::N,handpalm,palma da mão
38,Finger::N,vinger,dedo
39,Fingernagel::N,nagel,unha
40,Nagel[Anatomie]::N,nagel,unha
41,Zeh::N,teen,dedo do pé
42,Fuß::N,voet,pé
43,Ferse::N,hak,calcanhar
44,Ferse::N,hiel,calcanhar
45,Knie::N,knie,joelho
46,Oberschenkel::N,dij,coxa
47,Bein::N,been,perna
48,Körper::N,lichaam,corpo
49,Haut::N,huid,pele
50,Blut::N,bloed,sangue
51,Ader::N,ader,veia
52,Sehne::N,pees,tendão
53,Knochen::N,bot,osso
54,Knochen::N,been,osso
55,Knochen::N,knook,osso
56,Gehirn::N,hersenen,cérebro
57,Herz::N,hart,coração
58,Magen::N,maag,estômago
59,Leber::N,lever,fígado
60,Atem::N,adem,fôlego
61,Hunger::N,honger,fome
62,Träne::N,traan,lágrima
63,Geschmack::N,smaak,gosto
64,Geruch::N,geur,odor
65,Geruch::N,geur,cheiro
66,Schlaf::N,slaap,sono
67,Traum::N,droom,sonho
68,Himmel::N,hemel,céu
69,Sonne::N,zon,sol
70,Mond::N,maan,lua
71,Stern::N,ster,estrela
72,Luft::N,lucht,ar
73,Wind::N,wind,vento
74,Welle::N,golf,onda
75,Wasser::N,water,água
76,Stein::N,steen,pedra
77,Boden::N,grond,solo
78,Erde::N,aarde,terra
79,Staub::N,stof,pó
80,Rauch::N,rook,fumo
81,Funke::N,vonk,faísca
82,Funke::N,vonk,centelha
83,Feuer::N,vuur,fogo
84,Licht::N,licht,luz
85,Schatten::N,schaduw,sombra
86,Wetter::N,weer,tempo
87,Nebel::N,mist,nevoeiro
88,Nebel::N,nevel,nevoeiro
89,Wolke::N,wolk,nuvem
90,Regen::N,regen,chuva
91,Schnee::N,sneeuw,neve
92,Eis::N,ijs,gelo
93,Frost::N,vorst,gelo
94,Frost::N,vorst,geada
95,Kälte::N,kou,frio
96,Kälte::N,koude,frio
97,Hitze::N,hitte,ardor
98,Raureif::N,rijp,geada
99,Regenbogen::N,regenboog,arco-iris
100,Donner::N,donder,trovão
101,Strömung::N,stroming,corrente
102,Tropfen::N,druppel,gota
103,Schaum::N,schuim,espuma
104,Schmutz::N,vuil,sujidade
105,Schmutz::N,vuil,imundície
106,See::N,meer,lago
107,Sumpf::N,moeras,charco
108,Sumpf::N,moeras,pântano
109,Moor::N,veen,pântano
110,Wiese::N,wei,prado
111,Wiese::N,weide,prado
112,Wald::N,bos,bosque
113,Wald::N,bos,floresta
114,Hügel::N,heuvel,colina
115,Anhöhe::N,hoogte,alto
116,Anhöhe::N,hoogte,outeiro
117,Berg::N,berg,monte
118,Berg::N,berg,montanha
119,Gipfel::N,top,pico
120,Höhle::N,hol,caverna
121,Abhang::N,helling,encosta
122,Quelle::N,bron,fonte
123,Bach::N,beek,regato
124,Bach::N,beek,ribeiro
125,Fluss::N,stroom,rio
126,Ufer::N,wal,beira
127,Ufer::N,oever,beira
128,Küste::N,kust,costa
129,Festland::N,vasteland,terra firme
130,Meer::N,zee,mar
131,Bucht::N,baai,baía
132,Bucht::N,inham,baía
