,Concept_ID,no,pt
0,Auge::N,øye,olho
1,Ohr::N,øre,orelha
2,Nase::N,nese,nariz
3,Mund::N,munn,boca
4,Zahn::N,tann,dente
5,Zunge::N,tunge,língua
6,Lippe::N,leppe,lábio
7,Wange::N,kinn,face
8,Gesicht::N,fjes,cara
9,Gesicht::N,fjes,rosto
10,Gesicht::N,ansikt,cara
11,Gesicht::N,ansikt,rosto
12,Stirn::N,panne,testa
13,Haar::N,hår,cabelo
14,Schnurrbart::N,bart,bigode
15,Bart::N,skjegg,barba
16,Kinn::N,hake,queixo
17,Kiefer[Anatomie]::N,kjeve,maxila
18,Kiefer[Anatomie]::N,kjeve,mandíbula
19,Kehle::N,strupe,garganta
20,Hals::N,hals,colo
21,Hals::N,hals,pescoço
22,Genick::N,nakke,nuca
23,Kopf::N,hode,cabeça
24,Rücken::N,rygg,dorso
25,Rücken::N,rygg,costas
26,Bauch::N,buk,ventre
27,Bauch::N,buk,barriga
28,Bauch::N,mage,ventre
29,Bauch::N,mage,barriga
30,Nabel::N,navle,umbigo
31,Busen::N,barm,seio
32,Brust::N,bryst,peito
33,Schulter::N,skulder,ombro
34,Arm::N,arm,braço
35,Ellenbogen::N,albue,cotovelo
36,Hand::N,hånd,mão
37,Handfläche::N,håndflate,palma
38,Handfläche::N,håndflate,palma da mão
39,Finger::N,finger,dedo
40,Fingernagel::N,fingernegl,unha
41,Nagel[Anatomie]::N,negl,unha
42,Zeh::N,tå,dedo do pé
43,Fuß::N,fot,pé
44,Ferse::N,hæl,calcanhar
45,Knie::N,kne,joelho
46,Oberschenkel::N,lår,coxa
47,Bein::N,bein,perna
48,Körper::N,kropp,corpo
49,Körper::N,legeme,corpo
50,Haut::N,hud,pele
51,Haut::N,skinn,pele
52,Blut::N,blod,sangue
53,Ader::N,åre,veia
54,Sehne::N,sene,tendão
55,Knochen::N,bein,osso
56,Knochen::N,knokkel,osso
57,Gehirn::N,hjerne,cérebro
58,Herz::N,hjerte,coração
59,Magen::N,mage,estômago
60,Leber::N,lever,fígado
61,Atem::N,pust,fôlego
62,Hunger::N,sult,fome
63,Träne::N,tåre,lágrima
