,Concept_ID,os,av
0,Auge::N,цӕст,
1,Ohr::N,хъус,гӏин
2,Nase::N,фындз,мегӏер
3,Mund::N,дзых,кӏал
4,Zahn::N,дӕндаг,гӏус
5,Zunge::N,ӕвзаг,мацӏ
6,Lippe::N,был,кӏветӏ
7,Wange::N,рус,гӏоно
8,Wange::N,уадул,гӏоно
9,Wange::N,ӕхсӕрфарс,гӏоно
10,Gesicht::N,цӕсгом,гьумер
11,Stirn::N,ных,нодо
12,Haar::N,хил,рас
13,Schnurrbart::N,рихи,михъ
14,Bart::N,зачъе,мегеж
15,Kinn::N,роцъо,нилъу
16,Kiefer[Anatomie]::N,ӕфсӕр,чанагъ
17,Kehle::N,хъуыр,щекъер
18,Hals::N,къубал,габур
19,Genick::N,къӕбут,гъванща
20,Kopf::N,сӕр,бетӏер
21,Rücken::N,фӕсонтӕ,мугъ
22,Bauch::N,гуыбын,чехь
23,Nabel::N,бикъ,цӏину
24,Busen::N,дзидзи,керен
25,Brust::N,риу,керен
26,Schulter::N,уӕхск,гъажазубетӏер
27,Arm::N,цонг,гъеж
28,Ellenbogen::N,рæмбын,гӏункӏрукь
29,Hand::N,къух,квер
30,Handfläche::N,армытъӕпӕн,огъохъат
31,Handfläche::N,армытъӕпӕн,жанисахъат
32,Finger::N,ӕнруылдз,килищ
33,Fingernagel::N,ных,малъ
34,Nagel[Anatomie]::N,ных,малъ
35,Zeh::N,къух,килищ
36,Fuß::N,фад,хӏетӏ
37,Fuß::N,фад,хӏетӏе
38,Ferse::N,зӕвӕт,эгъе
39,Knie::N,уӕраг,наку
40,Oberschenkel::N,агъд,мачӏ
41,Bein::N,зӕнг,бох
42,Körper::N,буар,къаркъала
43,Haut::N,царм,тӏом
44,Blut::N,туг,би
45,Ader::N,дадзин,бидурихь
46,Ader::N,тугдадзин,бидурихь
47,Sehne::N,хъиутæ,
48,Sehne::N,нуар,
49,Knochen::N,стӕг,ракьа
50,Gehirn::N,магъз,гӏадалнах
51,Herz::N,зӕрдӕ,ракӏ
52,Magen::N,ахсӕн,кванирукъ
53,Leber::N,игæр,тӏул
54,Atem::N,улӕфт,хӏухь
55,Hunger::N,стонг,ракъи
56,Träne::N,цæссыг,магӏу
57,Geschmack::N,ад,тату
58,Geruch::N,смаг,махӏ
59,Schlaf::N,хуыссӕг,макьу
60,Traum::N,фын,макьу
61,Himmel::N,арв,зоб
62,Himmel::N,уӕларв,зоб
63,Sonne::N,хур,бакъ
64,Mond::N,мӕй,моцӏ
65,Stern::N,стъалы,цӏва
66,Luft::N,уӕлдӕф,гьава
67,Wind::N,дымгӕ,гьури
68,Welle::N,уылӕн,карачел
69,Wasser::N,дон,лъим
70,Stein::N,дур,гьецӏо
71,Boden::N,зӕхх,ракь
