,Concept_ID,pl,mn
0,Auge::N,oko,нүд
1,Ohr::N,ucho,чих
2,Nase::N,nos,хамар
3,Mund::N,usta,ам
4,Zahn::N,ząb,шүд
5,Zunge::N,język,хэл
6,Lippe::N,warga,уруул
7,Wange::N,policzek,хацар
8,Gesicht::N,twarz,царай
9,Gesicht::N,twarz,нүүр
10,Stirn::N,czoło,дух
11,Haar::N,włos,үс
12,Haar::N,włosy,үс
13,Schnurrbart::N,wąsy,дээд сахал
14,Schnurrbart::N,wąsy,живэр сахал
15,Bart::N,broda,сахал
16,Kinn::N,podbródek,эрүү
17,Kiefer[Anatomie]::N,czeluść,эрүү
18,Kehle::N,gardło,хоолой
19,Hals::N,szyja,хүзүү
20,Genick::N,kark,шил
21,Genick::N,kark,хүзүү
22,Kopf::N,głowa,толгой
23,Rücken::N,plecy,ар
24,Rücken::N,plecy,нуруу
25,Rücken::N,grzbiet,ар
26,Rücken::N,grzbiet,нуруу
27,Bauch::N,brzuch,хэвлий
28,Bauch::N,brzuch,гэдэс
29,Nabel::N,pępek,хүйс
30,Busen::N,biust,хөх
31,Brust::N,pierś,цээж
32,Schulter::N,bark,мөр
33,Schulter::N,bark,бугалга
34,Schulter::N,ramię,мөр
35,Schulter::N,ramię,бугалга
36,Arm::N,ręka,гар
37,Arm::N,ramię,гар
38,Ellenbogen::N,łokieć,тохой
39,Hand::N,dłoń,гар
40,Hand::N,dłoń,алга
41,Handfläche::N,dłoń,алга
42,Finger::N,palec,хуруу
43,Fingernagel::N,paznokieć,хурууны хумс
44,Nagel[Anatomie]::N,paznokieć,хумс
45,Zeh::N,palec,хуруу
46,Fuß::N,stopa,хөл
47,Ferse::N,pięta,өсгий
48,Knie::N,kolano,өвдөг
49,Oberschenkel::N,udo,гуя
50,Bein::N,noga,хөл
51,Körper::N,ciało,бие
52,Haut::N,skóra,арьс
53,Blut::N,krew,цус
54,Ader::N,żyła,судас
55,Sehne::N,ścięgno,бүлх
56,Sehne::N,ścięgno,шандас
57,Knochen::N,kość,яс
58,Gehirn::N,mózg,тархи
59,Herz::N,serce,зүрх
60,Magen::N,żołądek,ходоод
61,Leber::N,wątroba,элэг
62,Atem::N,dech,амьсгаа
63,Atem::N,oddech,амьсгаа
64,Hunger::N,głód,өлсгөлөн
65,Träne::N,łza,нулимс
66,Geschmack::N,smak,амт
67,Geruch::N,woń,үнэр
68,Geruch::N,zapach,үнэр
69,Schlaf::N,sen,нойр
70,Traum::N,sen,зүүд
71,Himmel::N,niebo,тэнгэр
72,Himmel::N,niebo,огторгуй
73,Sonne::N,słońce,нар
74,Mond::N,księżyc,сар
75,Stern::N,gwiazda,од
76,Luft::N,powietrze,агаар
77,Wind::N,wiatr,салхи
78,Welle::N,fala,долгио
79,Welle::N,fala,давалгаа
80,Wasser::N,woda,ус
81,Stein::N,kamień,чулуу
82,Boden::N,grunt,хөрс
83,Erde::N,ziemia,газар
84,Erde::N,ziemia,шороо
85,Staub::N,pył,тоос
86,Staub::N,kurz,тоос
87,Rauch::N,dym,утаа
88,Funke::N,iskra,оч
89,Feuer::N,ogień,гал
90,Licht::N,światło,гэрэл
91,Licht::N,światło,гэгээ
92,Schatten::N,cień,сүүдэр
93,Wetter::N,pogoda,тэнгэр
94,Wetter::N,pogoda,цаг уур
95,Nebel::N,mgła,будан
96,Wolke::N,obłok,үүл
97,Wolke::N,chmura,үүл
98,Regen::N,deszcz,бороо
99,Schnee::N,śnieg,цас
100,Eis::N,lód,мөс
101,Frost::N,mróz,хүйт
102,Kälte::N,chłód,хүйт
103,Hitze::N,gorąco,халуун
104,Raureif::N,szron,цан
105,Raureif::N,szron,хяруу
106,Regenbogen::N,tęcza,солонго
107,Donner::N,grzmot,тэнгэрийн дуу
108,Strömung::N,nurt,урсгал
109,Tropfen::N,kropla,дусал
110,Schaum::N,piana,хөөс
111,Schmutz::N,brud,хир
112,Schmutz::N,brud,шавхай
113,See::N,jezioro,нуур
114,Sumpf::N,bagno,намаг
115,Sumpf::N,bagno,балчиг
116,Moor::N,bagno,хүлрийн намаг
117,Wiese::N,łąka,нуга
118,Wald::N,las,ой
119,Hügel::N,pagórek,болдог
