,Concept_ID,pl,mrj
0,Auge::N,oko,сӹнзӓ
1,Ohr::N,ucho,пӹлӹш
2,Nase::N,nos,нер
3,Mund::N,usta,ышма
4,Zahn::N,ząb,пӱ
5,Zunge::N,język,йӹлмӹ
6,Lippe::N,warga,тӹрвӹ
7,Wange::N,policzek,шӹргӹ
8,Gesicht::N,twarz,лицӓ
9,Stirn::N,czoło,лепкӓ
10,Haar::N,włos,ӱп
11,Haar::N,włosy,ӱп
12,Schnurrbart::N,wąsy,öрш
13,Bart::N,broda,пандаш
14,Kinn::N,podbródek,онгылаш
15,Kiefer[Anatomie]::N,czeluść,пӱ арата
16,Kehle::N,gardło,логер
17,Hals::N,szyja,шӱ
18,Genick::N,kark,ланга
19,Kopf::N,głowa,вуй
20,Rücken::N,plecy,туп
21,Rücken::N,grzbiet,туп
22,Bauch::N,brzuch,мӹшкӹр
23,Nabel::N,pępek,кӹлӹмдӹ
24,Busen::N,biust,цӹзӹ
25,Brust::N,pierś,мел
26,Schulter::N,bark,ӹнгӹжӓ
27,Schulter::N,ramię,ӹнгӹжӓ
28,Arm::N,ręka,кид
29,Arm::N,ramię,кид
30,Ellenbogen::N,łokieć,кӹнервуй
31,Hand::N,dłoń,лапа
32,Handfläche::N,dłoń,кид лапа
33,Finger::N,palec,парня
34,Fingernagel::N,paznokieć,кӹч
35,Nagel[Anatomie]::N,paznokieć,кӹч
36,Zeh::N,palec,парня
37,Fuß::N,stopa,ял лапа
38,Ferse::N,pięta,ялгавал
39,Ferse::N,pięta,ял кавал
40,Knie::N,kolano,пылвуй
41,Oberschenkel::N,udo,ӓрдӹ
42,Bein::N,noga,ял
43,Körper::N,ciało,монгыр
44,Haut::N,skóra,кавашты
45,Blut::N,krew,вӹр
46,Ader::N,żyła,вӹршӓр
47,Sehne::N,ścięgno,кукшышӱн
48,Knochen::N,kość,лу
49,Gehirn::N,mózg,вим
50,Herz::N,serce,шӱм
51,Magen::N,żołądek,шӱм
52,Leber::N,wątroba,мокш
