,Concept_ID,ro,ku
0,Auge::N,ochi,çav
1,Ohr::N,ureche,guh
2,Nase::N,nas,bêvil
3,Mund::N,gură,dev
4,Zahn::N,dinte,didan
5,Zunge::N,limbă,ziman
6,Lippe::N,buză,lêv
7,Wange::N,bucă,dêm
8,Wange::N,bucă,hinarik
9,Wange::N,obraz,dêm
10,Wange::N,obraz,hinarik
11,Gesicht::N,față,rû
12,Gesicht::N,figură,rû
13,Stirn::N,frunte,enî
14,Haar::N,păr,por
15,Schnurrbart::N,mustață,simbêl
16,Bart::N,barbă,rih
17,Kinn::N,bărbie,zenî
18,Kiefer[Anatomie]::N,falcă,arguşk
19,Kehle::N,beregată,qirik
20,Hals::N,gât,stû
21,Hals::N,gât,qirik
22,Genick::N,ceafă,stû
23,Kopf::N,cap,serî
24,Rücken::N,dos,pişt
25,Rücken::N,spate,pişt
26,Rücken::N,spinare,pişt
27,Bauch::N,burtă,ûr
28,Bauch::N,burtă,zik
29,Bauch::N,pântece,ûr
30,Bauch::N,pântece,zik
31,Nabel::N,buric,navik
32,Busen::N,sân,sîng
33,Brust::N,piept,sîng
34,Schulter::N,umăr,mil
35,Schulter::N,spate,mil
36,Arm::N,braț,çepil
37,Ellenbogen::N,cot,enîşk
38,Hand::N,mână,dest
39,Handfläche::N,palmă,kefadest
40,Finger::N,deget,tilî
41,Fingernagel::N,unghie,neynuk
42,Nagel[Anatomie]::N,unghie,bizmar
43,Zeh::N,deget de la picior,tilî linga
44,Fuß::N,picior,ling
45,Ferse::N,călcâi,pahnî
46,Knie::N,genunchi,kabok
47,Oberschenkel::N,coapsă,rahn
48,Bein::N,picior,çip
49,Körper::N,corp,laş
50,Körper::N,corp,gowde
51,Haut::N,piele,çerm
52,Blut::N,sânge,xwîn
53,Ader::N,vână,reh
54,Ader::N,arteră,reh
55,Sehne::N,tendon,reh
56,Knochen::N,os,hestî
57,Gehirn::N,creier,mêjî
58,Herz::N,inimă,dil
59,Magen::N,stomac,navêş
60,Leber::N,ficat,kezeb
61,Atem::N,răsuflare,hilm
62,Atem::N,respirație,hilm
63,Hunger::N,foame,birçîtî
64,Träne::N,lacrimă,hêstir
65,Geschmack::N,gust,tam
66,Geruch::N,miros,bêhn
67,Schlaf::N,somn,xew
68,Traum::N,vis,xewn
69,Himmel::N,cer,ezman
70,Sonne::N,soare,roj
71,Mond::N,lună,heyv
72,Stern::N,stea,stêrk
73,Luft::N,aer,ba
74,Wind::N,vânt,ba
75,Welle::N,val,şewl
76,Welle::N,undă,şewl
77,Wasser::N,apă,av
78,Stein::N,piatră,kevir
79,Boden::N,sol,herd
80,Boden::N,pământ,herd
81,Erde::N,pământ,ax
82,Staub::N,praf,toz
83,Rauch::N,fum,dû
84,Funke::N,scânteie,çirûşk
85,Feuer::N,foc,agir
86,Licht::N,lumină,ronahî
87,Schatten::N,umbră,sî
88,Wetter::N,timp,hewa
89,Wetter::N,vreme,hewa
90,Nebel::N,ceață,mij
91,Nebel::N,negură,mij
92,Wolke::N,nor,ewr
93,Regen::N,ploaie,baran
94,Schnee::N,zăpadă,berf
95,Eis::N,gheață,qeşa
96,Frost::N,ger,xûsik
97,Kälte::N,frig,serma
98,Hitze::N,arșiță,germayî
99,Hitze::N,căldură,germayî
100,Raureif::N,chiciură,şext
101,Regenbogen::N,curcubeu,heftreng
102,Donner::N,tunet,gire-gir
103,Strömung::N,curent,şewl
104,Tropfen::N,picătură,dilop
105,Schaum::N,spumă,kef
106,Schmutz::N,murdărie,gemar
107,See::N,lac,gol
108,Sumpf::N,mlaștină,hezek
109,Moor::N,bărăgan,mafêl
110,Wiese::N,fânaț,sûrik
111,Wiese::N,livadă,sûrik
112,Wald::N,codru,çiya
113,Wald::N,codru,daristan
114,Wald::N,pădure,çiya
115,Wald::N,pădure,daristan
116,Hügel::N,deal,gir
117,Hügel::N,movilă,gir
118,Anhöhe::N,deal,sere gir
119,Anhöhe::N,ridicătură,sere gir
120,Berg::N,munte,kaş
121,Gipfel::N,pisc,sere gir
122,Höhle::N,peșteră,şikeft
123,Abhang::N,pantă,kaş
124,Abhang::N,versant,kaş
125,Quelle::N,izvor,kanî
126,Bach::N,gârlă,çem
127,Fluss::N,râu,çem
128,Fluss::N,râu,rûbar
129,Fluss::N,fluviu,çem
