,Concept_ID,sah,lv
0,Auge::N,харах,син
1,Auge::N,харах,acs
2,Ohr::N,кулгаах,пель
3,Ohr::N,кулгаах,auss
4,Nase::N,мурун,ныр
5,Nase::N,мурун,deguns
6,Mund::N,айах,вом
7,Mund::N,айах,mute
8,Zahn::N,тиис,пинь
9,Zahn::N,тиис,zobs
10,Zunge::N,тыл,кыв
11,Zunge::N,тыл,mēle
12,Lippe::N,уос,вом дор
13,Lippe::N,уос,lūpa
14,Wange::N,иэдэс,бан
15,Wange::N,иэдэс,vaigs
16,Gesicht::N,сирэй,чужӧм
17,Gesicht::N,сирэй,seja
18,Gesicht::N,сирэй,ģīmis
19,Stirn::N,сүүс,плеш
20,Stirn::N,сүүс,кымӧс
21,Stirn::N,сүүс,piere
22,Haar::N,баттах,си
23,Haar::N,баттах,юрси
24,Haar::N,баттах,mats
25,Schnurrbart::N,уос бытыга,ус
26,Schnurrbart::N,уос бытыга,пыртсим
27,Schnurrbart::N,уос бытыга,ūsas
28,Bart::N,сэҥийэ бытыга,тош
29,Bart::N,сэҥийэ бытыга,bārda
30,Kinn::N,сэҥийэ,тшӧка
31,Kinn::N,сэҥийэ,zods
32,Kinn::N,сэҥийэ,smakrs
33,Kiefer[Anatomie]::N,сыҥаах,черлы
34,Kiefer[Anatomie]::N,сыҥаах,алака лы
35,Kiefer[Anatomie]::N,сыҥаах,вомкӧтш лы
36,Kiefer[Anatomie]::N,сыҥаах,žoklis
37,Kehle::N,тамах,голя
38,Kehle::N,тамах,rīkle
39,Kehle::N,күөмэй,голя
40,Kehle::N,күөмэй,rīkle
41,Hals::N,моой,сьылі
42,Hals::N,моой,kakls
43,Genick::N,кэтэх,юрбӧр
44,Genick::N,кэтэх,балябӧж
45,Genick::N,кэтэх,sprands
46,Kopf::N,бас,юр
47,Kopf::N,бас,galva
48,Rücken::N,көҕүс,мыш
49,Rücken::N,көҕүс,mugura
50,Bauch::N,ис,рушку
51,Bauch::N,ис,vēders
52,Nabel::N,киин,гӧг
53,Nabel::N,киин,naba
54,Busen::N,эмиий,морӧс
55,Busen::N,эмиий,krūts
56,Brust::N,түөс,морӧс
57,Brust::N,түөс,krūts
58,Schulter::N,сарын,пельпом
59,Schulter::N,сарын,plecs
60,Arm::N,илии,ки
61,Arm::N,илии,roka
62,Arm::N,илии,delms
63,Ellenbogen::N,тоҕонох,гырддза
64,Ellenbogen::N,тоҕонох,elkonis
65,Hand::N,илии,ки
66,Hand::N,илии,roka
67,Hand::N,илии,plauksta
68,Handfläche::N,ытыс,ки пыдӧс
69,Handfläche::N,ытыс,delna
70,Handfläche::N,ытыс,plauksta
71,Finger::N,тарбах,чунь
72,Finger::N,тарбах,pirksts
73,Fingernagel::N,тыҥырах,гыж
74,Fingernagel::N,тыҥырах,nags
75,Nagel[Anatomie]::N,тыҥырах,гыж
76,Nagel[Anatomie]::N,тыҥырах,nags
77,Zeh::N,тарбах,кок чунь
78,Zeh::N,тарбах,pirksts
79,Fuß::N,уллуҥах,кок
80,Fuß::N,уллуҥах,kāja
81,Ferse::N,тилэх,кокбӧр
82,Ferse::N,тилэх,papēdis
83,Knie::N,тобук,пидзӧс
84,Knie::N,тобук,celis
85,Knie::N,дьилбэк,пидзӧс
86,Knie::N,дьилбэк,celis
87,Oberschenkel::N,уллук,лядьвей
88,Oberschenkel::N,уллук,бек
89,Oberschenkel::N,уллук,ciska
90,Oberschenkel::N,уллук,augšstilbs
91,Oberschenkel::N,өттүк,лядьвей
92,Oberschenkel::N,өттүк,бек
93,Oberschenkel::N,өттүк,ciska
94,Oberschenkel::N,өттүк,augšstilbs
95,Bein::N,атах,кок
96,Bein::N,атах,kāja
97,Körper::N,бэйэ,туша
98,Körper::N,бэйэ,вывтыр
99,Körper::N,бэйэ,miesa
100,Körper::N,бэйэ,ķermenis
101,Haut::N,тирии,ку
102,Haut::N,тирии,āda
103,Blut::N,хаан,вир
104,Blut::N,хаан,asins
105,Ader::N,вена,сӧн
106,Ader::N,вена,asinsvads
107,Ader::N,күөх_тымыр,сӧн
108,Ader::N,күөх_тымыр,asinsvads
109,Sehne::N,иҥиир,вез
110,Sehne::N,иҥиир,dzīsla
111,Knochen::N,уҥуох,лы
112,Knochen::N,уҥуох,kauls
113,Knochen::N,уҥгуох,лы
114,Knochen::N,уҥгуох,kauls
115,Gehirn::N,мэйии,вем
116,Gehirn::N,мэйии,smadzenes
117,Herz::N,сүрэх,сьӧлӧм
118,Herz::N,сүрэх,sirds
119,Magen::N,куртах,кынӧм
120,Magen::N,куртах,kuņģis
121,Leber::N,быар,мус
122,Leber::N,быар,aknas
123,Atem::N,тыын,лов
124,Atem::N,тыын,elpa
125,Hunger::N,аас,тшыг
126,Hunger::N,аас,bads
127,Hunger::N,аас,izsalkums
128,Träne::N,харах уута,синва
129,Träne::N,харах уута,asara
130,Geschmack::N,амтан,кӧр
131,Geschmack::N,амтан,чӧсмӧс
132,Geschmack::N,амтан,garša
133,Geruch::N,сыт,зын
134,Geruch::N,сыт,дук
135,Geruch::N,сыт,smaka
136,Schlaf::N,утуйуу,узьӧм
137,Schlaf::N,утуйуу,miegs
138,Traum::N,түүл,вӧт
139,Traum::N,түүл,вӧтасьӧм
140,Traum::N,түүл,sapnis
141,Himmel::N,халлаан,енэж
142,Himmel::N,халлаан,debess
143,Sonne::N,күн,шонді
144,Sonne::N,күн,saule
145,Mond::N,ый,тӧлысь
146,Mond::N,ый,mēness
147,Stern::N,сулус,кодзув
148,Stern::N,сулус,zvaigzne
149,Luft::N,салгын,сынӧд
150,Luft::N,салгын,gaiss
151,Wind::N,тыал,тӧв
152,Wind::N,тыал,vējš
153,Welle::N,долгун,гы
154,Welle::N,долгун,vilnis
155,Welle::N,балхаан,гы
156,Welle::N,балхаан,vilnis
157,Wasser::N,уу,ва
158,Wasser::N,уу,ūdens
159,Stein::N,таас,из
160,Stein::N,таас,akmens
161,Boden::N,сир,му
162,Boden::N,сир,augsne
163,Erde::N,буор,му
164,Erde::N,буор,му-ва
