,Concept_ID,se,ka
0,Auge::N,tjelmie,თვალი
1,Auge::N,tjalmme,თვალი
2,Auge::N,čalbmi,თვალი
3,Auge::N,čalme,თვალი
4,Auge::N,čâ´lmm,თვალი
5,Auge::N,ча̄лльм,თვალი
6,Ohr::N,bieljie,ყური
7,Ohr::N,biellje,ყური
8,Ohr::N,beallji,ყური
9,Ohr::N,pelji,ყური
10,Ohr::N,pe´llj,ყური
11,Ohr::N,пе̄лльй,ყური
12,Nase::N,njuenie,ცხვირი
13,Nase::N,njunnje,ცხვირი
14,Nase::N,njunni,ცხვირი
15,Nase::N,njuṇe,ცხვირი
16,Nase::N,njuu´nn,ცხვირი
17,Nase::N,нюннҍ,ცხვირი
18,Mund::N,njaelmie,პირი
19,Mund::N,njálmme,პირი
20,Mund::N,njálbmi,პირი
21,Mund::N,njälmi,პირი
22,Mund::N,njä´lmm,პირი
23,Mund::N,ня̄лльм,პირი
24,Zahn::N,baenie,კბილი
25,Zahn::N,bádne,კბილი
26,Zahn::N,bátni,კბილი
27,Zahn::N,pääṇi,კბილი
28,Zahn::N,pää´nn,კბილი
29,Zahn::N,па̄ннҍ,კბილი
30,Zunge::N,njoektjeme,ენა
31,Zunge::N,njuovtjav,ენა
32,Zunge::N,njuovčča,ენა
33,Zunge::N,njuovčâ,ენა
34,Zunge::N,njuhččâm,ენა
35,Zunge::N,нюхчем,ენა
36,Lippe::N,bangseme,ბაგე
37,Lippe::N,njálmmerabdda,ბაგე
38,Lippe::N,bavssa,ბაგე
39,Lippe::N,poovsâ,ბაგე
40,Lippe::N,põõus,ბაგე
41,Lippe::N,пэ̄кс,ბაგე
42,Wange::N,skiehrie,ლოყა
43,Wange::N,nierra,ლოყა
44,Wange::N,muohtu,ლოყა
45,Wange::N,nieṛâ,ლოყა
46,Wange::N,njiõrr,ლოყა
47,Wange::N,нӣрр,ლოყა
48,Gesicht::N,ååredæjja,სახე
49,Gesicht::N,muohto,სახე
50,Gesicht::N,muođut,სახე
51,Gesicht::N,ámadadju,სახე
52,Gesicht::N,muáđuh,სახე
53,Gesicht::N,muâđ,სახე
54,Gesicht::N,ка̄ссв,სახე
55,Stirn::N,gaalloe,შუბლი
56,Stirn::N,gállo,შუბლი
57,Stirn::N,gállu,შუბლი
58,Stirn::N,kállu,შუბლი
59,Stirn::N,käll,შუბლი
60,Stirn::N,вуэххьц,შუბლი
61,Haar::N,voepte,თმა
62,Haar::N,vuoppta,თმა
63,Haar::N,vuokta,თმა
64,Haar::N,vuop'tâ,თმა
65,Haar::N,vuõpt,თმა
66,Haar::N,вӯппт,თმა
67,Schnurrbart::N,bijjie-skaavtjoe,ულვაში
68,Schnurrbart::N,njunjevuolskávttjá,ულვაში
69,Schnurrbart::N,seamu,ულვაში
70,Schnurrbart::N,siämu,ულვაში
71,Schnurrbart::N,ää´bben,ულვაში
72,Schnurrbart::N,о̄а̄бпан,ულვაში
73,Bart::N,skaavtja,წვერი
74,Bart::N,skaavtjoe,წვერი
75,Bart::N,skávttjá,წვერი
76,Bart::N,seamu,წვერი
77,Bart::N,siämu,წვერი
78,Bart::N,seäm,წვერი
79,Bart::N,ся̄м,წვერი
80,Kinn::N,gaejpie,ნიკაპი
81,Kinn::N,gájbbe,ნიკაპი
82,Kinn::N,gáibi,ნიკაპი
83,Kinn::N,käibi,ნიკაპი
84,Kinn::N,käi´bb,ნიკაპი
85,Kinn::N,ка̄ййп,ნიკაპი
86,Kiefer[Anatomie]::N,gaejpie,ყბა
87,Kiefer[Anatomie]::N,oalol,ყბა
88,Kiefer[Anatomie]::N,oaloldákte,ყბა
89,Kiefer[Anatomie]::N,gáibi,ყბა
90,Kiefer[Anatomie]::N,uá'lultähti,ყბა
91,Kiefer[Anatomie]::N,vuâl'lõš,ყბა
92,Kiefer[Anatomie]::N,вуаллнешш,ყბა
93,Kehle::N,gealoe,ყელი
94,Kehle::N,tjåttå,ყელი
95,Kehle::N,njiello,ყელი
96,Kehle::N,čotta,ყელი
97,Kehle::N,čuudâ,ყელი
98,Kehle::N,čoodd,ყელი
99,Kehle::N,чонт,ყელი
100,Kehle::N,кэ̄ҏс,ყელი
101,Hals::N,tjeapohke,ყელი
102,Hals::N,tjeapohke,კისერი
103,Hals::N,tjiebet,ყელი
104,Hals::N,tjiebet,კისერი
105,Hals::N,čeabet,ყელი
106,Hals::N,čeabet,კისერი
107,Hals::N,čiäppát,ყელი
108,Hals::N,čiäppát,კისერი
109,Hals::N,čeäppat,ყელი
110,Hals::N,čeäppat,კისერი
111,Hals::N,ча̄пэх,ყელი
112,Hals::N,ча̄пэх,კისერი
113,Genick::N,tjovrese,კეფა
114,Genick::N,nisske,კეფა
115,Genick::N,niehkki,კეფა
116,Genick::N,niski,კეფა
117,Genick::N,niek'ki,კეფა
118,Genick::N,nji´šǩǩmaadd,კეფა
119,Genick::N,нышшькмоант,კეფა
120,Kopf::N,åejjie,თავი
121,Kopf::N,oajvve,თავი
122,Kopf::N,oaivi,თავი
123,Kopf::N,uái'vi,თავი
124,Kopf::N,vuei´vv,თავი
125,Kopf::N,вуэййв,თავი
126,Rücken::N,rudtje,ზურგი
127,Rücken::N,hárddo,ზურგი
128,Rücken::N,tjavelk,ზურგი
129,Rücken::N,sealgi,ზურგი
130,Rücken::N,selgi,ზურგი
131,Rücken::N,čielgi,ზურგი
132,Rücken::N,seä´lǧǧ,ზურგი
133,Rücken::N,се̄лльк,ზურგი
134,Bauch::N,tjåejjie,მუცელი
135,Bauch::N,tjoajvve,მუცელი
136,Bauch::N,čoavji,მუცელი
137,Bauch::N,čuáv'ji,მუცელი
138,Bauch::N,čåu´jj,მუცელი
139,Bauch::N,чо̄ввьй,მუცელი
140,Nabel::N,naepie,ჭიპი
141,Nabel::N,náhpe,ჭიპი
142,Nabel::N,náhpi,ჭიპი
143,Nabel::N,nääpi,ჭიპი
144,Nabel::N,nää´pp,ჭიპი
145,Nabel::N,на̄бпь,ჭიპი
146,Busen::N,boenge,ძუძუ
147,Busen::N,bållå,ძუძუ
148,Busen::N,čižži,ძუძუ
149,Busen::N,njamma,ძუძუ
150,Busen::N,njižže,ძუძუ
151,Busen::N,nje´ǯǯ,ძუძუ
152,Busen::N,раннҍт,ძუძუ
153,Brust::N,mïelke,მკერდი
154,Brust::N,radde,მკერდი
155,Brust::N,mielgga,მკერდი
156,Brust::N,raddi,მკერდი
157,Brust::N,radde,მკერდი
158,Brust::N,râ´dd,მკერდი
159,Brust::N,раннҍт,მკერდი
160,Schulter::N,åelkie,მხარი
161,Schulter::N,åelkie,მკლავი
162,Schulter::N,oalgge,მხარი
163,Schulter::N,oalgge,მკლავი
164,Schulter::N,hárdu,მხარი
165,Schulter::N,hárdu,მკლავი
166,Schulter::N,ärdee,მხარი
167,Schulter::N,ärdee,მკლავი
168,Schulter::N,uál'gi,მხარი
169,Schulter::N,uál'gi,მკლავი
170,Schulter::N,a´rddi,მხარი
171,Schulter::N,a´rddi,მკლავი
172,Schulter::N,vuä´lǧǧ,მხარი
173,Schulter::N,vuä´lǧǧ,მკლავი
174,Schulter::N,вуэллык,მხარი
175,Schulter::N,вуэллык,მკლავი
176,Arm::N,gïete,ხელი
177,Arm::N,giehta,ხელი
178,Arm::N,giehta,ხელი
179,Arm::N,kietâ,ხელი
180,Arm::N,kie'tâkaaṿâ,ხელი
181,Arm::N,ǩiõtt,ხელი
182,Arm::N,кӣдт,ხელი
183,Ellenbogen::N,gernjere,იდაყვი
184,Ellenbogen::N,garŋŋel,იდაყვი
