,Concept_ID,sk,ca
0,Auge::N,oko,ull
1,Ohr::N,ucho,orella
2,Nase::N,nos,nas
3,Mund::N,ústa,boca
4,Zahn::N,zub,dent
5,Zunge::N,jazyk,llēngua
6,Lippe::N,pera,llavi
7,Wange::N,líce,galta
8,Gesicht::N,tvár,cara
9,Gesicht::N,obličaj,cara
10,Stirn::N,čelo,front
11,Haar::N,vlas,cabēll
12,Schnurrbart::N,fúzy,bigoti
13,Bart::N,brada,barba
14,Kinn::N,brada,mentó
15,Kinn::N,brada,barbeta
16,Kiefer[Anatomie]::N,čeľusť,queix
17,Kiefer[Anatomie]::N,čeľusť,mandíbula
18,Kehle::N,hrdlo,gola
19,Kehle::N,hrdlo,gorja
20,Hals::N,krk,coll
21,Genick::N,väzy,nuca
22,Kopf::N,hlava,cap
23,Rücken::N,chrbát,esquena
24,Bauch::N,brucho,panxa
25,Nabel::N,pupok,llombrígol
26,Busen::N,prsia,pit
27,Busen::N,prsia,mama
28,Brust::N,hruď,pit
29,Schulter::N,plece,espatlla
30,Arm::N,rameno,braç
31,Ellenbogen::N,lakeť,colze
32,Hand::N,ruka,mà
33,Handfläche::N,dlaň,palma
34,Finger::N,prst,dit
35,Fingernagel::N,necht,ungla
36,Nagel[Anatomie]::N,necht,ungla
37,Zeh::N,prst na nohe,dit del peu
38,Fuß::N,noha,peu
39,Ferse::N,päta,taló
40,Knie::N,koleno,genoll
41,Oberschenkel::N,stehno,cuixa
42,Bein::N,noha,cama
43,Körper::N,telo,cos
44,Haut::N,koža,pell
45,Blut::N,krv,sang
46,Ader::N,žila,vena
47,Sehne::N,šľacha,tendó
48,Knochen::N,kosť,os
49,Gehirn::N,mozog,cervell
50,Herz::N,srdce,cor
51,Magen::N,žalúdok,estómac
52,Leber::N,pečeň,fetge
53,Atem::N,dych,alè
54,Atem::N,dych,hàlit
55,Hunger::N,hlad,fam
56,Hunger::N,hlad,gana
57,Träne::N,slza,llàgrima
58,Geschmack::N,chuť,gust
59,Geschmack::N,chuť,sabor
60,Geruch::N,pach,olor
61,Schlaf::N,spánok,son
62,Traum::N,sen,somni
63,Himmel::N,nebo,celm
64,Sonne::N,slnko,sol
65,Mond::N,mesiac,lluna
66,Stern::N,hviezda,estel
67,Stern::N,hviezda,estrella
68,Luft::N,vzduch,aire
69,Wind::N,vietor,vent
70,Welle::N,vlna,ona
71,Wasser::N,voda,āigua
72,Stein::N,kameň,pedra
73,Boden::N,zem,sòl
74,Boden::N,pôda,sòl
75,Erde::N,zem,terra
76,Staub::N,prach,pols
77,Rauch::N,dym,fum
78,Funke::N,iskra,guspira
79,Funke::N,iskra,centella
80,Feuer::N,oheň,foc
81,Licht::N,svetlo,llum
82,Schatten::N,tieň,ombra
83,Wetter::N,počasie,temps
84,Nebel::N,hmla,boira
85,Wolke::N,oblak,núvol
86,Wolke::N,mračno,núvol
87,Regen::N,dážď,pluja
88,Schnee::N,sneh,neu
89,Eis::N,ľad,gel
90,Eis::N,ľad,glaç
91,Frost::N,mráz,glaçada
92,Kälte::N,zima,fred
93,Kälte::N,chlad,fred
94,Hitze::N,horúčava,calor
95,Raureif::N,srieň,gebre
96,Raureif::N,inovať,gebre
97,Regenbogen::N,dúha,arc iris
98,Donner::N,hrom,tro
99,Strömung::N,prúdenie,corrent
100,Tropfen::N,kvapka,gota
101,Schaum::N,pena,escuma
102,Schmutz::N,špina,brutícia
103,Schmutz::N,nečistota,brutícia
104,See::N,jazero,llac
105,Sumpf::N,bahno,pantà
106,Moor::N,močiar,pantà
107,Wiese::N,lúka,prat
108,Wiese::N,lúka,prada
109,Wald::N,les,bosc
110,Wald::N,hora,bosc
111,Hügel::N,vŕšok,puig
112,Hügel::N,vŕšok,pujol
113,Anhöhe::N,výšina,turó
114,Anhöhe::N,vyvýšenina,turó
115,Berg::N,hora,muntanya
116,Gipfel::N,vrchol,cim
117,Höhle::N,jaskyňa,cova
118,Abhang::N,úbočie,coster
119,Quelle::N,prameň,font
120,Bach::N,potok,riera
121,Fluss::N,rieka,riu
122,Ufer::N,breh,riba
123,Küste::N,pobrežie,costa
124,Festland::N,pevnina,terra ferma
125,Meer::N,more,mar
126,Bucht::N,záliv,cala
127,Bucht::N,záliv,badia
128,Bucht::N,zátoka,cala
129,Bucht::N,zátoka,badia
130,Insel::N,ostrov,illa
131,Blume::N,kvet,flor
132,Blume::N,kvetina,flor
133,Gras::N,tráva,herba
134,Wurzel::N,koreň,rel
135,Wurzel::N,koreň,arrel
136,Baum::N,strom,arbre
137,Stamm::N,kmeň,tronc
138,Rinde::N,kôra,escorça
139,Ast::N,konár,branca
140,Zweig::N,vetva,ram
141,Blatt::N,list,fulla
142,Birke::N,breza,bedoll
143,Kiefer[Baum]::N,sosna,pi
144,Kiefer[Baum]::N,borovica,pi
145,Weide[Baum]::N,vŕba,salze
146,Tanne::N,jedľa,avet
147,Horn::N,roh,corn
148,Horn::N,roh,banya
149,Feder::N,pero,ploma
150,Fell::N,koža,pell
151,Fell::N,kožušina,pell
152,Flügel::N,krídlo,ala
153,Klaue::N,paznecht,urpa
154,Kralle::N,pazúr,grapa
155,Schwanz::N,chvost,cua
156,Ei::N,vajce,ou
157,Ei::N,vajíčko,ou
158,Nest::N,hniezdo,niu
159,Bau::N,nora,cau
160,Tier::N,zviera,animāl
161,Herde::N,stádo,ramat
162,Kuh::N,krava,vaca
163,Bulle::N,býk,toro
164,Pferd::N,kôň,cavāll
165,Schaf::N,ovca,be
166,Schaf::N,ovca,ovella
167,Schwein::N,sviňa,bacó
168,Hund::N,pes,ca
169,Hund::N,pes,gos
170,Katze::N,mačka,gat
171,Bär::N,medveď,ós
172,Eichhörnchen::N,veverička,esquirol
173,Elch::N,los,ant
174,Fuchs::N,líška,guilla
175,Hase::N,zajac,llebre
176,Maus::N,myš,ratolí
177,Wolf::N,vlk,llop
178,Vogel::N,vták,au
179,Vogel::N,vták,ocēll
180,Schwarm::N,roj,bandada
181,Huhn::N,kurča,gallina
182,Huhn::N,sliepka,gallina
183,Hahn::N,kohút,gall
184,Gans::N,hus,oca
185,Adler::N,orol,àguila
186,Ente::N,kačka,ànec
187,Ente::N,kačica,ànec
188,Eule::N,sova,òliba
189,Eule::N,sova,mussol
190,Kranich::N,žeriav,grua
191,Krähe::N,vrana,cornella
192,Kuckuck::N,kukučka,cucut
193,Schwan::N,labuť,cigne
194,Fisch::N,ryba,peix
195,Barsch::N,ostriež,perca
196,Hecht::N,šťuka,lluç
197,Schlange[Tier]::N,had,serp
198,Wurm::N,červ,cuc
199,Spinne::N,pavúk,aranya
200,Ameise::N,mravec,formiga
201,Laus::N,voš,poll
202,Mücke::N,komár,mosquit
203,Fliege::N,mucha,mosca
204,Schmetterling::N,motýľ,papallona
205,Beere::N,bobuľa,baia
206,Apfel::N,jablko,poma
207,Pilz::N,hríb,bolet
208,Zwiebel::N,cibuľa,ceba
209,Saat::N,osivo,sembra
210,Korn::N,zrno,gra
211,Heu::N,seno,fenc
212,Schale::N,šupa,closca
213,Schale::N,škrupina,closca
214,Grube::N,jama,sot
215,Grube::N,jama,clot
216,Falle::N,pasca,trampa
217,Falle::N,klepec,trampa
218,Schlinge::N,slučka,baga
219,Spur::N,stopa,traça
220,Asche::N,popol,cendra
221,Dreck::N,kal,llot
222,Dreck::N,blato,llot
223,Eisen::N,železo,ferro
224,Gold::N,zlato,or
225,Silber::N,striebro,plata
226,Kohle::N,uhlie,carbó
227,Glas::N,sklo,vidre
228,Lehm::N,íl,fang
229,Lehm::N,íl,argila
230,Lehm::N,hlina,fang
231,Lehm::N,hlina,argila
232,Sand::N,piesok,arena
233,Mensch::N,človek,humà
234,Mensch::N,človek,persona
235,Mann::N,muž,home
236,Mann::N,chlap,home
237,Frau::N,žena,dona
238,Kind::N,dieťa,nen
239,Junge::N,chlapec,noi
240,Mädchen::N,dievka,noia
241,Familie::N,rodina,família
