,Concept_ID,sl,mrj
0,Auge::N,okó,сӹнзӓ
1,Ohr::N,uhó,пӹлӹш
2,Nase::N,nós,нер
3,Mund::N,ústa,ышма
4,Zahn::N,zób,пӱ
5,Zunge::N,jêzik,йӹлмӹ
6,Lippe::N,ústnica,тӹрвӹ
7,Wange::N,líce,шӹргӹ
8,Gesicht::N,oblíčje,лицӓ
9,Stirn::N,čêlo,лепкӓ
10,Haar::N,lás,ӱп
11,Schnurrbart::N,bŕki,öрш
12,Bart::N,bráda,пандаш
13,Kinn::N,bráda,онгылаш
14,Kiefer[Anatomie]::N,čeljúst,пӱ арата
15,Kehle::N,gŕlo,логер
16,Hals::N,vrát,шӱ
17,Genick::N,zatílnik,ланга
18,Kopf::N,gláva,вуй
19,Rücken::N,hrbèt,туп
20,Bauch::N,trébuh,мӹшкӹр
21,Nabel::N,pópek,кӹлӹмдӹ
22,Busen::N,nédrja,цӹзӹ
23,Brust::N,pŕsi,мел
24,Schulter::N,ráma,ӹнгӹжӓ
25,Schulter::N,plêče,ӹнгӹжӓ
26,Arm::N,rôka,кид
27,Ellenbogen::N,komólec,кӹнервуй
28,Hand::N,rôka,лапа
29,Handfläche::N,dlán,кид лапа
30,Finger::N,pŕst,парня
31,Fingernagel::N,nóht na rôki,кӹч
32,Nagel[Anatomie]::N,nóht,кӹч
33,Zeh::N,pŕst na nôgi,парня
34,Fuß::N,nôga,ял лапа
35,Ferse::N,pêta,ялгавал
36,Ferse::N,pêta,ял кавал
37,Knie::N,koléno,пылвуй
38,Oberschenkel::N,stêgno,ӓрдӹ
39,Bein::N,nôga,ял
40,Körper::N,teló,монгыр
41,Haut::N,kóža,кавашты
42,Blut::N,krí,вӹр
43,Ader::N,žíla,вӹршӓр
44,Sehne::N,kíta,кукшышӱн
45,Knochen::N,kóst,лу
46,Gehirn::N,možgáni,вим
47,Herz::N,srcé,шӱм
48,Magen::N,želódec,шӱм
49,Leber::N,jétra,мокш
50,Atem::N,díh,шӱлӹш
51,Hunger::N,glád,шужымаш
52,Träne::N,sólza,сӹнзӓвӹд
53,Geschmack::N,okús,тот
54,Geruch::N,vónj,пыш
55,Schlaf::N,sèn,ом
56,Schlaf::N,spánec,ом
57,Traum::N,sánje,ом
58,Himmel::N,nebó,пӹлгом
59,Sonne::N,sónce,кечӹ
60,Mond::N,lúna,тӹлзӹ
61,Mond::N,mésec,тӹлзӹ
62,Stern::N,zvézda,шӹдӹр
63,Luft::N,zràk,юж
64,Luft::N,zràk,воздух
65,Wind::N,véter,мардеж
66,Welle::N,vál,ко
67,Welle::N,vál,коэ
68,Wasser::N,vôda,вӹд
69,Stein::N,kámen,кӱ
70,Boden::N,tlà,рок
71,Erde::N,pŕst,свет
72,Erde::N,zêmlja,свет
73,Staub::N,práh,пырак
74,Rauch::N,dìm,шӹкш
75,Funke::N,ískra,ип
76,Funke::N,ískra,тылип
77,Feuer::N,ôgenj,тыл
78,Licht::N,lúč,соты
79,Licht::N,lúč,валгыды
80,Schatten::N,sénca,ӹмӹл
81,Wetter::N,vrême,игечӹ
82,Nebel::N,meglà,тӹтӹрӓ
83,Wolke::N,oblák,пӹл
84,Regen::N,dèž,юр
85,Schnee::N,snég,лым
86,Eis::N,léd,и
87,Frost::N,zmrzál,ӱштӹ
88,Kälte::N,mràz,ӱштӹ
89,Hitze::N,pripéka,шокшы
90,Raureif::N,ívje,пöрш
91,Raureif::N,slána,пöрш
92,Regenbogen::N,mávrica,шанавӹл
93,Donner::N,gròm,хӹдӹртӹш
94,Strömung::N,strúja,йогы
95,Tropfen::N,káplja,капльы
96,Tropfen::N,káplja,капльык
97,Schaum::N,péna,шонг
98,Schmutz::N,nesnága,лявӹрӓ
99,See::N,jézero,йӓр
100,Sumpf::N,močvírje,лӱкӹ
101,Moor::N,bárje,куп
102,Wiese::N,trávnik,алык
103,Wald::N,lés,шӹргӹ
104,Wald::N,gòzd,шӹргӹ
105,Hügel::N,brég,пӱгӹрикӓ
106,Hügel::N,goríca,пӱгӹрикӓ
107,Anhöhe::N,gríč,кӱкшикӓ
108,Anhöhe::N,višína,кӱкшикӓ
109,Berg::N,gôra,кырык
110,Berg::N,planína,кырык
111,Gipfel::N,vŕh,неркӓ
112,Höhle::N,jáma,ы́раж
113,Höhle::N,votlína,ы́раж
114,Abhang::N,pobóčje,полом
115,Quelle::N,izvír,вӹдсӹнзӓ
116,Bach::N,pôtok,ӓнгӹр
117,Fluss::N,réka,вӹд
118,Ufer::N,brég,сир
119,Küste::N,obála,сир
120,Küste::N,obréžje,сир
121,Festland::N,celína,мӱлӓндӹ
122,Festland::N,kopnína,мӱлӓндӹ
123,Meer::N,mórje,тангыж
124,Bucht::N,zalív,вӹдъял
125,Insel::N,ôtok,острок
126,Blume::N,cvetlíca,пеледӹш
127,Gras::N,tráva,шуды
128,Wurzel::N,korenína,важ
129,Baum::N,drevó,пушӓнгӹ
130,Stamm::N,dêblo,пушӓнгӹ тӹнг
131,Rinde::N,lúbje,каргыж
132,Rinde::N,skórja,каргыж
133,Ast::N,véja,укш
134,Zweig::N,véja,укш
135,Blatt::N,líst,листӹ
136,Birke::N,bréza,куги
137,Kiefer[Baum]::N,bòr,йӓктӹ
138,Weide[Baum]::N,vŕba,уа
139,Tanne::N,hója,кож
140,Horn::N,róg,шур
141,Feder::N,peró,пын
142,Fell::N,kŕzno,кавашты
143,Flügel::N,krílo,шылдыр
144,Klaue::N,párkelj,кӹч
145,Kralle::N,krémpelj,лапа
146,Schwanz::N,rèp,пач
147,Ei::N,jájce,мыны
148,Nest::N,gnézdo,пӹжӓш
149,Bau::N,brlòg,ыраж
150,Tier::N,živál,во́льык
151,Herde::N,čréda,кӹтö
152,Kuh::N,kráva,ышкал
153,Bulle::N,bìk,ӱшкӱж
154,Pferd::N,kònj,имни
