,Concept_ID,sv,kn
0,Auge::N,öga,ಕಣ್ಣು
1,Ohr::N,öra,ಕಿವಿ
2,Nase::N,näsa,ಮೂಗು
3,Mund::N,mun,ಬಾಯಿ
4,Zahn::N,tand,ಹಲ್ಲು
5,Zunge::N,tunga,ನಾಲಿಗೆ
6,Lippe::N,läpp,ತುಟಿ
7,Wange::N,kind,ಗಲ್ಲ
8,Gesicht::N,syn,ಮುಖ
9,Gesicht::N,ansikte,ಮುಖ
10,Stirn::N,panna,ಹಣೆ
11,Haar::N,hår,ಕೂದಲು
12,Schnurrbart::N,mustasch,ಮೀಸೆ
13,Bart::N,skägg,ಗಡ್ಡ
14,Kinn::N,haka,ಗದ್ದ
15,Kiefer[Anatomie]::N,käke,ದವಡೆ
16,Kehle::N,strupe,ಗಂಟಲು
17,Hals::N,hals,ಕೊರಳು
18,Genick::N,nacke,ಹಿಂಗತ್ತು
19,Kopf::N,huvud,ತಲೆ
20,Rücken::N,rygg,ಬೆನ್ನು
21,Bauch::N,buk,ಹೊಟ್ಟೆ
22,Bauch::N,mage,ಹೊಟ್ಟೆ
23,Nabel::N,navel,ಹೊಕ್ಕುಳು
24,Busen::N,barm,ಸ್ತನ
25,Brust::N,bröst,ಎದೆ
26,Schulter::N,skuldra,ಭುಜ
27,Arm::N,arm,ತೋಳು
28,Ellenbogen::N,armbåge,ಮೊಣಕೈ
29,Hand::N,hand,ಕೈ
30,Handfläche::N,handflata,ಅಂಗೈ
31,Finger::N,finger,ಕೈಬೆರಳು
32,Fingernagel::N,fingernagel,ಉಗುರು
33,Nagel[Anatomie]::N,nagel,ಉಗುರು
34,Zeh::N,tå,ಕಾಲ್ಬೆರಳು
35,Fuß::N,fot,ಪಾದ
36,Ferse::N,häl,ಹಿಮ್ಮಡಿ
37,Knie::N,knä,ಮಂಡಿ
38,Oberschenkel::N,lår,ತೊಡೆ
39,Bein::N,ben,ಕಾಲು
40,Körper::N,kropp,ದೇಹ
41,Haut::N,hud,ಚರ್ಮ
42,Haut::N,skinn,ಚರ್ಮ
43,Blut::N,blod,ರಕ್ತ
44,Ader::N,åder,ನರ
45,Sehne::N,sena,ನರ
46,Knochen::N,ben,ಮೂಳೆ
47,Gehirn::N,hjärna,ಮಿದುಳು
48,Herz::N,hjärta,ಹೃದಯ
49,Magen::N,mage,ಉದರ
50,Leber::N,lever,ಯಕೃತ್ತು
51,Atem::N,anda,ಉಸಿರು
52,Atem::N,andedräkt,ಉಸಿರು
53,Hunger::N,svält,ಹಸಿವು
54,Hunger::N,hunger,ಹಸಿವು
55,Träne::N,tår,ಕಣ್ಣೀರು
56,Geschmack::N,smak,ರುಚಿ
57,Geruch::N,lukt,ವಾಸನೆ
58,Schlaf::N,sömn,ನಿದ್ರೆ
59,Traum::N,dröm,ಕನಸು
60,Himmel::N,himmel,ಬಾನು
61,Sonne::N,sol,ಸೂರ್ಯ
62,Mond::N,måne,ಚಂದ್ರ
63,Stern::N,stjärna,ಚುಕ್ಕಿ
64,Luft::N,luft,ವಾಯು
65,Wind::N,vind,ಗಾಳಿ
66,Welle::N,våg,ಅಲೆ
67,Welle::N,bölja,ಅಲೆ
68,Wasser::N,vatten,ನೀರು
69,Stein::N,sten,ಕಲ್ಲು
70,Boden::N,mark,ನೆಲ
71,Erde::N,jord,ಭೂಮಿ
72,Staub::N,damm,ದೂಳು
73,Rauch::N,rök,ಹೊಗೆ
74,Funke::N,gnista,ಕಿಡಿ
75,Feuer::N,eld,ಬೆಂಕಿ
