,Concept_ID,ta,mdf
0,Auge::N,கண்,сельме
1,Ohr::N,காது,пиле
2,Nase::N,மூக்கு,шалхка
3,Mund::N,வாய்,курга
4,Zahn::N,பல்,пей
5,Zunge::N,நாக்கு,кяль
6,Lippe::N,உதடு,търва́
7,Wange::N,கன்னம்,щёка
8,Gesicht::N,முகம்,шама
9,Stirn::N,முன்னெற்றி,коня
10,Haar::N,முடி,шя́ярь
11,Schnurrbart::N,மீசை,уса́
12,Bart::N,தாடி,сакал
13,Kinn::N,கீழதாடை,ула
14,Kiefer[Anatomie]::N,தாடை,саласка
15,Kehle::N,தொண்டை,кълдома
16,Kehle::N,தொண்டை,кърга́парь
17,Hals::N,கழுத்து,сялдаз
18,Genick::N,கழுத்து,шовонь
19,Kopf::N,தலை,пря
20,Rücken::N,முதுகு,копорь
21,Bauch::N,வயிறு,пеке
22,Nabel::N,தொப்புள்,по́кон
23,Busen::N,மார்பகம்,потя
24,Brust::N, மார்பு,мяште
25,Schulter::N,தோள்பட்டை,лафту
26,Arm::N,கரம்,кядь
27,Ellenbogen::N,முழங்கை,кенерьба́карь
28,Hand::N,கை,кядь
29,Handfläche::N,உள்ளங்கை,кядьлапш
30,Finger::N,விரல்,сур
31,Fingernagel::N,விரல் நகம்,кенже
32,Nagel[Anatomie]::N,நகம்,кенже
33,Zeh::N,கால்விரல்,пильгосу́р
34,Fuß::N,கால்,пильге
35,Fuß::N,கால்,пильгелапа
36,Ferse::N,குதிகால்,кочкяря
37,Knie::N,முழங்கால்,эль
38,Knie::N,முழங்கால்,пълма́нжа
39,Oberschenkel::N,தொடை,пильгепукша
40,Bein::N,கால்,пильге
41,Körper::N,உடல்,ро́нга
42,Körper::N,உடல்,по́нда
43,Haut::N,சருமம்,киське
44,Blut::N,இரத்தம்,вер
45,Ader::N,நாளம்,сан
46,Ader::N,நாளம்,верза́н
47,Sehne::N,தசைநார்,коське сан
48,Knochen::N,எலுமபு,пакарь
49,Gehirn::N,மூனை,уй
50,Herz::N,இதயம,седи
51,Magen::N,வயிறு,коткърдазь
52,Leber::N,கல்லீரல்,макса
53,Atem::N,மூச்சு,лекома
54,Atem::N,மூச்சு,ваймонь тарксема
55,Hunger::N,பசி,вачеши
56,Träne::N,கண்ணீர்,сельмове́дь
57,Geschmack::N,நறுமணம்,таньф
58,Geruch::N,துர்நாற்றம்,шине
59,Schlaf::N,தூக்கம்,удома́
60,Traum::N,கனவு,он
61,Himmel::N,வானம்,менель
62,Sonne::N,சூரியன்,ши
63,Mond::N,சந்திரன்,ков
64,Stern::N,நட்சத்திரம்,тяште
65,Luft::N,காறறு,кожф
66,Wind::N,காற்று,варма
67,Welle::N,அலை,тавла
68,Wasser::N,நீர்,ведь
69,Stein::N,கல்,кев
70,Boden::N,தரை,мода
71,Boden::N,தரை,потмакс
72,Erde::N,மண்,мода
73,Erde::N,மண்,мастор
74,Staub::N,தூசி,пуль
75,Rauch::N,புகை,качам
76,Funke::N,தீப்பொறி,ця́тка
77,Feuer::N,தீ,тол
78,Licht::N,வெளிச்சம்,ва́лда
79,Schatten::N,நிழல்,цильф
80,Wetter::N,வானிலை,уша
81,Nebel::N,பனிமூட்டம்,тума́н
82,Wolke::N,மேகம்,ковол
83,Regen::N,மழை,пизем
84,Schnee::N,உறைபனி,лов
85,Eis::N,பனிக்கட்டி,эй
86,Frost::N,உறைபனி,ке́льме
87,Kälte::N,குளிர்ந்த,якшама
88,Hitze::N,சூடு,пси
89,Raureif::N,உறைபனி வெண்திரை,леш
90,Regenbogen::N,வானவில்,а́тямъёнга
91,Donner::N,இடி,атям
92,Strömung::N,நீரோட்டம்,шудема́
93,Tropfen::N,துளி,путькс
94,Tropfen::N,துளி,пътняфкс
95,Schaum::N,நுரை,шов
96,Schmutz::N,அழுக்கு,ърда́з
97,See::N,ஏரி,эрьхке
98,Sumpf::N,சதுப்பு நிலம்,шяй
99,Moor::N,முட்புதற்காடு,шяй
100,Wiese::N,பசும் புல்தரை,луга
101,Wald::N,காடு,вирь
102,Hügel::N,குன்று,губо́р
103,Hügel::N,குன்று,пандоня
104,Anhöhe::N,பதுக்கை,губо́р
105,Berg::N,மலை,панда
106,Gipfel::N,உச்சி மாநாடு,пря
107,Höhle::N,குகை,у́нда
108,Abhang::N,சரிவு,па́нда ша́ма
109,Quelle::N,மூலம்,эшиня
110,Bach::N,ஓடை,шудерькс
111,Fluss::N,ஆறு,ляй
112,Ufer::N,நீர்க்கரை,търва́
113,Küste::N,கடற்கரை,ляйтърва́
114,Festland::N,நிலம்,мода
115,Meer::N,கடல்,моря
116,Bucht::N,சிறுகுடா,ведьуське
117,Insel::N,தீவு,цёнга
118,Blume::N,பூ,панчф
119,Gras::N,புல்தரை,тише
120,Wurzel::N,வேர்,юр
121,Wurzel::N,வேர்,ункс
122,Baum::N,மரம்,шуфта
123,Stamm::N,அடிமரம்,ро́нга
124,Rinde::N,பட்டை,кер
125,Rinde::N,மரப்பட்டை,кер
126,Ast::N,கினை,морга
127,Zweig::N,குச்சி,тарад
128,Blatt::N,இலை,лопа
129,Birke::N,பிர்ச் மரம்,ке́лу
130,Kiefer[Baum]::N,தேவதாரு மரம்,пиче
131,Weide[Baum]::N,மர வகைகளுள் ஒன்று,каль
132,Tanne::N,சாதிக்கய்,куз
133,Horn::N,கொம்பு,сюра
134,Feder::N,இறகு,толга
135,Fell::N,மென்முடி,кедь
136,Flügel::N,இறக்கை,паця
137,Klaue::N,நகம்,кенже
138,Kralle::N,நகம்,кенже
139,Schwanz::N,வால்,пула
140,Ei::N,முட்டை,ал
141,Nest::N,கூடு,пиза
142,Bau::N,குகை,пиза
143,Tier::N,விலங்கு,жува́та
144,Herde::N,கூட்டம்,нал
145,Herde::N,கூட்டம்,стада
146,Kuh::N,பசு,скал
147,Kuh::N,பசு,тракс
148,Bulle::N,காளை,бука
149,Pferd::N,குதிரை,лишме
