,Concept_ID,te,uk
0,Auge::N,కన్ను,око
1,Ohr::N,చెవి,вухо
2,Nase::N,ముక్కు,ніс
3,Mund::N,నోరు,рот
4,Zahn::N,పల్లు,зуб
5,Zunge::N,నాలుక,язик
6,Lippe::N,పెదవి,губа
7,Wange::N,చెంప,щока
8,Gesicht::N,ముఖము,обличчя
9,Stirn::N,నుదురు,лоб
10,Haar::N,వెండ్రుక,волосся
11,Schnurrbart::N,మీసము,вуса
12,Bart::N,గడ్డము,борода
13,Kinn::N,గడ్డము,підборіддя
14,Kiefer[Anatomie]::N,దౌడ,щелепа
15,Kehle::N,గొంతు,горло
16,Hals::N,మెడ,шия
17,Genick::N,మూపు,потилиця
18,Kopf::N,తల,голова
19,Rücken::N,వెన్ను,спина
20,Bauch::N,కడుపు,живіт
21,Nabel::N,బొడ్డు,пупок
22,Busen::N,స్తనము,груди
23,Brust::N,ఱొమ్ము,груди
24,Schulter::N,భుజము,плече
25,Arm::N,చేయి,рука
26,Ellenbogen::N,మోచేయి,лікоть
27,Hand::N,చేయి,рука
28,Handfläche::N,అరచేయు,долоня
29,Finger::N,చేతిప్రేలు,палець
30,Fingernagel::N,గోరు,ніготь
31,Nagel[Anatomie]::N,గోరు,ніготь
32,Zeh::N,కాలిప్రేలు,палець на нозі
33,Fuß::N,అడుగు,нога
34,Ferse::N,మడమ,п’ятка
35,Knie::N,మోకాలు,коліно
36,Oberschenkel::N,తొడ,стегно
37,Bein::N,కాలు,нога
38,Körper::N,కాయము,тіло
39,Haut::N,చర్మము,шкіра
40,Blut::N,రక్తము,кров
41,Ader::N,సిర,вена
42,Sehne::N,స్నాయువు,сухожилля
43,Knochen::N,ఎముక,кістка
44,Gehirn::N,మెదడు,мозок
45,Herz::N,హృదయము,серце
46,Magen::N,కడుపు,шлунок
47,Leber::N,కాలేయము,печінка
48,Atem::N,ఉపిరి,дихання
49,Hunger::N,ఆకలి,голод
50,Träne::N,కన్నీటిచుక్క,сльоза
51,Geschmack::N,రుచి,смак
52,Geruch::N,వాసన,запах
53,Schlaf::N,నిద్ర,сон
54,Schlaf::N,నిద్ర,сплячка
55,Traum::N,కల,сон
56,Himmel::N,ఆకాశము,небо
57,Sonne::N,సూర్యుడు,сонце
58,Mond::N,చంద్రుడు,місяць
59,Stern::N,నక్షత్రము,зірка
60,Luft::N,గాలి,повітря
61,Wind::N,వీచుచున్నగాలి,вітер
62,Welle::N,అల,хвиля
63,Wasser::N,నీరు,вода
64,Stein::N,ఱాయి,камінь
65,Boden::N,నేల,ґрунт
