,Concept_ID,tr,fi
0,Auge::N,göz,silmä
1,Ohr::N,kulak,korva
2,Nase::N,burun,nenä
3,Mund::N,ağız,suu
4,Zahn::N,diş,hammas
5,Zunge::N,dil,kieli
6,Lippe::N,dudak,huuli
7,Wange::N,yanak,poski
8,Gesicht::N,yüz,naama
9,Gesicht::N,yüz,kasvot
10,Stirn::N,alın,otsa
11,Haar::N,saç,hius
12,Haar::N,saç,tukka
13,Schnurrbart::N,bıyık,viikset
14,Bart::N,sakal,parta
15,Kinn::N,çene,leuka
16,Kiefer[Anatomie]::N,çene,leukaluu
17,Kehle::N,boğaz,kurkku
18,Hals::N,boyun,kaula
19,Hals::N,gerdan,kaula
20,Genick::N,ense,niska
21,Kopf::N,baş,pää
22,Kopf::N,kafa,pää
23,Rücken::N,arka,selkä
24,Bauch::N,karın,maha
25,Bauch::N,karın,vatsa
26,Nabel::N,göbek,napa
27,Busen::N,koyun,rinta
28,Brust::N,göğüs,rinta
29,Schulter::N,omuz,olka
30,Schulter::N,omuz,hartia
31,Schulter::N,omuz,olkapää
32,Arm::N,kol,käsivarsi
33,Ellenbogen::N,dirsek,kyynärpää
34,Hand::N,el,käsi
35,Handfläche::N,avuç,kämmen
36,Handfläche::N,el ayası,kämmen
37,Finger::N,parmak,sormi
38,Fingernagel::N,el tırnağı,kynsi
39,Nagel[Anatomie]::N,tırnak,kynsi
40,Zeh::N,ayak parmağı,varvas
41,Fuß::N,ayak,jalka
42,Ferse::N,topuk,kantapää
43,Knie::N,diz,polvi
44,Oberschenkel::N,uyluk,reisi
45,Bein::N,bacak,jalka
46,Körper::N,vücut,keho
47,Körper::N,vücut,ruumis
48,Haut::N,cilt,iho
49,Blut::N,kan,veri
50,Ader::N,damar,suoni
51,Sehne::N,kiriş,jänne
52,Knochen::N,kemik,luu
53,Gehirn::N,beyin,aivot
54,Herz::N,kalp,sydän
55,Herz::N,yürek,sydän
56,Magen::N,mide,maha
57,Magen::N,mide,vatsa
58,Leber::N,karaciğer,maksa
59,Atem::N,nefes,henki
60,Atem::N,nefes,hengitys
61,Hunger::N,açlık,nälkä
62,Träne::N,gözyaşı,kyynel
63,Geschmack::N,tat,maku
64,Geschmack::N,lezzet,maku
65,Geruch::N,koku,haju
66,Schlaf::N,uyku,uni
67,Traum::N,düş,uni
68,Traum::N,rüya,uni
69,Himmel::N,gök,taivas
70,Sonne::N,güneş,aurinko
71,Mond::N,ay,kuu
72,Stern::N,yıldız,tähti
73,Luft::N,hava,ilma
74,Wind::N,yel,tuuli
75,Wind::N,rüzgâr,tuuli
76,Welle::N,dalga,aalto
77,Wasser::N,su,vesi
78,Stein::N,taş,kivi
79,Boden::N,yer,maa
80,Boden::N,yer,maaperä
81,Boden::N,zemin,maa
82,Boden::N,zemin,maaperä
83,Erde::N,toprak,maa
84,Staub::N,toz,pöly
85,Rauch::N,duman,savu
86,Funke::N,kıvılcım,kipinä
87,Feuer::N,ateş,tuli
88,Licht::N,ışık,valo
89,Schatten::N,gölge,varjo
90,Wetter::N,hava,sää
91,Nebel::N,pus,sumu
92,Wolke::N,bulut,pilvi
93,Regen::N,yağmur,sade
94,Schnee::N,kar,lumi
95,Eis::N,buz,jää
96,Frost::N,don,halla
97,Frost::N,don,pakkanen
98,Kälte::N,soğukluk,vilu
99,Kälte::N,soğukluk,kylmyys
100,Hitze::N,sıcaklık,helle
101,Hitze::N,sıcaklık,kuumuus
102,Raureif::N,kırç,huurre
103,Regenbogen::N,gökkuşağı,sateenkaari
104,Donner::N,gök gürlemesi,jyrinä
105,Strömung::N,akıntı,virtaus
106,Strömung::N,cereyan,virtaus
107,Tropfen::N,damla,tippa
108,Tropfen::N,damla,pisara
109,Schaum::N,köpük,vaahto
110,Schmutz::N,çamur,loka
111,Schmutz::N,pislik,loka
112,See::N,göl,järvi
113,Sumpf::N,batak,suo
114,Moor::N,cılgıt,räme
115,Wiese::N,çimen,niitty
116,Wald::N,koru,metsä
117,Wald::N,orman,metsä
118,Hügel::N,tepe,mäki
119,Hügel::N,tepe,kumpu
120,Hügel::N,tepe,kukkula
121,Anhöhe::N,tümsek,mäki
122,Anhöhe::N,tümsek,kumpare
123,Anhöhe::N,yükseklik,mäki
124,Anhöhe::N,yükseklik,kumpare
125,Berg::N,dağ,mäki
126,Berg::N,dağ,vuori
127,Gipfel::N,zirve,laki
128,Gipfel::N,zirve,huippu
129,Höhle::N,in,luola
130,Höhle::N,mağara,luola
131,Abhang::N,bayır,rinne
132,Quelle::N,pınar,lähde
133,Quelle::N,kaynak,lähde
134,Bach::N,çay,puro
135,Bach::N,dere,puro
136,Fluss::N,nehir,joki
137,Ufer::N,kıyı,ranta
138,Ufer::N,sahil,ranta
139,Küste::N,kıyı,rannikko
140,Küste::N,sahil,rannikko
141,Festland::N,kara,manner
142,Meer::N,deniz,meri
143,Bucht::N,koy,lahti
144,Bucht::N,körfez,lahti
145,Insel::N,ada,saari
146,Blume::N,çiçek,kukka
147,Gras::N,ot,ruoho
148,Gras::N,çim,ruoho
149,Wurzel::N,kök,juuri
150,Baum::N,ağaç,puu
151,Stamm::N,gövde,runko
152,Rinde::N,kabuk,kuori
153,Rinde::N,kabuk,parkki
154,Ast::N,dal,oksa
155,Ast::N,budak,oksa
156,Zweig::N,dal,haara
157,Blatt::N,yaprak,lehti
158,Birke::N,huş,koivu
159,Kiefer[Baum]::N,çam,mänty
160,Kiefer[Baum]::N,çam,petäjä
161,Weide[Baum]::N,söğüt,paju
162,Tanne::N,çam,kuusi
163,Tanne::N,köknar,kuusi
164,Horn::N,boynuz,sarvi
165,Feder::N,tüy,sulka
166,Feder::N,tüy,höyhen
167,Fell::N,post,talja
168,Flügel::N,kanat,siipi
169,Klaue::N,pençe,kynsi
170,Kralle::N,tırnak,kynsi
171,Schwanz::N,kuyruk,häntä
172,Schwanz::N,kuyruk,pyrstö
173,Ei::N,yumurta,muna
174,Nest::N,yuva,pesä
175,Bau::N,in,pesä
176,Tier::N,hayvan,eläin
177,Herde::N,sürü,lauma
178,Kuh::N,inek,lehmä
179,Bulle::N,boğa,sonni
180,Pferd::N,at,hevonen
181,Pferd::N,beygir,hevonen
182,Schaf::N,koyun,lammas
183,Schwein::N,domuz,sika
184,Hund::N,it,koira
185,Hund::N,köpek,koira
186,Katze::N,kedi,kissa
187,Bär::N,ayı,karhu
188,Eichhörnchen::N,sincap,orava
189,Elch::N,büyük kuzey geyiği,hirvi
190,Fuchs::N,tilki,kettu
191,Hase::N,tavşan,jänis
192,Maus::N,fare,hiiri
193,Maus::N,sıçan,hiiri
194,Wolf::N,kurt,susi
195,Vogel::N,kuş,lintu
196,Schwarm::N,sürü,parvi
197,Huhn::N,tavuk,kana
198,Hahn::N,horoz,kukko
199,Gans::N,kaz,hanhi
200,Adler::N,kartal,kotka
201,Adler::N,karakuş,kotka
202,Ente::N,ördek,ankka
203,Eule::N,baykuş,pöllö
204,Kranich::N,turna,kurki
205,Krähe::N,karga,varis
206,Kuckuck::N,guguk,käki
207,Schwan::N,kuğu,joutsen
208,Fisch::N,balık,kala
209,Barsch::N,hani,ahven
210,Barsch::N,levrek,ahven
211,Hecht::N,turnabalığı,hauki
212,Schlange[Tier]::N,yılan,käärme
213,Wurm::N,kurt,mato
214,Wurm::N,solucan,mato
215,Spinne::N,örümcek,hämähäkki
216,Ameise::N,karınca,muurahainen
217,Laus::N,bit,täi
218,Mücke::N,sivrisinek,sääski
219,Mücke::N,sivrisinek,hyttynen
220,Fliege::N,sinek,kärpänen
221,Schmetterling::N,kelebek,perhonen
222,Beere::N,tane,marja
223,Apfel::N,elma,omena
224,Pilz::N,mantar,sieni
225,Zwiebel::N,soğan,sipuli
226,Saat::N,ekin,siemenet
227,Korn::N,tane,jyvä
228,Korn::N,tane,vilja
229,Heu::N,kuru ot,heinä
230,Schale::N,kabuk,kuori
231,Grube::N,çukur,kuoppa
232,Falle::N,tuzak,loukku
233,Schlinge::N,ilmik,ansa
234,Spur::N,iz,jälki
235,Asche::N,kül,tuhka
236,Dreck::N,pislik,lika
237,Eisen::N,demir,rauta
238,Gold::N,altın,kulta
239,Silber::N,gümüş,hopea
240,Kohle::N,kömür,hiili
241,Glas::N,cam,lasi
242,Lehm::N,balçık,savi
243,Sand::N,kum,hiekka
244,Mensch::N,insan,ihminen
245,Mann::N,adam,mies
246,Mann::N,erkek,mies
247,Frau::N,bayan,nainen
248,Kind::N,çocuk,lapsi
249,Junge::N,erkek çocuk,poika
250,Mädchen::N,kız,tyttö
251,Familie::N,aile,perhe
252,Großvater::N,dede,isoisä
253,Großvater::N,büyükbaba,isoisä
254,Großmutter::N,nine,isoäiti
255,Großmutter::N,büyükanne,isoäiti
256,Eltern::N,ebeveyn,vanhemmat
257,Eltern::N,ana baba,vanhemmat
258,Vater::N,ata,isä
259,Vater::N,baba,isä
260,Mutter::N,ana,äiti
261,Mutter::N,anne,äiti
262,Sohn::N,oğul,poika
263,Tochter::N,kız,tytär
264,Tochter::N,kız evlât,tytär
265,Bruder::N,abi,veli
266,Bruder::N,erkek kardeş,veli
267,Schwester::N,abla,sisko
268,Schwester::N,kız kardeş,sisko
269,Onkel::N,dayı,eno
270,Onkel::N,dayı,setä
271,Tante::N,hala,täti
272,Tante::N,teyze,täti
273,Ehemann::N,koca,mies
274,Ehemann::N,koca,aviomies
275,Ehefrau::N,karı,vaimo
276,Ehefrau::N,karı,aviovaimo
277,Freude::N,neşe,ilo
278,Freude::N,neşe,riemu
279,Freude::N,sevinç,ilo
280,Freude::N,sevinç,riemu
281,Gelächter::N,gülme,nauru
282,Gelächter::N,kahkaha,nauru
283,Glück::N,mutluluk,onni
284,Kummer::N,dert,suru
285,Kummer::N,dert,murhe
286,Kummer::N,keder,suru
287,Kummer::N,keder,murhe
288,Wunsch::N,arzu,toive
289,Wunsch::N,arzu,toivomus
290,Wunsch::N,istek,toive
291,Wunsch::N,istek,toivomus
292,Lust::N,arzu,himo
293,Lust::N,heves,himo
294,Geist::N,tin,henki
295,Gedanke::N,fikir,aate
296,Gedanke::N,fikir,ajatus
297,Gedanke::N,düşünce,aate
298,Gedanke::N,düşünce,ajatus
299,Gedächtnis::N,bellek,muisti
300,Verstand::N,zekâ,äly
301,Verstand::N,zekâ,järki
302,Verstand::N,zekâ,ymmärrys
303,Sinn::N,anlam,merkitys
304,Grund::N,sebep,syy
305,Grund::N,sebep,peruste
306,Wahrheit::N,doğruluk,tosi
307,Wahrheit::N,doğruluk,totuus
308,Wahrheit::N,gerçeklik,tosi
309,Wahrheit::N,gerçeklik,totuus
310,Gespräch::N,görüşme,puhelu
311,Gespräch::N,görüşme,keskustelu
312,Märchen::N,masal,satu
313,Erzählung::N,öykü,tarina
314,Erzählung::N,öykü,kertomus
315,Erzählung::N,hikâye,tarina
316,Erzählung::N,hikâye,kertomus
317,Nachricht::N,haber,tieto
318,Nachricht::N,haber,ilmoitus
319,Neuigkeit::N,haber,uutinen
320,Name::N,ad,nimi
321,Name::N,isim,nimi
322,Rätsel::N,bilmece,arvoitus
323,Rede::N,söylev,puhe
324,Rede::N,konuşma,puhe
325,Sprache::N,dil,kieli
326,Sprache::N,lisan,kieli
327,Stimme::N,ses,ääni
328,Wort::N,kelime,sana
329,Zeichen::N,işaret,merkki
330,Ruf::N,çağırma,kutsu
331,Lärm::N,şamata,melu
332,Lärm::N,şamata,hälinä
333,Lärm::N,gürültü,melu
334,Lärm::N,gürültü,hälinä
335,Laut::N,ses,ääni
336,Ton::N,ses,sävel
337,Lied::N,türkü,laulu
338,Ruhe::N,sakinlik,lepo
339,Ruhe::N,sakinlik,rauha
340,Leute::N,halk,väki
341,Leute::N,halk,ihmiset
342,Leute::N,insanlar,väki
343,Leute::N,insanlar,ihmiset
344,Volk::N,ulus,kansa
345,Volk::N,millet,kansa
346,Arbeit::N,iş,työ
347,Arbeit::N,çalışma,työ
348,Gast::N,konuk,vieras
349,Gast::N,misafir,vieras
350,Geschenk::N,hediye,lahja
351,Geschenk::N,armağan,lahja
352,Spiel::N,oyun,peli
353,Spiel::N,oyun,leikki
354,Gesellschaft::N,çevre,seura
355,Gesellschaft::N,arkadaşlık,seura
356,Hilfe::N,yardım,apu
357,Freund::N,dost,ystävä
358,Freund::N,arkadaş,ystävä
359,Kamerad::N,arkadaş,toveri
360,Angelegenheit::N,iş,asia
361,Angelegenheit::N,husus,asia
362,Anzahl::N,sayı,lukumäärä
363,Art::N,çeşit,laji
364,Stück::N,tane,pala
365,Stück::N,tane,kappale
366,Stück::N,parça,pala
367,Stück::N,parça,kappale
368,Teil::N,kısım,osa
369,Hälfte::N,yarı,puoli
370,Kreis::N,daire,ympyrä
371,Kreuz::N,haç,risti
372,Linie::N,hat,viiva
373,Linie::N,çizgi,viiva
374,Strich::N,çizgi,piirto
375,Abstand::N,aralık,väli
376,Abstand::N,aralık,väljyys
377,Entfernung::N,mesafe,etäisyys
378,Entfernung::N,uzaklık,etäisyys
379,Gegend::N,yöre,seutu
380,Platz::N,yer,tila
381,Ort::N,yer,kohta
382,Ort::N,yer,paikka
383,Seite::N,yan,sivu
384,Seite::N,yan,kylki
385,Seite::N,taraf,sivu
386,Seite::N,taraf,kylki
387,Mitte::N,orta,keskus
388,Mitte::N,orta,puoliväli
389,Mitte::N,merkez,keskus
