,Concept_ID,tr,ka
0,Auge::N,göz,თვალი
1,Ohr::N,kulak,ყური
2,Nase::N,burun,ცხვირი
3,Mund::N,ağız,პირი
4,Zahn::N,diş,კბილი
5,Zunge::N,dil,ენა
6,Lippe::N,dudak,ბაგე
7,Wange::N,yanak,ლოყა
8,Gesicht::N,yüz,სახე
9,Stirn::N,alın,შუბლი
10,Haar::N,saç,თმა
11,Schnurrbart::N,bıyık,ულვაში
12,Bart::N,sakal,წვერი
13,Kinn::N,çene,ნიკაპი
14,Kiefer[Anatomie]::N,çene,ყბა
15,Kehle::N,boğaz,ყელი
16,Hals::N,boyun,ყელი
17,Hals::N,boyun,კისერი
18,Hals::N,gerdan,ყელი
19,Hals::N,gerdan,კისერი
20,Genick::N,ense,კეფა
21,Kopf::N,baş,თავი
22,Kopf::N,kafa,თავი
23,Rücken::N,arka,ზურგი
24,Bauch::N,karın,მუცელი
25,Nabel::N,göbek,ჭიპი
26,Busen::N,koyun,ძუძუ
27,Brust::N,göğüs,მკერდი
28,Schulter::N,omuz,მხარი
29,Schulter::N,omuz,მკლავი
30,Arm::N,kol,ხელი
31,Ellenbogen::N,dirsek,იდაყვი
32,Hand::N,el,ხელი
33,Handfläche::N,avuç,ნები
34,Handfläche::N,avuç,ხელისგული
35,Handfläche::N,el ayası,ნები
36,Handfläche::N,el ayası,ხელისგული
37,Finger::N,parmak,თითი
38,Fingernagel::N,el tırnağı,ფრჩხილი
39,Nagel[Anatomie]::N,tırnak,ფრჩხილი
40,Zeh::N,ayak parmağı,ფეხის თითი
41,Fuß::N,ayak,ტერფი
42,Fuß::N,ayak,ფეხისგული
43,Ferse::N,topuk,ქუსლი
44,Knie::N,diz,მუხლი
45,Oberschenkel::N,uyluk,ბარძაყი
46,Bein::N,bacak,ფეხი
47,Körper::N,vücut,ტანი
48,Körper::N,vücut,სხეული
49,Haut::N,cilt,კანი
50,Blut::N,kan,სისხლი
51,Ader::N,damar,ძარღვი
52,Sehne::N,kiriş,მყესი
53,Knochen::N,kemik,ძვალი
54,Gehirn::N,beyin,ტვინი
55,Herz::N,kalp,გული
56,Herz::N,yürek,გული
57,Magen::N,mide,კუჭი
58,Leber::N,karaciğer,ღვიძლი
59,Atem::N,nefes,სუნთქვა
60,Hunger::N,açlık,შიმშილი
61,Träne::N,gözyaşı,ცრემლი
62,Geschmack::N,tat,გემო
63,Geschmack::N,lezzet,გემო
64,Geruch::N,koku,სუნი
65,Schlaf::N,uyku,ძილი
66,Traum::N,düş,სიზმარი
67,Traum::N,rüya,სიზმარი
68,Himmel::N,gök,ცა
69,Sonne::N,güneş,მზე
70,Mond::N,ay,მთვარე
71,Stern::N,yıldız,ვარსკვლავი
72,Luft::N,hava,ჰაერი
73,Wind::N,yel,ქარი
74,Wind::N,rüzgâr,ქარი
75,Welle::N,dalga,ტალღა
76,Wasser::N,su,წყალი
77,Stein::N,taş,ქვა
78,Boden::N,yer,მიწა
79,Boden::N,zemin,მიწა
80,Erde::N,toprak,ნიადაგი
81,Staub::N,toz,მტვერი
82,Rauch::N,duman,ბოლი
83,Rauch::N,duman,კვამლი
84,Funke::N,kıvılcım,ნაკვესი
85,Feuer::N,ateş,ცეცხლი
86,Licht::N,ışık,შუქი
87,Licht::N,ışık,სინათლე
88,Schatten::N,gölge,ლანდი
89,Schatten::N,gölge,ჩრდილი
90,Wetter::N,hava,ამინდი
91,Nebel::N,pus,ნისლი
92,Wolke::N,bulut,ღრუბელი
93,Regen::N,yağmur,წვიმა
94,Schnee::N,kar,თოვლი
95,Eis::N,buz,თოში
96,Eis::N,buz,ყინული
97,Frost::N,don,ყინვა
98,Kälte::N,soğukluk,სიცივე
99,Hitze::N,sıcaklık,სიცხე
100,Raureif::N,kırç,ჭირხლი
101,Raureif::N,kırç,თრთვილი
102,Regenbogen::N,gökkuşağı,ცისარტყელა
103,Donner::N,gök gürlemesi,ქუხილი
104,Strömung::N,akıntı,დინება
105,Strömung::N,cereyan,დინება
106,Tropfen::N,damla,წვეთი
107,Schaum::N,köpük,ქაფი
108,Schaum::N,köpük,დორბლი
109,Schmutz::N,çamur,ჭუჭყი
110,Schmutz::N,çamur,ტალახი
111,Schmutz::N,pislik,ჭუჭყი
112,Schmutz::N,pislik,ტალახი
113,See::N,göl,ტბა
114,Sumpf::N,batak,ჭაობი
115,Moor::N,cılgıt,ტორფნარი
116,Wiese::N,çimen,ველი
117,Wiese::N,çimen,მდელო
118,Wald::N,koru,ტყე
119,Wald::N,orman,ტყე
120,Hügel::N,tepe,ბორცვი
121,Anhöhe::N,tümsek,მაღლობი
122,Anhöhe::N,yükseklik,მაღლობი
123,Berg::N,dağ,მთა
124,Gipfel::N,zirve,მწვერვალი
125,Höhle::N,in,მღვიმე
126,Höhle::N,in,გამოქვებული
127,Höhle::N,mağara,მღვიმე
128,Höhle::N,mağara,გამოქვებული
129,Abhang::N,bayır,ფერდობი
130,Quelle::N,pınar,წყარო
131,Quelle::N,pınar,სათავე
132,Quelle::N,kaynak,წყარო
133,Quelle::N,kaynak,სათავე
134,Bach::N,çay,რუ
135,Bach::N,çay,ნაკადული
136,Bach::N,dere,რუ
137,Bach::N,dere,ნაკადული
138,Fluss::N,nehir,მდინარე
139,Ufer::N,kıyı,კიდე
140,Ufer::N,kıyı,ნაპირი
141,Ufer::N,sahil,კიდე
142,Ufer::N,sahil,ნაპირი
143,Küste::N,kıyı,ნაპირი
144,Küste::N,sahil,ნაპირი
145,Festland::N,kara,ხმელეთი
146,Meer::N,deniz,ზღვა
147,Bucht::N,koy,ყურე
148,Bucht::N,körfez,ყურე
149,Insel::N,ada,კუნძული
150,Blume::N,çiçek,ყვავილი
151,Gras::N,ot,ბალახი
152,Gras::N,çim,ბალახი
153,Wurzel::N,kök,ძირი
154,Wurzel::N,kök,ფესვი
155,Baum::N,ağaç,ხე
156,Stamm::N,gövde,ტანი
157,Rinde::N,kabuk,ქერქი
158,Ast::N,dal,ტოტი
159,Ast::N,budak,ტოტი
160,Zweig::N,dal,შტო
161,Blatt::N,yaprak,ფოთოლი
162,Birke::N,huş,არყი
163,Kiefer[Baum]::N,çam,ფიჭვი
164,Weide[Baum]::N,söğüt,ტირიფი
165,Tanne::N,çam,ნაძვი
166,Tanne::N,köknar,ნაძვი
167,Horn::N,boynuz,რქა
168,Feder::N,tüy,ფრთა
169,Fell::N,post,ტყავი
170,Flügel::N,kanat,ფრთა
171,Klaue::N,pençe,კლანჭი
172,Kralle::N,tırnak,ტორი
173,Schwanz::N,kuyruk,კუდი
174,Ei::N,yumurta,კვერცხი
175,Nest::N,yuva,ბუდე
176,Bau::N,in,სორო
177,Tier::N,hayvan,ნადირი
178,Tier::N,hayvan,ცხოველი
179,Herde::N,sürü,ფარა
180,Kuh::N,inek,ფური
181,Kuh::N,inek,ძროხა
182,Bulle::N,boğa,ხარი
183,Pferd::N,at,რაში
184,Pferd::N,at,ცხენი
185,Pferd::N,beygir,რაში
186,Pferd::N,beygir,ცხენი
187,Schaf::N,koyun,ცხვარი
188,Schwein::N,domuz,ღორი
189,Hund::N,it,ძაღლი
190,Hund::N,köpek,ძაღლი
191,Katze::N,kedi,კატა
192,Bär::N,ayı,დათვი
193,Eichhörnchen::N,sincap,ციყვი
194,Elch::N,büyük kuzey geyiği,ცხენ-ირემი
195,Fuchs::N,tilki,მელა
196,Hase::N,tavşan,კურდღელი
197,Maus::N,fare,თაგვი
198,Maus::N,sıçan,თაგვი
199,Wolf::N,kurt,მგელი
200,Vogel::N,kuş,ჩიტი
201,Vogel::N,kuş,ფრინველი
202,Schwarm::N,sürü,გუნდი
203,Huhn::N,tavuk,დედალი
204,Hahn::N,horoz,მამალი
205,Gans::N,kaz,ბატი
206,Adler::N,kartal,არწივი
207,Adler::N,karakuş,არწივი
208,Ente::N,ördek,იხვი
209,Eule::N,baykuş,ბუ
210,Kranich::N,turna,წერო
211,Krähe::N,karga,ყვავი
212,Kuckuck::N,guguk,გუგული
213,Schwan::N,kuğu,გედი
214,Fisch::N,balık,თევზი
215,Barsch::N,hani,ქორჭილა
216,Barsch::N,levrek,ქორჭილა
217,Hecht::N,turnabalığı,ქარიყლაპია
218,Schlange[Tier]::N,yılan,გველი
219,Wurm::N,kurt,ჭია
220,Wurm::N,solucan,ჭია
