,Concept_ID,tt,be
0,Auge::N,күз,вока
1,Ohr::N,колак,вуха
2,Nase::N,борын,нос
3,Mund::N,авыз,рот
4,Mund::N,тамак,рот
5,Zahn::N,теш,зуб
6,Zunge::N,тел,язык
7,Lippe::N,ирен,губа
8,Wange::N,яңак,шчака
9,Gesicht::N,йөз,твар
10,Stirn::N,маңгай,лоб
11,Haar::N,чәч,волас
12,Haar::N,чәч,валасы
13,Schnurrbart::N,мыек,вус
14,Schnurrbart::N,мыек,вусы
15,Bart::N,сакал,барада
16,Kinn::N,ияк,падбародак
17,Kiefer[Anatomie]::N,казналык,сківіца
18,Kehle::N,тамак,горла
19,Hals::N,бугаз,шыя
20,Genick::N,җилкә,патыліца
21,Kopf::N,баш,галава
22,Rücken::N,сырт,спіна
23,Bauch::N,корсак,жывот
24,Nabel::N,кендек,пупок
25,Busen::N,түш,грудзі
26,Brust::N,имчәк,грудзі
27,Brust::N,күкрәк,грудзі
28,Schulter::N,иңбаш,плячо
29,Schulter::N,кулбаш,плячо
30,Arm::N,кул,рука
31,Ellenbogen::N,терсәк,локаць
32,Hand::N,кул,кісць
33,Handfläche::N,уч,далонь
34,Finger::N,бармак,палец
35,Fingernagel::N,тырнак,ногаць
36,Nagel[Anatomie]::N,тырнак,ногаць
37,Zeh::N,бармак,палец
38,Fuß::N,табан,нага
39,Ferse::N,үкчә,пята
40,Ferse::N,үкчә,пятка
41,Knie::N,тез,калена
42,Oberschenkel::N,бот,бядро
43,Oberschenkel::N,бот,сцягно
44,Bein::N,аяк,нага
45,Körper::N,тән,цела
46,Körper::N,җисем,цела
47,Haut::N,тире,скура
48,Blut::N,кан,кроў
49,Ader::N,тамыр,вена
50,Ader::N,тамыр,сасуд
51,Sehne::N,сеңер,жыла
52,Sehne::N,сеңер,цеціва
53,Sehne::N,сеңер,сухажылле
54,Knochen::N,сөяк,косць
55,Gehirn::N,ми,мозг
56,Herz::N,йөрәк,сэрца
57,Magen::N,ашказаны,страўнік
58,Leber::N,бавыр,печань
59,Atem::N,сулыш,дыханне
60,Hunger::N,ачлык,голад
61,Träne::N,яшь,сляза
62,Geschmack::N,тәм,смак
63,Geschmack::N,зәвык,смак
64,Geruch::N,ис,пах
65,Schlaf::N,йокы,сон
66,Traum::N,төш,сон
67,Himmel::N,күк,неба
68,Sonne::N,кояш,сонца
