,Concept_ID,uk,ba
0,Auge::N,око,күҙ
1,Ohr::N,вухо,ҡолаҡ
2,Nase::N,ніс,танау
3,Mund::N,рот,ауыҙ
4,Zahn::N,зуб,теш
5,Zunge::N,язик,тел
6,Lippe::N,губа,ирен
7,Wange::N,щока,яцаҡтар
8,Gesicht::N,обличчя,бит
9,Stirn::N,лоб,маңлай
10,Haar::N,волосся,сәс
11,Schnurrbart::N,вуса,мылтыҡ
12,Bart::N,борода,һаҡал
13,Kinn::N,підборіддя,эйэк
14,Kiefer[Anatomie]::N,щелепа,яңаҡ һөйәге
15,Kehle::N,горло,тамаҡ
16,Hals::N,шия,муйын
17,Genick::N,потилиця,соңҡа
18,Kopf::N,голова,баш
19,Rücken::N,спина,арҡа
20,Bauch::N,живіт,ҡорһаҡ
21,Nabel::N,пупок,кендек
22,Busen::N,груди,күкрәк
23,Brust::N,груди,түш
24,Schulter::N,плече,яурын
25,Arm::N,рука,ҡул
26,Ellenbogen::N,лікоть,терһәк
27,Hand::N,рука,ҡул
28,Hand::N,рука,ҡул суғы
29,Handfläche::N,долоня,ус төбө
30,Finger::N,палець,бармаҡ
31,Fingernagel::N,ніготь,тырнаҡ
32,Nagel[Anatomie]::N,ніготь,тырнаҡ
33,Zeh::N,палець на нозі,бармаҡ
34,Fuß::N,нога,табан
35,Ferse::N,п’ятка,үксә
36,Knie::N,коліно,тубыҡ
37,Oberschenkel::N,стегно,сандыр
38,Bein::N,нога,аяҡ
39,Körper::N,тіло,тән
40,Haut::N,шкіра,тире
41,Blut::N,кров,ҡан
42,Ader::N,вена,тамыр
43,Sehne::N,сухожилля,һеңер
44,Sehne::N,сухожилля,тарамыш
45,Knochen::N,кістка,һойәк
46,Gehirn::N,мозок,мейе
47,Herz::N,серце,йорәк
48,Magen::N,шлунок,ашҡаҙан
49,Leber::N,печінка,бауыр
50,Atem::N,дихання,һулыш
51,Hunger::N,голод,аслыҡ
52,Träne::N,сльоза,күҙ иәше
53,Geschmack::N,смак,тәм
54,Geruch::N,запах,еҫ
55,Schlaf::N,сон,йоҡлау
56,Schlaf::N,сплячка,йоҡлау
57,Traum::N,сон,төш
58,Himmel::N,небо,күк
59,Sonne::N,сонце,ҡояш
60,Mond::N,місяць,ай
61,Stern::N,зірка,йондоҙ
62,Luft::N,повітря,һауа
63,Wind::N,вітер,ел
64,Welle::N,хвиля,тулҡын
65,Wasser::N,вода,һыу
66,Stein::N,камінь,таш
67,Boden::N,ґрунт,тупраҡ
68,Erde::N,земля,балсҡ
69,Staub::N,пил,туҙан
70,Rauch::N,дим,төтөн
71,Funke::N,іскра,осҡон
72,Feuer::N,вогонь,ут
73,Licht::N,світло,яҡтылыҡ
74,Schatten::N,тінь,күләгә
75,Wetter::N,погода,һауа торошо
76,Nebel::N,туман,төман
77,Wolke::N,хмара,болот
78,Regen::N,дощ,ямғыр
79,Schnee::N,сніг,ҡар
80,Eis::N,лід,боҙ
81,Frost::N,мороз,һалҡын
82,Kälte::N,холод,һыуыҡ
83,Hitze::N,жар,томра
84,Hitze::N,жар,эҫелек
85,Raureif::N,іній,ҡырау
86,Regenbogen::N,райдуга,йәйғор
87,Donner::N,грім,күк күкрәү
88,Strömung::N,струмина,ағым
89,Tropfen::N,крапля,тамсы
90,Schaum::N,піна,күбек
91,Schmutz::N,бруд,батҡаҡ
92,See::N,озеро,күл
