,Concept_ID,uk,lt
0,Auge::N,око,akis
1,Ohr::N,вухо,ausis
2,Nase::N,ніс,nosis
3,Mund::N,рот,burna
4,Zahn::N,зуб,dantis
5,Zunge::N,язик,liežuvis
6,Lippe::N,губа,lūpa
7,Wange::N,щока,žandas
8,Wange::N,щока,skruostas
9,Gesicht::N,обличчя,veidas
10,Stirn::N,лоб,kakta
11,Haar::N,волосся,plaukai
12,Schnurrbart::N,вуса,ūsai
13,Bart::N,борода,barzda
14,Kinn::N,підборіддя,smakras
15,Kiefer[Anatomie]::N,щелепа,žandikaulis
16,Kehle::N,горло,gerklė
17,Hals::N,шия,kaklas
18,Genick::N,потилиця,sprandas
19,Kopf::N,голова,galva
20,Rücken::N,спина,nugara
21,Bauch::N,живіт,pilvas
22,Nabel::N,пупок,bamba
23,Busen::N,груди,krūtinė
24,Brust::N,груди,krūtis
25,Schulter::N,плече,petys
26,Arm::N,рука,ranka
27,Ellenbogen::N,лікоть,alkūnė
28,Hand::N,рука,ranka
29,Hand::N,рука,plaštaka
30,Handfläche::N,долоня,delnas
31,Handfläche::N,долоня,plaštaka
32,Finger::N,палець,pirštas
33,Fingernagel::N,ніготь,nagas
34,Nagel[Anatomie]::N,ніготь,nagas
35,Zeh::N,палець на нозі,pirštas
36,Fuß::N,нога,pėda
37,Ferse::N,п’ятка,kulnas
38,Knie::N,коліно,kelis
39,Oberschenkel::N,стегно,kulšis
40,Oberschenkel::N,стегно,šlaunis
41,Bein::N,нога,koja
42,Körper::N,тіло,kūnas
43,Haut::N,шкіра,oda
44,Blut::N,кров,kraujas
45,Ader::N,вена,kraujagyslė
46,Sehne::N,сухожилля,sausgyslė
47,Knochen::N,кістка,kaulas
48,Gehirn::N,мозок,smegenys
49,Herz::N,серце,širdis
50,Magen::N,шлунок,skrandis
51,Leber::N,печінка,kepenys
52,Atem::N,дихання,kvapas
53,Hunger::N,голод,badas
54,Hunger::N,голод,alkis
55,Träne::N,сльоза,ašara
56,Geschmack::N,смак,skonis
57,Geruch::N,запах,kvapas
58,Schlaf::N,сон,miegas
59,Schlaf::N,сплячка,miegas
60,Traum::N,сон,sapnas
61,Himmel::N,небо,dangus
62,Sonne::N,сонце,saulė
63,Mond::N,місяць,mėnulis
64,Stern::N,зірка,žvaigždė
65,Luft::N,повітря,oras
66,Wind::N,вітер,vėjas
67,Welle::N,хвиля,banga
68,Welle::N,хвиля,vilnis
69,Wasser::N,вода,vanduo
70,Stein::N,камінь,akmuo
71,Boden::N,ґрунт,žemė
72,Boden::N,ґрунт,dugnas
73,Erde::N,земля,žemė
74,Staub::N,пил,dulkės
75,Rauch::N,дим,dūmai
76,Funke::N,іскра,kibirkštis
77,Feuer::N,вогонь,ugnis
78,Licht::N,світло,šviesa
79,Schatten::N,тінь,paūksmė
80,Wetter::N,погода,oras
81,Nebel::N,туман,migla
82,Nebel::N,туман,rūkas
83,Wolke::N,хмара,debesis
84,Regen::N,дощ,lietus
85,Schnee::N,сніг,sniegas
86,Eis::N,лід,ledas
87,Frost::N,мороз,šalna
88,Kälte::N,холод,šaltis
89,Hitze::N,жар,karštis
90,Raureif::N,іній,šerkšnas
91,Regenbogen::N,райдуга,vaivorykštė
92,Donner::N,грім,perkūnas
93,Donner::N,грім,griaustinis
94,Strömung::N,струмина,tėkmė
95,Tropfen::N,крапля,lašas
96,Schaum::N,піна,putos
97,Schmutz::N,бруд,purvas
98,See::N,озеро,ežeras
99,Sumpf::N,драговина,klampynė
100,Sumpf::N,драговина,liūnas
101,Moor::N,болото,pelkė
102,Wiese::N,луг,pieva
103,Wiese::N,лука,pieva
104,Wald::N,ліс,miškas
105,Hügel::N,горб,kalva
106,Anhöhe::N,височина,kauburys
107,Berg::N,гора,kalnas
108,Gipfel::N,вершина,viršūnė
109,Höhle::N,печера,ola
110,Abhang::N,схил,šlaitas
111,Abhang::N,схил,nuokalnė
112,Quelle::N,джерело,versmė
