,Concept_ID,uk,vep
0,Auge::N,око,sil'm
1,Ohr::N,вухо,korv
2,Nase::N,ніс,nena
3,Mund::N,рот,su
4,Zahn::N,зуб,pi
5,Zahn::N,зуб,hambaz
6,Zunge::N,язик,kel'
7,Lippe::N,губа,hul'
8,Wange::N,щока,modpolišk
9,Gesicht::N,обличчя,mod
10,Stirn::N,лоб,oc
11,Haar::N,волосся,tuk
12,Haar::N,волосся,hibuz
13,Schnurrbart::N,вуса,habinod
14,Bart::N,борода,bard
15,Kinn::N,підборіддя,löug
16,Kiefer[Anatomie]::N,щелепа,hambazlu
17,Kehle::N,горло,kurk
18,Hals::N,шия,kagl
19,Genick::N,потилиця,tagarai
20,Kopf::N,голова,pä
21,Rücken::N,спина,sel'g
22,Bauch::N,живіт,vac
23,Bauch::N,живіт,koht
24,Nabel::N,пупок,naba
25,Busen::N,груди,niža
26,Brust::N,груди,rind
27,Schulter::N,плече,oug
28,Arm::N,рука,käzi
29,Ellenbogen::N,лікоть,künambruz
30,Hand::N,рука,käzi
31,Hand::N,рука,käzitera
32,Handfläche::N,долоня,kämen
33,Finger::N,палець,sor'm
34,Fingernagel::N,ніготь,künz'
35,Nagel[Anatomie]::N,ніготь,künz'
36,Zeh::N,палець на нозі,barbaz
37,Fuß::N,нога,jaug
38,Ferse::N,п’ятка,kand
39,Knie::N,коліно,komb
40,Knie::N,коліно,pol'v
41,Oberschenkel::N,стегно,riiže
42,Bein::N,нога,jaug
43,Körper::N,тіло,hibj
44,Haut::N,шкіра,nahk
45,Blut::N,кров,čak
46,Blut::N,кров,veri
47,Ader::N,вена,son'
48,Sehne::N,сухожилля,jände
49,Knochen::N,кістка,lu
50,Gehirn::N,мозок,aivod
51,Herz::N,серце,südäin
52,Magen::N,шлунок,südäikoht
53,Leber::N,печінка,maks
54,Atem::N,дихання,hengaiduz
55,Hunger::N,голод,näl'g
56,Träne::N,сльоза,kündal'
57,Geschmack::N,смак,magu
58,Geruch::N,запах,haju
59,Schlaf::N,сон,uni
60,Schlaf::N,сплячка,uni
61,Traum::N,сон,unikuva
62,Himmel::N,небо,taivaz
63,Sonne::N,сонце,päiväine
64,Mond::N,місяць,kudmaine
65,Stern::N,зірка,tähtaz
66,Luft::N,повітря,il'm
67,Wind::N,вітер,döl
68,Wind::N,вітер,tullei
69,Welle::N,хвиля,ald
70,Welle::N,хвиля,laineh
71,Wasser::N,вода,vezi
72,Stein::N,камінь,kivi
73,Boden::N,ґрунт,ma
74,Boden::N,ґрунт,pohj
75,Erde::N,земля,ma
76,Staub::N,пил,pölü
77,Rauch::N,дим,savu
78,Funke::N,іскра,kibin
79,Feuer::N,вогонь,lämoi
80,Licht::N,світло,vauktuz
81,Schatten::N,тінь,pil'vez
82,Schatten::N,тінь,kuvahaine
83,Wetter::N,погода,sä
84,Nebel::N,туман,sumeg
85,Wolke::N,хмара,pil'v
86,Regen::N,дощ,vihm
87,Schnee::N,сніг,lumi
88,Eis::N,лід,jä
89,Frost::N,мороз,hala
90,Frost::N,мороз,pakaine
91,Kälte::N,холод,vilu
92,Hitze::N,жар,räk
93,Raureif::N,іній,hüde
94,Regenbogen::N,райдуга,jumalanbembel'
95,Donner::N,грім,juru
96,Donner::N,грім,jumalanjuru
97,Strömung::N,струмина,joksmuz
98,Tropfen::N,крапля,tilkuine
99,Schaum::N,піна,vaht
100,Schmutz::N,бруд,redu
101,Schmutz::N,бруд,pačak
102,See::N,озеро,järv
103,Sumpf::N,драговина,so
104,Moor::N,болото,so
105,Wiese::N,луг,nit
106,Wiese::N,лука,nit
107,Wald::N,ліс,mec
108,Hügel::N,горб,kukaz
109,Anhöhe::N,височина,kukaz
110,Berg::N,гора,mägi
111,Gipfel::N,вершина,ladv
112,Höhle::N,печера,mägionduz
113,Abhang::N,схил,paute
114,Quelle::N,джерело,lähte
115,Bach::N,струмок,oja
116,Fluss::N,річка,jogi
117,Ufer::N,берег,rand
118,Küste::N,узбережжя,randišt
119,Festland::N,суша,kuivma
120,Meer::N,море,meri
121,Bucht::N,бухта,laht
122,Bucht::N,затока,laht
123,Insel::N,острів,sar'
124,Blume::N,квітка,änik
125,Gras::N,трава,hein
126,Wurzel::N,корінь,jur'
127,Baum::N,дерево,pu
128,Stamm::N,стовбур,tüvi
129,Rinde::N,кора,kor'
130,Ast::N,гілка,oks
131,Zweig::N,галузь,oks
132,Zweig::N,галузь,barb
133,Blatt::N,лист,lehtez
134,Birke::N,береза,koiv
135,Kiefer[Baum]::N,сосна,pedai
136,Weide[Baum]::N,верба,raid
137,Tanne::N,ялиця,kuz'
138,Horn::N,ріг,sar'v
139,Feder::N,перо,höuneh
140,Fell::N,хутро,nahk
141,Flügel::N,крило,suug
142,Klaue::N,кіготь,künz'
143,Kralle::N,лапа,künz'
144,Schwanz::N,хвіст,händ
145,Ei::N,яйце,muna
146,Nest::N,гніздо,peza
147,Bau::N,лігво,uru
148,Tier::N,тварина,živat
149,Herde::N,стадо,kogo
150,Kuh::N,корова,lehm
151,Bulle::N,бик,härg
152,Bulle::N,бугай,härg
153,Pferd::N,кінь,hebo
154,Schaf::N,вівця,lambaz
155,Schwein::N,свиня,siga
156,Hund::N,собака,koir
157,Katze::N,кішка,kaži
158,Bär::N,ведмідь,kondi
159,Eichhörnchen::N,білка,orav
160,Elch::N,лось,hirb'
161,Fuchs::N,лисиця,reboi
162,Hase::N,заєць,jäniš
163,Maus::N,миша,hir'
164,Wolf::N,вовк,händikaz
165,Vogel::N,птах,lind
166,Schwarm::N,зграя,parveh
167,Huhn::N,курка,kana
168,Hahn::N,півень,kukoi
169,Gans::N,гуска,hanh'
170,Adler::N,орел,orl
171,Ente::N,качка,sorz
172,Eule::N,сова,hir'pulo
173,Kranich::N,журавель,kurg
174,Krähe::N,ворона,variš
175,Kuckuck::N,зозуля,kägi
176,Schwan::N,лебідь,joucen
177,Fisch::N,риба,kala
178,Barsch::N,окунь,ahven
179,Hecht::N,щука,haug'
180,Schlange[Tier]::N,змія,kü
181,Schlange[Tier]::N,змія,mado
182,Wurm::N,черв’як,mado
183,Spinne::N,павук,hämähouk
184,Ameise::N,мурашка,murahaine
185,Laus::N,воша,täi
186,Mücke::N,комар,säs'k
187,Fliege::N,муха,kärbhaine
188,Schmetterling::N,метелик,lipkaine
189,Beere::N,ягода,marj
190,Apfel::N,яблуко,jablok
191,Pilz::N,гриб,sen'
192,Pilz::N,гриб,babuk
193,Zwiebel::N,цибуля,lauk
194,Saat::N,сім’я,semned
195,Korn::N,зерно,jüvä
196,Korn::N,зерно,vill'
197,Heu::N,сіно,hein
198,Schale::N,шкірка,kor'
199,Grube::N,яма,kop
